## 1
## 우리에게는 2010년 광저우 아시안게임 개폐회식 때 화려한 조명를 뽐내던 광저우탑과 어우러진 야경으로 잘 알려진 곳이다.
## 우리에게는 <2010년:DAT> <광저우 아시안게임:POH> 개폐회식 때 화려한 조명를 뽐내던 <광저우탑:LOC>과 어우러진 야경으로 잘 알려진 곳이다.
우리	우리	NP	O
_	_	_	O
대	대	XPN	O
단지	단지	NNG	O
는	는	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
104	104	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
단지	단지	NNG	O
로	로	JKB	O
_	_	_	O
총	총	XPN	O
_	_	_	O
17	17	SN	B-NOH
만	만	NR	I-NOH
4045	4045	SN	I-NOH
채	채	NNB	I-NOH
에	에	JKB	O
_	_	_	O
이른다	이르+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 50대를 대표하는 추 감독과 유 감독, 40대를 대표하는 이 감독과 김 감독 중 누가 시리즈가 끝난 뒤 웃는 얼굴로 악수를 나누게 될까.
## <50대:NOH>를 대표하는 <추:PER> 감독과 <유:PER> 감독, <40대:NOH>를 대표하는 <이:PER> 감독과 <김:PER> 감독 중 누가 시리즈가 끝난 뒤 웃는 얼굴로 악수를 나누게 될까.
50	50	SN	B-NOH
대	대	NNB	I-NOH
를	를	JKO	O
_	_	_	O
대표하	대표하	VV	O
는	는	ETM	O
_	_	_	O
추	추	NNG	B-PER
_	_	_	O
감독	감독	NNG	O
과	과	JC	O
_	_	_	O
유	유	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
,	,	SP	O
_	_	_	O
40	40	SN	B-NOH
대	대	NNB	I-NOH
를	를	JKO	O
_	_	_	O
대표하	대표하	VV	O
는	는	ETM	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
과	과	JC	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
누	누구	NP	O
가	가	JKS	O
_	_	_	O
시리즈	시리즈	NNG	O
가	가	JKS	O
_	_	_	O
끝난	끝나+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
웃	웃	VV	O
는	는	ETM	O
_	_	_	O
얼굴	얼굴	NNG	O
로	로	JKB	O
_	_	_	O
악수	악수	NNG	O
를	를	JKO	O
_	_	_	O
나누	나누	VV	O
게	게	EC	O
_	_	_	O
될까	되+ㄹ까	VV+EF	O
.	.	SF	O

## 8
## 서울예대 연극과 출신인 그는 후배들의 졸업 작품, 단편영화 등 “카메라 감각을 빨리 익히기 위해” 연기를 할 수만 있다면 가리지 않고 출연했다.
## <서울예대 연극과:ORG> 출신인 그는 후배들의 졸업 작품, 단편영화 등 “카메라 감각을 빨리 익히기 위해” 연기를 할 수만 있다면 가리지 않고 출연했다.
서울예대	서울예대	NNP	B-ORG
_	_	_	I-ORG
연극	연극	NNG	I-ORG
과	과	JC	I-ORG
_	_	_	O
출신	출신	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
후배	후배	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
졸업	졸업	NNG	O
_	_	_	O
작품	작품	NNG	O
,	,	SP	O
_	_	_	O
단편	단편	NNG	O
영화	영화	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
“	“	SS	O
카메라	카메라	NNG	O
_	_	_	O
감각	감각	NNG	O
을	을	JKO	O
_	_	_	O
빨리	빨리	MAG	O
_	_	_	O
익히	익히	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EF	O
”	”	SS	O
_	_	_	O
연기	연기	NNG	O
를	를	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
만	만	JX	O
_	_	_	O
있	있	VA	O
다면	다면	EC	O
_	_	_	O
가리	가리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 연일 무더위가 이어지는 가운데, tvN ‘삼시세끼 고창편’의 4인방이 5일 방송에서 여름을 나는 다양한 방법을 선보여 눈길을 끈다.
## 연일 무더위가 이어지는 가운데, <tvN:POH> ‘<삼시세끼:POH> <고창:LOC>편’의 <4인:NOH>방이 <5일:DAT> 방송에서 여름을 나는 다양한 방법을 선보여 눈길을 끈다.
연일	연일	NNG	O
_	_	_	O
무더위	무더위	NNG	O
가	가	JKS	O
_	_	_	O
이어지	이어지	VV	O
는	는	ETM	O
_	_	_	O
가운데	가운데	NNG	O
,	,	SP	O
_	_	_	O
tvN	tvN	SL	B-POH
_	_	_	O
‘	‘	SS	O
삼시세끼	삼시세끼	NNP	B-POH
_	_	_	O
고창	고창	NNP	B-LOC
편	편	NNG	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
4	4	SN	B-NOH
인	인	NNG	I-NOH
방	방	NNG	O
이	이	JKS	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
여름	여름	NNG	O
을	을	JKO	O
_	_	_	O
나	나	NP	O
는	는	JX	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
방법	방법	NNG	O
을	을	JKO	O
_	_	_	O
선보	선보이	VV	O
여	어	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끈다	끌+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 아티장 베이커리에는 전라남도 영광에 있는 ‘유레카 목장’에서 만들어지는 유제품이 비치돼 있다.
## <아티장 베이커리:LOC>에는 <전라남도:LOC> <영광:LOC>에 있는 ‘유레카 목장’에서 만들어지는 유제품이 비치돼 있다.
아티	아티	NNP	B-LOC
장	장	XPN	I-LOC
_	_	_	I-LOC
베이커리	베이커리	NNG	I-LOC
에	에	JKB	O
는	는	JX	O
_	_	_	O
전라남도	전라남도	NNP	B-LOC
_	_	_	O
영광	영광	NNG	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
유레카	유레카	NNG	O
_	_	_	O
목장	목장	NNG	O
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
유제품	유제품	NNG	O
이	이	JKS	O
_	_	_	O
비치돼	비치되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 헝가리는 1승1무, 승점 4로 조 1위 자리를 지켰다.
## <헝가리:ORG>는 <1승:NOH><1무:NOH>, 승점 <4:NOH>로 조 <1위:NOH> 자리를 지켰다.
헝가리	헝가리	NNP	B-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
승	승	NNB	I-NOH
1	1	SN	B-NOH
무	무	NNG	I-NOH
,	,	SP	O
_	_	_	O
승점	승점	NNG	O
_	_	_	O
4	4	SN	B-NOH
로	로	JKB	O
_	_	_	O
조	조	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
자리	자리	NNG	O
를	를	JKO	O
_	_	_	O
지	지키	VV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

