## 1
## 박근혜 대통령이 길라임이라는 가명을 사용했다는 소식이 들리자 네티즌들은 '시크릿가든'에 출연했던 하지원·현빈의 과거 행보에도 주목하고 있다.
## <박근혜:PER> 대통령이 <길라임:PER>이라는 가명을 사용했다는 소식이 들리자 네티즌들은 '<시크릿가든:POH>'에 출연했던 <하지원:PER>·<현빈:PER>의 과거 행보에도 주목하고 있다.
박근혜	박근혜	NNP	B-PER
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
차움의원	차움의원	NNG	B-ORG
을	을	JKO	O
_	_	_	O
이용하	이용하	VV	O
며	며	EC	O
_	_	_	O
길	길	NNG	B-PER
라임	라임	NNG	I-PER
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
가명	가명	NNG	O
을	을	JKO	O
_	_	_	O
사용	사용하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 합격자는 2월 10일 홈페이지 공지사항과 개별 연락을 통해 발표하며, 14기 발대식은 2월 18일(토) 서울 마포구 서교동 능률교육 본사에서 진행한다.
## 합격자는 <2월 10일:DAT> 홈페이지 공지사항과 개별 연락을 통해 발표하며, <14기:NOH> 발대식은 <2월 18일:DAT>(<토:DAT>) <서울:LOC> <마포구:LOC> <서교동 능률교육:LOC> 본사에서 진행한다.
합격자	합격자	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
10	10	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
홈페이지	홈페이지	NNG	O
_	_	_	O
공지	공지	NNG	O
사항	사항	NNG	O
과	과	JC	O
_	_	_	O
개별	개별	NNG	O
_	_	_	O
연락	연락	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
발표하	발표하	VV	O
며	며	EC	O
,	,	SP	O
_	_	_	O
14	14	SN	B-NOH
기	기	NNG	I-NOH
_	_	_	O
발대식	발대식	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
18	18	SN	I-DAT
일	일	NNB	I-DAT
(	(	SS	O
토	토	NNG	B-DAT
)	)	SS	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
마포구	마포구	NNP	B-LOC
_	_	_	O
서교동	서교동	NNP	B-LOC
_	_	_	I-LOC
능률	능률	NNG	I-LOC
교육	교육	NNG	I-LOC
_	_	_	O
본사	본사	NNG	O
에서	에서	JKB	O
_	_	_	O
진행한다	진행하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 한편 NE 능률은 청소년 서포터즈 NE One 14기 모집에 대한 페이스북 공유 이벤트도 진행 중이다.
## 한편 <NE 능률:ORG>은 청소년 서포터즈 <NE One:ORG> <14기:NOH> 모집에 대한 <페이스북:POH> 공유 이벤트도 진행 중이다.
한편	한편	MAG	O
_	_	_	O
NE	NE	SL	B-ORG
_	_	_	I-ORG
능률	능률	NNG	I-ORG
은	은	JX	O
_	_	_	O
청소년	청소년	NNG	O
_	_	_	O
서포터즈	서포터즈	NNG	O
_	_	_	O
NE	NE	SL	B-ORG
_	_	_	I-ORG
One	One	SL	I-ORG
_	_	_	O
14	14	SN	B-NOH
기	기	NNG	I-NOH
_	_	_	O
모집	모집	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
페이스북	페이스북	NNP	B-POH
_	_	_	O
공유	공유	NNG	O
_	_	_	O
이벤트	이벤트	NNG	O
도	도	JX	O
_	_	_	O
진행	진행	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 앞서 국회 윤리특위는 이날 오전 국회에서 징계심사자문 소위원회를 열고 심학봉 의원에 대한 징계 수위를 논의했지만 여야 이견으로 1시간 여 만에 종결됐다.
## 앞서 <국회 윤리특위:ORG>는 이날 오전 국회에서 <징계심사자문 소위원회:ORG>를 열고 <심학봉:PER> 의원에 대한 징계 수위를 논의했지만 여야 이견으로 <1시간 여 만:DUR>에 종결됐다.
앞서	앞서+어	VV+EC	O
_	_	_	O
국회	국회	NNG	B-ORG
_	_	_	I-ORG
윤리	윤리	NNG	I-ORG
특위	특위	NNG	I-ORG
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	O
_	_	_	O
국회	국회	NNG	O
에서	에서	JKB	O
_	_	_	O
징계	징계	NNG	B-ORG
심사	심사	NNG	I-ORG
자문	자문	NNG	I-ORG
_	_	_	I-ORG
소위원회	소위원회	NNG	I-ORG
를	를	JKO	O
_	_	_	O
열	열	VV	O
고	고	EC	O
_	_	_	O
심학봉	심학봉	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
징계	징계	NNG	O
_	_	_	O
수위	수위	NNG	O
를	를	JKO	O
_	_	_	O
논의	논의하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
여야	여야	NNG	O
_	_	_	O
이견	이견	NNG	O
으로	으로	JKB	O
_	_	_	O
1	1	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	I-DUR
여	여	XSN	I-DUR
_	_	_	I-DUR
만	만	NNB	I-DUR
에	에	JKB	O
_	_	_	O
종결	종결되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 소위 위원인 은수미 새정치민주연합 의원은 심학봉 의원 징계안 도출에 실패한 뒤 “새누리당의 반대 논리는 속도가 빠르다는 것과 본인이 직접 소명을 안 한다는 것”이라며 “본인이 성폭행 문제는 무혐의라고 주장하니 검찰 조사 결과를 보고 처리를 하지 말자는 것인데 여기서 처리 안 되면 내년 4월까지 국회의원직을 유지하자는 것이다.
## 소위 위원인 <은수미:PER> <새정치민주연합:ORG> 의원은 <심학봉:PER> 의원 징계안 도출에 실패한 뒤 “<새누리당:ORG>의 반대 논리는 속도가 빠르다는 것과 본인이 직접 소명을 안 한다는 것”이라며 “본인이 성폭행 문제는 무혐의라고 주장하니 검찰 조사 결과를 보고 처리를 하지 말자는 것인데 여기서 처리 안 되면 내년 <4월:DAT>까지 국회의원직을 유지하자는 것이다.
소위	소위	NNG	O
_	_	_	O
위원	위원	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
은수미	은수미	NNP	B-PER
_	_	_	O
새정치민주연합	새정치민주연합	NNP	B-ORG
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
심학봉	심학봉	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
_	_	_	O
징계	징계	NNG	O
안	안	NNG	O
_	_	_	O
도출	도출	NNG	O
에	에	JKB	O
_	_	_	O
실패한	실패하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
“	“	SS	O
새누리당	새누리당	NNP	B-ORG
의	의	JKG	O
_	_	_	O
반대	반대	NNG	O
_	_	_	O
논리	논리	NNG	O
는	는	JX	O
_	_	_	O
속도	속도	NNG	O
가	가	JKS	O
_	_	_	O
빠르	빠르	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
과	과	JC	O
_	_	_	O
본인	본인	NNG	O
이	이	JKS	O
_	_	_	O
직접	직접	MAG	O
_	_	_	O
소명	소명	NNG	O
을	을	JKO	O
_	_	_	O
안	안	MAG	O
_	_	_	O
한다는	하+ㄴ다는	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
본인	본인	NNG	O
이	이	JKS	O
_	_	_	O
성폭행	성폭행	NNG	O
_	_	_	O
문제	문제	NNG	O
는	는	JX	O
_	_	_	O
무혐의	무혐의+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
주장하	주장하	VV	O
니	니	EC	O
_	_	_	O
검찰	검찰	NNG	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
보	보	VV	O
고	고	EC	O
_	_	_	O
처리	처리	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
자는	자는	ETM	O
_	_	_	O
것	것	NNB	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
여기	여기	NP	O
서	서	JKB	O
_	_	_	O
처리	처리	NNG	O
_	_	_	O
안	안	MAG	O
_	_	_	O
되	되	VV	O
면	면	EC	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
국회의원	국회의원	NNG	O
직	직	NNG	O
을	을	JKO	O
_	_	_	O
유지하	유지하	VV	O
자는	자는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 금메달 10개 이상을 따 종합 12위를 목표로 하고 있는 선수단은 23일 출국해 미국 애틀랜타에서 적응 훈련을 한 뒤 31일 리우에 입성한다.
## 금메달 <10개:NOH> 이상을 따 종합 <12위:NOH>를 목표로 하고 있는 선수단은 <23일:DAT> 출국해 <미국 애틀랜타:LOC>에서 적응 훈련을 한 뒤 <31일:DAT> <리우:LOC>에 입성한다.
금메달	금메달	NNG	O
_	_	_	O
10	10	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
을	을	JKO	O
_	_	_	O
따	따+아	VV+EC	O
_	_	_	O
종합	종합	NNG	O
_	_	_	O
12	12	SN	B-NOH
위	위	NNB	I-NOH
를	를	JKO	O
_	_	_	O
목표	목표	NNG	O
로	로	JKB	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
선수단	선수단	NNG	O
은	은	JX	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
출국해	출국하+여	VV+EC	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	I-LOC
애틀랜타	애틀랜타	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
적응	적응	NNG	O
_	_	_	O
훈련	훈련	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
리우	리우	NNP	B-LOC
에	에	JKB	O
_	_	_	O
입성한다	입성하+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## ‘김대식의 인간 VS 기계’란 책이다.
## ‘<김대식의 인간 VS 기계:POH>’란 책이다.
‘	‘	SS	O
김대식	김대식	NNP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
인간	인간	NNG	I-POH
_	_	_	I-POH
VS	VS	SL	I-POH
_	_	_	I-POH
기계	기계	NNG	I-POH
’	’+이	SS+VCP	O
란	란	ETM	O
_	_	_	O
책	책	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

