## 1
## 초등학생인 두 자녀를 챙기기 위해 퇴근을 서두르면서 김밥으로 저녁을 때운 적이 많기는 했지만 ‘후진국병’이라는 결핵을 앓게 될 줄은 상상도 못 했다.
## 초등학생인 <두 자녀:NOH>를 챙기기 위해 퇴근을 서두르면서 김밥으로 저녁을 때운 적이 많기는 했지만 ‘후진국병’이라는 결핵을 앓게 될 줄은 상상도 못 했다.
초등학생	초등학생	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
열정	열정	NNG	O
_	_	_	O
하나	하나	NNG	B-NOH
로	로	JKB	O
_	_	_	O
외길	외길	NNG	O
을	을	JKO	O
_	_	_	O
달려온	달려오+ㄴ	VV+ETM	O
_	_	_	O
자신	자신	NNG	O
만	만	JX	O
의	의	JKG	O
_	_	_	O
성공	성공	NNG	O
법칙	법칙	NNG	O
을	을	JKO	O
_	_	_	O
정리해	정리하+여	VV+EC	O
_	_	_	O
책	책	NNG	O
을	을	JKO	O
_	_	_	O
냈	내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 나머지 새끼 5마리도 조만간 또 다른 혈통보존협회로 보낼 예정이다.
## 나머지 새끼 <5마리:NOH>도 조만간 또 다른 혈통보존협회로 보낼 예정이다.
나머지	나머지	NNG	O
_	_	_	O
새끼	새끼	NNG	O
_	_	_	O
5	5	SN	B-NOH
마리	마리	NNB	I-NOH
도	도	JX	O
_	_	_	O
조만간	조만간	MAG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
혈통	혈통	NNG	O
보존	보존	NNG	O
협회	협회	NNG	O
로	로	JKB	O
_	_	_	O
보낼	보내+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 최민정은 9일 캐나다 토론토에서 열린 2차 레이스 결선에서 마리안 생젤레(캐나다)에 0.001초 앞선 42초998로 우승했다.
## <최민정:PER>은 <9일:DAT> <캐나다 토론토:LOC>에서 열린 <2차:NOH> 레이스 결선에서 <마리안 생젤레:PER>(<캐나다:ORG>)에 <0.001초:NOH> 앞선 <42초998:NOH>로 우승했다.
최민정	최민정	NNP	B-PER
은	은	JX	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
캐나다	캐나다	NNP	B-LOC
_	_	_	I-LOC
토론토	토론토	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
레이스	레이스	NNG	O
_	_	_	O
결선	결선	NNG	O
에서	에서	JKB	O
_	_	_	O
마리안	마리아+ㄴ	NNP+JX	B-PER
_	_	_	I-PER
생젤레	생젤레	NNG	I-PER
(	(	SS	O
캐나다	캐나다	NNP	B-ORG
)	)	SS	O
에	에	JKB	O
_	_	_	O
0.001	0.001	SN	B-NOH
초	초	NNB	I-NOH
_	_	_	O
앞선	앞서+ㄴ	VV+ETM	O
_	_	_	O
42	42	SN	B-NOH
초	초	NNB	I-NOH
998	998	SN	I-NOH
로	로	JKB	O
_	_	_	O
우승	우승하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 올 하반기 50대그룹의 대졸 신입사원 채용규모가 역대 최고치를 기록할 전망이다.
## 올 하반기 <50대:NOH>그룹의 대졸 신입사원 채용규모가 역대 최고치를 기록할 전망이다.
올	올	NNG	O
_	_	_	O
하반기	하반기	NNG	O
_	_	_	O
50	50	SN	B-NOH
대	대	XPN	I-NOH
그룹	그룹	NNG	O
의	의	JKG	O
_	_	_	O
대졸	대졸	NNG	O
_	_	_	O
신입	신입	NNG	O
사원	사원	NNG	O
_	_	_	O
채용	채용	NNG	O
규모	규모	NNG	O
가	가	JKS	O
_	_	_	O
역대	역대	NNG	O
_	_	_	O
최고	최고	NNG	O
치	치	XSN	O
를	를	JKO	O
_	_	_	O
기록할	기록하+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 60개국 정재계 리더 650명 참석
## <60개국:NOH> 정재계 리더 <650명:NOH> 참석
60	60	SN	B-NOH
개국	개국	NNB	I-NOH
_	_	_	O
정	정	NNG	O
재계	재계	NNG	O
_	_	_	O
리더	리더	NNG	O
_	_	_	O
650	650	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
참석	참석	NNG	O

## 8
## 광주에서 운영하던 식당이 잘 안돼 마지막 희망을 품고 결심한 상경이었다.
## <광주:LOC>에서 운영하던 식당이 잘 안돼 마지막 희망을 품고 결심한 상경이었다.
광주	광주	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
운영하	운영하	VV	O
던	던	ETM	O
_	_	_	O
식당	식당	NNG	O
이	이	JKS	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
안돼	안되+어	VV+EC	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
희망	희망	NNG	O
을	을	JKO	O
_	_	_	O
품	품	VV	O
고	고	EC	O
_	_	_	O
결심한	결심하+ㄴ	VV+ETM	O
_	_	_	O
상경	상경	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 럭셔리 파리지엔 디자이너 코스메틱 브랜드 ‘입생로랑 뷰티(YSL Beauty)’는 ‘비포 더 라이트(BEFORE THE LIGHT)’ 첫 프로젝트의 아시아 및 한국 대표 가인 편의 디지털 뮤직 비디오를 3일 입생로랑 뷰티 글로벌 디지털 플랫폼(인스타그램, 유투브 등)에 전격 공개했다.
## 럭셔리 파리지엔 디자이너 코스메틱 브랜드 ‘<입생로랑 뷰티:ORG>(<YSL Beauty:ORG>)’는 ‘<비포 더 라이트:POH>(<BEFORE THE LIGHT:POH>)’ 첫 프로젝트의 <아시아:LOC> 및 <한국:LOC> 대표 <가인:PER> 편의 디지털 뮤직 비디오를 <3일:DAT> <입생로랑 뷰티:ORG> 글로벌 디지털 플랫폼(<인스타그램:POH>, <유투브:POH> 등)에 전격 공개했다.
럭셔리	럭셔리	NNG	O
_	_	_	O
파리	파리	NNP	O
지엔	지엔	NNP	O
_	_	_	O
디자이너	디자이너	NNG	O
_	_	_	O
코스메틱	코스메틱	NNG	O
_	_	_	O
브랜드	브랜드	NNG	O
_	_	_	O
‘	‘	SS	O
입생	입생	NNP	B-ORG
로랑	로랑	NNP	I-ORG
_	_	_	I-ORG
뷰티	뷰티	NNG	I-ORG
(	(	SS	O
YSL	YSL	SL	B-ORG
_	_	_	I-ORG
Beauty	Beauty	SL	I-ORG
)	)	SS	O
’	’	SS	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
비포	비포	NNG	B-POH
_	_	_	I-POH
더	더	MAG	I-POH
_	_	_	I-POH
라이트	라이트	NNG	I-POH
(	(	SS	O
BEFORE	BEFORE	SL	B-POH
_	_	_	I-POH
THE	THE	SL	I-POH
_	_	_	I-POH
LIGHT	LIGHT	SL	I-POH
)	)	SS	O
’	’	SS	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
프로젝트	프로젝트	NNG	O
의	의	JKG	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
및	및	MAG	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
대표	대표	NNG	O
_	_	_	O
가인	가인	NNG	B-PER
_	_	_	O
편	편	NNB	O
의	의	JKG	O
_	_	_	O
디지털	디지털	NNG	O
_	_	_	O
뮤직	뮤직	NNG	O
_	_	_	O
비디오	비디오	NNG	O
를	를	JKO	O
_	_	_	O
3	3	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
입생	입생	NNP	B-ORG
로랑	로랑	NNP	I-ORG
_	_	_	I-ORG
뷰티	뷰티	NNG	I-ORG
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
디지털	디지털	NNG	O
_	_	_	O
플랫폼	플랫폼	NNG	O
(	(	SS	O
인스타그램	인스타그램	NNP	B-POH
,	,	SP	O
_	_	_	O
유투브	유투브	NNP	B-POH
_	_	_	O
등	등	NNB	O
)	)	SS	O
에	에	JKB	O
_	_	_	O
전격	전격	NNG	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## ‘젊은 피’ 피더슨과 시거를 앞세운 다저스의 세대교체작업이 순풍에 돛을 단 듯한 형국이다.
## ‘젊은 피’ <피더슨:PER>과 시거를 앞세운 <다저스:ORG>의 세대교체작업이 순풍에 돛을 단 듯한 형국이다.
‘	‘	SS	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
피	피	NNG	O
’	’	SS	O
_	_	_	O
피더슨	피더슨	NNP	B-PER
과	과	JC	O
_	_	_	O
시거	시거	NNG	O
를	를	JKO	O
_	_	_	O
앞세운	앞세우+ㄴ	VV+ETM	O
_	_	_	O
다저스	다저스	NNP	B-ORG
의	의	JKG	O
_	_	_	O
세대교체	세대교체	NNG	O
작업	작업	NNG	O
이	이	JKS	O
_	_	_	O
순풍	순풍	NNG	O
에	에	JKB	O
_	_	_	O
돛	돛	NNG	O
을	을	JKO	O
_	_	_	O
단	달+ㄴ	VV+ETM	O
_	_	_	O
듯한	듯하+ㄴ	VX+ETM	O
_	_	_	O
형국	형국	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 손건영 스포츠동아 미국통신원
## <손건영:PER> <스포츠동아:ORG> 미국통신원
손건영	손건영	NNP	B-PER
_	_	_	O
스포츠	스포츠	NNG	B-ORG
동아	동아	NNP	I-ORG
_	_	_	O
미국	미국	NNP	O
통신원	통신원	NNG	O

## 12
## 배우 박정아가 모친상을 당했다.
## 배우 <박정아:PER>가 모친상을 당했다.
배우	배우	NNG	O
_	_	_	O
박정아	박정아	NNP	B-PER
가	가	JKS	O
_	_	_	O
모친상	모친상	NNG	O
을	을	JKO	O
_	_	_	O
당	당하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 30일 박정아의 소속사는 보도자료를 통해 박정아의 모친이 별세했다고 전했다.
## <30일:DAT> <박정아:PER>의 소속사는 보도자료를 통해 <박정아:PER>의 모친이 별세했다고 전했다.
30	30	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
박정아	박정아	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
는	는	JX	O
_	_	_	O
보도	보도	NNG	O
자료	자료	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
박정아	박정아	NNP	B-PER
의	의	JKG	O
_	_	_	O
모친	모친	NNG	O
이	이	JKS	O
_	_	_	O
별세	별세하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 소속사는 “박정아는 현재 빈소에서 가족과 함께 깊은 슬픔을 나누고 있다”며 “장례 절차에 대한 모든 내용은 비공개로 진행된다”라고 전했다.
## 소속사는 “<박정아:PER>는 현재 빈소에서 가족과 함께 깊은 슬픔을 나누고 있다”며 “장례 절차에 대한 모든 내용은 비공개로 진행된다”라고 전했다.
소속	소속	NNG	O
사	사	XSN	O
는	는	JX	O
_	_	_	O
“	“	SS	O
박정아	박정아	NNP	B-PER
는	는	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
빈소	빈소	NNG	O
에서	에서	JKB	O
_	_	_	O
가족	가족	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
깊	깊	VA	O
은	은	ETM	O
_	_	_	O
슬픔	슬픔	NNG	O
을	을	JKO	O
_	_	_	O
나누	나누	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
장례	장례	NNG	O
_	_	_	O
절차	절차	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
내용	내용	NNG	O
은	은	JX	O
_	_	_	O
비공개	비공개	NNG	O
로	로	JKB	O
_	_	_	O
진행된다	진행되+ㄴ다	VV+EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## <이하 박정아 소속사 전문>안녕하세요. 젤리피쉬엔터테인먼트입니다.
## <이하 <박정아:PER> 소속사 전문>안녕하세요. <젤리피쉬엔터테인먼트:ORG>입니다.
<	<	SS	O
이하	이하	NNG	O
_	_	_	O
박정아	박정아	NNP	B-PER
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
전문	전문	NNG	O
>	>	SS	O
안녕하	안녕하	VA	O
세요	세요	EF	O
.	.	SF	O
_	_	_	O
젤리	젤리	NNG	B-ORG
피쉬	피쉬	NNG	I-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

