## 1
## 슬리피는 이날 방송에서 개그우먼 이국주를 초대해 묘한 분위기를 형성하며 눈길을 모았다.
## <슬리피:PER>는 이날 방송에서 개그우먼 <이국주:PER>를 초대해 묘한 분위기를 형성하며 눈길을 모았다.
슬리피	슬리피	NNG	B-PER
패키지	패키지	NNG	O
’	’	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
층	층	NNG	O
이	이	JKS	O
_	_	_	O
좋아하	좋아하	VV	O
는	는	ETM	O
_	_	_	O
안전	안전	NNG	O
·	·	SP	O
디자인	디자인	NNG	O
_	_	_	O
사양	사양	NNG	O
과	과	JC	O
_	_	_	O
옵션	옵션	NNG	O
이	이	JKS	O
_	_	_	O
추가	추가되	VV	O
됐	었	EP	O
지만	지만	EC	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
형	형	XSN	O
_	_	_	O
모델	모델	NNG	O
과	과	JC	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
차이	차이	NNG	O
는	는	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 일주일 후 마이크는 숨을 거뒀다.
## <일주일:DUR> 후 <마이크:PER>는 숨을 거뒀다.
일주일	일주일	NNG	B-DUR
_	_	_	O
후	후	NNG	O
_	_	_	O
마이크	마이크	NNG	B-PER
는	는	JX	O
_	_	_	O
숨	숨	NNG	O
을	을	JKO	O
_	_	_	O
거	거두	VV	O
뒀	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘쿨’하다는 표현이 가장 적확해 보이는 고준희의 매력은 영화 ‘나의 절친 악당들’(제작 휠므빠말)에서도 이어진다.
## ‘쿨’하다는 표현이 가장 적확해 보이는 <고준희:PER>의 매력은 영화 ‘<나의 절친 악당들:POH>’(제작 <휠므빠말:ORG>)에서도 이어진다.
‘	‘	SS	O
쿨	쿨	NNG	O
’	’	SS	O
하	하	XSA	O
다는	다는	ETM	O
_	_	_	O
표현	표현	NNG	O
이	이	JKS	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
적확해	적확하+여	VA+EC	O
_	_	_	O
보이	보이	VV	O
는	는	ETM	O
_	_	_	O
고준희	고준희	NNP	B-PER
의	의	JKG	O
_	_	_	O
매력	매력	NNG	O
은	은	JX	O
_	_	_	O
영화	영화	NNG	O
_	_	_	O
‘	‘	SS	O
나	나	NP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
절친	절친	NNG	I-POH
_	_	_	I-POH
악당	악당	NNG	I-POH
들	들	XSN	I-POH
’	’	SS	O
(	(	SS	O
제작	제작	NNG	O
_	_	_	O
휠므빠말	휠므빠말	NNG	B-ORG
)	)	SS	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
이어진다	이어지+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## ● 오클리 청우 오픈챌린지 4월 13일 개막 프로와 아마추어 골퍼가 자유롭게 대결하는 개방형 골프대회가 국내 처음으로 개최된다.
## ● <오클리 청우 오픈챌린지:POH> <4월 13일:DAT> 개막 프로와 아마추어 골퍼가 자유롭게 대결하는 개방형 골프대회가 국내 처음으로 개최된다.
●	●	SW	O
_	_	_	O
오클리	오클리	NNP	B-POH
_	_	_	I-POH
청우	청우	NNP	I-POH
_	_	_	I-POH
오픈	오픈	NNG	I-POH
챌린지	챌린지	NNG	I-POH
_	_	_	O
4	4	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
13	13	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
개막	개막	NNG	O
_	_	_	O
프로	프로	NNG	O
와	와	JC	O
_	_	_	O
아마추어	아마추어	NNG	O
_	_	_	O
골퍼	골퍼	NNG	O
가	가	JKC	O
_	_	_	O
자유롭	자유롭	VA	O
게	게	EC	O
_	_	_	O
대결하	대결하	VV	O
는	는	ETM	O
_	_	_	O
개방형	개방형	NNG	O
_	_	_	O
골프	골프	NNG	O
대회	대회	NNG	O
가	가	JKS	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
개최된다	개최되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 2항이 경제민주화다.
## <2항:NOH>이 경제민주화다.
2	2	SN	B-NOH
항	항	NNG	I-NOH
이	이	JKS	O
_	_	_	O
경제민주화	경제민주화	NNG	O
다	다	NNG	O
.	.	SF	O

## 9
## 합수단은 이 회장의 사기 혐의를 뒷받침할 자료와 함께 수사 과정에서 확인된 이 회장의 재산 내역 등을 방사청에 전달했다.
## <합수단:ORG>은 <이:PER> 회장의 사기 혐의를 뒷받침할 자료와 함께 수사 과정에서 확인된 <이:PER> 회장의 재산 내역 등을 <방사청:ORG>에 전달했다.
합수	합수	NNG	B-ORG
단	단	XSN	I-ORG
은	은	JX	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
사기	사기	NNG	O
_	_	_	O
혐의	혐의	NNG	O
를	를	JKO	O
_	_	_	O
뒷받침할	뒷받침하+ㄹ	VV+ETM	O
_	_	_	O
자료	자료	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
확인된	확인되+ㄴ	VV+ETM	O
_	_	_	O
이	이	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
재산	재산	NNG	O
_	_	_	O
내역	내역	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
방사	방사	NNG	B-ORG
청	청	XSN	I-ORG
에	에	JKB	O
_	_	_	O
전달	전달하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 1단계에서 서류평가로 2배수를 걸러낸 뒤 2단계에서 서류평가 점수와 면접·구술고사 점수를 합해 선발한다.
## <1단계:NOH>에서 서류평가로 <2배수:PNT>를 걸러낸 뒤 <2단계:NOH>에서 서류평가 점수와 면접·구술고사 점수를 합해 선발한다.
1	1	SN	B-NOH
단계	단계	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
서류	서류	NNG	O
평가	평가	NNG	O
로	로	JKB	O
_	_	_	O
2	2	SN	B-PNT
배수	배수	NNG	I-PNT
를	를	JKO	O
_	_	_	O
걸	거르	VV	O
러	어	EC	O
낸	내+ㄴ	VX+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
2	2	SN	B-NOH
단계	단계	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
서류	서류	NNG	O
평가	평가	NNG	O
_	_	_	O
점수	점수	NNG	O
와	와	JKB	O
_	_	_	O
면접	면접	NNG	O
·	·	SP	O
구술	구술	NNG	O
고사	고사	NNG	O
_	_	_	O
점수	점수	NNG	O
를	를	JKO	O
_	_	_	O
합해	합하+여	VV+EC	O
_	_	_	O
선발한다	선발하+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 일반전형과 지역균형이 큰 차이를 보이는 부분은 2단계에서 치러지는 구술고사다.
## 일반전형과 지역균형이 큰 차이를 보이는 부분은 <2단계:NOH>에서 치러지는 구술고사다.
일반	일반	NNG	O
전형	전형	NNG	O
과	과	JC	O
_	_	_	O
지역	지역	NNG	O
균형	균형	NNG	O
이	이	JKS	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
차이	차이	NNG	O
를	를	JKO	O
_	_	_	O
보이	보이	VV	O
는	는	ETM	O
_	_	_	O
부분	부분	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
단계	단계	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
치	치르	VV	O
러	어	EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
구술	구술	NNG	O
고사	고사	NNG	O
다	다	NNG	O
.	.	SF	O

## 12
## 저가 여행을 없애 태국을 찾은 유커의 만족도를 높이면 관광수입이 2017년엔 165억 달러(약 18조원)에 이를 수 있다는 자신감이 깔려 있다.
## 저가 여행을 없애 <태국:LOC>을 찾은 유커의 만족도를 높이면 관광수입이 <2017년:DAT>엔 <165억 달러:MNY>(약 <18조원:MNY>)에 이를 수 있다는 자신감이 깔려 있다.
저가	저가	NNG	O
_	_	_	O
여행	여행	NNG	O
을	을	JKO	O
_	_	_	O
없애	없애+어	VV+EC	O
_	_	_	O
태국	태국	NNP	B-LOC
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
은	은	ETM	O
_	_	_	O
유커	유커	NNG	O
의	의	JKG	O
_	_	_	O
만족도	만족도	NNG	O
를	를	JKO	O
_	_	_	O
높이	높이	VV	O
면	면	EC	O
_	_	_	O
관광	관광	NNG	O
수입	수입	NNG	O
이	이	JKS	O
_	_	_	O
2017	2017	SN	B-DAT
년	년	NNB	I-DAT
엔	에+ㄴ	JKB+JX	O
_	_	_	O
165	165	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
달러	달러	NNB	I-MNY
(	(	SS	O
약	약	MM	O
_	_	_	O
18	18	SN	B-MNY
조	조	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
에	에	JKB	O
_	_	_	O
이를	이르+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
자신감	자신감	NNG	O
이	이	JKS	O
_	_	_	O
깔려	깔리+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 13
## 미국 등 서구 학계의 새로운 연구 경향을 국내 학계에 소개했다.
## <미국:ORG> 등 서구 학계의 새로운 연구 경향을 국내 학계에 소개했다.
미국	미국	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
서구	서구	NNP	O
_	_	_	O
학계	학계	NNG	O
의	의	JKG	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
연구	연구	NNG	O
_	_	_	O
경향	경향	NNG	O
을	을	JKO	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
학계	학계	NNG	O
에	에	JKB	O
_	_	_	O
소개	소개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 김 정책위의장은 “구조조정은 이해 관계자의 책임을 분명히 하고 국민 부담이 최소화돼야 한다는 데 의견을 같이했다”며 “(구조조정 비용 마련에) 재정도 상당한 부분의 역할이 있어야 한다는 점이 강조됐다”고 말했다.
## <김:PER> 정책위의장은 “구조조정은 이해 관계자의 책임을 분명히 하고 국민 부담이 최소화돼야 한다는 데 의견을 같이했다”며 “(구조조정 비용 마련에) 재정도 상당한 부분의 역할이 있어야 한다는 점이 강조됐다”고 말했다.
김	김	NNP	B-PER
_	_	_	O
정책	정책	NNG	O
위	위	NNG	O
의장	의장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
구조	구조	NNG	O
조정	조정	NNG	O
은	은	JX	O
_	_	_	O
이해	이해	NNG	O
_	_	_	O
관계자	관계자	NNG	O
의	의	JKG	O
_	_	_	O
책임	책임	NNG	O
을	을	JKO	O
_	_	_	O
분명히	분명히	MAG	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
국민	국민	NNG	O
_	_	_	O
부담	부담	NNG	O
이	이	JKS	O
_	_	_	O
최소화	최소화	NNG	O
돼야	되+어야	XSV+EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
같이	같이하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
(	(	SS	O
구조	구조	NNG	O
조정	조정	NNG	O
_	_	_	O
비용	비용	NNG	O
_	_	_	O
마련	마련	NNG	O
에	에	JKB	O
)	)	SS	O
_	_	_	O
재정	재정	NNG	O
도	도	JX	O
_	_	_	O
상당한	상당하+ㄴ	VA+ETM	O
_	_	_	O
부분	부분	NNG	O
의	의	JKG	O
_	_	_	O
역할	역할	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
어야	어야	EC	O
_	_	_	O
한다는	하+ㄴ다는	VX+ETM	O
_	_	_	O
점	점	NNG	O
이	이	JKS	O
_	_	_	O
강조	강조되	VV	O
됐	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

