## 1
## 대부분의 경우 부모는 외국 근무·거주 기간 2년 이상에 실제 체류 기간 1년 6개월 이상을 요구한다.
## 대부분의 경우 부모는 외국 근무·거주 기간 <2년:NOH> 이상에 실제 체류 기간 <1년 6개월:NOH> 이상을 요구한다.
대부분	대부분	NNG	O
## 시끄럽게 뛰어다니는 윗집에, 말귀를 알아먹지 못하는 것 같은 고객센터 상담원에게, 굳이 내 앞으로 비집고 들어오는 앞차 운전자에게. 한 취업포털 사이트가 <300여 명:NOH>을 대상으로 한 설문조사에 따르면 직장에서만 <일주일:NOH>에 <1:NOH>, <2일:NOH> 화를 내는 사람의 비중이 <30%:PNT>가 넘고 <3:NOH>, <4일:NOH> 화를 내는 사람도 <20%:PNT>가 넘는다.
시끄럽	시끄럽	VA	O
게	게	EC	O
_	_	_	O
뛰어다니	뛰어다니	VV	O
는	는	ETM	O
_	_	_	O
윗집	윗집	NNG	O
에	에	JKB	O
,	,	SP	O
_	_	_	O
말귀	말귀	NNG	O
를	를	JKO	O
_	_	_	O
알아먹	알아먹	VV	O
지	지	EC	O
_	_	_	O
못하	못하	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
고객	고객	NNG	O
센터	센터	NNG	O
_	_	_	O
상담원	상담원	NNG	O
에게	에게	JKB	O
,	,	SP	O
_	_	_	O
굳이	굳이	MAG	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
비집	비집	VV	O
고	고	EC	O
_	_	_	O
들어오	들어오	VV	O
는	는	ETM	O
_	_	_	O
앞차	앞차	NNG	O
_	_	_	O
운전자	운전자	NNG	O
에게	에게	JKB	O
.	.	SF	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
취업	취업	NNG	O
포털	포털	NNG	O
_	_	_	O
사이트	사이트	NNG	O
가	가	JKS	O
_	_	_	O
300	300	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
설문	설문	NNG	O
조사	조사	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
직장	직장	NNG	O
에서	에서	JKB	O
만	만	JX	O
_	_	_	O
일주일	일주일	NNG	B-NOH
에	에	JKB	O
_	_	_	O
1	1	SN	B-NOH
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
화	화	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
의	의	JKG	O
_	_	_	O
비중	비중	NNG	O
이	이	JKS	O
_	_	_	O
30	30	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
고	고	EC	O
_	_	_	O
3	3	SN	B-NOH
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
일	일	NNB	I-NOH
_	_	_	O
화	화	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
도	도	JX	O
_	_	_	O
20	20	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는다	는다	EF	O
.	.	SF	O

## 5
## 이날 낮까지 강원, 충북 북부, 경북, 울릉도, 독도에는 5㎜ 내외의 비가 내릴 것으로 예상된다.
## 이날 낮까지 <강원:LOC>, <충북:LOC> 북부, <경북:LOC>, <울릉도:LOC>, <독도:LOC>에는 <5㎜:NOH> 내외의 비가 내릴 것으로 예상된다.
이날	이날	NNG	O
_	_	_	O
낮	낮	NNG	O
까지	까지	JX	O
_	_	_	O
강원	강원	NNG	B-LOC
,	,	SP	O
_	_	_	O
충북	충북	NNP	B-LOC
_	_	_	O
북부	북부	NNG	O
,	,	SP	O
_	_	_	O
경북	경북	NNP	B-LOC
,	,	SP	O
_	_	_	O
울릉도	울릉도	NNP	B-LOC
,	,	SP	O
_	_	_	O
독도	독도	NNP	B-LOC
에	에	JKB	O
는	는	JX	O
_	_	_	O
5	5	SN	B-NOH
㎜	㎜	SW	I-NOH
_	_	_	O
내외	내외	NNG	O
의	의	JKG	O
_	_	_	O
비	비	NNG	O
가	가	JKS	O
_	_	_	O
내릴	내리+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 이와 함께 박 교수는 “기초연금 30만원을 균등 지급하겠다고 했는데 재원 조달이 가능한가”라고 질문했다.
## 이와 함께 <박:PER> 교수는 “기초연금 <30만원:MNY>을 균등 지급하겠다고 했는데 재원 조달이 가능한가”라고 질문했다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
기초	기초	NNG	O
연금	연금	NNG	O
_	_	_	O
30	30	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
균등	균등	NNG	O
_	_	_	O
지급하	지급하	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
했	+였	+EP	O
는데	는데	EC	O
_	_	_	O
재원	재원	NNG	O
_	_	_	O
조달	조달	NNG	O
이	이	JKS	O
_	_	_	O
가능한가	가능하+ㄴ가	VA+EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
질문	질문하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 검찰이 26일까지 영수증 확인 작업과정에서 밝혀낸 가짜 영수증에 의한 거액 세금 납세자는 모두 주택건설업체 등 법인체.
## 검찰이 <26일:DAT>까지 영수증 확인 작업과정에서 밝혀낸 가짜 영수증에 의한 거액 세금 납세자는 모두 주택건설업체 등 법인체.
검찰	검찰	NNG	O
이	이	JKS	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
영수증	영수증	NNG	O
_	_	_	O
확인	확인	NNG	O
_	_	_	O
작업	작업	NNG	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
밝혀낸	밝혀내+ㄴ	VV+ETM	O
_	_	_	O
가짜	가짜	NNG	O
_	_	_	O
영수증	영수증	NNG	O
에	에	JKB	O
_	_	_	O
의한	의하+ㄴ	VV+ETM	O
_	_	_	O
거액	거액	NNG	O
_	_	_	O
세금	세금	NNG	O
_	_	_	O
납세자	납세자	NNG	O
는	는	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
주택	주택	NNG	O
건설	건설	NNG	O
업체	업체	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
법인체	법인체	NNG	O
.	.	SF	O

## 8
## 이전에 제천에서 신도시 프리미엄을 경험해보지 못했던 제천시민들은 강저 롯데캐슬에 기대감을 갖고 있다.
## 이전에 <제천:LOC>에서 신도시 프리미엄을 경험해보지 못했던 <제천:LOC>시민들은 강저 <롯데캐슬:ORG>에 기대감을 갖고 있다.
이전	이전	NNG	O
에	에	JKB	O
_	_	_	O
제천	제천	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
신도시	신도시	NNG	O
_	_	_	O
프리미엄	프리미엄	NNG	O
을	을	JKO	O
_	_	_	O
경험해	경험하+여	VV+EC	O
보	보	VX	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
제천	제천	NNG	B-LOC
시민	시민	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
강저	강저	NNG	O
_	_	_	O
롯데캐슬	롯데캐슬	NNP	B-ORG
에	에	JKB	O
_	_	_	O
기대감	기대감	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 그러다 얼마 전 신정환이 싱가포르에서 아이스크림 가게를 운영하고 있다는 소식이 전해졌다.
## 그러다 얼마 전 <신정환:PER>이 <싱가포르:LOC>에서 아이스크림 가게를 운영하고 있다는 소식이 전해졌다.
그러	그러	VV	O
다	다	EC	O
_	_	_	O
얼마	얼마	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
신정환	신정환	NNP	B-PER
이	이	JKS	O
_	_	_	O
싱가포르	싱가포르	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
아이스크림	아이스크림	NNG	O
_	_	_	O
가게	가게	NNG	O
를	를	JKO	O
_	_	_	O
운영하	운영하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다는	다는	ETM	O
_	_	_	O
소식	소식	NNG	O
이	이	JKS	O
_	_	_	O
전해	전하	VV	O
졌	여+지+었	EC+VX+EP	O
다	다	EF	O
.	.	SF	O

## 10
## 붕당정치는 조선시대 선조 때부터 시작이 됐다.
## 붕당정치는 <조선시대:DAT> 선조 때부터 시작이 됐다.
붕당	붕당	NNG	O
정치	정치	NNG	O
는	는	JX	O
_	_	_	O
조선	조선	NNP	B-DAT
시대	시대	NNG	I-DAT
_	_	_	O
선조	선조	NNP	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
시작	시작	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 여기에 일반 티아민 대비 생체 이용률이 8배 높은 활성형 벤포티아민을 적용해 효과를 한층 높였다.
## 여기에 일반 티아민 대비 생체 이용률이 <8배:NOH> 높은 활성형 벤포티아민을 적용해 효과를 한층 높였다.
여기	여기	NP	O
에	에	JKB	O
_	_	_	O
일반	일반	NNG	O
_	_	_	O
티아민	티아민	NNG	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
생체	생체	NNG	O
_	_	_	O
이용률	이용률	NNG	O
이	이	JKS	O
_	_	_	O
8	8	SN	B-NOH
배	배	NNG	I-NOH
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
활성	활성	NNG	O
형	형	XSN	O
_	_	_	O
벤포티아민	벤포티아민	NNG	O
을	을	JKO	O
_	_	_	O
적용해	적용하+여	VV+EC	O
_	_	_	O
효과	효과	NNG	O
를	를	JKO	O
_	_	_	O
한층	한층	MAG	O
_	_	_	O
높	높이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## “대만에서 한류는 2000년 드라마 ‘불꽃’으로 시작됐어요. 대만은 중화권에 한류를 전파한 ‘산파’ 역할을 했죠. ” 그는 “한국 드라마와 한식의 인기가 여전히 높지만, 노래와 춤이 비슷한 아이돌들이 주류인 K팝에 대한 흥미는 이전만 못한 것 같다.
## “<대만:ORG>에서 한류는 <2000년:DAT> 드라마 ‘<불꽃:POH>’으로 시작됐어요. <대만:ORG>은 중화권에 한류를 전파한 ‘산파’ 역할을 했죠. ” 그는 “<한국:LOC> 드라마와 한식의 인기가 여전히 높지만, 노래와 춤이 비슷한 아이돌들이 주류인 K팝에 대한 흥미는 이전만 못한 것 같다.
“	“	SS	O
대만	대만	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
한류	한류	NNG	O
는	는	JX	O
_	_	_	O
2000	2000	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
‘	‘	SS	O
불꽃	불꽃	NNG	B-POH
’	’	SS	O
으로	으로	JKB	O
_	_	_	O
시작	시작되	VV	O
됐	었	EP	O
어요	어요	EF	O
.	.	SF	O
_	_	_	O
대만	대만	NNP	B-ORG
은	은	JX	O
_	_	_	O
중화	중화	NNG	O
권	권	XSN	O
에	에	JKB	O
_	_	_	O
한류	한류	NNG	O
를	를	JKO	O
_	_	_	O
전파한	전파하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
산파	산파	NNG	O
’	’	SS	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
”	”	SS	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
한국	한국	NNP	B-LOC
_	_	_	O
드라마	드라마	NNG	O
와	와	JC	O
_	_	_	O
한식	한식	NNG	O
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
가	가	JKS	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
높	높	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
노래	노래	NNG	O
와	와	JC	O
_	_	_	O
춤	춤	NNG	O
이	이	JKS	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
아이	아이	NNG	O
돌	돌	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
주류	주류	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
K	K	SL	O
팝	팝	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
흥미	흥미	NNG	O
는	는	JX	O
_	_	_	O
이전	이전	NNG	O
만	만	JX	O
_	_	_	O
못한	못하+ㄴ	VA+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
.	.	SF	O

## 13
## ‘태티서 디어산타 공개’걸그룹 소녀시대 티파니가 태연과 서현에게 고마운 마음을 전했다.
## ‘<태티서:ORG> 디어산타 공개’걸그룹 <소녀시대:ORG> <티파니:PER>가 <태연:PER>과 <서현:PER>에게 고마운 마음을 전했다.
‘	‘	SS	O
태티	태티	NNG	B-ORG
서	서	JKB	I-ORG
_	_	_	O
디어	디어	NNG	O
산타	산타	NNP	O
_	_	_	O
공개	공개	NNG	O
’	’	SS	O
걸그룹	걸그룹	NNG	O
_	_	_	O
소녀	소녀	NNG	B-ORG
시대	시대	NNG	I-ORG
_	_	_	O
티파니	티파니	NNP	B-PER
가	가	JKS	O
_	_	_	O
태연	태연	NNG	B-PER
과	과	JC	O
_	_	_	O
서현	서현	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
고마	고맙	VA	O
운	ㄴ	ETM	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 4일 티파니는 자신의 인스타그램에 “촬영하다 잠든 멤버들. 태연아, 서현아 고마워. 너희들이 없었으면 끝내지 못 했을 거야”라는 글과 함께 사진 한 장을 게재했다.
## <4일:DAT> <티파니:PER>는 자신의 <인스타그램:POH>에 “촬영하다 잠든 멤버들. <태연:PER>아, <서현아:PER> 고마워. 너희들이 없었으면 끝내지 못 했을 거야”라는 글과 함께 사진 한 장을 게재했다.
4	4	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
티파니	티파니	NNP	B-PER
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
인스타그램	인스타그램	NNG	B-POH
에	에	JKB	O
_	_	_	O
“	“	SS	O
촬영하	촬영하	VV	O
다	다	EC	O
_	_	_	O
잠든	잠들+ㄴ	VV+ETM	O
_	_	_	O
멤버	멤버	NNG	O
들	들	XSN	O
.	.	SF	O
_	_	_	O
태연	태연	NNG	B-PER
아	아	XSN	O
,	,	SP	O
_	_	_	O
서현아	서현아	NNP	B-PER
_	_	_	O
고마	고맙	VA	O
워	어	EF	O
.	.	SF	O
_	_	_	O
너희	너희	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
으면	으면	EC	O
_	_	_	O
끝내	끝내	VV	O
지	지	EC	O
_	_	_	O
못	못	MAG	O
_	_	_	O
했	+였	+EP	O
을	을	ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
야	야	EF	O
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
사진	사진	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
장	장	NNB	O
을	을	JKO	O
_	_	_	O
게재	게재하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 공개된 사진에는 커다란 트리가 자리 잡은 세트장 소파에서 불편한 자세로 새우잠이 든 태연과 서현의 모습이 담겨있다.
## 공개된 사진에는 커다란 트리가 자리 잡은 세트장 소파에서 불편한 자세로 새우잠이 든 <태연:PER>과 <서현:PER>의 모습이 담겨있다.
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
사진	사진	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
커다란	커다랗+ㄴ	VA+ETM	O
_	_	_	O
트리	트리	NNG	O
가	가	JKS	O
_	_	_	O
자리	자리	NNG	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
세트	세트	NNG	O
장	장	XSN	O
_	_	_	O
소파	소파	NNG	O
에서	에서	JKB	O
_	_	_	O
불편한	불편하+ㄴ	VA+ETM	O
_	_	_	O
자세	자세	NNG	O
로	로	JKB	O
_	_	_	O
새우잠	새우잠	NNG	O
이	이	JKS	O
_	_	_	O
든	들+ㄴ	VV+ETM	O
_	_	_	O
태연	태연	NNG	B-PER
과	과	JC	O
_	_	_	O
서현	서현	NNP	B-PER
의	의	JKG	O
_	_	_	O
모습	모습	NNG	O
이	이	JKS	O
_	_	_	O
담겨	담기+어	VV+EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 16
## 소녀시대 유닛 태티서의 신곡 ‘디어 산타’는 따뜻한 발라드와 R&B 선율이 잘 어우러진 도입부에 이어 경쾌하고 리드미컬한 팝, 스윙재즈 등이 메들리처럼 진행되는 드라마틱한 구성이 인상적인 곡이다.
## <소녀시대:ORG> 유닛 <태티서:ORG>의 신곡 ‘<디어 산타:POH>’는 따뜻한 발라드와 R&B 선율이 잘 어우러진 도입부에 이어 경쾌하고 리드미컬한 팝, 스윙재즈 등이 메들리처럼 진행되는 드라마틱한 구성이 인상적인 곡이다.
소녀	소녀	NNG	B-ORG
시대	시대	NNG	I-ORG
_	_	_	O
유닛	유닛	NNG	O
_	_	_	O
태티서	태티서	NNG	B-ORG
의	의	JKG	O
_	_	_	O
신곡	신곡	NNG	O
_	_	_	O
‘	‘	SS	O
디어	디어	NNG	B-POH
_	_	_	I-POH
산타	산타	NNP	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
따뜻한	따뜻하+ㄴ	VA+ETM	O
_	_	_	O
발라드	발라드	NNG	O
와	와	JC	O
_	_	_	O
R	R	SL	O
&	&	SW	O
B	B	SL	O
_	_	_	O
선율	선율	NNG	O
이	이	JKS	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
어우러진	어우러지+ㄴ	VV+ETM	O
_	_	_	O
도입부	도입부	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
경쾌하	경쾌하	VA	O
고	고	EC	O
_	_	_	O
리드미컬한	리드미컬하+ㄴ	VA+ETM	O
_	_	_	O
팝	팝	NNG	O
,	,	SP	O
_	_	_	O
스윙	스윙	NNG	O
재즈	재즈	NNG	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
메들리	메들리	NNG	O
처럼	처럼	JKB	O
_	_	_	O
진행되	진행되	VV	O
는	는	ETM	O
_	_	_	O
드라마틱	드라마틱	NNG	O
한	하+ㄴ	XSA+ETM	O
_	_	_	O
구성	구성	NNG	O
이	이	JKS	O
_	_	_	O
인상적	인상적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
곡	곡	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 17
## 미국, 일본과 더불어 야구 좀 하는 나라로 꼽히는 한국의 야구 팬 눈으로 따져본다.
## <미국:ORG>, <일본:ORG>과 더불어 야구 좀 하는 나라로 꼽히는 <한국:ORG>의 야구 팬 눈으로 따져본다.
미국	미국	NNP	B-ORG
,	,	SP	O
_	_	_	O
일본	일본	NNP	B-ORG
과	과	JC	O
_	_	_	O
더불	더불	VV	O
어	어	EC	O
_	_	_	O
야구	야구	NNG	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
나라	나라	NNG	O
로	로	JKB	O
_	_	_	O
꼽히	꼽히	VV	O
는	는	ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
야구	야구	NNG	O
_	_	_	O
팬	패+ㄴ	VV+ETM	O
_	_	_	O
눈	눈	NNG	O
으로	으로	JKB	O
_	_	_	O
따져	따지+어	VV+EC	O
본다	보+ㄴ다	VX+EF	O
.	.	SF	O

