## 1
## 해리는 에그시에게 말한다.
## <해리:PER>는 <에그시:PER>에게 말한다.
해리	해리	NNP	B-PER
는	는	ETM	I-POH
_	_	_	I-POH
여자	여자	NNG	I-POH
_	_	_	I-POH
3	3	SN	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 당시 방송에서 가수 신지는 에이미에게 “남자들이 에이미의 통장잔고를 궁금해 할 것 같다”고 질문했다.
## 당시 방송에서 가수 <신지:PER>는 <에이미:PER>에게 “남자들이 <에이미:PER>의 통장잔고를 궁금해 할 것 같다”고 질문했다.
당시	당시	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
신	신	VV	B-PER
지	지	EC	I-PER
는	는	JX	O
_	_	_	O
에이미	에이미	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
남자	남자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
에이미	에이미	NNP	B-PER
의	의	JKG	O
_	_	_	O
통장	통장	NNG	O
잔고	잔고	NNG	O
를	를	JKO	O
_	_	_	O
궁금해	궁금하+여	VA+EC	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
질문	질문하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이에 에이미는 “지금 내 통장엔 430원 뿐이다”고 털어놔 눈길을 모았다.
## 이에 <에이미:PER>는 “지금 내 통장엔 <430원:MNY> 뿐이다”고 털어놔 눈길을 모았다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
에이미	에이미	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
지금	지금	MAG	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
통장	통장	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
430	430	SN	B-MNY
원	원	NNB	I-MNY
_	_	_	O
뿐	뿐	NNB	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
털어놔	털어놓+아	VV+EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 취재진들의 질문에 대사관 측은 "관찰·확인할 것이 있었다"는 한 마디만 남긴채 떠났다.
## 취재진들의 질문에 대사관 측은 "관찰·확인할 것이 있었다"는 <한 마디:NOH>만 남긴채 떠났다.
취재진	취재진	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
질문	질문	NNG	O
에	에	JKB	O
_	_	_	O
대사관	대사관	NNG	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
"	"	SS	O
관찰	관찰	NNG	O
·	·	SP	O
확인할	확인하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
"	"	SS	O
는	는	JX	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
마디	마디	NNG	I-NOH
만	만	JX	O
_	_	_	O
남긴	남기+ㄴ	VV+ETM	O
채	채	NNB	O
_	_	_	O
떠났	떠나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 사건 직후, 북한 대사관은 철통같은 보안 속에 외부차량 및 외부인의 진입을 일체 통제해왔다.
## 사건 직후, <북한 대사관:ORG>은 철통같은 보안 속에 외부차량 및 외부인의 진입을 일체 통제해왔다.
사건	사건	NNG	O
_	_	_	O
직후	직후	NNG	O
,	,	SP	O
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	I-ORG
대사관	대사관	NNG	I-ORG
은	은	JX	O
_	_	_	O
철통같	철통같	VA	O
은	은	ETM	O
_	_	_	O
보안	보안	NNG	O
_	_	_	O
속	속	NNG	O
에	에	JKB	O
_	_	_	O
외부	외부	NNG	O
차량	차량	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
외부	외부	NNG	O
인	인	XSN	O
의	의	JKG	O
_	_	_	O
진입	진입	NNG	O
을	을	JKO	O
_	_	_	O
일체	일체	MAG	O
_	_	_	O
통제해	통제하+어+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 정아 소속사 플레디스 측이 “본인에게 확인한 결과 좋은 마음을 갖고 있는 것은 맞다”고 말했다고 이 매체는 전했다.
## <정아:PER> 소속사 <플레디스:ORG> 측이 “본인에게 확인한 결과 좋은 마음을 갖고 있는 것은 맞다”고 말했다고 이 매체는 전했다.
정아	정아	NNP	B-PER
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
플레	플레	NNP	B-ORG
디스	디스	NNG	I-ORG
_	_	_	O
측	측	NNB	O
이	이	JKS	O
_	_	_	O
“	“	SS	O
본인	본인	NNG	O
에게	에게	JKB	O
_	_	_	O
확인한	확인하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
맞	맞	VV	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## [홍수용의 다른 경제]비선의 존재, 경제 관료들은 진작 알았다
## [<홍수용:PER>의 다른 경제]비선의 존재, 경제 관료들은 진작 알았다
[	[	SS	O
홍수용	홍수용	NNP	B-PER
의	의	JKG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
경제	경제	NNG	O
]	]	SS	O
비선	비선	NNG	O
의	의	JKG	O
_	_	_	O
존재	존재	NNG	O
,	,	SP	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
관료	관료	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
진작	진작	MAG	O
_	_	_	O
알	알	VV	O
았	았	EP	O
다	다	EF	O

## 11
## K리그 팀들이 중국 축구의 질주에 제동을 걸 수 있을지 관심이 쏠리고 있다.
## <K리그:ORG> 팀들이 <중국:ORG> 축구의 질주에 제동을 걸 수 있을지 관심이 쏠리고 있다.
K	K	SL	B-ORG
리그	리그	NNG	I-ORG
_	_	_	O
팀	팀	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
축구	축구	NNG	O
의	의	JKG	O
_	_	_	O
질주	질주	NNG	O
에	에	JKB	O
_	_	_	O
제동	제동	NNG	O
을	을	JKO	O
_	_	_	O
걸	걸+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을지	을지	EC	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
쏠리	쏠리	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 12
## 이를 놓고 폴크스바겐 측이 '자체 판매 중단'이라는 꼼수로 과징금 502억을 '세이브'(save)했다는 지적이 나오고 있다.
## 이를 놓고 <폴크스바겐:ORG> 측이 '자체 판매 중단'이라는 꼼수로 과징금 <502억:MNY>을 '세이브'(save)했다는 지적이 나오고 있다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
놓	놓	VV	O
고	고	EC	O
_	_	_	O
폴크스바겐	폴크스바겐	NNP	B-ORG
_	_	_	O
측	측	NNB	O
이	이	JKS	O
_	_	_	O
'	'	SS	O
자체	자체	NNG	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
중단	중단	NNG	O
'	'	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
꼼수	꼼수	NNG	O
로	로	JKB	O
_	_	_	O
과징금	과징금	NNG	O
_	_	_	O
502	502	SN	B-MNY
억	억	NR	I-MNY
을	을	JKO	O
_	_	_	O
'	'	SS	O
세이브	세이브	NNG	O
'	'	SS	O
(	(	SS	O
save	save	SL	O
)	)+하	SS+XSV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
지적	지적	NNG	O
이	이	JKS	O
_	_	_	O
나오	나오	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

