## 1
## ‘메이메이더’는 중국 진출을 희망하는 한국의 제조-유통 사업자와 중국인 바이어 회원들을 연결시키는 플랫폼으로, 경쟁력 있는 우수 상품과 콘텐츠를 초기 비용 없이 중국시장에 브랜딩과 판매를 지원하는 회원제 B2B 플랫폼이다.
## ‘<메이메이더:ORG>’는 <중국:ORG> 진출을 희망하는 <한국:ORG>의 제조-유통 사업자와 중국인 바이어 회원들을 연결시키는 플랫폼으로, 경쟁력 있는 우수 상품과 콘텐츠를 초기 비용 없이 <중국:ORG>시장에 브랜딩과 판매를 지원하는 회원제 B2B 플랫폼이다.
‘	‘	SS	O
배포하	배포하	VV	O
는	는	ETM	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
화장품	화장품	NNG	O
_	_	_	O
유통	유통	NNG	O
회사	회사	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 3
## 지난 3세대를 거치면서 현재까지 성장할 수 있었던 배경에는, 그리고 또 앞으로 성장해 나갈 잠재력의 밑바탕에는 모두 끊임없는 연구개발(R&D)이 있다는 것이다.
## 지난 <3세대:NOH>를 거치면서 현재까지 성장할 수 있었던 배경에는, 그리고 또 앞으로 성장해 나갈 잠재력의 밑바탕에는 모두 끊임없는 연구개발(R&D)이 있다는 것이다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-NOH
세대	세대	NNG	I-NOH
를	를	JKO	O
_	_	_	O
거치	거치	VV	O
면서	면서	EC	O
_	_	_	O
현재	현재	NNG	O
까지	까지	JX	O
_	_	_	O
성장할	성장하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
배경	배경	NNG	O
에	에	JKB	O
는	는	JX	O
,	,	SP	O
_	_	_	O
그리고	그리고	MAJ	O
_	_	_	O
또	또	MAG	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
성장해	성장하+여	VV+EC	O
_	_	_	O
나갈	나가+ㄹ	VX+ETM	O
_	_	_	O
잠재력	잠재력	NNG	O
의	의	JKG	O
_	_	_	O
밑바탕	밑바탕	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
끊임없	끊임없	VA	O
는	는	ETM	O
_	_	_	O
연구	연구	NNG	O
개발	개발	NNG	O
(	(	SS	O
R	R	SL	O
&	&	SW	O
D	D	SL	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## PO 3차전서 인삼公에 3-1 승
## PO <3차전:NOH>서 <인삼公:ORG>에 <3-1:NOH> 승
PO	PO	SL	O
_	_	_	O
3	3	SN	B-NOH
차	차	NNB	I-NOH
전	전	XSN	I-NOH
서	서	JKB	O
_	_	_	O
인삼	인삼	NNG	B-ORG
公	公	SH	I-ORG
에	에	JKB	O
_	_	_	O
3	3	SN	B-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
_	_	_	O
승	승	NNB	O

## 5
## 스스로의 정치 성향을 보수라 밝힌 이들 중 절반(50.4)도 헌재의 탄핵안 인용에 찬성 의사를 보냈다.
## 스스로의 정치 성향을 보수라 밝힌 이들 중 <절반:PNT>(<50.4:PNT>)도 헌재의 탄핵안 인용에 찬성 의사를 보냈다.
스스로	스스로	NNG	O
의	의	JKG	O
_	_	_	O
정치	정치	NNG	O
_	_	_	O
성향	성향	NNG	O
을	을	JKO	O
_	_	_	O
보수	보수+이	NNG+VCP	O
라	라	EC	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
_	_	_	O
중	중	NNB	O
_	_	_	O
절반	절반	NNG	B-PNT
(	(	SS	O
50.4	50.4	SN	B-PNT
)	)	SS	O
도	도	JX	O
_	_	_	O
헌재	헌재	NNG	O
의	의	JKG	O
_	_	_	O
탄핵	탄핵	NNG	O
안	안	NNG	O
_	_	_	O
인용	인용	NNG	O
에	에	JKB	O
_	_	_	O
찬성	찬성	NNG	O
_	_	_	O
의사	의사	NNG	O
를	를	JKO	O
_	_	_	O
보냈	보내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 박 대통령의 헌재 탄핵안 인용에 반대하는 이들의 비율이 상대적으로 높게 나타난 쪽은 60대 이상 장년층인 것으로 집계됐다.
## <박:PER> 대통령의 헌재 탄핵안 인용에 반대하는 이들의 비율이 상대적으로 높게 나타난 쪽은 <60대:NOH> 이상 장년층인 것으로 집계됐다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
헌재	헌재	NNG	O
_	_	_	O
탄핵	탄핵	NNG	O
안	안	NNG	O
_	_	_	O
인용	인용	NNG	O
에	에	JKB	O
_	_	_	O
반대하	반대하	VV	O
는	는	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
비율	비율	NNG	O
이	이	JKS	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
높	높	VA	O
게	게	EC	O
_	_	_	O
나타난	나타나+ㄴ	VV+ETM	O
_	_	_	O
쪽	쪽	NNB	O
은	은	JX	O
_	_	_	O
60	60	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
장년	장년	NNG	O
층	층	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
집계	집계되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## [베이스볼 비키니]신문이 사랑한 야구선수, 오승환 박병호 니퍼트…
## [베이스볼 비키니]신문이 사랑한 야구선수, <오승환:PER> <박병호:PER> <니퍼트:PER>…
[	[	SS	O
베이스볼	베이스볼	NNG	O
_	_	_	O
비키니	비키니	NNG	O
]	]	SS	O
신문	신문	NNG	O
이	이	JKS	O
_	_	_	O
사랑한	사랑하+ㄴ	VV+ETM	O
_	_	_	O
야구	야구	NNG	O
선수	선수	NNG	O
,	,	SP	O
_	_	_	O
오승환	오승환	NNP	B-PER
_	_	_	O
박병호	박병호	NNP	B-PER
_	_	_	O
니퍼트	니퍼트	NNP	B-PER
…	…	SE	O

## 8
## [사진] 소형 드론, 백악관 들이박고 추락
## [사진] 소형 드론, <백악관:LOC> 들이박고 추락
[	[	SS	O
사진	사진	NNG	O
]	]	SS	O
_	_	_	O
소형	소형	NNG	O
_	_	_	O
드론	드론	NNG	O
,	,	SP	O
_	_	_	O
백악관	백악관	NNP	B-LOC
_	_	_	O
들이박	들이박	VV	O
고	고	EC	O
_	_	_	O
추락	추락	NNG	O

## 9
## 박샤론, 득남하다…벌써 둘째? "애 둘 엄마"
## <박샤론:PER>, 득남하다…벌써 둘째? "애 둘 엄마"
박	박	NNP	B-PER
샤론	샤론	NNP	I-PER
,	,	SP	O
_	_	_	O
득남하	득남하	VV	O
다	다	EC	O
…	…	SE	O
벌써	벌써	MAG	O
_	_	_	O
둘째	둘째	NR	O
?	?	SF	O
_	_	_	O
"	"	SS	O
애	애	NNG	O
_	_	_	O
둘	둘	NR	O
_	_	_	O
엄마	엄마	NNG	O
"	"	SS	O

## 10
## 이날 공연은 중국 최대 인터넷 방송 와이와이(YY)를 통해 중국 전역에 생중계됐다.
## 이날 공연은 <중국:ORG> 최대 인터넷 방송 <와이와이:ORG>(<YY:ORG>)를 통해 <중국:ORG> 전역에 생중계됐다.
이날	이날	NNG	O
_	_	_	O
공연	공연	NNG	O
은	은	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
최대	최대	NNG	O
_	_	_	O
인터넷	인터넷	NNG	O
_	_	_	O
방송	방송	NNG	O
_	_	_	O
와이	와이	NNG	B-ORG
와이	와이	NNG	I-ORG
(	(	SS	O
YY	YY	SL	B-ORG
)	)	SS	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
전역	전역	NNG	O
에	에	JKB	O
_	_	_	O
생	생	XPN	O
중계	중계되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## A 씨의 동료 직원 50여 명 중에는 결핵 환자가 없는 것으로 확인됐다.
## <A:PER> 씨의 동료 직원 <50여 명:NOH> 중에는 결핵 환자가 없는 것으로 확인됐다.
A	A	SL	B-PER
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
동료	동료	NNG	O
_	_	_	O
직원	직원	NNG	O
_	_	_	O
50	50	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
중	중	NNB	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
결핵	결핵	NNG	O
_	_	_	O
환자	환자	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
확인	확인되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## [아파트 미리보기]세종 2생활권 마지막 분양단지 ‘눈길’
## [아파트 미리보기]<세종:LOC> <2생활권:NOH> 마지막 분양단지 ‘눈길’
[	[	SS	O
아파트	아파트	NNG	O
_	_	_	O
미리	미리	MAG	O
보	보	VV	O
기	기	ETN	O
]	]	SS	O
세종	세종	NNP	B-LOC
_	_	_	O
2	2	SN	B-NOH
생활권	생활권	NNG	I-NOH
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
분양	분양	NNG	O
단지	단지	NNG	O
_	_	_	O
‘	‘	SS	O
눈길	눈길	NNG	O
’	’	SS	O

## 13
## 한국기업들이 강세를 보인 모바일 부문에서도 가장 눈길을 끈 것은 정작 외산게임이었다.
## <한국:ORG>기업들이 강세를 보인 모바일 부문에서도 가장 눈길을 끈 것은 정작 외산게임이었다.
한국	한국	NNP	B-ORG
기업	기업	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
강세	강세	NNG	O
를	를	JKO	O
_	_	_	O
보인	보이+ㄴ	VV+ETM	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
부문	부문	NNG	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끈	끌+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
정작	정작	NNG	O
_	_	_	O
외산	외산	NNG	O
게임	게임	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 누리과정(만 3~5세 무상보육) 예산을 둘러싼 정부와 시·도 교육감의 갈등이 격화되면서 보육대란이 현실화할 우려가 커졌다.
## <누리과정:POH>(만 <3:NOH>~<5세:NOH> 무상보육) 예산을 둘러싼 정부와 시·도 교육감의 갈등이 격화되면서 보육대란이 현실화할 우려가 커졌다.
누리	누리	NNG	B-POH
과정	과정	NNG	I-POH
(	(	SS	O
만	만	JX	O
_	_	_	O
3	3	SN	B-NOH
~	~	SO	O
5	5	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
무상	무상	NNG	O
보육	보육	NNG	O
)	)	SS	O
_	_	_	O
예산	예산	NNG	O
을	을	JKO	O
_	_	_	O
둘러싼	둘러싸+ㄴ	VV+ETM	O
_	_	_	O
정부	정부	NNG	O
와	와	JC	O
_	_	_	O
시	시	NNG	O
·	·	SP	O
도	도	NNG	O
_	_	_	O
교육감	교육감	NNG	O
의	의	JKG	O
_	_	_	O
갈등	갈등	NNG	O
이	이	JKS	O
_	_	_	O
격화되	격화되	VV	O
면서	면서	EC	O
_	_	_	O
보육	보육	NNG	O
대란	대란	NNG	O
이	이	JKS	O
_	_	_	O
현실화할	현실화하+ㄹ	VV+ETM	O
_	_	_	O
우려	우려	NNG	O
가	가	JKS	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

