## 1
## 입국이 금지된 국제테러분자는 1만738명이고 우리 국민 중에서도 10명이 인터넷을 통해 과격 이슬람무장단체인 이슬람국가(IS)를 공개 지지한 것으로 확인됐다.
## 입국이 금지된 국제테러분자는 <1만738명:NOH>이고 우리 국민 중에서도 <10명:NOH>이 인터넷을 통해 과격 이슬람무장단체인 <이슬람국가:ORG>(<IS:ORG>)를 공개 지지한 것으로 확인됐다.
입국	입국	NNG	O
투쟁	투쟁	NNG	O
을	을	JKO	O
_	_	_	O
벌이	벌이	VV	O
다	다	EF	O

## 3
## 하지만 김 교수는 “유독 우리나라에서 식품첨가물에 대한 불신과 불안감이 크다”며 “기업들의 무분별한 무첨가 마케팅 때문”이라고 설명했다.
## 하지만 <김:PER> 교수는 “유독 우리나라에서 식품첨가물에 대한 불신과 불안감이 크다”며 “기업들의 무분별한 무첨가 마케팅 때문”이라고 설명했다.
하지만	하지만	MAJ	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
유독	유독	MAG	O
_	_	_	O
우리나라	우리나라	NNG	O
에서	에서	JKB	O
_	_	_	O
식품	식품	NNG	O
첨가물	첨가물	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
불신	불신	NNG	O
과	과	JC	O
_	_	_	O
불안감	불안감	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
기업	기업	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
무분별한	무분별하+ㄴ	VA+ETM	O
_	_	_	O
무	무	XPN	O
첨가	첨가	NNG	O
_	_	_	O
마케팅	마케팅	NNG	O
_	_	_	O
때문	때문	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 김 씨처럼 많은 돈을 버는 건 쉽지 않았다.
## <김:PER> 씨처럼 많은 돈을 버는 건 쉽지 않았다.
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
처럼	처럼	JKB	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
버	벌	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 달리는 내내 ‘내가 왜 사서 이 고생을 하나. 두 번 다시는 안 해야지. 여기서 포기할까’라는 생각을 끊임없이 했던 게 사실입니다.
## 달리는 내내 ‘내가 왜 사서 이 고생을 하나. <두 번:NOH> 다시는 안 해야지. 여기서 포기할까’라는 생각을 끊임없이 했던 게 사실입니다.
달리	달리	VV	O
는	는	ETM	O
_	_	_	O
내내	내내	MAG	O
_	_	_	O
‘	‘	SS	O
내	내	NP	O
가	가	JKS	O
_	_	_	O
왜	왜	MAG	O
_	_	_	O
사서	사+아서	VV+EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
고생	고생	NNG	O
을	을	JKO	O
_	_	_	O
하나	하나	NNP	O
.	.	SF	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
다시	다시	MAG	O
는	는	JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
해야지	하+여야지	VV+EF	O
.	.	SF	O
_	_	_	O
여기	여기	NP	O
서	서	JKB	O
_	_	_	O
포기할까	포기하+ㄹ까	VV+EF	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
생각	생각	NNG	O
을	을	JKO	O
_	_	_	O
끊임없이	끊임없이	MAG	O
_	_	_	O
했	+였	+EP	O
던	던	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
사실	사실	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 6
## 상금이 3000만원으로 정부가 주는 ‘한국과학상’과 같다.
## 상금이 <3000만원:MNY>으로 정부가 주는 ‘<한국과학상:POH>’과 같다.
상금	상금	NNG	O
이	이	JKS	O
_	_	_	O
3000	3000	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
주	주	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
한국	한국	NNP	B-POH
과학	과학	NNG	I-POH
상	상	NNG	I-POH
’	’	SS	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 이윤석, 말 잘못해서 하차 요구까지?… “야당은 전라도당 느낌” 발언 논란이윤석의 발언이 논란에 휩싸였다.
## <이윤석:PER>, 말 잘못해서 하차 요구까지?… “야당은 전라도당 느낌” 발언 논란<이윤석:PER>의 발언이 논란에 휩싸였다.
이윤석	이윤석	NNP	B-PER
,	,	SP	O
_	_	_	O
말	말	NNG	O
_	_	_	O
잘못해서	잘못하+여서	VV+EC	O
_	_	_	O
하차	하차	NNG	O
_	_	_	O
요구	요구	NNG	O
까지	까지	JX	O
?	?	SF	O
…	…	SE	O
_	_	_	O
“	“	SS	O
야당	야당	NNG	O
은	은	JX	O
_	_	_	O
전라도	전라도	NNP	O
당	당	NNG	O
_	_	_	O
느낌	느낌	NNG	O
”	”	SS	O
_	_	_	O
발언	발언	NNG	O
_	_	_	O
논란	논란	NNG	O
이윤석	이윤석	NNP	B-PER
의	의	JKG	O
_	_	_	O
발언	발언	NNG	O
이	이	JKS	O
_	_	_	O
논란	논란	NNG	O
에	에	JKB	O
_	_	_	O
휩싸	휩싸이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 이윤석은 지난 9일 TV조선 ‘강적들’에 출연해 야당인 새정치민주연합의 내부 갈등에 대해 이야기하던 중 “야당은 전라도당이나 친노당이라는 느낌이 있다.
## <이윤석:PER>은 지난 <9일:DAT> <TV조선:ORG> ‘<강적들:POH>’에 출연해 야당인 <새정치민주연합:ORG>의 내부 갈등에 대해 이야기하던 중 “야당은 전라도당이나 친노당이라는 느낌이 있다.
이윤석	이윤석	NNP	B-PER
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
TV	TV	SL	B-ORG
조선	조선	NNP	I-ORG
_	_	_	O
‘	‘	SS	O
강적	강적	NNG	B-POH
들	들	XSN	I-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
야당	야당	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
새정치민주연합	새정치민주연합	NNP	B-ORG
의	의	JKG	O
_	_	_	O
내부	내부	NNG	O
_	_	_	O
갈등	갈등	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
이야기하	이야기하	VV	O
던	던	ETM	O
_	_	_	O
중	중	NNB	O
_	_	_	O
“	“	SS	O
야당	야당	NNG	O
은	은	JX	O
_	_	_	O
전라도	전라도	NNP	O
당	당	NNG	O
이나	이나	JC	O
_	_	_	O
친	친	XPN	O
노	노	NNP	O
당	당	XSN	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
느낌	느낌	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 한강에 올 함정은 1900t급 호위함인 ‘서울함’(사진) 1척과 150t급 고속정 2척이다.
## <한강:LOC>에 올 함정은 <1900t:NOH>급 호위함인 ‘<서울함:POH>’(사진) <1척:NOH>과 <150t:NOH>급 고속정 <2척:NOH>이다.
한강	한강	NNP	B-LOC
에	에	JKB	O
_	_	_	O
올	오+ㄹ	VV+ETM	O
_	_	_	O
함정	함정	NNG	O
은	은	JX	O
_	_	_	O
1900	1900	SN	B-NOH
t	t	SL	I-NOH
급	급	NNG	O
_	_	_	O
호위함	호위함	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
서울	서울	NNP	B-POH
함	하+ㅁ	VX+ETN	I-POH
’	’	SS	O
(	(	SS	O
사진	사진	NNG	O
)	)	SS	O
_	_	_	O
1	1	SN	B-NOH
척	척	NNB	I-NOH
과	과	JC	O
_	_	_	O
150	150	SN	B-NOH
t	t	SL	I-NOH
급	급	NNG	O
_	_	_	O
고속정	고속정	NNG	O
_	_	_	O
2	2	SN	B-NOH
척	척	NNB	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 이 병원 박병모 병원장은 “약해진 허리를 보상하기 위해 다른 신체 부위가 혹사당하면서 문제가 발생하고 있다”며 몸의 균형을 잡아주기 위한 추나요법을 권했다.
## 이 병원 <박병모:PER> 병원장은 “약해진 허리를 보상하기 위해 다른 신체 부위가 혹사당하면서 문제가 발생하고 있다”며 몸의 균형을 잡아주기 위한 추나요법을 권했다.
이	이	MM	O
_	_	_	O
병원	병원	NNG	O
_	_	_	O
박병모	박병모	NNP	B-PER
_	_	_	O
병원장	병원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
약해	약하+여	VA+EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
허리	허리	NNG	O
를	를	JKO	O
_	_	_	O
보상하	보상하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
신체	신체	NNG	O
_	_	_	O
부위	부위	NNG	O
가	가	JKS	O
_	_	_	O
혹사	혹사	NNG	O
당하	당하	XSV	O
면서	면서	EC	O
_	_	_	O
문제	문제	NNG	O
가	가	JKS	O
_	_	_	O
발생하	발생하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
몸	몸	NNG	O
의	의	JKG	O
_	_	_	O
균형	균형	NNG	O
을	을	JKO	O
_	_	_	O
잡	잡	VV	O
아	아	EC	O
주	주	VX	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
추나요법	추나요법	NNG	O
을	을	JKO	O
_	_	_	O
권	권하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 각론을 보면 재벌의 준조세 16조 4,000억원을 없앤다고 인정했다.
## 각론을 보면 재벌의 준조세 <16조 4,000억원:MNY>을 없앤다고 인정했다.
각론	각론	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
면	면	EC	O
_	_	_	O
재벌	재벌	NNG	O
의	의	JKG	O
_	_	_	O
준조세	준조세	NNG	O
_	_	_	O
16	16	SN	B-MNY
조	조	NNG	I-MNY
_	_	_	I-MNY
4,000	4,000	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
없앤다고	없애+ㄴ다고	VV+EC	O
_	_	_	O
인정	인정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## [부고]김중한 모친상
## [부고]<김중한:PER> 모친상
[	[	SS	O
부고	부고	NNG	O
]	]	SS	O
김중한	김중한	NNP	B-PER
_	_	_	O
모친상	모친상	NNG	O

## 13
## 한승연 vs 신수지, 영어 발음 들어보니? “토속적” 평가받은 사람 누구?학교 다녀오겠습니다
## <한승연:PER> vs <신수지:PER>, 영어 발음 들어보니? “토속적” 평가받은 사람 누구?학교 다녀오겠습니다
한승연	한승연	NNP	B-PER
_	_	_	O
vs	vs	SL	O
_	_	_	O
신수지	신수지	NNP	B-PER
,	,	SP	O
_	_	_	O
영어	영어	NNP	O
_	_	_	O
발음	발음	NNG	O
_	_	_	O
들	듣	VV	O
어	어	EC	O
보	보	VX	O
니	니	EF	O
?	?	SF	O
_	_	_	O
“	“	SS	O
토속적	토속적	NNG	O
”	”	SS	O
_	_	_	O
평가	평가	NNG	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
_	_	_	O
누구	누구	NP	O
?	?	SF	O
학교	학교	NNG	O
_	_	_	O
다녀오	다녀오	VV	O
겠	겠	EP	O
습니다	습니다	EF	O

