## 1
## 부산시는 “부산∼창원 간 민자도로 중 3단계 구간인 율하∼녹산영업소∼미음∼세산나들목을 잇는 5.48km를 개통한다”고 3일 밝혔다.
## <부산시:ORG>는 “<부산:LOC>∼<창원:LOC> 간 민자도로 중 <3단계:NOH> 구간인 <율하:LOC>∼<녹산영업소:LOC>∼<미음:LOC>∼<세산나들목:LOC>을 잇는 <5.48km:NOH>를 개통한다”고 <3일:DAT> 밝혔다.
부산시	부산시	NNP	B-ORG
요금	요금	NNG	I-POH
제	제	XSN	I-POH
’	’	SS	O
로	로	JKB	O
_	_	_	O
변경한	변경하+ㄴ	VV+ETM	O
_	_	_	O
고객	고객	NNG	O
_	_	_	O
1,000	1,000	SN	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
설문	설문	NNG	O
_	_	_	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
,	,	SP	O
_	_	_	O
요금	요금	NNG	O
제	제	XSN	O
를	를	JKO	O
_	_	_	O
변경한	변경하+ㄴ	VV+ETM	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
이유	이유	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
유	유	NNP	O
·	·	SP	O
무선	무선	NNG	O
_	_	_	O
무제한	무제한	NNG	O
_	_	_	O
통화	통화	NNG	O
(	(	SS	O
51	51	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
’	’	SS	O
로	로	JKB	O
_	_	_	O
나타났	나타나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 7월부터 전업주부의 0~2세 영아 자녀는 어린이집을 하루 7시간 가량만 무상으로 이용할 수 있게 된다.
## <7월:DAT>부터 전업주부의 <0:NOH>~<2세:NOH> 영아 자녀는 어린이집을 하루 <7시간:DUR> 가량만 무상으로 이용할 수 있게 된다.
7	7	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
전업	전업	NNG	O
주부	주부	NNG	O
의	의	JKG	O
_	_	_	O
0	0	SN	B-NOH
~	~	SO	O
2	2	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
영아	영아	NNG	O
_	_	_	O
자녀	자녀	NNG	O
는	는	JX	O
_	_	_	O
어린이집	어린이집	NNG	O
을	을	JKO	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
7	7	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
가량	가량	XSN	O
만	만	JX	O
_	_	_	O
무상	무상	NNG	O
으로	으로	JKB	O
_	_	_	O
이용할	이용하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 화장품보다 싼 가격으로 더 오래, 확실한 주름 개선 효과를 내는 만큼 ‘가성비(가격 대비 성능)가 뛰어나다’는 이유에서다.
## 화장품보다 싼 가격으로 더 오래, 확실한 주름 개선 효과를 내는 만큼 ‘<가성비:POH>(가격 대비 성능)가 뛰어나다’는 이유에서다.
화장품	화장품	NNG	O
보다	보다	JKB	O
_	_	_	O
싼	싸+ㄴ	VA+ETM	O
_	_	_	O
가격	가격	NNG	O
으로	으로	JKB	O
_	_	_	O
더	더	MAG	O
_	_	_	O
오래	오래	MAG	O
,	,	SP	O
_	_	_	O
확실한	확실하+ㄴ	VA+ETM	O
_	_	_	O
주름	주름	NNG	O
_	_	_	O
개선	개선	NNG	O
_	_	_	O
효과	효과	NNG	O
를	를	JKO	O
_	_	_	O
내	내	VV	O
는	는	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
‘	‘	SS	O
가성비	가성비	NNG	B-POH
(	(	SS	O
가격	가격	NNG	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
성능	성능	NNG	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
뛰어나	뛰어나	VA	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
이유	이유	NNG	O
에서	에서+이	JKB+VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 보톡스가 국내에 도입된 지 16년을 넘어서며 안티에이징 시술의 대모 격으로 여겨지는 추세다.
## <보톡스:POH>가 국내에 도입된 지 <16년:NOH>을 넘어서며 안티에이징 시술의 대모 격으로 여겨지는 추세다.
보톡스	보톡스	NNG	B-POH
가	가	JKS	O
_	_	_	O
국내	국내	NNG	O
에	에	JKB	O
_	_	_	O
도입된	도입되+ㄴ	VV+ETM	O
_	_	_	O
지	지	NNB	O
_	_	_	O
16	16	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
넘어서	넘어서	VV	O
며	며	EC	O
_	_	_	O
안티에이징	안티에이징	NNG	O
_	_	_	O
시술	시술	NNG	O
의	의	JKG	O
_	_	_	O
대모	대모	NNG	O
_	_	_	O
격	격	NNB	O
으로	으로	JKB	O
_	_	_	O
여겨	여기+어	VV+EC	O
지	지	VX	O
는	는	ETM	O
_	_	_	O
추세	추세+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 두 번째로 살해된 고토 겐지(後藤健二) 씨는 전화(戰火) 아래 고통받는 서민과 어린이들을 보도해 온 저널리스트다.
## 두 번째로 살해된 <고토 겐지:PER>(<後藤健二:PER>) 씨는 전화(戰火) 아래 고통받는 서민과 어린이들을 보도해 온 저널리스트다.
두	두	MM	O
_	_	_	O
번째	번째	NNB	O
로	로	JKB	O
_	_	_	O
살해된	살해되+ㄴ	VV+ETM	O
_	_	_	O
고토	고토	NNP	B-PER
_	_	_	I-PER
겐지	겐지	NNP	I-PER
(	(	SS	O
後藤健二	後藤健二	SH	B-PER
)	)	SS	O
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
전화	전화	NNG	O
(	(	SS	O
戰火	戰火	SH	O
)	)	SS	O
_	_	_	O
아래	아래	NNG	O
_	_	_	O
고통	고통	NNG	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
서민	서민	NNG	O
과	과	JC	O
_	_	_	O
어린이	어린이	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
보도해	보도하+여	VV+EC	O
_	_	_	O
온	온	NNG	O
_	_	_	O
저널리스트	저널리스트	NNG	O
다	다	NNG	O
.	.	SF	O

## 8
## 그가 부임한 후 서울시극단 작품에 대한 주목도가 높아지고 관객들의 호응도 커졌다.
## 그가 부임한 후 <서울시극단:ORG> 작품에 대한 주목도가 높아지고 관객들의 호응도 커졌다.
그	그	NP	O
가	가	JKS	O
_	_	_	O
부임한	부임하+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
서울시	서울시	NNP	B-ORG
극단	극단	NNG	I-ORG
_	_	_	O
작품	작품	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
주목도	주목도	NNG	O
가	가	JKS	O
_	_	_	O
높아지	높아지	VV	O
고	고	EC	O
_	_	_	O
관객	관객	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
호응	호응	NNG	O
도	도	JX	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 앞서 재규어는 지난해 ‘파리 모터쇼’에서 XE의 고성능 버전인 ‘XE S’를 포함해 총 5가지 세부 모델을 선보였다.
## 앞서 <재규어:ORG>는 지난해 ‘<파리:LOC> 모터쇼’에서 <XE:POH>의 고성능 버전인 ‘<XE S:POH>’를 포함해 총 <5가지:NOH> 세부 모델을 선보였다.
앞서	앞서	MAG	O
_	_	_	O
재규어	재규어	NNG	B-ORG
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
‘	‘	SS	O
파리	파리	NNP	B-LOC
_	_	_	O
모터쇼	모터쇼	NNG	O
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
XE	XE	SL	B-POH
의	의	JKG	O
_	_	_	O
고성능	고성능	NNG	O
_	_	_	O
버전	버전	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
XE	XE	SL	B-POH
_	_	_	I-POH
S	S	SL	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
포함해	포함하+여	VV+EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
5	5	SN	B-NOH
가지	가지	NNB	I-NOH
_	_	_	O
세부	세부	NNG	O
_	_	_	O
모델	모델	NNG	O
을	을	JKO	O
_	_	_	O
선보	선보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## ‘꾸준함의 대명사’ 삼성 주희정(39)이 프로농구 첫 1000경기 출전이라는 대기록을 세웠다.
## ‘꾸준함의 대명사’ <삼성:ORG> <주희정:PER>(<39:NOH>)이 프로농구 첫 <1000경기:NOH> 출전이라는 대기록을 세웠다.
‘	‘	SS	O
꾸준함	꾸준하+ㅁ	VA+ETN	O
의	의	JKG	O
_	_	_	O
대명사	대명사	NNG	O
’	’	SS	O
_	_	_	O
삼성	삼성	NNP	B-ORG
_	_	_	O
주희정	주희정	NNP	B-PER
(	(	SS	O
39	39	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
프로	프로	NNG	O
농구	농구	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
1000	1000	SN	B-NOH
경기	경기	NNG	I-NOH
_	_	_	O
출전	출전	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
대기록	대기록	NNG	O
을	을	JKO	O
_	_	_	O
세	세우	VV	O
웠	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 송영길, ‘광주 이순신 탄생지’ 반기문 발언 논란에 “박근혜와 역사공부 해야할 듯”
## <송영길:PER>, ‘<광주:LOC> <이순신:PER> 탄생지’ <반기문:PER> 발언 논란에 “<박근혜:PER>와 역사공부 해야할 듯”
송영길	송영길	NNP	B-PER
,	,	SP	O
_	_	_	O
‘	‘	SS	O
광주	광주	NNP	B-LOC
_	_	_	O
이순신	이순신	NNP	B-PER
_	_	_	O
탄생지	탄생지	NNG	O
’	’	SS	O
_	_	_	O
반기문	반기문	NNP	B-PER
_	_	_	O
발언	발언	NNG	O
_	_	_	O
논란	논란	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
박근혜	박근혜	NNP	B-PER
와	와	JC	O
_	_	_	O
역사	역사	NNG	O
공부	공부	NNG	O
_	_	_	O
해야	하+여야	VV+EC	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
듯	듯	NNB	O
”	”	SS	O

## 12
## 인촌기념회는 일제강점기 민족교육운동을 벌인 인촌 김성수 선생의 뜻을 기리기 위해 1967년부터 지금까지 대학생과 고교생 등 3700여 명에게 장학금을 지급해 왔다.
## <인촌기념회:ORG>는 <일제강점기:DUR> 민족교육운동을 벌인 인촌 <김성수:PER> 선생의 뜻을 기리기 위해 <1967년:DAT>부터 지금까지 대학생과 고교생 등 <3700여 명:NOH>에게 장학금을 지급해 왔다.
인촌	인촌	NNP	B-ORG
기념회	기념회	NNG	I-ORG
는	는	JX	O
_	_	_	O
일제	일제	NNG	B-DUR
강점기	강점기	NNG	I-DUR
_	_	_	O
민족	민족	NNG	O
교육	교육	NNG	O
운동	운동	NNG	O
을	을	JKO	O
_	_	_	O
벌인	벌이+ㄴ	VV+ETM	O
_	_	_	O
인촌	인촌	NNP	O
_	_	_	O
김성수	김성수	NNP	B-PER
_	_	_	O
선생	선생	NNG	O
의	의	JKG	O
_	_	_	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
기리	기리	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
1967	1967	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
지금	지금	NNG	O
까지	까지	JX	O
_	_	_	O
대학생	대학생	NNG	O
과	과	JC	O
_	_	_	O
고교생	고교생	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
3700	3700	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
장학금	장학금	NNG	O
을	을	JKO	O
_	_	_	O
지급해	지급하+여	VV+EC	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 카터의 방북이 반가운 결과를 가져왔다고 주장할 만한 바탕이 있긴하다.
## <카터:PER>의 방북이 반가운 결과를 가져왔다고 주장할 만한 바탕이 있긴하다.
카터	카터	NNP	B-PER
의	의	JKG	O
_	_	_	O
방북	방북	NNG	O
이	이	JKS	O
_	_	_	O
반가	반갑	VA	O
운	ㄴ	ETM	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
가져	가져오	VV	O
왔	았	EP	O
다고	다고	EC	O
_	_	_	O
주장할	주장하+ㄹ	VV+ETM	O
_	_	_	O
만한	만하+ㄴ	VX+ETM	O
_	_	_	O
바탕	바탕	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
긴	기+ㄴ	ETN+JX	O
하	하	VX	O
다	다	EF	O
.	.	SF	O

## 14
## 2009년 노무현 전 대통령이 대검 중수부의 수사를 받던 중 스스로 목숨을 끊은 사건이 발생하자 수사를 1년간 중단시켰다.
## <2009년:DAT> <노무현:PER> 전 대통령이 대검 중수부의 수사를 받던 중 스스로 목숨을 끊은 사건이 발생하자 수사를 <1년간:DUR> 중단시켰다.
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
노무현	노무현	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
이	이	JKS	O
_	_	_	O
대검	대검	NNG	O
_	_	_	O
중수부	중수부	NNG	O
의	의	JKG	O
_	_	_	O
수사	수사	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
던	던	ETM	O
_	_	_	O
중	중	NNB	O
_	_	_	O
스스로	스스로	MAG	O
_	_	_	O
목숨	목숨	NNG	O
을	을	JKO	O
_	_	_	O
끊	끊	VV	O
은	은	ETM	O
_	_	_	O
사건	사건	NNG	O
이	이	JKS	O
_	_	_	O
발생하	발생하	VV	O
자	자	EC	O
_	_	_	O
수사	수사	NNG	O
를	를	JKO	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
중단	중단	NNG	O
시	시키	XSV	O
켰	었	EP	O
다	다	EF	O
.	.	SF	O

