## 1
## SK텔레콤에서는 15만6000원의 지원금을 받을 수 있다.
## <SK텔레콤:ORG>에서는 <15만6000원:NOH>의 지원금을 받을 수 있다.
SK	SK	SL	B-ORG
를	를	JKO	O
_	_	_	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
통합	통합	NNG	O
_	_	_	O
대통령	대통령	NNG	O
”	”	SS	O
이	이	VCP	O
라면서	라면서	EC	O
_	_	_	O
“	“	SS	O
어제	어제	MAG	O
(	(	SS	O
22	22	SN	B-DAT
일	일	NNB	I-DAT
)	)	SS	O
_	_	_	O
문재인	문재인	NNP	B-PER
_	_	_	O
더불	더불	VV	B-ORG
어	어	EC	I-ORG
민주당	민주당	NNP	I-ORG
_	_	_	O
대선	대선	NNG	O
_	_	_	O
후보	후보	NNG	O
가	가	JKS	O
_	_	_	O
서면	서면	NNG	O
에	에	JKB	O
_	_	_	O
섰	서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 10
## 아이들은 이제나저제나 어린이날을 손꼽아 기다리지만, 엄마 아빠는 올해도 부담스럽다.
## 아이들은 이제나저제나 <어린이날:DAT>을 손꼽아 기다리지만, 엄마 아빠는 올해도 부담스럽다.
아이	아이	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
이제나저제나	이제나저제나	MAG	O
_	_	_	O
어린이날	어린이날	NNP	B-DAT
을	을	JKO	O
_	_	_	O
손꼽	손꼽	VV	O
아	아	EC	O
_	_	_	O
기다리	기다리	VV	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
엄마	엄마	NNG	O
_	_	_	O
아빠	아빠	NNG	O
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
도	도	JX	O
_	_	_	O
부담스럽	부담스럽	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 12일 미국 LA에서 열린 제59회 그래미 시상식이 트럼프 미 대통령에 대한 비판과 패러디로 넘쳤습니다.
## <12일:DAT> <미국 LA:LOC>에서 열린 <제59회:NOH> 그래미 시상식이 <트럼프:PER> <미:ORG> 대통령에 대한 비판과 패러디로 넘쳤습니다.
12	12	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	I-LOC
LA	LA	SL	I-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
제	제	XPN	B-NOH
59	59	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
그래미	그래미	NNP	O
_	_	_	O
시상식	시상식	NNG	O
이	이	JKS	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
미	미	NNP	B-ORG
_	_	_	O
대통령	대통령	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
비판	비판	NNG	O
과	과	JC	O
_	_	_	O
패러디	패러디	NNG	O
로	로	JKB	O
_	_	_	O
넘	넘치	VV	O
쳤	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 12
## 텐사그룹이 프랑스에서 대규모 행사를 치르기 위해 쓴 비용은 천문학적이다.
## <텐사그룹:ORG>이 <프랑스:ORG>에서 대규모 행사를 치르기 위해 쓴 비용은 천문학적이다.
텐	텐	NNG	B-ORG
사	사	XSN	I-ORG
그룹	그룹	NNG	I-ORG
이	이	JKS	O
_	_	_	O
프랑스	프랑스	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
행사	행사	NNG	O
를	를	JKO	O
_	_	_	O
치르	치르	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
비용	비용	NNG	O
은	은	JX	O
_	_	_	O
천문학적	천문학적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 총 343개 선거구에 남성 후보 5938명, 여성 후보 978명이 등록했다.
## 총 <343개:NOH> 선거구에 남성 후보 <5938명:NOH>, 여성 후보 <978명:NOH>이 등록했다.
총	총	MM	O
_	_	_	O
343	343	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
선거구	선거구	NNG	O
에	에	JKB	O
_	_	_	O
남성	남성	NNG	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
5938	5938	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
여성	여성	NNG	O
_	_	_	O
후보	후보	NNG	O
_	_	_	O
978	978	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
등록	등록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 이들은 삼성물산-제일모직의 합병 비율이 삼성물산에 불리하게 돼 있다며 주주 권익을 주장하지만 시세 차익을 통한 단기 이익이 주 목적으로 보인다.
## 이들은 <삼성물산:ORG>-<제일모직:ORG>의 합병 비율이 <삼성물산:ORG>에 불리하게 돼 있다며 주주 권익을 주장하지만 시세 차익을 통한 단기 이익이 주 목적으로 보인다.
이	이	NP	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
삼성	삼성	NNP	B-ORG
물산	물산	NNG	I-ORG
-	-	SO	O
제일모직	제일모직	NNP	B-ORG
의	의	JKG	O
_	_	_	O
합병	합병	NNG	O
_	_	_	O
비율	비율	NNG	O
이	이	JKS	O
_	_	_	O
삼성물산	삼성물산	NNP	B-ORG
에	에	JKB	O
_	_	_	O
불리하	불리하	VA	O
게	게	EC	O
_	_	_	O
돼	되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다며	다며	EC	O
_	_	_	O
주주	주주	NNG	O
_	_	_	O
권익	권익	NNG	O
을	을	JKO	O
_	_	_	O
주장하	주장하	VV	O
지만	지만	EC	O
_	_	_	O
시세	시세	NNG	O
_	_	_	O
차익	차익	NNG	O
을	을	JKO	O
_	_	_	O
통한	통하+ㄴ	VV+ETM	O
_	_	_	O
단기	단기	NNG	O
_	_	_	O
이익	이익	NNG	O
이	이	JKS	O
_	_	_	O
주	주	MM	O
_	_	_	O
목적	목적	NNG	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 15
## 나선영 한국생명의전화 사무국장은 “호주는 자살 유가족을 위해 유품 정리부터 개입해 지원해 준다”며 “경찰 조사 때 심리 상담을 의무화하고 사망과 관련한 행정 절차에 복지기관이 적극적으로 개입하는 원스톱 시스템을 고려해야 한다”고 말했다.
## <나선영:PER> <한국생명의전화:ORG> 사무국장은 “<호주:ORG>는 자살 유가족을 위해 유품 정리부터 개입해 지원해 준다”며 “경찰 조사 때 심리 상담을 의무화하고 사망과 관련한 행정 절차에 복지기관이 적극적으로 개입하는 원스톱 시스템을 고려해야 한다”고 말했다.
나선영	나선영	NNP	B-PER
_	_	_	O
한국생명	한국생명	NNP	B-ORG
의	의	JKG	I-ORG
전화	전화	NNG	I-ORG
_	_	_	O
사무국	사무국	NNG	O
장	장	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
호주	호주	NNP	B-ORG
는	는	JX	O
_	_	_	O
자살	자살	NNG	O
_	_	_	O
유가족	유가족	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
유품	유품	NNG	O
_	_	_	O
정리	정리	NNG	O
부터	부터	JX	O
_	_	_	O
개입해	개입하+여	VV+EC	O
_	_	_	O
지원해	지원하+여	VV+EC	O
_	_	_	O
준다	주+ㄴ다	VX+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
경찰	경찰	NNG	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
심리	심리	NNG	O
_	_	_	O
상담	상담	NNG	O
을	을	JKO	O
_	_	_	O
의무화하	의무화하	VV	O
고	고	EC	O
_	_	_	O
사망	사망	NNG	O
과	과	JKB	O
_	_	_	O
관련한	관련하+ㄴ	VV+ETM	O
_	_	_	O
행정	행정	NNG	O
_	_	_	O
절차	절차	NNG	O
에	에	JKB	O
_	_	_	O
복지	복지	NNG	O
기관	기관	NNG	O
이	이	JKS	O
_	_	_	O
적극적	적극적	NNG	O
으로	으로	JKB	O
_	_	_	O
개입하	개입하	VV	O
는	는	ETM	O
_	_	_	O
원스톱	원스톱	NNG	O
_	_	_	O
시스템	시스템	NNG	O
을	을	JKO	O
_	_	_	O
고려해야	고려하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 정부가 만든 시행령에 대한 국회의 수정 요구 권한을 대폭 강화한 국회법 개정안이 29일 국회 본회의를 통과하면서 ‘국회 전횡법이 만들어진 것 아니냐’는 우려가 확산되고 있다.
## 정부가 만든 시행령에 대한 국회의 수정 요구 권한을 대폭 강화한 국회법 개정안이 <29일:DAT> 국회 본회의를 통과하면서 ‘국회 전횡법이 만들어진 것 아니냐’는 우려가 확산되고 있다.
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
시행령	시행령	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
국회	국회	NNG	O
의	의	JKG	O
_	_	_	O
수정	수정	NNG	O
_	_	_	O
요구	요구	NNG	O
_	_	_	O
권한	권한	NNG	O
을	을	JKO	O
_	_	_	O
대폭	대폭	MAG	O
_	_	_	O
강화한	강화하+ㄴ	VV+ETM	O
_	_	_	O
국회법	국회법	NNG	O
_	_	_	O
개정안	개정안	NNG	O
이	이	JKS	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
국회	국회	NNG	O
_	_	_	O
본회의	본회의	NNG	O
를	를	JKO	O
_	_	_	O
통과하	통과하	VV	O
면서	면서	EC	O
_	_	_	O
‘	‘	SS	O
국회	국회	NNG	O
_	_	_	O
전횡	전횡	NNG	O
법	법	NNG	O
이	이	JKS	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
진	지+ㄴ	VX+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
아니	아니	VCN	O
냐	냐	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
우려	우려	NNG	O
가	가	JKS	O
_	_	_	O
확산되	확산되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

