## 1
## 전날 윤상현 의원의 일부 언론 인터뷰 때문이다.
## <전날:DAT> <윤상현:PER> 의원의 일부 언론 인터뷰 때문이다.
전날	전날	NNG	B-DAT
차례	차례	NNG	O
나	나	JX	O
_	_	_	O
성폭행해	성폭행하+여	VV+EC	O
_	_	_	O
법원	법원	NNG	O
에서	에서	JKB	O
_	_	_	O
징역	징역	NNG	O
_	_	_	O
12	12	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
선고	선고	NNG	O
받	받	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 남중국해 美-中 갈등, 무역전쟁으로 번져
## <남중국해:LOC> <美-中:ORG> 갈등, 무역전쟁으로 번져
남중국해	남중국해	NNP	B-LOC
_	_	_	O
美	美	SH	B-ORG
-	-	SO	I-ORG
中	中	SH	I-ORG
_	_	_	O
갈등	갈등	NNG	O
,	,	SP	O
_	_	_	O
무역	무역	NNG	O
전쟁	전쟁	NNG	O
으로	으로	JKB	O
_	_	_	O
번져	번지+어	VV+EC	O

## 6
## -ㅂ-조기자 : 오오. 이렇게 해서 훌륭한 엔딩이 진행되는군요. 무사히 실비아를 구출했네요. 꿀딴지곰 : 이 게임을 좋아하는 분들이 얼마나 많았는지, 이 게임과 관련해서 다양한 오마쥬 영상들도 많습니다.
## -ㅂ-<조:PER>기자 : 오오. 이렇게 해서 훌륭한 엔딩이 진행되는군요. 무사히 <실비아:PER>를 구출했네요. <꿀딴지곰:PER> : 이 게임을 좋아하는 분들이 얼마나 많았는지, 이 게임과 관련해서 다양한 오마쥬 영상들도 많습니다.
-	-	SO	O
ㅂ	ㅂ	NNG	O
-	-	SO	O
조	조	NNP	B-PER
기자	기자	NNG	O
_	_	_	O
:	:	SP	O
_	_	_	O
오오	오오	IC	O
.	.	SF	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
해서	하+여서	VV+EC	O
_	_	_	O
훌륭한	훌륭하+ㄴ	VA+ETM	O
_	_	_	O
엔딩	엔딩	NNG	O
이	이	JKS	O
_	_	_	O
진행되	진행되	VV	O
는군요	는군요	EF	O
.	.	SF	O
_	_	_	O
무사히	무사히	MAG	O
_	_	_	O
실비아	실비아	NNP	B-PER
를	를	JKO	O
_	_	_	O
구출	구출하	VV	O
했	었	EP	O
네요	네요	EF	O
.	.	SF	O
_	_	_	O
꿀딴지곰	꿀딴지곰	NNG	B-PER
_	_	_	O
:	:	SP	O
_	_	_	O
이	이	MM	O
_	_	_	O
게임	게임	NNG	O
을	을	JKO	O
_	_	_	O
좋아하	좋아하	VV	O
는	는	ETM	O
_	_	_	O
분	분	NNB	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
얼마나	얼마나	MAG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
는지	는지	EC	O
,	,	SP	O
_	_	_	O
이	이	MM	O
_	_	_	O
게임	게임	NNG	O
과	과	JKB	O
_	_	_	O
관련해서	관련하+여서	VV+EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
오마	오마	VV	O
쥬	쥬	EC	O
_	_	_	O
영상	영상	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
많	많	VA	O
습니다	습니다	EF	O
.	.	SF	O

## 7
## 육아로 인해 스타트업 커뮤니티에 참여하기 힘든 20∼40대 여성이 아기와 함께 참여할 수 있는 창업 지원 프로그램이다.
## 육아로 인해 스타트업 커뮤니티에 참여하기 힘든 <20:NOH>∼<40대:NOH> 여성이 아기와 함께 참여할 수 있는 창업 지원 프로그램이다.
육아	육아	NNG	O
로	로	JKB	O
_	_	_	O
인해	인하+여	VV+EC	O
_	_	_	O
스타트	스타트	NNG	O
업	업	NNG	O
_	_	_	O
커뮤니티	커뮤니티	NNG	O
에	에	JKB	O
_	_	_	O
참여하	참여하	VV	O
기	기	ETN	O
_	_	_	O
힘든	힘들+ㄴ	VA+ETM	O
_	_	_	O
20	20	SN	B-NOH
∼	∼	SO	O
40	40	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
여성	여성	NNG	O
이	이	JKS	O
_	_	_	O
아기	아기	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
참여할	참여하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
창업	창업	NNG	O
_	_	_	O
지원	지원	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

