## 1
## 그러면 칭찬해주고 부각해주는 거예요.”30년 넘게 프로야구와 함께했다.
## 그러면 칭찬해주고 부각해주는 거예요.”<30년:NOH> 넘게 프로야구와 함께했다.
그러면	그러면	MAJ	O
와	와	JC	O
_	_	_	O
강화군	강화군	NNP	B-ORG
은	은	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
구역	구역	NNG	O
을	을	JKO	O
_	_	_	O
‘	‘	SS	O
왕	왕	NNG	O
의	의	JKG	O
_	_	_	O
길	길	NNG	O
’	’	SS	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
관광	관광	NNG	O
코스	코스	NNG	O
로	로	JKB	O
_	_	_	O
개발하	개발하	VV	O
는	는	ETM	O
_	_	_	O
도시	도시	NNG	O
재생	재생	NNG	O
_	_	_	O
사업	사업	NNG	O
을	을	JKO	O
_	_	_	O
추진하	추진하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 강화군은 “서울 북촌보다 가치 높은 한옥이 강화읍에 상당히 보존돼 있다.
## <강화군:ORG>은 “<서울:LOC> <북촌:LOC>보다 가치 높은 한옥이 <강화읍:LOC>에 상당히 보존돼 있다.
강화군	강화군	NNP	B-ORG
은	은	JX	O
_	_	_	O
“	“	SS	O
서울	서울	NNP	B-LOC
_	_	_	O
북촌	북촌	NNP	B-LOC
보다	보다	JKB	O
_	_	_	O
가치	가치	NNG	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
한옥	한옥	NNG	O
이	이	JKS	O
_	_	_	O
강화읍	강화읍	NNP	B-LOC
에	에	JKB	O
_	_	_	O
상당히	상당히	MAG	O
_	_	_	O
보존돼	보존되+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 21일 밤 연락이 닿은 우효동 심판은 무척 속상해 했다.
## <21일:DAT> 밤 연락이 닿은 <우효동:PER> 심판은 무척 속상해 했다.
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밤	밤	NNG	O
_	_	_	O
연락	연락	NNG	O
이	이	JKS	O
_	_	_	O
닿	닿	VV	O
은	은	ETM	O
_	_	_	O
우효동	우효동	NNP	B-PER
_	_	_	O
심판	심판	NNG	O
은	은	JX	O
_	_	_	O
무척	무척	MAG	O
_	_	_	O
속상해	속상하+여	VA+EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 중견제약사인 국제약품에서는 창업주 고 남상옥 선대회장의 손자인 남태훈 대표이사(37)가 1월 사장으로 승진했다.
## 중견제약사인 <국제약품:ORG>에서는 창업주 고 <남상옥:PER> 선대회장의 손자인 <남태훈:PER> 대표이사(<37:NOH>)가 <1월:DAT> 사장으로 승진했다.
중견	중견	NNG	O
제약	제약	NNG	O
사	사	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
국제	국제	NNG	B-ORG
약품	약품	NNG	I-ORG
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
창업주	창업주	NNG	O
_	_	_	O
고	고	MM	O
_	_	_	O
남상옥	남상옥	NNP	B-PER
_	_	_	O
선대	선대	NNG	O
회장	회장	NNG	O
의	의	JKG	O
_	_	_	O
손자	손자	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
남태훈	남태훈	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
이사	이사	NNG	O
(	(	SS	O
37	37	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
사장	사장	NNG	O
으로	으로	JKB	O
_	_	_	O
승진	승진하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

