## 1
## 한밤 이태임, 5개월 침묵 깨고 예원 언급… “지날수록 후회가 많이 됐다”
## 한밤 <이태임:PER>, <5개월:DUR> 침묵 깨고 <예원:PER> 언급… “지날수록 후회가 많이 됐다”
한밤	한밤	NNG	O
다	다	EF	O
.	.	SF	O

## 6
## 지난주(0.01%)보다 오름폭이 소폭 커졌다.
## 지난주(<0.01%:PNT>)보다 오름폭이 소폭 커졌다.
지난주	지난주	NNG	O
(	(	SS	O
0.01	0.01	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
오름폭	오름폭	NNG	O
이	이	JKS	O
_	_	_	O
소폭	소폭	NNG	O
_	_	_	O
커	커지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 시청률은 2.238%(전국유료방송가구 기준)를 기록했다.
## 시청률은 <2.238%:PNT>(전국유료방송가구 기준)를 기록했다.
시청률	시청률	NNG	O
은	은	JX	O
_	_	_	O
2.238	2.238	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
전국	전국	NNG	O
유료	유료	NNG	O
방송	방송	NNG	O
가구	가구	NNG	O
_	_	_	O
기준	기준	NNG	O
)	)	SS	O
를	를	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 그는 18세기풍의 엔티크 소파를 구입해 수많은 색깔의 점을 찍었습니다.
## 그는 <18세기:DUR>풍의 엔티크 소파를 구입해 수많은 색깔의 점을 찍었습니다.
그	그	NP	O
는	는	JX	O
_	_	_	O
18	18	SN	B-DUR
세기	세기	NNG	I-DUR
풍	풍	NNG	O
의	의	JKG	O
_	_	_	O
엔	엔	NNG	O
티크	티크	NNG	O
_	_	_	O
소파	소파	NNG	O
를	를	JKO	O
_	_	_	O
구입해	구입하+여	VV+EC	O
_	_	_	O
수많	수많	VA	O
은	은	ETM	O
_	_	_	O
색깔	색깔	NNG	O
의	의	JKG	O
_	_	_	O
점	점	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
었	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 9
## 오스트리아 비엔나 대학에서 실시한 연구에 따르면 매일 약 200g 정도의 요거트를 섭취할 경우, 면역력 증진을 위한 약을 먹는 것과 같은 효과를 볼 수 있다고 한다.
## <오스트리아 비엔나 대학:ORG>에서 실시한 연구에 따르면 매일 약 <200g:NOH> 정도의 요거트를 섭취할 경우, 면역력 증진을 위한 약을 먹는 것과 같은 효과를 볼 수 있다고 한다.
오스트리아	오스트리아	NNP	B-ORG
_	_	_	I-ORG
비엔나	비엔나	NNP	I-ORG
_	_	_	I-ORG
대학	대학	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
실시한	실시하+ㄴ	VV+ETM	O
_	_	_	O
연구	연구	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
매일	매일	MAG	O
_	_	_	O
약	약	MM	O
_	_	_	O
200	200	SN	B-NOH
g	g	SL	I-NOH
_	_	_	O
정도	정도	NNG	O
의	의	JKG	O
_	_	_	O
요거트	요거트	NNG	O
를	를	JKO	O
_	_	_	O
섭취할	섭취하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
,	,	SP	O
_	_	_	O
면역력	면역력	NNG	O
_	_	_	O
증진	증진	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
약	약	NNG	O
을	을	JKO	O
_	_	_	O
먹	먹	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
효과	효과	NNG	O
를	를	JKO	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 강원지역 대학을 졸업한 뒤 2014년 12월 중소기업에 취업한 김씨는 잦은 출장과 낮은 임금으로 인해 퇴사를 결심했다.
## <강원:LOC>지역 대학을 졸업한 뒤 <2014년 12월:DAT> 중소기업에 취업한 <김:PER>씨는 잦은 출장과 낮은 임금으로 인해 퇴사를 결심했다.
강원	강원	NNP	B-LOC
지역	지역	NNG	O
_	_	_	O
대학	대학	NNG	O
을	을	JKO	O
_	_	_	O
졸업한	졸업하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
중소기업	중소기업	NNG	O
에	에	JKB	O
_	_	_	O
취업한	취업하+ㄴ	VV+ETM	O
_	_	_	O
김	김	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
잦	잦	VA	O
은	은	ETM	O
_	_	_	O
출장	출장	NNG	O
과	과	JKB	O
_	_	_	O
낮	낮	VA	O
은	은	ETM	O
_	_	_	O
임금	임금	NNG	O
으로	으로	JKB	O
_	_	_	O
인해	인하+여	VV+EC	O
_	_	_	O
퇴사	퇴사	NNG	O
를	를	JKO	O
_	_	_	O
결심	결심하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 홍혜선, “자기가 원해서 피난…자신들이 불안해서 간 것”
## <홍혜선:PER>, “자기가 원해서 피난…자신들이 불안해서 간 것”
홍혜선	홍혜선	NNP	B-PER
,	,	SP	O
_	_	_	O
“	“	SS	O
자기	자기	NP	O
가	가	JKS	O
_	_	_	O
원해서	원하+여서	VV+EC	O
_	_	_	O
피난	피난	NNG	O
…	…	SE	O
자신	자신	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
불안해서	불안하+여서	VA+EC	O
_	_	_	O
간	가+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O

## 12
## 주목할 점은 영업정지 첫날 SK텔레콤의 가입자 수 감소가 6066명에 그쳤다는 것이다.
## 주목할 점은 영업정지 첫날 <SK텔레콤:ORG>의 가입자 수 감소가 <6066명:NOH>에 그쳤다는 것이다.
주목할	주목하+ㄹ	VV+ETM	O
_	_	_	O
점	점	NNG	O
은	은	JX	O
_	_	_	O
영업정지	영업정지	NNG	O
_	_	_	O
첫날	첫날	NNG	O
_	_	_	O
SK	SK	SL	B-ORG
텔레콤	텔레콤	NNG	I-ORG
의	의	JKG	O
_	_	_	O
가입자	가입자	NNG	O
_	_	_	O
수	수	NNG	O
_	_	_	O
감소	감소	NNG	O
가	가	JKS	O
_	_	_	O
6066	6066	SN	B-NOH
명	명	NNB	I-NOH
에	에	JKB	O
_	_	_	O
그	그치	VV	O
쳤	었	EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 남녀공용 색상은 카키 1가지며 남성용 색상은 네이비 1가지다.
## 남녀공용 색상은 카키 <1가지:NOH>며 남성용 색상은 네이비 <1가지:NOH>다.
남녀	남녀	NNG	O
공용	공용	NNG	O
_	_	_	O
색상	색상	NNG	O
은	은	JX	O
_	_	_	O
카키	카키	NNG	O
_	_	_	O
1	1	SN	B-NOH
가지	가지	VV	I-NOH
며	며	EC	O
_	_	_	O
남성	남성	NNG	O
용	용	XSN	O
_	_	_	O
색상	색상	NNG	O
은	은	JX	O
_	_	_	O
네이비	네이비	NNG	O
_	_	_	O
1	1	SN	B-NOH
가지	가지+이	NNB+VCP	I-NOH
다	다	EF	O
.	.	SF	O

