## 1
## CJ제일제당의 ‘백설 군만두’는 3위에 머물렀다.
## <CJ제일제당:ORG>의 ‘<백설 군만두:POH>’는 <3위:NOH>에 머물렀다.
CJ	CJ	SL	B-ORG
학습	학습	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
준비	준비	NNG	O
를	를	JKO	O
_	_	_	O
했	+였	+EP	O
느냐	느냐	EC	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
결정된다고	결정되+ㄴ다고	VV+EC	O
_	_	_	O
봅니다	보+ㅂ니다	VV+EF	O
.	.	SF	O

## 6
## 80억 원이 투입될 기술교육원은 내년 8월 착공해 2017년 7월 개원할 예정이다.
## <80억 원:MNY>이 투입될 기술교육원은 내년 <8월:DAT> 착공해 <2017년 7월:DAT> 개원할 예정이다.
80	80	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
투입될	투입되+ㄹ	VV+ETM	O
_	_	_	O
기술	기술	NNG	O
교육	교육	NNG	O
원	원	XSN	O
은	은	JX	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
착공해	착공하+여	VV+EC	O
_	_	_	O
2017	2017	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
7	7	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
개원할	개원하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 보성 주음마을 12일 만에 격리 해제 … ‘녹차로 메르스 이겨냈다’
## 보성 주음마을 <12일:DUR> 만에 격리 해제 … ‘녹차로 메르스 이겨냈다’
보성	보성	NNP	O
_	_	_	O
주음	주음	NNG	O
마을	마을	NNG	O
_	_	_	O
12	12	SN	B-DUR
일	일	NNB	I-DUR
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
격리	격리	NNG	O
_	_	_	O
해제	해제	NNG	O
_	_	_	O
…	…	SE	O
_	_	_	O
‘	‘	SS	O
녹차	녹차	NNG	O
로	로	JKB	O
_	_	_	O
메르스	메르스	NNG	O
_	_	_	O
이겨	이기+어	VV+EC	O
냈	내+었	VX+EP	O
다	다	EF	O
’	’	SS	O

## 8
## 지소연은 코스타리카전에서 페널티킥으로 골을 기록했지만 4차례의 슈팅 기회를 골로 연결시키지 못했다.
## <지소연:PER>은 <코스타리카전:POH>에서 페널티킥으로 골을 기록했지만 <4차례:NOH>의 슈팅 기회를 골로 연결시키지 못했다.
지소연	지소연	NNP	B-PER
은	은	JX	O
_	_	_	O
코스타리카	코스타리카	NNP	B-POH
전	전	XSN	I-POH
에서	에서	JKB	O
_	_	_	O
페널티	테널티	NNG	O
킥	킥	NNG	O
으로	으로	JKB	O
_	_	_	O
골	골	NNG	O
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
4	4	SN	B-NOH
차례	차례	NNG	I-NOH
의	의	JKG	O
_	_	_	O
슈팅	슈팅	NNG	O
_	_	_	O
기회	기회	NNG	O
를	를	JKO	O
_	_	_	O
골	골	NNG	O
로	로	JKB	O
_	_	_	O
연결	연결	NNG	O
시키	시키	XSV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 수렵용으로 등록된 엽총은 전국적으로 3만7424정에 이른다.
## 수렵용으로 등록된 엽총은 전국적으로 <3만7424정:NOH>에 이른다.
수렵	수렵	NNG	O
용	용	XSN	O
으로	으로	JKB	O
_	_	_	O
등록된	등록되+ㄴ	VV+ETM	O
_	_	_	O
엽총	엽총	NNG	O
은	은	JX	O
_	_	_	O
전국적	전국적	NNG	O
으로	으로	JKB	O
_	_	_	O
3	3	SN	B-NOH
만	만	NR	I-NOH
7424	7424	SN	I-NOH
정	정	NNG	I-NOH
에	에	JKB	O
_	_	_	O
이른다	이르+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 지금은 반백이 됐지만 어린 시절 아버지가 월급날 사온 통닭 한 마리를 잊지 못해 이 골목을 찾아오는 사람들에게, 통닭집은 변치않는 맛으로 이들에게 옛추억을 선사한다.
## 지금은 <반백:NOH>이 됐지만 어린 시절 아버지가 월급날 사온 통닭 한 마리를 잊지 못해 이 골목을 찾아오는 사람들에게, 통닭집은 변치않는 맛으로 이들에게 옛추억을 선사한다.
지금	지금	NNG	O
은	은	JX	O
_	_	_	O
반백	반백	NNG	B-NOH
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
지만	지만	EC	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
아버지	아버지	NNG	O
가	가	JKS	O
_	_	_	O
월급날	월급날	NNG	O
_	_	_	O
사	사+아	VV+EC	O
온	오+ㄴ	VV+ETM	O
_	_	_	O
통닭	통닭	NNG	O
_	_	_	O
한	한	MM	O
_	_	_	O
마리	마리	NNB	O
를	를	JKO	O
_	_	_	O
잊	잊	VV	O
지	지	EC	O
_	_	_	O
못해	못하+여	VX+EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
골목	골목	NNG	O
을	을	JKO	O
_	_	_	O
찾아오	찾아오	VV	O
는	는	ETM	O
_	_	_	O
사람	사람	NNG	O
들	들	XSN	O
에게	에게	JKB	O
,	,	SP	O
_	_	_	O
통닭집	통닭집	NNG	O
은	은	JX	O
_	_	_	O
변	변하	VV	O
치	지	EC	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
맛	맛	NNG	O
으로	으로	JKB	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
에게	에게	JKB	O
_	_	_	O
옛	옛	MM	O
추억	추억	NNG	O
을	을	JKO	O
_	_	_	O
선사한다	선사하+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## ‘수원 통닭골목’ 소식에 누리꾼들은 “수원 통닭골목, 꼭 가야겠다”,
## ‘<수원 통닭골목:LOC>’ 소식에 누리꾼들은 “<수원 통닭골목:LOC>, 꼭 가야겠다”,
‘	‘	SS	O
수원	수원	NNP	B-LOC
_	_	_	I-LOC
통닭	통닭	NNG	I-LOC
골목	골목	NNG	I-LOC
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
에	에	JKB	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
수원	수원	NNP	B-LOC
_	_	_	I-LOC
통닭	통닭	NNG	I-LOC
골목	골목	NNG	I-LOC
,	,	SP	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
가야	가+아야+하	VV+EC+VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
,	,	SP	O

## 12
## ●무늬만 미국투어 이날 우연히 TV중계를 지켜본 국내 시청자라면 한국여자프로골프(KLPGA)투어대회로 착각할 만 했다.
## ●무늬만 <미국:ORG>투어 이날 우연히 TV중계를 지켜본 국내 시청자라면 <한국여자프로골프:ORG>(<KLPGA:ORG>)투어대회로 착각할 만 했다.
●	●	SW	O
무늬	무늬	NNG	O
만	만	JX	O
_	_	_	O
미국	미국	NNP	B-ORG
투어	투어	NNG	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
우연히	우연히	MAG	O
_	_	_	O
TV	TV	SL	O
중계	중계	NNG	O
를	를	JKO	O
_	_	_	O
지켜본	지켜보+ㄴ	VV+ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
시청자	시청자+이	NNG+VCP	O
라면	라면	EC	O
_	_	_	O
한국	한국	NNP	B-ORG
여자	여자	NNG	I-ORG
프로	프로	NNG	I-ORG
골프	골프	NNG	I-ORG
(	(	SS	O
KLPGA	KLPGA	SL	B-ORG
)	)	SS	O
투어	투어	NNG	O
대회	대회	NNG	O
로	로	JKB	O
_	_	_	O
착각할	착각하+ㄹ	VV+ETM	O
_	_	_	O
만	만	NNB	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## ‘라디오스타’ 예정화, ‘36-23-37’ 화이트 비키니 자태 보니…비결이 뭐야?
## ‘<라디오스타:POH>’ 예정화, ‘<36:NOH>-<23:NOH>-<37:NOH>’ 화이트 비키니 자태 보니…비결이 뭐야?
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
_	_	_	O
예정화	예정화	NNP	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
36	36	SN	B-NOH
-	-	SO	O
23	23	SN	B-NOH
-	-	SO	O
37	37	SN	B-NOH
’	’	SS	O
_	_	_	O
화이트	화이트	NNG	O
_	_	_	O
비키니	비키니	NNG	O
_	_	_	O
자태	자태	NNG	O
_	_	_	O
보	보	VV	O
니	니	EC	O
…	…	SE	O
비결	비결	NNG	O
이	이	JKS	O
_	_	_	O
뭐	뭐+이	NP+VCP	O
야	야	EF	O
?	?	SF	O

