## 1
## NBCI 평균은 72점으로 전년에 비해 전체적으로 2점 상승했다.
## <NBCI:ORG> 평균은 <72점:NOH>으로 전년에 비해 전체적으로 <2점:NOH> 상승했다.
NBCI	NBCI	SL	B-ORG
국빈	국빈	NNG	O
_	_	_	O
방문하	방문하	VV	O
고	고	EC	O
_	_	_	O
프랑스	프랑스	NNP	B-LOC
를	를	JKO	O
_	_	_	O
방문할	방문하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 중구에 있는 대구시청을 도청 자리로 옮기는 방안도 포함된다.
## <중구:LOC>에 있는 <대구시청:ORG>을 도청 자리로 옮기는 방안도 포함된다.
중구	중구	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
대구	대구	NNP	B-ORG
시청	시청	NNG	I-ORG
을	을	JKO	O
_	_	_	O
도청	도청	NNG	O
_	_	_	O
자리	자리	NNG	O
로	로	JKB	O
_	_	_	O
옮기	옮기	VV	O
는	는	ETM	O
_	_	_	O
방안	방안	NNG	O
도	도	JX	O
_	_	_	O
포함된다	포함되+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 경단녀가 된 경우, 임의가입 형태로 3년을 더 납부해 10년을 채워야 했다.
## 경단녀가 된 경우, 임의가입 형태로 <3년:NOH>을 더 납부해 <10년:NOH>을 채워야 했다.
경단	경단	NNG	O
녀	녀	XSN	O
가	가	JKC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
,	,	SP	O
_	_	_	O
임의	임의	NNG	O
가입	가입	NNG	O
_	_	_	O
형태	형태	NNG	O
로	로	JKB	O
_	_	_	O
3	3	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
납부해	납부하+여	VV+EC	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
채	채우	VV	O
워야	어야	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 현재 개발된 게이트맨 블루투스 키 4.0 버전은 안드로이드 계열은 4.3 젤리빈 이상에서, 아이폰 계열은 4S, iOS 7.0 이상에서 활용 가능하다.
## 현재 개발된 <게이트맨 블루투스 키 4.0:POH> 버전은 <안드로이드:POH> 계열은 <4.3 젤리빈:POH> <이상:ORG>에서, <아이폰:POH> 계열은 <4S:POH>, <iOS 7.0:POH> 이상에서 활용 가능하다.
현재	현재	MAG	O
_	_	_	O
개발된	개발되+ㄴ	VV+ETM	O
_	_	_	O
게이트맨	게이트맨	NNG	B-POH
_	_	_	I-POH
블루	블루	NNG	I-POH
투스	투스	NNP	I-POH
_	_	_	I-POH
키	키	NNG	I-POH
_	_	_	I-POH
4.0	4.0	SN	I-POH
_	_	_	O
버전	버전	NNG	O
은	은	JX	O
_	_	_	O
안드로이드	안드로이드	NNG	B-POH
_	_	_	O
계열	계열	NNG	O
은	은	JX	O
_	_	_	O
4.3	4.3	SN	B-POH
_	_	_	I-POH
젤	젤	NNG	I-POH
리빈	리빈	NNP	I-POH
_	_	_	O
이상	이상	NNG	B-ORG
에서	에서	JKB	O
,	,	SP	O
_	_	_	O
아이폰	아이폰	NNG	B-POH
_	_	_	O
계열	계열	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-POH
S	S	SL	I-POH
,	,	SP	O
_	_	_	O
iOS	iOS	SL	B-POH
_	_	_	I-POH
7.0	7.0	SN	I-POH
_	_	_	O
이상	이상	NNG	O
에서	에서	JKB	O
_	_	_	O
활용	활용	NNG	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 8
## 서울 서초구 옛 청사와 경기도 포천시 산정호수 가족호텔, 대구시 달성군 화원읍 사무소와 제주시청 제5별관 등이 선정됐다.
## <서울 서초구:LOC> 옛 청사와 <경기도 포천시 산정호수 가족호텔:LOC>, <대구시 달성군 화원읍 사무소:LOC>와 <제주시청:ORG> <제5별관:NOH> 등이 선정됐다.
서울	서울	NNP	B-LOC
_	_	_	I-LOC
서초구	서초구	NNP	I-LOC
_	_	_	O
옛	옛	MM	O
_	_	_	O
청사	청사	NNG	O
와	와	JC	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	I-LOC
포천시	포천시	NNP	I-LOC
_	_	_	I-LOC
산정호수	산정호수	NNP	I-LOC
_	_	_	I-LOC
가족호텔	가족호텔	NNG	I-LOC
,	,	SP	O
_	_	_	O
대구시	대구시	NNP	B-LOC
_	_	_	I-LOC
달성군	달성군	NNP	I-LOC
_	_	_	I-LOC
화원읍	화원읍	NNP	I-LOC
_	_	_	I-LOC
사무소	사무소	NNG	I-LOC
와	와	JC	O
_	_	_	O
제주	제주	NNP	B-ORG
시청	시청	NNG	I-ORG
_	_	_	O
제	제	XPN	B-NOH
5	5	SN	I-NOH
별관	별관	NNG	I-NOH
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
선정	선정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 특히 방치기간만 18년 4개월인 우정병원의 정비 사업은 관련 채무액이 수백억원으로 추산돼 향후 처리 에 관심이 모이고 있다.
## 특히 방치기간만 <18년 4개월:DUR>인 <우정병원:ORG>의 정비 사업은 관련 채무액이 수백억원으로 추산돼 향후 처리 에 관심이 모이고 있다.
특히	특히	MAG	O
_	_	_	O
방치	방치	NNG	O
기간	기간	NNG	O
만	만	JX	O
_	_	_	O
18	18	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	I-DUR
4	4	SN	I-DUR
개월	개월	NNB	I-DUR
인	이+ㄴ	VCP+ETM	O
_	_	_	O
우정병원	우정병원	NNP	B-ORG
의	의	JKG	O
_	_	_	O
정비	정비	NNG	O
_	_	_	O
사업	사업	NNG	O
은	은	JX	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
채무	채무	NNG	O
액	액	XSN	O
이	이	JKS	O
_	_	_	O
수백	수백	NR	O
억	억	NR	O
원	원	NNB	O
으로	으로	JKB	O
_	_	_	O
추산돼	추산되+어	VV+EC	O
_	_	_	O
향후	향후	NNG	O
_	_	_	O
처리	처리	NNG	O
_	_	_	O
에	에	JKB	O
_	_	_	O
관심	관심	NNG	O
이	이	JKS	O
_	_	_	O
모이	모이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 우선 게임 플레이의 경우 웨스트우드의 명작 ‘듄2’와 거의 흡사해 ‘판타지 듄’이라는 비아냥을 받았고, 캐릭터의 모델링 이중에서도 메인 종족인 오크는 워해머에서 등장한 오크의 특징을 그대로 사용했다는 지적을 받기도 했다.
## 우선 게임 플레이의 경우 <웨스트우드:ORG>의 명작 ‘<듄2:POH>’와 거의 흡사해 ‘<판타지 듄:POH>’이라는 비아냥을 받았고, 캐릭터의 모델링 이중에서도 메인 종족인 오크는 <워해머:POH>에서 등장한 오크의 특징을 그대로 사용했다는 지적을 받기도 했다.
우선	우선	MAG	O
_	_	_	O
게임	게임	NNG	O
_	_	_	O
플레이	플레이	NNG	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
웨스트우드	웨스트우드	NNP	B-ORG
의	의	JKG	O
_	_	_	O
명작	명작	NNG	O
_	_	_	O
‘	‘	SS	O
듄	듄	NNG	B-POH
2	2	SN	I-POH
’	’	SS	O
와	와	JKB	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
흡사해	흡사하+여	VA+EC	O
_	_	_	O
‘	‘	SS	O
판타지	판타지	NNG	B-POH
_	_	_	I-POH
듄	듄	NNG	I-POH
’	’	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
비아냥	비아냥	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
캐릭터	캐릭터	NNG	O
의	의	JKG	O
_	_	_	O
모델링	모델링	NNG	O
_	_	_	O
이	이	MM	O
중	중	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
메인	메인	NNG	O
_	_	_	O
종족	종족	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
오크	오크	NNG	O
는	는	JX	O
_	_	_	O
워	워	NNG	B-POH
해머	해머	NNG	I-POH
에서	에서	JKB	O
_	_	_	O
등장한	등장하+ㄴ	VV+ETM	O
_	_	_	O
오크	오크	NNG	O
의	의	JKG	O
_	_	_	O
특징	특징	NNG	O
을	을	JKO	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
사용	사용하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
지적	지적	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 하지만 '워크래프트: 오크와 인간'은 듄, 레드얼럿 등 당시 큰 붐이 일던 실시간 전략 시뮬레이션 게임(이하 RTS) 장르에 전성기를 이끌며 많은 판매고를 올렸고, 이러한 성과는 블리자드가 중소 게임사를 넘어 개발, 퍼블리싱 등을 아우르는 거대 기업으로 성장할 수 있는 발판을 마련했다.
## 하지만 '<워크래프트: 오크와 인간:POH>'은 <듄:POH>, <레드얼럿:POH> 등 당시 큰 붐이 일던 실시간 전략 시뮬레이션 게임(이하 RTS) 장르에 전성기를 이끌며 많은 판매고를 올렸고, 이러한 성과는 <블리자드:ORG>가 중소 게임사를 넘어 개발, 퍼블리싱 등을 아우르는 거대 기업으로 성장할 수 있는 발판을 마련했다.
하지만	하지만	MAJ	O
_	_	_	O
'	'	SS	O
워크래프트	워크래프트	NNG	B-POH
:	:	SP	I-POH
_	_	_	I-POH
오크	오크	NNG	I-POH
와	와	JC	I-POH
_	_	_	I-POH
인간	인간	NNG	I-POH
'	'	SS	O
은	은	JX	O
_	_	_	O
듄	듄	NNG	B-POH
,	,	SP	O
_	_	_	O
레드얼럿	레드얼럿	NNP	B-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
붐	붐	NNG	O
이	이	JKS	O
_	_	_	O
일	일	VV	O
던	던	ETM	O
_	_	_	O
실시간	실시간	NNG	O
_	_	_	O
전략	전략	NNG	O
_	_	_	O
시뮬레이션	시뮬레이션	NNG	O
_	_	_	O
게임	게임	NNG	O
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
RTS	RTS	SL	O
)	)	SS	O
_	_	_	O
장르	장르	NNG	O
에	에	JKB	O
_	_	_	O
전성기	전성기	NNG	O
를	를	JKO	O
_	_	_	O
이끌	이끌	VV	O
며	며	EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
판매고	판매고	NNG	O
를	를	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
이러한	이러하+ㄴ	VA+ETM	O
_	_	_	O
성과	성과	NNG	O
는	는	JX	O
_	_	_	O
블리자드	블리자드	NNG	B-ORG
가	가	JKS	O
_	_	_	O
중소	중소	NNG	O
_	_	_	O
게임	게임	NNG	O
사	사	XSN	O
를	를	JKO	O
_	_	_	O
넘	넘	VV	O
어	어	EC	O
_	_	_	O
개발	개발	NNG	O
,	,	SP	O
_	_	_	O
퍼블리싱	퍼블리싱	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
아우르	아우르	VV	O
는	는	ETM	O
_	_	_	O
거대	거대	NNG	O
_	_	_	O
기업	기업	NNG	O
으로	으로	JKB	O
_	_	_	O
성장할	성장하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
발판	발판	NNG	O
을	을	JKO	O
_	_	_	O
마련	마련하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 특히, 블리자드는 이때부터 멀티플레이 모드를 지원했는데, 당시 캠페인과 자유게임으로 만 이뤄져 있던 전략 시뮬레이션 게임 장르에 큰 변화를 주기도 했으며, 멀티플레이가 핵심 콘텐츠로 성장할 것을 많은 이들이게 일깨워 주기도 했다.
## 특히, <블리자드:ORG>는 이때부터 멀티플레이 모드를 지원했는데, 당시 캠페인과 자유게임으로 만 이뤄져 있던 전략 시뮬레이션 게임 장르에 큰 변화를 주기도 했으며, 멀티플레이가 핵심 콘텐츠로 성장할 것을 많은 이들이게 일깨워 주기도 했다.
특히	특히	MAG	O
,	,	SP	O
_	_	_	O
블리자드	블리자드	NNG	B-ORG
는	는	JX	O
_	_	_	O
이때	이때	NNG	O
부터	부터	JX	O
_	_	_	O
멀티	멀티	NNG	O
플레이	플레이	NNG	O
_	_	_	O
모드	모드	NNG	O
를	를	JKO	O
_	_	_	O
지원	지원하	VV	O
했	였	EP	O
는데	는데	EC	O
,	,	SP	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
캠페인	캠페인	NNG	O
과	과	JC	O
_	_	_	O
자유	자유	NNG	O
게임	게임	NNG	O
으로	으로	JKB	O
_	_	_	O
만	만	JX	O
_	_	_	O
이뤄져	이루어지+어	VV+EC	O
_	_	_	O
있	있	VX	O
던	던	ETM	O
_	_	_	O
전략	전략	NNG	O
_	_	_	O
시뮬레이션	시뮬레이션	NNG	O
_	_	_	O
게임	게임	NNG	O
_	_	_	O
장르	장르	NNG	O
에	에	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
변화	변화	NNG	O
를	를	JKO	O
_	_	_	O
주	주	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
멀티	멀티	NNG	O
플레이	플레이	NNG	O
가	가	JKS	O
_	_	_	O
핵심	핵심	NNG	O
_	_	_	O
콘텐츠	콘텐츠	NNG	O
로	로	JKB	O
_	_	_	O
성장할	성장하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
이	이	VCP	O
게	게	EC	O
_	_	_	O
일깨	일깨우	VV	O
워	어	EC	O
_	_	_	O
주	주	VX	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 1편으로 큰 자신감을 얻은 블리자드는 1년뒤인 1995년 속편 ‘워크래프트2: 어둠의 파도’를 발매한다.
## <1편:NOH>으로 큰 자신감을 얻은 <블리자드:ORG>는 <1년:NOH>뒤인 <1995년:DAT> 속편 ‘<워크래프트2: 어둠의 파도:POH>’를 발매한다.
1	1	SN	B-NOH
편	편	NNB	I-NOH
으로	으로	JKB	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
자신감	자신감	NNG	O
을	을	JKO	O
_	_	_	O
얻	얻	VV	O
은	은	ETM	O
_	_	_	O
블리자드	블리자드	NNG	B-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
년	년	NNB	I-NOH
뒤	뒤	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
1995	1995	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
속편	속편	NNG	O
_	_	_	O
‘	‘	SS	O
워크래프트	워크래프트	NNG	B-POH
2	2	SN	I-POH
:	:	SP	I-POH
_	_	_	I-POH
어둠	어둠	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
파도	파도	NNG	I-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
발매한다	발매하+ㄴ다	VV+EF	O
.	.	SF	O

## 14
## 현재 청주종합경기장의 규모는 가로 64m, 세로 105m로, 국제 축구 경기장 기준인 68m, 105m에 못 미친다.
## 현재 <청주:LOC>종합경기장의 규모는 가로 <64m:NOH>, 세로 <105m:NOH>로, 국제 축구 경기장 기준인 <68m:NOH>, <105m:NOH>에 못 미친다.
현재	현재	MAG	O
_	_	_	O
청주	청주	NNP	B-LOC
종합	종합	NNG	O
경기장	경기장	NNG	O
의	의	JKG	O
_	_	_	O
규모	규모	NNG	O
는	는	JX	O
_	_	_	O
가로	가로	NNG	O
_	_	_	O
64	64	SN	B-NOH
m	m	SL	I-NOH
,	,	SP	O
_	_	_	O
세로	세로	NNG	O
_	_	_	O
105	105	SN	B-NOH
m	m	SL	I-NOH
로	로	JKB	O
,	,	SP	O
_	_	_	O
국제	국제	NNG	O
_	_	_	O
축구	축구	NNG	O
_	_	_	O
경기장	경기장	NNG	O
_	_	_	O
기준	기준	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
68	68	SN	B-NOH
m	m	SL	I-NOH
,	,	SP	O
_	_	_	O
105	105	SN	B-NOH
m	m	SL	I-NOH
에	에	JKB	O
_	_	_	O
못	못	MAG	O
_	_	_	O
미친다	미치+ㄴ다	VV+EF	O
.	.	SF	O

## 15
## 또, 기 공개한 바 있는 '더 쉽고 똑똑해진 UX 4.0'의 티저영상도 함께 공개했다.
## 또, 기 공개한 바 있는 '<더 쉽고 똑똑해진 UX 4.0:POH>'의 티저영상도 함께 공개했다.
또	또	MAG	O
,	,	SP	O
_	_	_	O
기	기	NNG	O
_	_	_	O
공개한	공개하+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
'	'	SS	O
더	더	MAG	B-POH
_	_	_	I-POH
쉽	쉽	VA	I-POH
고	고	EC	I-POH
_	_	_	I-POH
똑똑해	똑똑하+여	VA+EC	I-POH
진	지+ㄴ	VX+ETM	I-POH
_	_	_	I-POH
UX	UX	SL	I-POH
_	_	_	I-POH
4.0	4.0	SN	I-POH
'	'	SS	O
의	의	JKG	O
_	_	_	O
티저	티저	NNG	O
영상	영상	NNG	O
도	도	JX	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

