## 1
## 우연히 법대에 진학했는데 한 번도 듣도 보도 못한 공부를 하게 됐다”고 밝히기도 했다.
## 우연히 법대에 진학했는데 <한 번:NOH>도 듣도 보도 못한 공부를 하게 됐다”고 밝히기도 했다.
우연히	우연히	MAG	O
미술계	미술계	NNG	O
에서	에서	JKB	O
_	_	_	O
제	제	XPN	B-NOH
3	3	SN	I-NOH
의	의	JKG	O
_	_	_	O
길	길	NNG	O
을	을	JKO	O
_	_	_	O
걸어온	걸어오+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
평가된다	평가되+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 이와 함께 의식­조직 정비를 통해 기업의 유연성을 제고하고, 행정규제 완화도 중요전략의 하나다.
## 이와 함께 의식­조직 정비를 통해 기업의 유연성을 제고하고, 행정규제 완화도 중요전략의 <하나:NOH>다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
의식	의식	NNG	O
­	­	SS	O
조직	조직	NNG	O
_	_	_	O
정비	정비	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
기업	기업	NNG	O
의	의	JKG	O
_	_	_	O
유연성	유연성	NNG	O
을	을	JKO	O
_	_	_	O
제고하	제고하	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
행정	행정	NNG	O
규제	규제	NNG	O
_	_	_	O
완화	완화	NNG	O
도	도	JX	O
_	_	_	O
중요	중요	NNG	O
전략	전략	NNG	O
의	의	JKG	O
_	_	_	O
하나	하나+이	NNG+VCP	B-NOH
다	다	EF	O
.	.	SF	O

## 12
## 극장가에서는 김명민·오달수 주연의 ‘조선명탐정:사라진 놉의 딸’(조선명탐정2)이 흥행 1위에 올랐다.
## 극장가에서는 <김명민:PER>·<오달수:PER> 주연의 ‘<조선명탐정:사라진 놉의 딸:POH>’(<조선명탐정2:POH>)이 흥행 <1위:NOH>에 올랐다.
극장가	극장가	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
김명민	김명민	NNP	B-PER
·	·	SP	O
오달수	오달수	NNP	B-PER
_	_	_	O
주연	주연	NNG	O
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
조선	조선	NNG	B-POH
명탐정	명탐정	NNG	I-POH
:	:	SP	I-POH
사라진	사라지+ㄴ	VV+ETM	I-POH
_	_	_	I-POH
놉	놉	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
딸	딸	NNG	I-POH
’	’	SS	O
(	(	SS	O
조선	조선	NNG	B-POH
명탐정	명탐정	NNG	I-POH
2	2	SN	I-POH
)	)	SS	O
이	이	JKS	O
_	_	_	O
흥행	흥행	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 일요일부터 목요일까지 주중 객실 1박과 조·석식에 온천 사우나프리패스를 두 명에게 제공한다.
## <일요일:DAT>부터 <목요일:DAT>까지 주중 객실 <1박:NOH>과 조·석식에 온천 사우나프리패스를 <두 명:NOH>에게 제공한다.
일요일	일요일	NNG	B-DAT
부터	부터	JX	O
_	_	_	O
목요일	목요일	NNG	B-DAT
까지	까지	JX	O
_	_	_	O
주	주	NNG	O
중	중	NNB	O
_	_	_	O
객실	객실	NNG	O
_	_	_	O
1	1	SN	B-NOH
박	박	NNG	I-NOH
과	과	JC	O
_	_	_	O
조	조	NNG	O
·	·	SP	O
석식	석식	NNG	O
에	에	JKB	O
_	_	_	O
온천	온천	NNG	O
_	_	_	O
사우나	사우나	NNG	O
프리	프리	NNG	O
패스	패스	NNG	O
를	를	JKO	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
에게	에게	JKB	O
_	_	_	O
제공한다	제공하+ㄴ다	VV+EF	O
.	.	SF	O

