## 1
## 공기통해 전염 “위험”… 발병 3∼5일내 치사
## 공기통해 전염 “위험”… 발병 <3:DAT>∼<5일:DAT>내 치사
공기	공기	NNG	O
선수	선수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
컨디션	컨디션	NNG	O
도	도	JX	O
_	_	_	O
완벽하	완벽하	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 군수산업 능력면에서 북한은 지상무기, 해상수중무기에서, 남한은 박격포및 구축함에서 각각 우세하다.
## 군수산업 능력면에서 <북한:ORG>은 지상무기, 해상수중무기에서, <남한:ORG>은 박격포및 구축함에서 각각 우세하다.
군수	군수	NNG	O
산업	산업	NNG	O
_	_	_	O
능력	능력	NNG	O
면	면	NNG	O
에서	에서	JKB	O
_	_	_	O
북한	북한	NNP	B-ORG
은	은	JX	O
_	_	_	O
지상	지상	NNG	O
무기	무기	NNG	O
,	,	SP	O
_	_	_	O
해상	해상	NNG	O
수중	수중	NNG	O
무기	무기	NNG	O
에서	에서	JKB	O
,	,	SP	O
_	_	_	O
남한	남한	NNP	B-ORG
은	은	JX	O
_	_	_	O
박격포	박격포	NNG	O
및	및	MAG	O
_	_	_	O
구축함	구축함	NNG	O
에서	에서	JKB	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
우세하	우세하	VA	O
다	다	EF	O
.	.	SF	O

## 11
## “선두권인 삼성과의 첫 경기 때는 너무 긴장했어요.
## “선두권인 <삼성:ORG>과의 <첫:NOH> 경기 때는 너무 긴장했어요.
“	“	SS	O
선두권	선두권	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
삼성	삼성	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	B-NOH
_	_	_	O
경기	경기	NNG	O
_	_	_	O
때	때	NNG	O
는	는	JX	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
긴장	긴장하	VV	O
했	였	EP	O
어요	어요	EF	O
.	.	SF	O

