## 1
## 소니는 13일 긴자 미쓰코시 백화점 인근 지상 8층 지하 5층 빌딩을 내년 3월 해체한다고 발표했다.
## <소니:ORG>는 <13일:DAT> <긴자 미쓰코시 백화점:LOC> 인근 지상 <8층:NOH> 지하 <5층:NOH> 빌딩을 내년 <3월:DAT> 해체한다고 발표했다.
소니	소니	NNP	B-ORG
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## “분야를 가리지 않고 하고 싶은 활동을 한 뒤 지난 1년을 돌아보니까 신기하게도 모든 활동이 ‘사회문화’와 관련이 있었어요.
## “분야를 가리지 않고 하고 싶은 활동을 한 뒤 지난 <1년:NOH>을 돌아보니까 신기하게도 모든 활동이 ‘사회문화’와 관련이 있었어요.
“	“	SS	O
분야	분야	NNG	O
를	를	JKO	O
_	_	_	O
가리	가리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
은	은	ETM	O
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-NOH
년	년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
돌아보	돌아보	VV	O
니까	니까	EC	O
_	_	_	O
신기하	신기하	VA	O
게	게	EC	O
도	도	JX	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
활동	활동	NNG	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
사회	사회	NNG	O
문화	문화	NNG	O
’	’	SS	O
와	와	JKB	O
_	_	_	O
관련	관련	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
어요	어요	EF	O
.	.	SF	O

## 5
## 더구나 이대호가 홈런을 주로 치는 왼쪽 방향에는 구장의 상징과도 같은 높이 11.3m의 녹색 외야 펜스인 일명 ‘그린몬스터’가 있어 홈런을 노리기가 쉽지 않다.
## 더구나 <이대호:PER>가 홈런을 주로 치는 왼쪽 방향에는 구장의 상징과도 같은 높이 <11.3m:NOH>의 녹색 외야 펜스인 일명 ‘그린몬스터’가 있어 홈런을 노리기가 쉽지 않다.
더구나	더구나	MAG	O
_	_	_	O
이대호	이대호	NNP	B-PER
가	가	JKS	O
_	_	_	O
홈런	홈런	NNG	O
을	을	JKO	O
_	_	_	O
주로	주로	MAG	O
_	_	_	O
치	치	VV	O
는	는	ETM	O
_	_	_	O
왼쪽	왼쪽	NNG	O
_	_	_	O
방향	방향	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
구장	구장	NNG	O
의	의	JKG	O
_	_	_	O
상징	상징	NNG	O
과	과	JKB	O
도	도	JX	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
높이	높이	NNG	O
_	_	_	O
11.3	11.3	SN	B-NOH
m	m	SL	I-NOH
의	의	JKG	O
_	_	_	O
녹색	녹색	NNG	O
_	_	_	O
외야	외야	NNG	O
_	_	_	O
펜스	펜스	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
일명	일명	NNG	O
_	_	_	O
‘	‘	SS	O
그린	그린	NNP	O
몬스터	몬스터	NNG	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
홈런	홈런	NNG	O
을	을	JKO	O
_	_	_	O
노리	노리	VV	O
기	기	ETN	O
가	가	JKS	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 그는 자신의 휴대전화 번호까지 공개하며 “24시간 통화 가능”이라고도 적었다.
## 그는 자신의 휴대전화 번호까지 공개하며 “<24시간:DUR> 통화 가능”이라고도 적었다.
그	그	NP	O
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
휴대	휴대	NNG	O
전화	전화	NNG	O
_	_	_	O
번호	번호	NNG	O
까지	까지	JX	O
_	_	_	O
공개하	공개하	VV	O
며	며	EC	O
_	_	_	O
“	“	SS	O
24	24	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
통화	통화	NNG	O
_	_	_	O
가능	가능	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
도	도	JX	O
_	_	_	O
적	적	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 최근 자유여행객이 혼자서 규슈 지역의 코스와 일정을 짤 수 있는 정보를 담은 가이드북 ‘큐슈로 가출하기’가 나왔다.
## 최근 자유여행객이 혼자서 <규슈:LOC> 지역의 코스와 일정을 짤 수 있는 정보를 담은 가이드북 ‘<큐슈로 가출하기:POH>’가 나왔다.
최근	최근	NNG	O
_	_	_	O
자유	자유	NNG	O
여행객	여행객	NNG	O
이	이	JKS	O
_	_	_	O
혼자	혼자	NNG	O
서	서	JKS	O
_	_	_	O
규슈	규슈	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
의	의	JKG	O
_	_	_	O
코스	코스	NNG	O
와	와	JC	O
_	_	_	O
일정	일정	NNG	O
을	을	JKO	O
_	_	_	O
짤	짜+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
담	담	VV	O
은	은	ETM	O
_	_	_	O
가이드북	가이드북	NNG	O
_	_	_	O
‘	‘	SS	O
큐슈	큐슈	NNP	B-POH
로	로	JKB	I-POH
_	_	_	I-POH
가출하	가출하	VV	I-POH
기	기	ETN	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## MBC로 복귀하는 노홍철, 자숙 끝? ‘무한도전 복귀는 검토조차 한 적 없다’
## <MBC:ORG>로 복귀하는 <노홍철:PER>, 자숙 끝? ‘<무한도전:POH> 복귀는 검토조차 한 적 없다’
MBC	MBC	SL	B-ORG
로	로	JKB	O
_	_	_	O
복귀하	복귀하	VV	O
는	는	ETM	O
_	_	_	O
노홍철	노홍철	NNP	B-PER
,	,	SP	O
_	_	_	O
자숙	자숙	NNG	O
_	_	_	O
끝	끝	NNG	O
?	?	SF	O
_	_	_	O
‘	‘	SS	O
무한도전	무한도전	NNP	B-POH
_	_	_	O
복귀	복귀	NNG	O
는	는	JX	O
_	_	_	O
검토	검토	NNG	O
조차	조차	JX	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
’	’	SS	O

## 9
## 그러나 김현수의 의지가 먼저다.
## 그러나 <김현수:PER>의 의지가 먼저다.
그러나	그러나	MAJ	O
_	_	_	O
김현수	김현수	NNP	B-PER
의	의	JKG	O
_	_	_	O
의지	의지	NNG	O
가	가	JKS	O
_	_	_	O
먼저	먼저+이	MAG+VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 기재부에 따르면 이 기관들의 부채는 올해 말 496조6000억 원으로 작년 말(497조6000억 원)보다 1조 원 정도 줄어든다.
## <기재부:ORG>에 따르면 이 기관들의 부채는 올해 말 <496조6000억 원:MNY>으로 작년 말(<497조6000억 원:MNY>)보다 <1조 원:MNY> 정도 줄어든다.
기재	기재	NNG	B-ORG
부	부	XSN	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
기관	기관	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
부채	부채	NNG	O
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
말	말	NNB	O
_	_	_	O
496	496	SN	B-MNY
조	조	NNG	I-MNY
6000	6000	SN	I-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
작년	작년	NNG	O
_	_	_	O
말	말	NNB	O
(	(	SS	O
497	497	SN	B-MNY
조	조	NNG	I-MNY
6000	6000	SN	I-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
1	1	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
정도	정도	NNG	O
_	_	_	O
줄어든다	줄어들+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 삼성전자는 23일 ‘갤럭시 노트7 발화’ 원인에 대한 자체 조사 결과를 발표할 예정이다.
## <삼성전자:ORG>는 <23일:DAT> ‘<갤럭시 노트7:POH> 발화’ 원인에 대한 자체 조사 결과를 발표할 예정이다.
삼성전자	삼성전자	NNP	B-ORG
는	는	JX	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
‘	‘	SS	O
갤럭시	갤럭시	NNP	B-POH
_	_	_	I-POH
노트	노트	NNG	I-POH
7	7	SN	I-POH
_	_	_	O
발화	발화	NNG	O
’	’	SS	O
_	_	_	O
원인	원인	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
자체	자체	NNG	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
를	를	JKO	O
_	_	_	O
발표할	발표하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 산청군청 관계자는 “귀농 가정에 10만원 상당의 선물세트를 주고, 중·고등학교에는 기숙사를 마련하는 등 젊은 층 인구를 잡기 위해 많은 노력을 기울이고 있다”고 말했다.
## <산청군청:ORG> 관계자는 “귀농 가정에 <10만원:MNY> 상당의 선물세트를 주고, 중·고등학교에는 기숙사를 마련하는 등 젊은 층 인구를 잡기 위해 많은 노력을 기울이고 있다”고 말했다.
산청군청	산청군청	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
귀농	귀농	NNG	O
_	_	_	O
가정	가정	NNG	O
에	에	JKB	O
_	_	_	O
10	10	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
상당	상당	NNG	O
의	의	JKG	O
_	_	_	O
선물	선물	NNG	O
세트	세트	NNG	O
를	를	JKO	O
_	_	_	O
주	주	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
중	중	NNP	O
·	·	SP	O
고등학교	고등학교	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
기숙사	기숙사	NNG	O
를	를	JKO	O
_	_	_	O
마련하	마련하	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
층	층	NNG	O
_	_	_	O
인구	인구	NNG	O
를	를	JKO	O
_	_	_	O
잡	잡	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
노력	노력	NNG	O
을	을	JKO	O
_	_	_	O
기울이	기울이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 한고은 결혼설, 4세 연하 대기업 사원과 열애 공개하더니…소속사 입장은?배우 한고은이 결혼을 한다는 소식이 전해져 화제다.
## <한고은:PER> 결혼설, <4세:NOH> 연하 대기업 사원과 열애 공개하더니…소속사 입장은?배우 <한고은:PER>이 결혼을 한다는 소식이 전해져 화제다.
한고은	한고은	NNP	B-PER
_	_	_	O
결혼	결혼	NNG	O
설	설	XSN	O
,	,	SP	O
_	_	_	O
4	4	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
연하	연하	NNG	O
_	_	_	O
대기업	대기업	NNG	O
_	_	_	O
사원	사원	NNG	O
과	과	JKB	O
_	_	_	O
열애	열애	NNG	O
_	_	_	O
공개하	공개하	VV	O
더니	더니	EC	O
…	…	SE	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
입장	입장	NNG	O
은	은	JX	O
?	?	SF	O
배우	배우	NNG	O
_	_	_	O
한고은	한고은	NNP	B-PER
이	이	JKS	O
_	_	_	O
결혼	결혼	NNG	O
을	을	JKO	O
_	_	_	O
한다는	하+ㄴ다는	VV+ETM	O
_	_	_	O
소식	소식	NNG	O
이	이	JKS	O
_	_	_	O
전해	전하+여	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
화제	화제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 21일 한 매체는 웨딩 업체 관계자의 말을 인용해 “한고은이 남자친구와 결혼을 결심했다.
## <21일:DAT> <한:NOH> 매체는 웨딩 업체 관계자의 말을 인용해 “<한고은:PER>이 남자친구와 결혼을 결심했다.
21	21	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
웨딩	웨딩	NNG	O
_	_	_	O
업체	업체	NNG	O
_	_	_	O
관계자	관계자	NNG	O
의	의	JKG	O
_	_	_	O
말	말	NNG	O
을	을	JKO	O
_	_	_	O
인용해	인용하+여	VV+EC	O
_	_	_	O
“	“	SS	O
한고은	한고은	NNP	B-PER
이	이	JKS	O
_	_	_	O
남자	남자	NNG	O
친구	친구	NNG	O
와	와	JKB	O
_	_	_	O
결혼	결혼	NNG	O
을	을	JKO	O
_	_	_	O
결심	결심하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

