## 1
## 파예즈 사라즈 리비아 총리는 “군이 시르테에 들어섰다.
## <파예즈 사라즈:PER> <리비아:ORG> 총리는 “군이 <시르테:LOC>에 들어섰다.
파예즈	파예즈	NNP	B-PER
## 6
## 안산공장은 이로써 윤전기 5세트를 보유해 국내 최대 규모의 신문인쇄 공장이 되었다.
## <안산:LOC>공장은 이로써 윤전기 <5세트:NOH>를 보유해 국내 최대 규모의 신문인쇄 공장이 되었다.
안산	안산	NNP	B-LOC
공장	공장	NNG	O
은	은	JX	O
_	_	_	O
이	이	NP	O
로써	로써	JKB	O
_	_	_	O
윤전기	윤전기	NNG	O
_	_	_	O
5	5	SN	B-NOH
세트	세트	NNG	I-NOH
를	를	JKO	O
_	_	_	O
보유해	보유하+여	VV+EC	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
신문	신문	NNG	O
인쇄	인쇄	NNG	O
_	_	_	O
공장	공장	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 제일건설이 5월 분양한 제일풍경채 2차는 순위 내 청약에서 평균 2.7대 1, 최고 102대 1의 경쟁률을 기록했다.
## <제일건설:ORG>이 <5월:DAT> 분양한 <제일풍경채 2차:POH>는 순위 내 청약에서 평균 <2.7대 1:NOH>, 최고 <102대 1:NOH>의 경쟁률을 기록했다.
제일	제일	NNG	B-ORG
건설	건설	NNG	I-ORG
이	이	JKS	O
_	_	_	O
5	5	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
분양한	분양하+ㄴ	VV+ETM	O
_	_	_	O
제	제	XPN	B-POH
일	일	NNG	I-POH
풍경	풍경	NNG	I-POH
채	채	NNB	I-POH
_	_	_	I-POH
2	2	SN	I-POH
차	차	NNB	I-POH
는	는	JX	O
_	_	_	O
순위	순위	NNG	O
_	_	_	O
내	내	NNB	O
_	_	_	O
청약	청약	NNG	O
에서	에서	JKB	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
2.7	2.7	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	I-NOH
1	1	SN	I-NOH
,	,	SP	O
_	_	_	O
최고	최고	NNG	O
_	_	_	O
102	102	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	I-NOH
1	1	SN	I-NOH
의	의	JKG	O
_	_	_	O
경쟁률	경쟁률	NNG	O
을	을	JKO	O
_	_	_	O
기록	기록하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 중국 베트남 캐나다 등 해외 안내센터 10곳은 대구 의료관광을 알리는 전진기지 역할을 한다.
## <중국:LOC> <베트남:LOC> <캐나다:LOC> 등 해외 안내센터 <10곳:NOH>은 <대구:LOC> 의료관광을 알리는 전진기지 역할을 한다.
중국	중국	NNP	B-LOC
_	_	_	O
베트남	베트남	NNP	B-LOC
_	_	_	O
캐나다	캐나다	NNP	B-LOC
_	_	_	O
등	등	NNB	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
안내	안내	NNG	O
센터	센터	NNG	O
_	_	_	O
10	10	SN	B-NOH
곳	곳	NNG	I-NOH
은	은	JX	O
_	_	_	O
대구	대구	NNP	B-LOC
_	_	_	O
의료	의료	NNG	O
관광	관광	NNG	O
을	을	JKO	O
_	_	_	O
알리	알리	VV	O
는	는	ETM	O
_	_	_	O
전진	전진	NNG	O
기지	기지	NNG	O
_	_	_	O
역할	역할	NNG	O
을	을	JKO	O
_	_	_	O
한다	하+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## "군밤 드실래유?" 더블에스301 허영생, 군밤 장수로 변신
## "군밤 드실래유?" <더블에스301:ORG> <허영생:PER>, 군밤 장수로 변신
"	"	SS	O
군밤	군밤	NNG	O
_	_	_	O
드	들	VV	O
실	시+ㄹ+이	EP+ETM+VCP	O
래유	래유	EF	O
?	?	SF	O
"	"	SS	O
_	_	_	O
더블	더블	NNG	B-ORG
에스	에스	NNG	I-ORG
301	301	SN	I-ORG
_	_	_	O
허영생	허영생	NNP	B-PER
,	,	SP	O
_	_	_	O
군밤	군밤	NNG	O
_	_	_	O
장수	장수	NNG	O
로	로	JKB	O
_	_	_	O
변신	변신	NNG	O

## 10
## 그룹의 비리 수사와 국정농단 사태 연루 의혹 등 끝없는 안개 속을 걷고 있는 롯데그룹은 생존을 위한 지배구조개선과 질적성장 등의 변화를 꾀할 방침이다.
## 그룹의 비리 수사와 국정농단 사태 연루 의혹 등 끝없는 안개 속을 걷고 있는 <롯데그룹:ORG>은 생존을 위한 지배구조개선과 질적성장 등의 변화를 꾀할 방침이다.
그룹	그룹	NNG	O
의	의	JKG	O
_	_	_	O
비리	비리	NNG	O
_	_	_	O
수사	수사	NNG	O
와	와	JC	O
_	_	_	O
국정	국정	NNG	O
농단	농단	NNG	O
_	_	_	O
사태	사태	NNG	O
_	_	_	O
연루	연루	NNG	O
_	_	_	O
의혹	의혹	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
끝없	끝없	VA	O
는	는	ETM	O
_	_	_	O
안개	안개	NNG	O
_	_	_	O
속	속	NNG	O
을	을	JKO	O
_	_	_	O
걷	걷	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
롯데그룹	롯데그룹	NNP	B-ORG
은	은	JX	O
_	_	_	O
생존	생존	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
지배	지배	NNG	O
구조	구조	NNG	O
개선	개선	NNG	O
과	과	JC	O
_	_	_	O
질적	질적	NNG	O
성장	성장	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
변화	변화	NNG	O
를	를	JKO	O
_	_	_	O
꾀할	꾀하+ㄹ	VV+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 시진핑 중국 주석은 사드 배치가 확정되기 전부터 “한반도 사드 배치를 반대한다”는 입장을 박근혜 대통령에게 직간접적으로 여러 차례 전달했다.
## <시진핑:PER> <중국:ORG> 주석은 <사드:POH> 배치가 확정되기 전부터 “<한반도:LOC> <사드:POH> 배치를 반대한다”는 입장을 <박근혜:PER> 대통령에게 직간접적으로 여러 차례 전달했다.
시진핑	시진핑	NNP	B-PER
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
주석	주석	NNG	O
은	은	JX	O
_	_	_	O
사드	사드	NNP	B-POH
_	_	_	O
배치	배치	NNG	O
가	가	JKS	O
_	_	_	O
확정되	확정되	VV	O
기	기	ETN	O
_	_	_	O
전	전	NNG	O
부터	부터	JX	O
_	_	_	O
“	“	SS	O
한반도	한반도	NNP	B-LOC
_	_	_	O
사드	사드	NNP	B-POH
_	_	_	O
배치	배치	NNG	O
를	를	JKO	O
_	_	_	O
반대한다	반대하+ㄴ다	VV+EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
에게	에게	JKB	O
_	_	_	O
직간접	직간접	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
여러	여러	MM	O
_	_	_	O
차례	차례	NNG	O
_	_	_	O
전달	전달하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 그럼에도 박근혜 정부가 사드 배치를 밀어붙이자 중국 정부는 이를 중국에 대한 배신으로 받아들였다.
## 그럼에도 <박근혜 정부:ORG>가 <사드:POH> 배치를 밀어붙이자 <중국 정부:ORG>는 이를 <중국:ORG>에 대한 배신으로 받아들였다.
그럼에도	그렇+ㅁ에도	VA+EC	O
_	_	_	O
박근혜	박근혜	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
가	가	JKS	O
_	_	_	O
사드	사드	NNP	B-POH
_	_	_	O
배치	배치	NNG	O
를	를	JKO	O
_	_	_	O
밀어붙이	밀어붙이	VV	O
자	자	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
는	는	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
중국	중국	NNP	B-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
배신	배신	NNG	O
으로	으로	JKB	O
_	_	_	O
받아들	받아들이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## SF전 5회-7회 연타석 대포 폭발… 첫 멀티홈런에 100안타도 채워
## <SF전:POH> <5회:NOH>-<7회:NOH> 연타석 대포 폭발… 첫 멀티홈런에 <100안타:NOH>도 채워
SF	SF	SL	B-POH
전	전	XSN	I-POH
_	_	_	O
5	5	SN	B-NOH
회	회	NNB	I-NOH
-	-	SO	O
7	7	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
연	연	XPN	O
타석	타석	NNG	O
_	_	_	O
대포	대포	NNG	O
_	_	_	O
폭발	폭발	NNG	O
…	…	SE	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
멀티	멀티	NNG	O
홈런	홈런	NNG	O
에	에	JKB	O
_	_	_	O
100	100	SN	B-NOH
안타	안타	NNG	I-NOH
도	도	JX	O
_	_	_	O
채	채우	VV	O
워	어	EC	O

## 14
## 관세청은 자동차와 TV의 부분품(원형 그대로 제품에 부착되는 것) 수출이 늘어난 영향이 컸다고 분석했다.
## <관세청:ORG>은 자동차와 TV의 부분품(원형 그대로 제품에 부착되는 것) 수출이 늘어난 영향이 컸다고 분석했다.
관세청	관세청	NNG	B-ORG
은	은	JX	O
_	_	_	O
자동차	자동차	NNG	O
와	와	JC	O
_	_	_	O
TV	TV	SL	O
의	의	JKG	O
_	_	_	O
부분품	부분품	NNG	O
(	(	SS	O
원형	원형	NNG	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
제품	제품	NNG	O
에	에	JKB	O
_	_	_	O
부착되	부착되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
)	)	SS	O
_	_	_	O
수출	수출	NNG	O
이	이	JKS	O
_	_	_	O
늘어난	늘어나+ㄴ	VV+ETM	O
_	_	_	O
영향	영향	NNG	O
이	이	JKS	O
_	_	_	O
컸	+었	+EP	O
다고	다고	EC	O
_	_	_	O
분석	분석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 관람 시간은 오전 10시부터 오후 6시까지. 02-780-0366● 증권사, 소비자에 협의수수료 산정 기준 알려야 증권사들은 앞으로 우수 고객에게 제공하는 협의 수수료의 산정 기준을 구체적으로 소비자에게 알려야 한다.
## 관람 시간은 <오전 10시부터 오후 6시:DUR>까지. <02-780-0366:POH>● 증권사, 소비자에 협의수수료 산정 기준 알려야 증권사들은 앞으로 우수 고객에게 제공하는 협의 수수료의 산정 기준을 구체적으로 소비자에게 알려야 한다.
관람	관람	NNG	O
_	_	_	O
시간	시간	NNG	O
은	은	JX	O
_	_	_	O
오전	오전	NNG	B-DUR
_	_	_	I-DUR
10	10	SN	I-DUR
시	시	NNB	I-DUR
부터	부터	JX	I-DUR
_	_	_	I-DUR
오후	오후	NNG	I-DUR
_	_	_	I-DUR
6	6	SN	I-DUR
시	시	NNB	I-DUR
까지	까지	JX	O
.	.	SF	O
_	_	_	O
02	02	SN	B-POH
-	-	SO	I-POH
780	780	SN	I-POH
-	-	SO	I-POH
0366	0366	SN	I-POH
●	●	SW	O
_	_	_	O
증권사	증권사	NNG	O
,	,	SP	O
_	_	_	O
소비자	소비자	NNG	O
에	에	JKB	O
_	_	_	O
협의	협의	NNG	O
수수료	수수료	NNG	O
_	_	_	O
산정	산정	NNG	O
_	_	_	O
기준	기준	NNG	O
_	_	_	O
알려야	알리+어야	VV+EC	O
_	_	_	O
증권사	증권사	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
_	_	_	O
우수	우수	NNG	O
_	_	_	O
고객	고객	NNG	O
에게	에게	JKB	O
_	_	_	O
제공하	제공하	VV	O
는	는	ETM	O
_	_	_	O
협의	협의	NNG	O
_	_	_	O
수수료	수수료	NNG	O
의	의	JKG	O
_	_	_	O
산정	산정	NNG	O
_	_	_	O
기준	기준	NNG	O
을	을	JKO	O
_	_	_	O
구체적	구체적	NNG	O
으로	으로	JKB	O
_	_	_	O
소비자	소비자	NNG	O
에게	에게	JKB	O
_	_	_	O
알려야	알리+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

## 16
## DMC 페스티벌 MC 소녀시대 티파니·유리, 음중 이후 MC 오랜만…
## <DMC 페스티벌:POH> MC <소녀시대:ORG> <티파니:PER>·<유리:PER>, <음중:ORG> 이후 MC 오랜만…
DMC	DMC	SL	B-POH
_	_	_	I-POH
페스티벌	페스티벌	NNG	I-POH
_	_	_	O
MC	MC	SL	O
_	_	_	O
소녀	소녀	NNG	B-ORG
시대	시대	NNG	I-ORG
_	_	_	O
티파니	티파니	NNP	B-PER
·	·	SP	O
유리	유리	NNG	B-PER
,	,	SP	O
_	_	_	O
음중	음중	NNG	B-ORG
_	_	_	O
이후	이후	NNG	O
_	_	_	O
MC	MC	SL	O
_	_	_	O
오랜만	오랜만	NNG	O
…	…	SE	O

## 17
## [health&] 홍삼, 피부에도 좋네요 … 기미·주름·주근깨 개선 등 안티에이징 효과
## [<health&:POH>] 홍삼, 피부에도 좋네요 … 기미·주름·주근깨 개선 등 안티에이징 효과
[	[	SS	O
health	health	SL	B-POH
&	&	SW	I-POH
]	]	SS	O
_	_	_	O
홍삼	홍삼	NNG	O
,	,	SP	O
_	_	_	O
피부	피부	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
좋	좋	VA	O
네요	네요	EC	O
_	_	_	O
…	…	SE	O
_	_	_	O
기미	기미	NNG	O
·	·	SP	O
주름	주름	NNG	O
·	·	SP	O
주근깨	주근깨	NNG	O
_	_	_	O
개선	개선	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
안티에이징	안티에이징	NNG	O
_	_	_	O
효과	효과	NNG	O

