## 1
## 여기서 우투수는 우타자를 상대로 0.279, 좌타자를 상대로 0.286의 피안타율을 기록했다.
## 여기서 우투수는 우타자를 상대로 <0.279:PNT>, 좌타자를 상대로 <0.286:PNT>의 피안타율을 기록했다.
여기	여기	NP	O
## 안 전 대표는 친박(친박근혜)과 친문(친문재인)을 제외한 세력이 합치는 ‘제3지대론’에 대해 “총선 민심이 저희를 깨워 주셨는데 그걸 스스로 부정하는 건 민심에 반하는 것”이라고 일축했다.
## <안:PER> 전 대표는 친박(친<박근혜:PER>)과 친문(친<문재인:PER>)을 제외한 세력이 합치는 ‘<제3:NOH>지대론’에 대해 “총선 민심이 저희를 깨워 주셨는데 그걸 스스로 부정하는 건 민심에 반하는 것”이라고 일축했다.
안	안	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
친	친	XPN	O
박	박	NNP	O
(	(	SS	O
친	친	XPN	O
박근혜	박근혜	NNP	B-PER
)	)	SS	O
과	과	JKB	O
_	_	_	O
친	친	XPN	O
문	문	NNP	O
(	(	SS	O
친	친	XPN	O
문재인	문재인	NNP	B-PER
)	)	SS	O
을	을	JKO	O
_	_	_	O
제외한	제외하+ㄴ	VV+ETM	O
_	_	_	O
세력	세력	NNG	O
이	이	JKS	O
_	_	_	O
합치	합치	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
제	제	XPN	B-NOH
3	3	SN	I-NOH
지대론	지대론	NNG	O
’	’	SS	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
총선	총선	NNG	O
_	_	_	O
민심	민심	NNG	O
이	이	JKS	O
_	_	_	O
저희	저희	NP	O
를	를	JKO	O
_	_	_	O
깨	깨우	VV	O
워	어	EC	O
_	_	_	O
주	주+시	VX+EP	O
셨	었	EP	O
는데	는데	EC	O
_	_	_	O
그걸	그것+ㄹ	NP+JKO	O
_	_	_	O
스스로	스스로	MAG	O
_	_	_	O
부정하	부정하	VV	O
는	는	ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
민심	민심	NNG	O
에	에	JKB	O
_	_	_	O
반하	반하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
일축	일축하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 얼마 전 안산에 있는 지아네 집을 찾았다.
## 얼마 전 <안산:LOC>에 있는 <지아:PER>네 집을 찾았다.
얼마	얼마	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
안산	안산	NNP	B-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
지	지	NNB	B-PER
아네	아네	NNG	O
_	_	_	O
집	집	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## tvN 관계자는 1월31일 “술을 마시며 이야기하는 취중진담 콘셉트의 장점을 최대한 살리기 위해 이 같이 결정했다”며 “15세 이상 관람가 때보다 조금 더 편안하고 자유로운 분위기를 전달하기 위해 맞춤 편집한다”고 밝혔다.
## <tvN:ORG> 관계자는 <1월31일:DAT> “술을 마시며 이야기하는 취중진담 콘셉트의 장점을 최대한 살리기 위해 이 같이 결정했다”며 “<15세:NOH> 이상 관람가 때보다 조금 더 편안하고 자유로운 분위기를 전달하기 위해 맞춤 편집한다”고 밝혔다.
tvN	tvN	SL	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
31	31	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
술	술	NNG	O
을	을	JKO	O
_	_	_	O
마시	마시	VV	O
며	며	EC	O
_	_	_	O
이야기하	이야기하	VV	O
는	는	ETM	O
_	_	_	O
취중	취중	NNG	O
진담	진담	NNG	O
_	_	_	O
콘셉트	콘셉트	NNG	O
의	의	JKG	O
_	_	_	O
장점	장점	NNG	O
을	을	JKO	O
_	_	_	O
최대한	최대한	NNG	O
_	_	_	O
살리	살리	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
이	이	NP	O
_	_	_	O
같이	같이	MAG	O
_	_	_	O
결정	결정하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
15	15	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
관람	관람	NNG	O
가	가	NNG	O
_	_	_	O
때	때	NNG	O
보다	보다	JKB	O
_	_	_	O
조금	조금	MAG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
편안하	편안하	VA	O
고	고	EC	O
_	_	_	O
자유로	자유롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
분위기	분위기	NNG	O
를	를	JKO	O
_	_	_	O
전달하	전달하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
맞춤	맞춤	NNG	O
_	_	_	O
편집한다	편집하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 슈틸리케 감독은 이날 전주월드컵경기장에서 팬 사인회와 시축으로 팬들을 만나며 K리그 개막을 축하한다.
## <슈틸리케:PER> 감독은 이날 <전주월드컵경기장:LOC>에서 팬 사인회와 시축으로 팬들을 만나며 <K리그:POH> 개막을 축하한다.
슈틸리케	슈틸리케	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
전주월드컵경기장	전주월드컵경기장	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
팬	팬	NNG	O
_	_	_	O
사인회	사인회	NNG	O
와	와	JC	O
_	_	_	O
시축	시축	NNG	O
으로	으로	JKB	O
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
만나	만나	VV	O
며	며	EC	O
_	_	_	O
K	K	SL	B-POH
리그	리그	NNG	I-POH
_	_	_	O
개막	개막	NNG	O
을	을	JKO	O
_	_	_	O
축하한다	축하하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 한편 7일 오후 3시 KBS1TV에서 생중계되는 공식개막전 전북-성남 경기에 앞서 동계 전지훈련 선수단을 밀착 스케치한 K리그 클래식 12팀의 다큐멘터리 ‘2015 K리그 클래식 개막특집-새로운 시즌 그래서 K리그’가 오후 2시부터 방송된다.
## 한편 <7일:DAT> <오후 3시:TIM> <KBS1TV:POH>에서 생중계되는 공식개막전 <전북:ORG>-<성남:ORG> 경기에 앞서 동계 전지훈련 선수단을 밀착 스케치한 <K리그 클래식:POH> <12팀:NOH>의 다큐멘터리 ‘<2015:DAT> <K리그 클래식:POH> 개막특집-새로운 시즌 그래서 <K리그:POH>’가 <오후 2시:TIM>부터 방송된다.
한편	한편	MAG	O
_	_	_	O
7	7	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
3	3	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
KBS	KBS	SL	B-POH
1	1	SN	I-POH
TV	TV	SL	I-POH
에서	에서	JKB	O
_	_	_	O
생	생	XPN	O
중계되	중계되	VV	O
는	는	ETM	O
_	_	_	O
공식	공식	NNG	O
개막	개막	NNG	O
전	전	NNP	O
_	_	_	O
전북	전북	NNP	B-ORG
-	-	SO	O
성남	성남	NNP	B-ORG
_	_	_	O
경기	경기	NNG	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
동계	동계	NNG	O
_	_	_	O
전지훈련	전지훈련	NNG	O
_	_	_	O
선수단	선수단	NNG	O
을	을	JKO	O
_	_	_	O
밀착	밀착	NNG	O
_	_	_	O
스케치한	스케치하+ㄴ	VV+ETM	O
_	_	_	O
K	K	SL	B-POH
리그	리그	NNG	I-POH
_	_	_	I-POH
클래식	클래식	NNG	I-POH
_	_	_	O
12	12	SN	B-NOH
팀	팀	NNG	I-NOH
의	의	JKG	O
_	_	_	O
다큐멘터리	다큐멘터리	NNG	O
_	_	_	O
‘	‘	SS	O
2015	2015	SN	B-DAT
_	_	_	O
K	K	SL	B-POH
리그	리그	NNG	I-POH
_	_	_	I-POH
클래식	클래식	NNG	I-POH
_	_	_	O
개막	개막	NNG	O
특집	특집	NNG	O
-	-	SO	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
그래서	그래서	MAJ	O
_	_	_	O
K	K	SL	B-POH
리그	리그	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
2	2	SN	I-TIM
시	시	NNB	I-TIM
부터	부터	JX	O
_	_	_	O
방송된다	방송되+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 2015 K리그 클래식은 차두리(서울), 김신욱(울산), 정대세(수원), 이동국 등 내로라하는 스타선수들이 개막 준비를 끝내고 축구팬들을 맞을 채비를 마쳤다.
## <2015:DAT> <K리그 클래식:POH>은 <차두리:PER>(<서울:LOC>), <김신욱:PER>(<울산:LOC>), <정대세:PER>(<수원:LOC>), <이동국:PER> 등 내로라하는 스타선수들이 개막 준비를 끝내고 축구팬들을 맞을 채비를 마쳤다.
2015	2015	SN	B-DAT
_	_	_	O
K	K	SL	B-POH
리그	리그	NNG	I-POH
_	_	_	I-POH
클래식	클래식	NNG	I-POH
은	은	JX	O
_	_	_	O
차두리	차두리	NNP	B-PER
(	(	SS	O
서울	서울	NNP	B-LOC
)	)	SS	O
,	,	SP	O
_	_	_	O
김신욱	김신욱	NNP	B-PER
(	(	SS	O
울산	울산	NNP	B-LOC
)	)	SS	O
,	,	SP	O
_	_	_	O
정대	정대	NNG	B-PER
세	세	NNB	I-PER
(	(	SS	O
수원	수원	NNP	B-LOC
)	)	SS	O
,	,	SP	O
_	_	_	O
이동국	이동국	NNP	B-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
내로라하	내로라하	VV	O
는	는	ETM	O
_	_	_	O
스타	스타	NNG	O
선수	선수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
개막	개막	NNG	O
_	_	_	O
준비	준비	NNG	O
를	를	JKO	O
_	_	_	O
끝내	끝내	VV	O
고	고	EC	O
_	_	_	O
축구	축구	NNG	O
팬	팬	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
을	을	ETM	O
_	_	_	O
채비	채비	NNG	O
를	를	JKO	O
_	_	_	O
마	마치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 선불카드 하나로 4명이 무기명으로 그린피 면제 혜택을 받을 수도 있다.
## 선불카드 <하나:NOH>로 <4명:NOH>이 무기명으로 그린피 면제 혜택을 받을 수도 있다.
선불카드	선불카드	NNG	O
_	_	_	O
하나	하나	NNG	B-NOH
로	로	JKB	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
무기명	무기명	NNG	O
으로	으로	JKB	O
_	_	_	O
그린피	그린피	NNG	O
_	_	_	O
면제	면제	NNG	O
_	_	_	O
혜택	혜택	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 지난 5일 부산에서 열린 문 전 대표의 북콘서트에는 ‘미생’을 그린 만화가 윤태호, 가수 강산에ㆍ박기영, 방송인 김미화가 참석했다.
## 지난 <5일:DAT> <부산:LOC>에서 열린 <문:PER> 전 대표의 북콘서트에는 ‘<미생:POH>’을 그린 만화가 <윤태호:PER>, 가수 <강산에:PER>ㆍ<박기영:PER>, 방송인 <김미화:PER>가 참석했다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
부산	부산	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
문	문	NNG	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
의	의	JKG	O
_	_	_	O
북	북	NNG	O
콘서트	콘서트	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
미생	미생	NNG	B-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
그린	그리+ㄴ	VV+ETM	O
_	_	_	O
만화	만화	NNG	O
가	가	JKS	O
_	_	_	O
윤태호	윤태호	NNP	B-PER
,	,	SP	O
_	_	_	O
가수	가수	NNG	O
_	_	_	O
강산에	강산에	NNP	B-PER
ㆍ	ㆍ	SP	O
박기영	박기영	NNP	B-PER
,	,	SP	O
_	_	_	O
방송인	방송인	NNG	O
_	_	_	O
김미화	김미화	NNP	B-PER
가	가	JKS	O
_	_	_	O
참석	참석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 반면 2경기 째 승리를 올리지 못한 선두 서울은 6승1무2패, 승점 19로 제자리걸음했다.
## 반면 <2경기:NOH> 째 승리를 올리지 못한 선두 <서울:LOC>은 <6승:NOH><1무:NOH><2패:NOH>, 승점 <19:NOH>로 제자리걸음했다.
반면	반면	NNG	O
_	_	_	O
2	2	SN	B-NOH
경기	경기	NNG	I-NOH
_	_	_	O
째	째	XSN	O
_	_	_	O
승리	승리	NNG	O
를	를	JKO	O
_	_	_	O
올리	올리	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
선두	선두	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
은	은	JX	O
_	_	_	O
6	6	SN	B-NOH
승	승	NNB	I-NOH
1	1	SN	B-NOH
무	무	NNG	I-NOH
2	2	SN	B-NOH
패	패	NNB	I-NOH
,	,	SP	O
_	_	_	O
승점	승점	NNG	O
_	_	_	O
19	19	SN	B-NOH
로	로	JKB	O
_	_	_	O
제자리걸음	제자리걸음하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 하나는 코스플레이어 공연, 다른 하나는 일본 가수 아마쓰키(天月) 공연이었다.
## <하나:NOH>는 코스플레이어 공연, 다른 <하나:NOH>는 <일본:ORG> 가수 <아마쓰키:PER>(天月) 공연이었다.
하나	하나	NNG	B-NOH
는	는	JX	O
_	_	_	O
코스	코스	NNG	O
플레이어	플레이어	NNG	O
_	_	_	O
공연	공연	NNG	O
,	,	SP	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
하나	하나	NNG	B-NOH
는	는	JX	O
_	_	_	O
일본	일본	NNP	B-ORG
_	_	_	O
가수	가수	NNG	O
_	_	_	O
아마	아마	MAG	B-PER
쓰키	쓰키	NNG	I-PER
(	(	SS	O
天月	天月	SH	O
)	)	SS	O
_	_	_	O
공연	공연	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 그는 “홈쇼핑을 통해 한국 중소기업 제품을 알려 한국 경제에 도움을 줄 수 있다는 것도 매력적”이라고 말했다.
## 그는 “홈쇼핑을 통해 <한국:LOC> 중소기업 제품을 알려 <한국:LOC> 경제에 도움을 줄 수 있다는 것도 매력적”이라고 말했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
홈	홈	NNG	O
쇼핑	쇼핑	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
중소기업	중소기업	NNG	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
알려	알리+어	VV+EC	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
경제	경제	NNG	O
에	에	JKB	O
_	_	_	O
도움	도움	NNG	O
을	을	JKO	O
_	_	_	O
줄	주+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
매력적	매력적	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 게이틀링이 전반에만 14점을 몰아넣으며 스톡스와의 매치업에서 우위를 점했다.
## 게이틀링이 전반에만 <14점:NOH>을 몰아넣으며 스톡스와의 매치업에서 우위를 점했다.
게이	게이	NNG	O
틀	틀	NNG	O
링	링	NNG	O
이	이	JKS	O
_	_	_	O
전반	전반	NNG	O
에	에	JKB	O
만	만	JX	O
_	_	_	O
14	14	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
몰아넣	몰아넣	VV	O
으며	으며	EC	O
_	_	_	O
스톡	스톡	NNG	O
스와	스와	NNP	O
의	의	JKG	O
_	_	_	O
매치업	매치업	NNG	O
에서	에서	JKB	O
_	_	_	O
우위	우위	NNG	O
를	를	JKO	O
_	_	_	O
점	점하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 화가는 영국과 미국이 미개한 후진국들을 개화시키는 과정으로 19세기 말 제국주의를 이해했다.
## 화가는 <영국:ORG>과 <미국:ORG>이 미개한 후진국들을 개화시키는 과정으로 <19세기 말:DAT> 제국주의를 이해했다.
화가	화가	NNG	O
는	는	JX	O
_	_	_	O
영국	영국	NNP	B-ORG
과	과	JC	O
_	_	_	O
미국	미국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
미개한	미개하+ㄴ	VA+ETM	O
_	_	_	O
후진국	후진국	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
개화	개화	NNG	O
시키	시키	XSV	O
는	는	ETM	O
_	_	_	O
과정	과정	NNG	O
으로	으로	JKB	O
_	_	_	O
19	19	SN	B-DAT
세기	세기	NNG	I-DAT
_	_	_	I-DAT
말	말	NNB	I-DAT
_	_	_	O
제국주의	제국주의	NNG	O
를	를	JKO	O
_	_	_	O
이해	이해하	VV	O
했	었	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 무덤은 이미 파헤쳐져 있었고 42개의 노예 기계 누이들의 고장난 몸뚱이가 드러났다.
## 무덤은 이미 파헤쳐져 있었고 <42개:NOH>의 노예 기계 누이들의 고장난 몸뚱이가 드러났다.
무덤	무덤	NNG	O
은	은	JX	O
_	_	_	O
이미	이미	MAG	O
_	_	_	O
파헤쳐	파헤치+어	VV+EC	O
져	지+어	VX+EC	O
_	_	_	O
있	있	VA	O
었	었	EP	O
고	고	EC	O
_	_	_	O
42	42	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
노예	노예	NNG	O
_	_	_	O
기계	기계	NNG	O
_	_	_	O
누이	누이	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
고장	고장	NNG	O
난	나+ㄴ	VV+ETM	O
_	_	_	O
몸뚱이	몸뚱이	NNG	O
가	가	JKS	O
_	_	_	O
드러났	드러나+았	VV+EP	O
다	다	EF	O
.	.	SF	O

