## 1
## 도시바 이왕성 과장은 “칸비오 에어로모바일은 스마트폰, 태블릿 등 모바일 디바이스의 저장 공간 한계를 극복하기 위해 고안됐다”면서 “각각의 디바이스에 저장된 콘텐츠를 하나의 드라이브에 저장해 언제 어디서든 최대 8명까지 동시에 콘텐츠를 즐길 수 있는 휴대용 클라우드 제품”이라고 설명했다.
## <도시바:ORG> <이왕성:PER> 과장은 “<칸비오 에어로모바일:POH>은 스마트폰, 태블릿 등 모바일 디바이스의 저장 공간 한계를 극복하기 위해 고안됐다”면서 “각각의 디바이스에 저장된 콘텐츠를 하나의 드라이브에 저장해 언제 어디서든 최대 <8명:NOH>까지 동시에 콘텐츠를 즐길 수 있는 휴대용 클라우드 제품”이라고 설명했다.
도시바	도시바	NNP	B-ORG
을	을	JKO	O
_	_	_	O
우선하	우선하	VV	O
는	는	ETM	O
_	_	_	O
일부	일부	NNG	O
_	_	_	O
축산	축산	NNG	O
_	_	_	O
농가	농가	NNG	O
의	의	JKG	O
_	_	_	O
도덕적	도덕적	NNG	O
_	_	_	O
해이	해이	NNG	O
를	를	JKO	O
_	_	_	O
차단하	차단하	VV	O
고	고	EC	O
_	_	_	O
전염병	전염병	NNG	O
_	_	_	O
발생	발생	NNG	O
·	·	SP	O
확산	확산	NNG	O
에	에	JKB	O
_	_	_	O
책임	책임	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
농가	농가	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
보상금	보상금	NNG	O
_	_	_	O
지급	지급	NNG	O
에서	에서	JKB	O
_	_	_	O
불이익	불이익	NNG	O
을	을	JKO	O
_	_	_	O
줘야	주+어야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 南 “이산가족 6만명 전면 생사확인 시급… 명단 교환 요구할것”
## <南:ORG> “이산가족 <6만명:NOH> 전면 생사확인 시급… 명단 교환 요구할것”
南	南	SH	B-ORG
_	_	_	O
“	“	SS	O
이산가족	이산가족	NNG	O
_	_	_	O
6	6	SN	B-NOH
만	만	NR	I-NOH
명	명	NNB	I-NOH
_	_	_	O
전면	전면	NNG	O
_	_	_	O
생사	생사	NNG	O
확인	확인	NNG	O
_	_	_	O
시급	시급	NNG	O
…	…	SE	O
_	_	_	O
명단	명단	NNG	O
_	_	_	O
교환	교환	NNG	O
_	_	_	O
요구할	요구하+ㄹ	VV+ETM	O
것	것	NNB	O
”	”	SS	O

## 8
## 가뜩이나 약점으로 지적된 두산 불펜진으로선 뼈아픈 공백. 그러나 베테랑의 빈자리를 김성배와 윤명준, 고봉재 등이 메워 팀을 8월 위기에서 건져냈다.
## 가뜩이나 약점으로 지적된 <두산:ORG> 불펜진으로선 뼈아픈 공백. 그러나 베테랑의 빈자리를 <김성배:PER>와 <윤명준:PER>, <고봉재:PER> 등이 메워 팀을 <8월:DAT> 위기에서 건져냈다.
가뜩이나	가뜩이나	MAG	O
_	_	_	O
약점	약점	NNG	O
으로	으로	JKB	O
_	_	_	O
지적된	지적되+ㄴ	VV+ETM	O
_	_	_	O
두산	두산	NNP	B-ORG
_	_	_	O
불펜	불펜	NNG	O
진	진	XSN	O
으로선	으로서+ㄴ	JKB+JX	O
_	_	_	O
뼈아픈	뼈아프+ㄴ	VA+ETM	O
_	_	_	O
공백	공백	NNG	O
.	.	SF	O
_	_	_	O
그러나	그러나	MAJ	O
_	_	_	O
베테랑	베테랑	NNG	O
의	의	JKG	O
_	_	_	O
빈자리	빈자리	NNG	O
를	를	JKO	O
_	_	_	O
김성배	김성배	NNP	B-PER
와	와	JC	O
_	_	_	O
윤명준	윤명준	NNP	B-PER
,	,	SP	O
_	_	_	O
고봉재	고봉재	NNP	B-PER
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
메	메우	VV	O
워	어	EC	O
_	_	_	O
팀	팀	NNG	O
을	을	JKO	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
위기	위기	NNG	O
에서	에서	JKB	O
_	_	_	O
건져	건지+어	VV+EC	O
냈	내+었	VX+EP	O
다	다	EF	O
.	.	SF	O

## 9
## ‘제25회 전국 독서올림피아드’
## ‘<제25회:NOH> 전국 독서올림피아드’
‘	‘	SS	O
제	제	XPN	B-NOH
25	25	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
전국	전국	NNG	O
_	_	_	O
독서	독서	NNG	O
올림피아드	올림피아드	NNG	O
’	’	SS	O

## 10
## 점검 기간은 이날부터 16일까지 나흘로 잠정적으로 잡아놨다.
## 점검 기간은 이날부터 <16일:DAT>까지 나흘로 잠정적으로 잡아놨다.
점검	점검	NNG	O
_	_	_	O
기간	기간	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
부터	부터	JX	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
나흘	나흘	NNG	O
로	로	JKB	O
_	_	_	O
잠정적	잠정적	NNG	O
으로	으로	JKB	O
_	_	_	O
잡	잡	VV	O
아	아	EC	O
놨	놓	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 문제적 남자 윤소희‘문제적 남자’ 윤소희에 과거 이광수 “내말 무시 하더니 꼴좋다”
## <문제적 남자:POH> <윤소희:PER>‘<문제적 남자:POH>’ <윤소희:PER>에 과거 <이광수:PER> “내말 무시 하더니 꼴좋다”
문제	문제	NNG	B-POH
적	적	XSN	I-POH
_	_	_	I-POH
남자	남자	NNG	I-POH
_	_	_	O
윤소희	윤소희	NNP	B-PER
‘	‘	SS	O
문제	문제	NNG	B-POH
적	적	XSN	I-POH
_	_	_	I-POH
남자	남자	NNG	I-POH
’	’	SS	O
_	_	_	O
윤소희	윤소희	NNP	B-PER
에	에	JKB	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
이광수	이광수	NNP	B-PER
_	_	_	O
“	“	SS	O
내	나+의	NP+JKG	O
말	말	NNG	O
_	_	_	O
무시	무시	NNG	O
_	_	_	O
하	하	VV	O
더니	더니	EC	O
_	_	_	O
꼴좋	꼴좋	VA	O
다	다	EF	O
”	”	SS	O

## 12
## “장그래 이번엔 中企서 처절한 생존전쟁”
## “<장그래:PER> 이번엔 中企서 처절한 생존전쟁”
“	“	SS	O
장그래	장그래	NNP	B-PER
_	_	_	O
이번	이번	NNG	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
中企	中企	SH	O
서	서	JKB	O
_	_	_	O
처절한	처절하+ㄴ	VA+ETM	O
_	_	_	O
생존	생존	NNG	O
전쟁	전쟁	NNG	O
”	”	SS	O

## 13
## 이 때문에 게임업계에서는 “넷마블이 오랜 시간 준비해 온 모바일 게임 대작들이 ‘for Kakao’가 아닌 ‘with NAVER’라는 꼬리표를 달고 서비스되는 것만으로도 다음카카오의 자존심이 크게 상할 것”이라는 관측도 나온다.
## 이 때문에 게임업계에서는 “<넷마블:ORG>이 오랜 시간 준비해 온 모바일 게임 대작들이 ‘for <Kakao:ORG>’가 아닌 ‘with <NAVER:ORG>’라는 꼬리표를 달고 서비스되는 것만으로도 <다음카카오:ORG>의 자존심이 크게 상할 것”이라는 관측도 나온다.
이	이	MM	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
게임	게임	NNG	O
업계	업계	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
넷마블	넷마블	NNP	B-ORG
이	이	JKS	O
_	_	_	O
오랜	오랜	MM	O
_	_	_	O
시간	시간	NNG	O
_	_	_	O
준비해	준비하+여	VV+EC	O
_	_	_	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
모바일	모바일	NNG	O
_	_	_	O
게임	게임	NNG	O
_	_	_	O
대작	대작	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
for	for	SL	O
_	_	_	O
Kakao	Kakao	SL	B-ORG
’	’	SS	O
가	가	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
‘	‘	SS	O
with	with	SL	O
_	_	_	O
NAVER	NAVER	SL	B-ORG
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
꼬리표	꼬리표	NNG	O
를	를	JKO	O
_	_	_	O
달	달	VV	O
고	고	EC	O
_	_	_	O
서비스	서비스	NNG	O
되	되	XSV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
만	만	JX	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
다음카카오	다음카카오	NNP	B-ORG
의	의	JKG	O
_	_	_	O
자존심	자존심	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
상할	상하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
관측	관측	NNG	O
도	도	JX	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

