## 1
## 국정원 직원 차량 번호판 색깔이 다르다?
## <국정원:ORG> 직원 차량 번호판 색깔이 다르다?
국정원	국정원	NNG	B-ORG
_	_	_	O
자동차	자동차	NNG	O
산업	산업	NNG	O
_	_	_	O
중심지	중심지	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
독일	독일	NNP	B-LOC
_	_	_	O
프랑크푸르트	프랑크푸르트	NNP	B-LOC
로	로	JKB	O
_	_	_	O
이전한다	이전하+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 이어 “성형수술을 반대했던 엄마가 성형을 권한 적이 한 번 있었다”면서 “보통 걸그룹 데뷔는 20~21세가 맥시멈인데 나는 23세 때 데뷔했다.
## 이어 “성형수술을 반대했던 엄마가 성형을 권한 적이 <한 번:NOH> 있었다”면서 “보통 걸그룹 데뷔는 <20:NOH>~<21세:NOH>가 맥시멈인데 나는 <23세:NOH> 때 데뷔했다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
성형수술	성형수술	NNG	O
을	을	JKO	O
_	_	_	O
반대	반대하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
엄마	엄마	NNG	O
가	가	JKS	O
_	_	_	O
성형	성형	NNG	O
을	을	JKO	O
_	_	_	O
권한	권하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
보통	보통	NNG	O
_	_	_	O
걸그룹	걸그룹	NNG	O
_	_	_	O
데뷔	데뷔	NNG	O
는	는	JX	O
_	_	_	O
20	20	SN	B-NOH
~	~	SO	O
21	21	SN	B-NOH
세	세	NNB	I-NOH
가	가	JKC	O
_	_	_	O
맥시멈	맥시멈	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
나	나	NP	O
는	는	JX	O
_	_	_	O
23	23	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
때	때	NNG	O
_	_	_	O
데뷔	데뷔하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## ○…여야는 본회의 표결 직후 정치적 공방을 계속. 한나라당 김영선(金映宣)의원은 “검찰의 편파수사와 이를 근간으로 한 시민단체의 낙선운동은 야당을 죽이기 위한 ‘문화혁명식’ 음모가 깔려 있다”며 “또한 박총리 등장은 공명선거의지를 훼손한 것”이라고 비판.
## ○…여야는 본회의 표결 직후 정치적 공방을 계속. <한나라당:ORG> <김영선:PER>(<金映宣:PER>)의원은 “검찰의 편파수사와 이를 근간으로 <한 시민단체:NOH>의 낙선운동은 야당을 죽이기 위한 ‘문화혁명식’ 음모가 깔려 있다”며 “또한 <박:PER>총리 등장은 공명선거의지를 훼손한 것”이라고 비판.
○	○	SW	O
…	…	SE	O
여야	여야	NNG	O
는	는	JX	O
_	_	_	O
본회의	본회의	NNG	O
_	_	_	O
표결	표결	NNG	O
_	_	_	O
직후	직후	NNG	O
_	_	_	O
정치적	정치적	NNG	O
_	_	_	O
공방	공방	NNG	O
을	을	JKO	O
_	_	_	O
계속	계속	MAG	O
.	.	SF	O
_	_	_	O
한나라당	한나라당	NNP	B-ORG
_	_	_	O
김영선	김영선	NNP	B-PER
(	(	SS	O
金映宣	金映宣	SH	B-PER
)	)	SS	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
검찰	검찰	NNG	O
의	의	JKG	O
_	_	_	O
편파	편파	NNG	O
수사	수사	NNG	O
와	와	JC	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
근간	근간	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	B-NOH
_	_	_	I-NOH
시민	시민	NNG	I-NOH
단체	단체	NNG	I-NOH
의	의	JKG	O
_	_	_	O
낙선	낙선	NNG	O
운동	운동	NNG	O
은	은	JX	O
_	_	_	O
야당	야당	NNG	O
을	을	JKO	O
_	_	_	O
죽이	죽이	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
문화	문화	NNG	O
혁명	혁명	NNG	O
식	식	XSN	O
’	’	SS	O
_	_	_	O
음모	음모	NNG	O
가	가	JKS	O
_	_	_	O
깔려	깔리+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
또한	또한	MAG	O
_	_	_	O
박	박	NNP	B-PER
총리	총리	NNG	O
_	_	_	O
등장	등장	NNG	O
은	은	JX	O
_	_	_	O
공명선거	공명선거	NNG	O
의지	의지	NNG	O
를	를	JKO	O
_	_	_	O
훼손한	훼손하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
비판	비판	NNG	O
.	.	SF	O

