## 1
## 이날 방송에서 유이는 “최정윤이 수시로 핸드폰을 가지고 다니며 남편과 문자와 전화를 하는데 애교가 엄청나다”며 “최정윤이 남편의 전화를 바꿔준 적이 있었는데 전화를 받아도 아무 말이 없었다”고 말했다.
## 이날 방송에서 <유이:PER>는 “<최정윤:PER>이 수시로 핸드폰을 가지고 다니며 남편과 문자와 전화를 하는데 애교가 엄청나다”며 “<최정윤:PER>이 남편의 전화를 바꿔준 적이 있었는데 전화를 받아도 아무 말이 없었다”고 말했다.
이날	이날	NNG	O
를	를	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 김 씨는 “엄연히 업무적인 자리인데 마치 나를 기쁨조 취급하는 것 같아서 불쾌했다”고 말했다.
## <김:PER> 씨는 “엄연히 업무적인 자리인데 마치 나를 기쁨조 취급하는 것 같아서 불쾌했다”고 말했다.
김	김	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
엄연히	엄연히	MAG	O
_	_	_	O
업무	업무	NNG	O
적	적	XSN	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
자리	자리	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
마치	마치	MAG	O
_	_	_	O
나	나	NP	O
를	를	JKO	O
_	_	_	O
기쁨	기쁨	NNG	O
조	조	NNG	O
_	_	_	O
취급하	취급하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
아서	아서	EC	O
_	_	_	O
불쾌	불쾌하	VA	O
했	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 블로거 A씨 “홍콩사진-신용카드男 강용석 맞다”…거짓 해명 이유가 뭐길래? ‘관심↑’[전문]
## 블로거 <A:PER>씨 “홍콩사진-신용카드男 <강용석:PER> 맞다”…거짓 해명 이유가 뭐길래? ‘관심↑’[전문]
블로거	블로거	NNG	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
_	_	_	O
“	“	SS	O
홍콩	홍콩	NNP	O
사진	사진	NNG	O
-	-	SO	O
신용카드	신용카드	NNG	O
男	男	SH	O
_	_	_	O
강용석	강용석	NNP	B-PER
_	_	_	O
맞	맞	VV	O
다	다	EF	O
”	”	SS	O
…	…	SE	O
거짓	거짓	NNG	O
_	_	_	O
해명	해명	NNG	O
_	_	_	O
이유	이유	NNG	O
가	가	JKS	O
_	_	_	O
뭐	뭐+이	NP+VCP	O
길래	길래	EF	O
?	?	SF	O
_	_	_	O
‘	‘	SS	O
관심	관심	NNG	O
↑	↑	SW	O
’	’	SS	O
[	[	SS	O
전문	전문	NNG	O
]	]	SS	O

## 7
## 조금 더 구체적으로 말하자면 구중궁궐 청와대에 앉아 ‘유체이탈 화법’을 늘어놓는 대신 TV에 나와 이해 당사자들과 밤새 끝장 토론하는 대통령을 보는 것이다.
## 조금 더 구체적으로 말하자면 구중궁궐 <청와대:ORG>에 앉아 ‘<유체이탈 화법:POH>’을 늘어놓는 대신 TV에 나와 이해 당사자들과 밤새 끝장 토론하는 대통령을 보는 것이다.
조금	조금	MAG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
구체적	구체적	NNG	O
으로	으로	JKB	O
_	_	_	O
말하	말하	VV	O
자면	자면	EC	O
_	_	_	O
구중궁궐	구중궁궐	NNG	O
_	_	_	O
청와대	청와대	NNP	B-ORG
에	에	JKB	O
_	_	_	O
앉	앉	VV	O
아	아	EC	O
_	_	_	O
‘	‘	SS	O
유체	유체	NNG	B-POH
이탈	이탈	NNG	I-POH
_	_	_	I-POH
화법	화법	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
늘어놓	늘어놓	VV	O
는	는	ETM	O
_	_	_	O
대신	대신	NNG	O
_	_	_	O
TV	TV	SL	O
에	에	JKB	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
이해	이해	NNG	O
_	_	_	O
당사자	당사자	NNG	O
들	들	XSN	O
과	과	JC	O
_	_	_	O
밤새	밤새	NNG	O
_	_	_	O
끝장	끝장	NNG	O
_	_	_	O
토론하	토론하	VV	O
는	는	ETM	O
_	_	_	O
대통령	대통령	NNG	O
을	을	JKO	O
_	_	_	O
보	보	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 박순호 세정그룹 회장은 불영사 일운 주지 스님이 선물한 서예 작품 ‘일체유심조’ 액자를 내놓았다.
## <박순호:PER> <세정그룹:ORG> 회장은 <불영사:LOC> <일운:PER> 주지 스님이 선물한 서예 작품 ‘<일체유심조:POH>’ 액자를 내놓았다.
박순호	박순호	NNP	B-PER
_	_	_	O
세정	세정	NNG	B-ORG
그룹	그룹	NNG	I-ORG
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
불영사	불영사	NNP	B-LOC
_	_	_	O
일운	일운	NNG	B-PER
_	_	_	O
주지	주지	NNG	O
_	_	_	O
스님	스님	NNG	O
이	이	JKS	O
_	_	_	O
선물한	선물하+ㄴ	VV+ETM	O
_	_	_	O
서예	서예	NNG	O
_	_	_	O
작품	작품	NNG	O
_	_	_	O
‘	‘	SS	O
일체유심조	일체유심조	NNG	B-POH
’	’	SS	O
_	_	_	O
액자	액자	NNG	O
를	를	JKO	O
_	_	_	O
내놓	내놓	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 황선윤·위성욱·차상은 기자 suyohwa@joongang.co.kr◆2015 위아자 부산 나눔장터=위아자는 위스타트·아름다운가게·자원봉사 등 중앙일보·JTBC가 후원하는 사회공헌활동 세 가지의 앞글자를 딴 것이다.
## <황선윤:PER>·<위성욱:PER>·<차상은:PER> 기자 <suyohwa@joongang.co.kr:POH>◆<2015 위아자 부산 나눔장터:POH>=<위아자:POH>는 위스타트·아름다운가게·자원봉사 등 <중앙일보:ORG>·<JTBC:ORG>가 후원하는 사회공헌활동 세 가지의 앞글자를 딴 것이다.
황선윤	황선윤	NNP	B-PER
·	·	SP	O
위성욱	위성욱	NNP	B-PER
·	·	SP	O
차상은	차상은	NNP	B-PER
_	_	_	O
기자	기자	NNG	O
_	_	_	O
suyohwa	suyohwa	SL	B-POH
@	@	SW	I-POH
joongang	joongang	SL	I-POH
.	.	SF	I-POH
co	co	SL	I-POH
.	.	SF	I-POH
kr	kr	SL	I-POH
◆	◆	SW	O
2015	2015	SN	B-POH
_	_	_	I-POH
위	위	NNB	I-POH
아자	아자	NNG	I-POH
_	_	_	I-POH
부산	부산	NNP	I-POH
_	_	_	I-POH
나눔	나눔	NNP	I-POH
장터	장터	NNG	I-POH
=	=	SW	O
위아	위아	NNG	B-POH
자	자	NNG	I-POH
는	는	JX	O
_	_	_	O
위스	위스	NNP	O
타트	타트	NNG	O
·	·	SP	O
아름다	아름답	VA	O
운가	ㄴ가	EC	O
게	게	EC	O
·	·	SP	O
자원	자원	NNG	O
봉사	봉사	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
중앙	중앙	NNG	B-ORG
일보	일보	NNG	I-ORG
·	·	SP	O
JTBC	JTBC	SL	B-ORG
가	가	JKS	O
_	_	_	O
후원하	후원하	VV	O
는	는	ETM	O
_	_	_	O
사회	사회	NNG	O
공헌	공헌	NNG	O
활동	활동	NNG	O
_	_	_	O
세	세	MM	O
_	_	_	O
가지	가지	NNB	O
의	의	JKG	O
_	_	_	O
앞	앞	NNG	O
글자	글자	NNG	O
를	를	JKO	O
_	_	_	O
딴	따+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 유로 채권 발행이나 유럽연합(EU) 재무부 설립을 통한 진정한 통화·경제 통합이 필요하다.
## 유로 채권 발행이나 <유럽연합:ORG>(<EU:ORG>) 재무부 설립을 통한 진정한 통화·경제 통합이 필요하다.
유로	유로	NNG	O
_	_	_	O
채권	채권	NNG	O
_	_	_	O
발행	발행	NNG	O
이나	이나	JC	O
_	_	_	O
유럽	유럽	NNP	B-ORG
연합	연합	NNG	I-ORG
(	(	SS	O
EU	EU	SL	B-ORG
)	)	SS	O
_	_	_	O
재무부	재무부	NNG	O
_	_	_	O
설립	설립	NNG	O
을	을	JKO	O
_	_	_	O
통한	통하+ㄴ	VV+ETM	O
_	_	_	O
진정한	진정하+ㄴ	VA+ETM	O
_	_	_	O
통화	통화	NNG	O
·	·	SP	O
경제	경제	NNG	O
_	_	_	O
통합	통합	NNG	O
이	이	JKS	O
_	_	_	O
필요하	필요하	VA	O
다	다	EF	O
.	.	SF	O

## 11
## ”-중국 경제는 어떻게 될까.“중국은 경제 성장도 중요하지만 복지 시스템 확충과 같은 국내 발전에 힘쓰며 내실을 다질 것으로 전망된다.
## ”-<중국:ORG> 경제는 어떻게 될까.“<중국:ORG>은 경제 성장도 중요하지만 복지 시스템 확충과 같은 국내 발전에 힘쓰며 내실을 다질 것으로 전망된다.
”	”	SS	O
-	-	SO	O
중국	중국	NNP	B-ORG
_	_	_	O
경제	경제	NNG	O
는	는	JX	O
_	_	_	O
어떻	어떻	VA	O
게	게	EC	O
_	_	_	O
될까	되+ㄹ까	VV+EF	O
.	.	SF	O
“	“	SS	O
중국	중국	NNP	B-ORG
은	은	JX	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
성장	성장	NNG	O
도	도	JX	O
_	_	_	O
중요하	중요하	VA	O
지만	지만	EC	O
_	_	_	O
복지	복지	NNG	O
_	_	_	O
시스템	시스템	NNG	O
_	_	_	O
확충	확충	NNG	O
과	과	JKB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
발전	발전	NNG	O
에	에	JKB	O
_	_	_	O
힘쓰	힘쓰	VV	O
며	며	EC	O
_	_	_	O
내실	내실	NNG	O
을	을	JKO	O
_	_	_	O
다질	다지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
전망된다	전망되+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 질병관리본부와 경찰은 오전 6시경 이들이 묵었던 인근 숙소에서 A씨의 신병을 확보해 국립중앙의료원 격리병상으로의 이송을 준비 중이다.
## <질병관리본부:ORG>와 경찰은 <오전 6시:TIM>경 이들이 묵었던 인근 숙소에서 <A:PER>씨의 신병을 확보해 <국립중앙의료원:ORG> 격리병상으로의 이송을 준비 중이다.
질병	질병	NNG	B-ORG
관리	관리	NNG	I-ORG
본부	본부	NNG	I-ORG
와	와	JC	O
_	_	_	O
경찰	경찰	NNG	O
은	은	JX	O
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
6	6	SN	I-TIM
시	시	NNB	I-TIM
경	경	XSN	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
묵	묵	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
인근	인근	NNG	O
_	_	_	O
숙소	숙소	NNG	O
에서	에서	JKB	O
_	_	_	O
A	A	SL	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
신병	신병	NNG	O
을	을	JKO	O
_	_	_	O
확보해	확보하+여	VV+EC	O
_	_	_	O
국립중앙의료원	국립중앙의료원	NNP	B-ORG
_	_	_	O
격리	격리	NNG	O
병상	병상	NNG	O
으로	으로	JKB	O
의	의	JKG	O
_	_	_	O
이송	이송	NNG	O
을	을	JKO	O
_	_	_	O
준비	준비	NNG	O
_	_	_	O
중	중	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 배우 김승현이 국정농단의 주범 최순실의 조카 장시호와의 인연을 털어놔 눈길을 모았다.
## 배우 <김승현:PER>이 국정농단의 주범 <최순실:PER>의 조카 <장시호:PER>와의 인연을 털어놔 눈길을 모았다.
배우	배우	NNG	O
_	_	_	O
김승현	김승현	NNP	B-PER
이	이	JKS	O
_	_	_	O
국정	국정	NNG	O
농단	농단	NNG	O
의	의	JKG	O
_	_	_	O
주범	주범	NNG	O
_	_	_	O
최순실	최순실	NNP	B-PER
의	의	JKG	O
_	_	_	O
조카	조카	NNG	O
_	_	_	O
장시호	장시호	NNP	B-PER
와	와	JKB	O
의	의	JKG	O
_	_	_	O
인연	인연	NNG	O
을	을	JKO	O
_	_	_	O
털어놔	털어놓+아	VV+EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 김승현은 최근 MBN ‘아궁이-2017 불륜시대’ 편 녹화 현장에서 장시호·김동성의 스캔들에 관해 이야기 나누던 중 “8년 전쯤 장시호를 지인에게 소개받은 적 있다”고 밝혀 주위를 깜짝 놀라게 했다.
## <김승현:PER>은 최근 <MBN:POH> ‘<아궁이-2017 불륜시대:POH>’ 편 녹화 현장에서 <장시호:PER>·<김동성:PER>의 스캔들에 관해 이야기 나누던 중 “<8년:NOH> 전쯤 장시호를 지인에게 소개받은 적 있다”고 밝혀 주위를 깜짝 놀라게 했다.
김승현	김승현	NNP	B-PER
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
MBN	MBN	SL	B-POH
_	_	_	O
‘	‘	SS	O
아궁이	아궁이	NNG	B-POH
-	-	SO	I-POH
2017	2017	SN	I-POH
_	_	_	I-POH
불륜	불륜	NNG	I-POH
시대	시대	NNG	I-POH
’	’	SS	O
_	_	_	O
편	펴+ㄴ	VV+ETM	O
_	_	_	O
녹화	녹화	NNG	O
_	_	_	O
현장	현장	NNG	O
에서	에서	JKB	O
_	_	_	O
장시호	장시호	NNP	B-PER
·	·	SP	O
김동성	김동성	NNP	B-PER
의	의	JKG	O
_	_	_	O
스캔들	스캔들	NNG	O
에	에	JKB	O
_	_	_	O
관해	관하+여	VV+EC	O
_	_	_	O
이야기	이야기	NNG	O
_	_	_	O
나누	나누	VV	O
던	던	ETM	O
_	_	_	O
중	중	NNB	O
_	_	_	O
“	“	SS	O
8	8	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
쯤	쯤	XSN	O
_	_	_	O
장시호	장시호	NNP	O
를	를	JKO	O
_	_	_	O
지인	지인	NNG	O
에게	에게	JKB	O
_	_	_	O
소개	소개	NNG	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
적	적	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝혀	밝히+어	VV+EC	O
_	_	_	O
주위	주위	NNG	O
를	를	JKO	O
_	_	_	O
깜짝	깜짝	MAG	O
_	_	_	O
놀라	놀라	VV	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 15
## 이어 “당시 장시호와 내가 비슷한 처지라 소개를 해주셨던 것 같다”면서 “난 미혼부라 아이를 혼자 키우는 입장이었고, 그 분은 이혼 후 아이를 혼자 키우고 있었다.
## 이어 “당시 <장시호:PER>와 내가 비슷한 처지라 소개를 해주셨던 것 같다”면서 “난 미혼부라 아이를 혼자 키우는 입장이었고, 그 분은 이혼 후 아이를 혼자 키우고 있었다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
당시	당시	NNG	O
_	_	_	O
장시호	장시호	NNP	B-PER
와	와	JC	O
_	_	_	O
내	내	NP	O
가	가	JKS	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
처지	처지+이	NNG+VCP	O
라	라	EC	O
_	_	_	O
소개	소개	NNG	O
를	를	JKO	O
_	_	_	O
해	하+여	VV+EC	O
주	주+시	VX+EP	O
셨	었	EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
난	나+ㄴ	NP+JX	O
_	_	_	O
미혼	미혼	NNG	O
부	부+이	NNG+VCP	O
라	라	EC	O
_	_	_	O
아이	아이	NNG	O
를	를	JKO	O
_	_	_	O
혼자	혼자	NNG	O
_	_	_	O
키우	키우	VV	O
는	는	ETM	O
_	_	_	O
입장	입장	NNG	O
이	이	VCP	O
었	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
분	분	NNB	O
은	은	JX	O
_	_	_	O
이혼	이혼	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
아이	아이	NNG	O
를	를	JKO	O
_	_	_	O
혼자	혼자	NNG	O
_	_	_	O
키우	키우	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 또한 '라스' 초아는 “한 달에 500만원을 벌었다.
## 또한 '<라스:POH>' <초아:PER>는 “<한 달:NOH>에 <500만원:MNY>을 벌었다.
또한	또한	MAG	O
_	_	_	O
'	'	SS	O
라스	라스	NNP	B-POH
'	'	SS	O
_	_	_	O
초아	초아	NNG	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
한	한	MM	B-NOH
_	_	_	I-NOH
달	달	NNB	I-NOH
에	에	JKB	O
_	_	_	O
500	500	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
벌	벌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 17
## 여기서 좀 더 내려가면 서울숲길 탐험을 시작했던 갈비골목이 나온다.
## 여기서 좀 더 내려가면 <서울숲길:LOC> 탐험을 시작했던 <갈비골목:LOC>이 나온다.
여기	여기	NP	O
서	서	JKB	O
_	_	_	O
좀	좀	MAG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
내려가	내려가	VV	O
면	면	EC	O
_	_	_	O
서울	서울	NNP	B-LOC
숲길	숲길	NNG	I-LOC
_	_	_	O
탐험	탐험	NNG	O
을	을	JKO	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
갈비	갈비	NNG	B-LOC
골목	골목	NNG	I-LOC
이	이	JKS	O
_	_	_	O
나온다	나오+ㄴ다	VV+EF	O
.	.	SF	O

## 18
## 행진은 오후 7시30분 청와대와 헌재 방면으로 두 차례에 걸쳐 진행됐다.
## 행진은 <오후 7시30분:TIM> <청와대:ORG>와 <헌재:ORG> 방면으로 <두 차례:NOH>에 걸쳐 진행됐다.
행진	행진	NNG	O
은	은	JX	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
7	7	SN	I-TIM
시	시	NNB	I-TIM
30	30	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
청와대	청와대	NNP	B-ORG
와	와	JC	O
_	_	_	O
헌재	헌재	NNG	B-ORG
_	_	_	O
방면	방면	NNG	O
으로	으로	JKB	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
진행	진행되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 19
## 이날 상영장엔 17세의 나이에 메리디스 빅토리호에 올라 남으로 내려왔다는 장송(82)씨도 있었다.
## 이날 상영장엔 <17세:NOH>의 나이에 <메리디스 빅토리호:POH>에 올라 <남:LOC>으로 내려왔다는 <장송:PER>(<82:NOH>)씨도 있었다.
이날	이날	NNG	O
_	_	_	O
상영	상영	NNG	O
장	장	XSN	O
엔	에+ㄴ	JKB+JX	O
_	_	_	O
17	17	SN	B-NOH
세	세	NNB	I-NOH
의	의	JKG	O
_	_	_	O
나이	나이	NNG	O
에	에	JKB	O
_	_	_	O
메리디스	메리디스	NNP	B-POH
_	_	_	I-POH
빅토리	빅토리	NNG	I-POH
호	호	XSN	I-POH
에	에	JKB	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
_	_	_	O
남	남	NNG	B-LOC
으로	으로	JKB	O
_	_	_	O
내려	내려오	VV	O
왔	았	EP	O
다는	다는	ETM	O
_	_	_	O
장송	장송	NNG	B-PER
(	(	SS	O
82	82	SN	B-NOH
)	)	SS	O
씨	씨	NNB	O
도	도	JX	O
_	_	_	O
있	있	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

