## 1
## 류희인(61·사진) 전 세월호참사특별조사위원회 비상임위원은 “국가재난 책임은 명시적이지 않더라도 대통령에게 있다”며 “청와대가 세월호 재난 컨트롤 타워가 아니라는 주장이 이해할 수 없다”고 말했다.
## <류희인:PER>(<61:NOH>·사진) 전 <세월호참사특별조사위원회:ORG> 비상임위원은 “국가재난 책임은 명시적이지 않더라도 대통령에게 있다”며 “<청와대:ORG>가 <세월호:POH> 재난 컨트롤 타워가 아니라는 주장이 이해할 수 없다”고 말했다.
류희인	류희인	NNP	B-PER
여사	여사+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 강 대표는 5년 동안 5000대의 라디오와 휴대용 저장장치(USB메모리) 상당수를 북한에 들여보냈다.
## <강:PER> 대표는 <5년:DUR> 동안 <5000대:NOH>의 라디오와 휴대용 저장장치(USB메모리) 상당수를 <북한:LOC>에 들여보냈다.
강	강	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
5000	5000	SN	B-NOH
대	대	NNB	I-NOH
의	의	JKG	O
_	_	_	O
라디오	라디오	NNG	O
와	와	JC	O
_	_	_	O
휴대용	휴대용	NNG	O
_	_	_	O
저장	저장	NNG	O
장치	장치	NNG	O
(	(	SS	O
USB	USB	SL	O
메모리	메모리	NNG	O
)	)	SS	O
_	_	_	O
상당수	상당수	NNG	O
를	를	JKO	O
_	_	_	O
북한	북한	NNP	B-LOC
에	에	JKB	O
_	_	_	O
들여보냈	들여보내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 쉿. 남자애 하나가 입에 손을 댔다.
## 쉿. 남자애 <하나:NOH>가 입에 손을 댔다.
쉿	쉿	IC	O
.	.	SF	O
_	_	_	O
남자	남자	NNG	O
애	애	NNG	O
_	_	_	O
하나	하나	NNG	B-NOH
가	가	JKS	O
_	_	_	O
입	입	NNG	O
에	에	JKB	O
_	_	_	O
손	손	NNG	O
을	을	JKO	O
_	_	_	O
댔	대+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 16일 미국 예일대와 컬럼비아대 공동연구진이 발표한 ‘환경성과지수(EPI) 2016’에서 한국의 공기 질은 180개국 가운데 최하위권(173위)에 머물러 있다.
## <16일:DAT> <미국 예일대:ORG>와 <컬럼비아대:ORG> 공동연구진이 발표한 ‘환경성과지수(EPI) <2016:DAT>’에서 <한국:LOC>의 공기 질은 <180개국:NOH> 가운데 최하위권(<173위:NOH>)에 머물러 있다.
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
예일대	예일대	NNP	I-ORG
와	와	JC	O
_	_	_	O
컬럼비아대	컬럼비아대	NNP	B-ORG
_	_	_	O
공동	공동	NNG	O
연구	연구	NNG	O
진	진	XSN	O
이	이	JKS	O
_	_	_	O
발표한	발표하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
환경	환경	NNG	O
성과	성과	NNG	O
지수	지수	NNG	O
(	(	SS	O
EPI	EPI	SL	O
)	)	SS	O
_	_	_	O
2016	2016	SN	B-DAT
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
한국	한국	NNP	B-LOC
의	의	JKG	O
_	_	_	O
공기	공기	NNG	O
_	_	_	O
질	질	NNG	O
은	은	JX	O
_	_	_	O
180	180	SN	B-NOH
개국	개국	NNB	I-NOH
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
최	최	XPN	O
하위권	하위권	NNG	O
(	(	SS	O
173	173	SN	B-NOH
위	위	NNB	I-NOH
)	)	SS	O
에	에	JKB	O
_	_	_	O
머물	머무르	VV	O
러	어	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 정부는 우선 고용창출투자세액공제를 통해 감면되는 고용비례 추가공제율(현재 투자액의 3~6%)을 내년 1년간 2%포인트(대기업은 1%포인트) 늘린다.
## 정부는 우선 고용창출투자세액공제를 통해 감면되는 고용비례 추가공제율(현재 투자액의 <3:PNT>~<6%:PNT>)을 내년 <1년간:DUR> <2%:PNT>포인트(대기업은 <1%포인트:PNT>) 늘린다.
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
우선	우선	MAG	O
_	_	_	O
고용	고용	NNG	O
창출	창출	NNG	O
투자	투자	NNG	O
세액공제	세액공제	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
감면되	감면되	VV	O
는	는	ETM	O
_	_	_	O
고용	고용	NNG	O
비례	비례	NNG	O
_	_	_	O
추가	추가	NNG	O
공제	공제	NNG	O
율	율	XSN	O
(	(	SS	O
현재	현재	MAG	O
_	_	_	O
투자액	투자액	NNG	O
의	의	JKG	O
_	_	_	O
3	3	SN	B-PNT
~	~	SO	O
6	6	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
을	을	JKO	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
1	1	SN	B-DUR
년	년	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
2	2	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	O
(	(	SS	O
대기업	대기업	NNG	O
은	은	JX	O
_	_	_	O
1	1	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	I-PNT
)	)	SS	O
_	_	_	O
늘린다	늘리+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 윤옥선(62·여) 서문시장 1지구 침구류 상인은 “문 후보는 말도 꺼내지 마라. ‘대통령 당선되면 북한에 먼저 간다’고 한데다 각종 나쁜 소문이 합쳐지면서 중·장년층 이상은 대부분 싫어한다”고 말했다.
## <윤옥선:PER>(<62:NOH>·여) <서문시장 1지구:LOC> 침구류 상인은 “<문:PER> 후보는 말도 꺼내지 마라. ‘대통령 당선되면 <북한:ORG>에 먼저 간다’고 한데다 각종 나쁜 소문이 합쳐지면서 중·장년층 이상은 대부분 싫어한다”고 말했다.
윤옥선	윤옥선	NNP	B-PER
(	(	SS	O
62	62	SN	B-NOH
·	·	SP	O
여	여	NNG	O
)	)	SS	O
_	_	_	O
서문시장	서문시장	NNP	B-LOC
_	_	_	I-LOC
1	1	SN	I-LOC
지구	지구	NNG	I-LOC
_	_	_	O
침구류	침구류	NNG	O
_	_	_	O
상인	상인	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
문	문	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
말	말	NNG	O
도	도	JX	O
_	_	_	O
꺼내	꺼내	VV	O
지	지	EC	O
_	_	_	O
마라	말+아라	VX+EF	O
.	.	SF	O
_	_	_	O
‘	‘	SS	O
대통령	대통령	NNG	O
_	_	_	O
당선되	당선되	VV	O
면	면	EC	O
_	_	_	O
북한	북한	NNP	B-ORG
에	에	JKB	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
간다	가+ㄴ다	VV+EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
한데	하+ㄴ데	VV+EC	O
다	다	JX	O
_	_	_	O
각종	각종	NNG	O
_	_	_	O
나쁜	나쁘+ㄴ	VA+ETM	O
_	_	_	O
소문	소문	NNG	O
이	이	JKS	O
_	_	_	O
합쳐	합치+어	VV+EC	O
지	지	VX	O
면서	면서	EC	O
_	_	_	O
중	중	NNG	O
·	·	SP	O
장년	장년	NNG	O
층	층	XSN	O
_	_	_	O
이상	이상	NNG	O
은	은	JX	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
싫어한다	싫어하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 217cm의 큰 키를 가진 최홍만 옆에 선 유승옥의 키가 상대적으로 작아 보여 눈길을 끈다.
## <217cm:NOH>의 큰 키를 가진 <최홍만:PER> 옆에 선 <유승옥:PER>의 키가 상대적으로 작아 보여 눈길을 끈다.
217	217	SN	B-NOH
cm	cm	SL	I-NOH
의	의	JKG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
키	키	NNG	O
를	를	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
최홍만	최홍만	NNP	B-PER
_	_	_	O
옆	옆	NNG	O
에	에	JKB	O
_	_	_	O
선	서+ㄴ	VV+ETM	O
_	_	_	O
유승옥	유승옥	NNP	B-PER
의	의	JKG	O
_	_	_	O
키	키	NNG	O
가	가	JKS	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
작	작	VA	O
아	아	EC	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끈다	끌+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## “칠레 외교관 성추행, 한두번이 아니야. 내 아내까지…” 교민 폭로
## “<칠레:LOC> 외교관 성추행, <한:NOH><두번:NOH>이 아니야. 내 아내까지…” 교민 폭로
“	“	SS	O
칠레	칠레	NNP	B-LOC
_	_	_	O
외교관	외교관	NNG	O
_	_	_	O
성추행	성추행	NNG	O
,	,	SP	O
_	_	_	O
한두	한두	MM	B-NOH
번	번	NNB	I-NOH
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
야	야	EF	O
.	.	SF	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
아내	아내	NNG	O
까지	까지	JX	O
…	…	SE	O
”	”	SS	O
_	_	_	O
교민	교민	NNG	O
_	_	_	O
폭로	폭로	NNG	O

