## 1
## 김연아-김원중 재결합설, 핑크빛 기류?… 공식 입장은
## <김연아:PER>-<김원중:PER> 재결합설, 핑크빛 기류?… 공식 입장은
김연아	김연아	NNP	B-PER
는데	는데	EC	O
_	_	_	O
국회	국회	NNG	O
가	가	JKS	O
_	_	_	O
앞장서야	앞장서+어야	VV+EC	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
제	제	XPN	B-NOH
7	7	SN	I-NOH
차	차	NNB	I-NOH
_	_	_	O
촛불	촛불	NNG	O
민심	민심	NNG	O
은	은	JX	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
단단하	단단하	VA	O
고	고	EC	O
_	_	_	O
결의	결의	NNG	O
에	에	JKB	O
_	_	_	O
차	차+아	VV+EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 전 리듬체조 국가대표 선수이자 현 프로 볼링선수인 신수지도 볼링공과 볼링핀, 볼링 티셔츠 2개를 기증 했다.
## 전 리듬체조 국가대표 선수이자 현 프로 볼링선수인 <신수지:PER>도 볼링공과 볼링핀, 볼링 티셔츠 <2개:NOH>를 기증 했다.
전	전	MM	O
_	_	_	O
리듬체조	리듬체조	NNG	O
_	_	_	O
국가	국가	NNG	O
대표	대표	NNG	O
_	_	_	O
선수	선수	NNG	O
이	이	VCP	O
자	자	EC	O
_	_	_	O
현	현	MM	O
_	_	_	O
프로	프로	NNG	O
_	_	_	O
볼링	볼링	NNG	O
선수	선수	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
신수지	신수지	NNP	B-PER
도	도	JX	O
_	_	_	O
볼링공	볼링공	NNG	O
과	과	JC	O
_	_	_	O
볼링핀	볼링핀	NNG	O
,	,	SP	O
_	_	_	O
볼링	볼링	NNG	O
_	_	_	O
티셔츠	티셔츠	NNG	O
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
기증	기증	NNG	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 광주 북부경찰서는 31일 벽돌을 던져 차량을 파손한 혐의(폭력행위처벌법 위반)로 서 씨에 대해 구속영장을 신청했다.
## <광주 북부경찰서:ORG>는 <31일:DAT> 벽돌을 던져 차량을 파손한 혐의(폭력행위처벌법 위반)로 <서:PER> 씨에 대해 구속영장을 신청했다.
광주	광주	NNP	B-ORG
_	_	_	I-ORG
북부	북부	NNG	I-ORG
경찰서	경찰서	NNG	I-ORG
는	는	JX	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
벽돌	벽돌	NNG	O
을	을	JKO	O
_	_	_	O
던져	던지+어	VV+EC	O
_	_	_	O
차량	차량	NNG	O
을	을	JKO	O
_	_	_	O
파손한	파손하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
(	(	SS	O
폭력	폭력	NNG	O
행위	행위	NNG	O
처벌	처벌	NNG	O
법	법	NNG	O
_	_	_	O
위반	위반	NNG	O
)	)	SS	O
로	로	JKB	O
_	_	_	O
서	서	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
구속	구속	NNG	O
영장	영장	NNG	O
을	을	JKO	O
_	_	_	O
신청	신청하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 또 2014년 베니스 건축전에서 황금사자상을 수상한 조민석씨, 2013년 세계피겨선수권대회 여자 싱글 부문 금메달리스트 김연아에게도 각각 대통령 축전이 전달됐다.
## 또 <2014년:DAT> <베니스:LOC> 건축전에서 황금사자상을 수상한 <조민석씨:PER>, <2013년:DAT> 세계피겨선수권대회 여자 싱글 부문 금메달리스트 <김연아:PER>에게도 각각 대통령 축전이 전달됐다.
또	또	MAG	O
_	_	_	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
베니스	베니스	NNP	B-LOC
_	_	_	O
건축	건축	NNG	O
전	전	XSN	O
에서	에서	JKB	O
_	_	_	O
황금	황금	NNG	O
사자	사자	NNG	O
상	상	NNG	O
을	을	JKO	O
_	_	_	O
수상한	수상하+ㄴ	VV+ETM	O
_	_	_	O
조민석	조민석	NNP	B-PER
씨	씨	NNB	I-PER
,	,	SP	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
세계	세계	NNG	O
피겨	피겨	NNG	O
선수권	선수권	NNG	O
대회	대회	NNG	O
_	_	_	O
여자	여자	NNG	O
_	_	_	O
싱글	싱글	NNG	O
_	_	_	O
부문	부문	NNG	O
_	_	_	O
금메달리스트	금메달리스트	NNG	O
_	_	_	O
김연아	김연아	NNP	B-PER
에게	에게	JKB	O
도	도	JX	O
_	_	_	O
각각	각각	MAG	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
축전	축전	NNG	O
이	이	JKS	O
_	_	_	O
전달	전달되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## ▲양국은 직통전화를 개설한다.
## ▲<양:NOH>국은 직통전화를 개설한다.
▲	▲	SW	O
양국	양국	NNG	O
은	은	JX	O
_	_	_	O
직통	직통	NNG	O
전화	전화	NNG	O
를	를	JKO	O
_	_	_	O
개설한다	개설하+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 삽: 그류. 어쨌든 고상 많았구먼유. 건 그렇구 이번 민주당 대선후보 경선에서는 어느 짝에다 도장을 누를 생각이유? 안: 제가 당 직능위원장이에요. 400개가 넘는 단체를 관리하는 자리인데 지지 후보를 공개하면 안 되지요. 중립을 지켜야지요.
## 삽: 그류. 어쨌든 고상 많았구먼유. 건 그렇구 이번 <민주당:ORG> 대선후보 경선에서는 어느 짝에다 도장을 누를 생각이유? 안: 제가 당 직능위원장이에요. <400개:NOH>가 넘는 단체를 관리하는 자리인데 지지 후보를 공개하면 안 되지요. 중립을 지켜야지요.
삽	삽	NNG	O
:	:	SP	O
_	_	_	O
그류	그렇+어유	VA+EF	O
.	.	SF	O
_	_	_	O
어쨌든	어쨌든	MAG	O
_	_	_	O
고상	고상	NNG	O
_	_	_	O
많	많	VA	O
았	았	EP	O
구먼유	구먼유	EF	O
.	.	SF	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
그렇	그렇	VA	O
구	구	EC	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
민주당	민주당	NNP	B-ORG
_	_	_	O
대선	대선	NNG	O
후보	후보	NNG	O
_	_	_	O
경선	경선	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
짝	짝	NNG	O
에다	에다	JKB	O
_	_	_	O
도장	도장	NNG	O
을	을	JKO	O
_	_	_	O
누	누	NNG	O
를	를	JKO	O
_	_	_	O
생각	생각	NNG	O
이유	이유	NNG	O
?	?	SF	O
_	_	_	O
안	안	NNP	O
:	:	SP	O
_	_	_	O
제	제	NP	O
가	가	JKS	O
_	_	_	O
당	당	NNG	O
_	_	_	O
직능	직능	NNG	O
위원장	위원장	NNG	O
이	이	VCP	O
에요	에요	EF	O
.	.	SF	O
_	_	_	O
400	400	SN	B-NOH
개	개	NNB	I-NOH
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
단체	단체	NNG	O
를	를	JKO	O
_	_	_	O
관리하	관리하	VV	O
는	는	ETM	O
_	_	_	O
자리	자리	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
지지	지지	NNG	O
_	_	_	O
후보	후보	NNG	O
를	를	JKO	O
_	_	_	O
공개하	공개하	VV	O
면	면	EC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
되	되	VV	O
지요	지요	EF	O
.	.	SF	O
_	_	_	O
중립	중립	NNG	O
을	을	JKO	O
_	_	_	O
지켜야지	지키+어야지	VV+EC	O
요	요	JX	O
.	.	SF	O

## 11
## 전시실은 모두 8곳이다.
## 전시실은 모두 <8곳:NOH>이다.
전시실	전시실	NNG	O
은	은	JX	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
8	8	SN	B-NOH
곳	곳	NNG	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

