## 1
## 과거 중국에서 김은 일본식품이라는 인식이 강했으나 후쿠시마 원전사고 이후 일본제품의 안전성이 의심되면서 한국산 김의 위상과 인기가 더욱 높아지게 됐다.
## 과거 <중국:LOC>에서 김은 <일본:LOC>식품이라는 인식이 강했으나 <후쿠시마:LOC> 원전사고 이후 <일본:ORG>제품의 안전성이 의심되면서 한국산 김의 위상과 인기가 더욱 높아지게 됐다.
과거	과거	NNG	O
연구	연구	NNG	O
강사	강사	NNG	O
가	가	JKS	O
_	_	_	O
맡	맡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 일성리조트가 창립 26주년을 맞아 선보이는 이번 특별회원권은 가입과 동시에 풍성한 혜택을 누릴 수 있고 합리적인 가격으로 분양하고 있다.
## <일성리조트:ORG>가 창립 <26주년:DUR>을 맞아 선보이는 이번 특별회원권은 가입과 동시에 풍성한 혜택을 누릴 수 있고 합리적인 가격으로 분양하고 있다.
일성	일성	NNG	B-ORG
리조트	리조트	NNG	I-ORG
가	가	JKS	O
_	_	_	O
창립	창립	NNG	O
_	_	_	O
26	26	SN	B-DUR
주년	주년	NNB	I-DUR
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	고	EC	O
_	_	_	O
선보이	선보이	VV	O
는	는	ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
특별	특별	NNG	O
회원권	회원권	NNG	O
은	은	JX	O
_	_	_	O
가입	가입	NNG	O
과	과	JC	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
풍성한	풍성하+ㄴ	VA+ETM	O
_	_	_	O
혜택	혜택	NNG	O
을	을	JKO	O
_	_	_	O
누릴	누리+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
고	고	EC	O
_	_	_	O
합리적	합리적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
가격	가격	NNG	O
으로	으로	JKB	O
_	_	_	O
분양하	분양하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 둘다 122석 ‘집권당이 중앙’ 합의… 與 “대통령 입장때 양옆 지켜” 안도
## 둘다 <122석:NOH> ‘집권당이 중앙’ 합의… 與 “대통령 입장때 <양:NOH>옆 지켜” 안도
둘	둘	NR	O
다	다	NNG	O
_	_	_	O
122	122	SN	B-NOH
석	석	NNB	I-NOH
_	_	_	O
‘	‘	SS	O
집권당	집권당	NNG	O
이	이	JKS	O
_	_	_	O
중앙	중앙	NNG	O
’	’	SS	O
_	_	_	O
합의	합의	NNG	O
…	…	SE	O
_	_	_	O
與	與	SH	O
_	_	_	O
“	“	SS	O
대통령	대통령	NNG	O
_	_	_	O
입장	입장	NNG	O
때	때	NNG	O
_	_	_	O
양옆	양옆	NNG	O
_	_	_	O
지켜	지키+어	VV+EF	O
”	”	SS	O
_	_	_	O
안	안	NNG	O
도	도	JX	O

## 9
## 이밖에도 ‘김천 구성농협 자두’(1.4kgX2팩)를 1만6900원에, ‘무안 양파 닭갈비’(1kg)는 9900원에 할인 판매한다.
## 이밖에도 ‘<김천:LOC> <구성농협:LOC> 자두’(<1.4kg:NOH>X<2팩:NOH>)를 <1만6900원:MNY>에, ‘<무안:LOC> 양파 닭갈비’(<1kg:NOH>)는 <9900원:MNY>에 할인 판매한다.
이	이	MM	O
밖	밖	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
‘	‘	SS	O
김천	김천	NNP	B-LOC
_	_	_	O
구성	구성	NNG	B-LOC
농협	농협	NNP	I-LOC
_	_	_	O
자두	자두	NNG	O
’	’	SS	O
(	(	SS	O
1.4	1.4	SN	B-NOH
kgX	kgX	SL	O
2	2	SN	B-NOH
팩	팩	NNG	I-NOH
)	)	SS	O
를	를	JKO	O
_	_	_	O
1	1	SN	B-MNY
만	만	NR	I-MNY
6900	6900	SN	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
무안	무안	NNG	B-LOC
_	_	_	O
양파	양파	NNG	O
_	_	_	O
닭	닭	NNG	O
갈비	갈비	NNG	O
’	’	SS	O
(	(	SS	O
1	1	SN	B-NOH
kg	kg	SL	I-NOH
)	)	SS	O
는	는	JX	O
_	_	_	O
9900	9900	SN	B-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
할인	할인	NNG	O
_	_	_	O
판매한다	판매하+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 이 셋 중에서는 가장 중요한 요소가 비거리라고 할 수 있다.
## 이 <셋:NOH> 중에서는 가장 중요한 요소가 비거리라고 할 수 있다.
이	이	MM	O
_	_	_	O
셋	셋	NR	B-NOH
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
요소	요소	NNG	O
가	가	JKS	O
_	_	_	O
비거리	비거리+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 당시 국무총리제는 프랑스 5공화국 헌법의 총리제와도 달랐다.
## 당시 국무총리제는 <프랑스 5공화국:ORG> 헌법의 총리제와도 달랐다.
당시	당시	NNG	O
_	_	_	O
국무총리	국무총리	NNG	O
제	제	XSN	O
는	는	JX	O
_	_	_	O
프랑스	프랑스	NNP	B-ORG
_	_	_	I-ORG
5	5	SN	I-ORG
공화국	공화국	NNG	I-ORG
_	_	_	O
헌법	헌법	NNG	O
의	의	JKG	O
_	_	_	O
총리	총리	NNG	O
제	제	XSN	O
와	와	JKB	O
도	도	JX	O
_	_	_	O
달	다르	VA	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 18승을 올린 유희관이 좋지 않은 페이스로 시즌을 마감했고, 타선의 주축인 오재원과 민병헌도 극심한 타격 슬럼프에 시달렸다.
## <18승:NOH>을 올린 <유희관:PER>이 좋지 않은 페이스로 시즌을 마감했고, 타선의 주축인 <오재원:PER>과 <민병헌:PER>도 극심한 타격 슬럼프에 시달렸다.
18	18	SN	B-NOH
승	승	NNB	I-NOH
을	을	JKO	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
유희관	유희관	NNP	B-PER
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
페이스	페이스	NNG	O
로	로	JKB	O
_	_	_	O
시즌	시즌	NNG	O
을	을	JKO	O
_	_	_	O
마감	마감하	VV	O
했	었	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
타선	타선	NNG	O
의	의	JKG	O
_	_	_	O
주축	주축	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
오재원	오재원	NNP	B-PER
과	과	JC	O
_	_	_	O
민병헌	민병헌	NNP	B-PER
도	도	JX	O
_	_	_	O
극심한	극심하+ㄴ	VA+ETM	O
_	_	_	O
타격	타격	NNG	O
_	_	_	O
슬럼프	슬럼프	NNG	O
에	에	JKB	O
_	_	_	O
시달	시달리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## FT “총수들 증언 생중계, 경제심리 더 악화”
## <FT:ORG> “총수들 증언 생중계, 경제심리 더 악화”
FT	FT	SL	B-ORG
_	_	_	O
“	“	SS	O
총수	총수	NNG	O
들	들	XSN	O
_	_	_	O
증언	증언	NNG	O
_	_	_	O
생	생	XPN	O
중계	중계	NNG	O
,	,	SP	O
_	_	_	O
경제	경제	NNG	O
심리	심리	NNG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
악화	악화	NNG	O
”	”	SS	O

## 14
## KGC가 50-43으로 7점을 앞섰다.
## <KGC:ORG>가 <50-43:NOH>으로 <7점:NOH>을 앞섰다.
KGC	KGC	SL	B-ORG
가	가	JKS	O
_	_	_	O
50	50	SN	B-NOH
-	-	SO	I-NOH
43	43	SN	I-NOH
으로	으로	JKB	O
_	_	_	O
7	7	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
앞섰	앞서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

