## 1
## 문상영 대표는 “창단 멤버는 성악을 전공한 유럽 유학 출신의 전문 연주자와 전속 작곡가, 반주자로 구성되어 있습니다”라고 설명했다.
## <문상영:PER> 대표는 “창단 멤버는 성악을 전공한 <유럽:LOC> 유학 출신의 전문 연주자와 전속 작곡가, 반주자로 구성되어 있습니다”라고 설명했다.
문상영	문상영	NNP	B-PER
_	_	_	O
강화	강화	NNG	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
사용	사용하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
교	교	NNG	O
비	비	XPN	O
회계	회계	NNG	O
_	_	_	O
사용	사용	NNG	O
의	의	JKG	O
_	_	_	O
경종	경종	NNP	O
_	_	_	O
필요성	필요성	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
,	,	SP	O

## 3
## 배우 소유진이 둘째 아이를 임신했다.
## 배우 <소유진:PER>이 둘째 아이를 임신했다.
배우	배우	NNG	O
_	_	_	O
소유진	소유진	NNP	B-PER
이	이	JKS	O
_	_	_	O
둘째	둘째	NR	O
_	_	_	O
아이	아이	NNG	O
를	를	JKO	O
_	_	_	O
임신	임신하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 소유진의 소속사 스타제이엔터테인먼트 관계자는 “소유진이 둘째 아이를 임신했다”며 “오는 9월 출산 예정”이라고 23일 밝혔다.
## <소유진:PER>의 소속사 <스타제이엔터테인먼트:ORG> 관계자는 “<소유진:PER>이 둘째 아이를 임신했다”며 “오는 <9월:DAT> 출산 예정”이라고 <23일:DAT> 밝혔다.
소유진	소유진	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
스타	스타	NNG	B-ORG
제이	제이	NNP	I-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
소유진	소유진	NNP	B-PER
이	이	JKS	O
_	_	_	O
둘째	둘째	NR	O
_	_	_	O
아이	아이	NNG	O
를	를	JKO	O
_	_	_	O
임신	임신하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
출산	출산	NNG	O
_	_	_	O
예정	예정	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 주변 아파트보다 싼 3.3m²당 995만 원… 536채 분양
## 주변 아파트보다 싼 <3.3m²:NOH>당 <995만 원:MNY>… <536채:NOH> 분양
주변	주변	NNG	O
_	_	_	O
아파트	아파트	NNG	O
보다	보다	JKB	O
_	_	_	O
싼	싸+ㄴ	VA+ETM	O
_	_	_	O
3.3	3.3	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
당	당	XSN	O
_	_	_	O
995	995	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
…	…	SE	O
_	_	_	O
536	536	SN	B-NOH
채	채	NNB	I-NOH
_	_	_	O
분양	분양	NNG	O

## 6
## 공군은 서울국제휠체어마라톤대회를 축하하기 위해 블랙이글스를 투입해 29일 오전 11시 45분 잠심 주경기장 상공에서 에어쇼를 진행하기에 앞서 이날 오전 10시부터 사전 연습 비행을 진행했다.
## 공군은 <서울국제휠체어마라톤대회:POH>를 축하하기 위해 <블랙이글스:ORG>를 투입해 <29일:DAT> <오전 11시 45분:TIM> <잠심 주경기장:LOC> 상공에서 에어쇼를 진행하기에 앞서 이날 <오전 10시:TIM>부터 사전 연습 비행을 진행했다.
공군	공군	NNG	O
은	은	JX	O
_	_	_	O
서울	서울	NNP	B-POH
국제	국제	NNG	I-POH
휠체어	휠체어	NNG	I-POH
마라톤	마라톤	NNG	I-POH
대회	대회	NNG	I-POH
를	를	JKO	O
_	_	_	O
축하하	축하하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
블랙	블랙	NNG	B-ORG
이글스	이글스	NNP	I-ORG
를	를	JKO	O
_	_	_	O
투입해	투입하+여	VV+EC	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
11	11	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
45	45	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
잠심	잠심	NNG	B-LOC
_	_	_	I-LOC
주	주	MM	I-LOC
경기장	경기장	NNG	I-LOC
_	_	_	O
상공	상공	NNG	O
에서	에서	JKB	O
_	_	_	O
에어쇼	에어쇼	NNG	O
를	를	JKO	O
_	_	_	O
진행하	진행하	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
앞서	앞서+어	VV+EC	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
10	10	SN	I-TIM
시	시	NNB	I-TIM
부터	부터	JX	O
_	_	_	O
사전	사전	NNG	O
_	_	_	O
연습	연습	NNG	O
_	_	_	O
비행	비행	NNG	O
을	을	JKO	O
_	_	_	O
진행	진행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 6년째 뉴트리아를 쫓다 보니 전씨도 어느새 뉴트리아 전문가가 됐다.
## <6년:DUR>째 뉴트리아를 쫓다 보니 <전:PER>씨도 어느새 뉴트리아 전문가가 됐다.
6	6	SN	B-DUR
년	년	NNB	I-DUR
째	째	XSN	O
_	_	_	O
뉴트리아	뉴트리아	NNG	O
를	를	JKO	O
_	_	_	O
쫓	쫓	VV	O
다	다	EC	O
_	_	_	O
보	보	VX	O
니	니	EC	O
_	_	_	O
전	전	NNP	B-PER
씨	씨	NNB	O
도	도	JX	O
_	_	_	O
어느새	어느새	MAG	O
_	_	_	O
뉴트리아	뉴트리아	NNG	O
_	_	_	O
전문가	전문가	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 당내에서 상대적으로 젊은 486세력을 비롯한 50대 정치인들도 새로운 비전이나 기치를 들 조짐이 보이지 않는다.
## 당내에서 상대적으로 젊은 <486세력:NOH>을 비롯한 <50대:NOH> 정치인들도 새로운 비전이나 기치를 들 조짐이 보이지 않는다.
당내	당내	NNG	O
에서	에서	JKB	O
_	_	_	O
상대적	상대적	NNG	O
으로	으로	JKB	O
_	_	_	O
젊	젊	VA	O
은	은	ETM	O
_	_	_	O
486	486	SN	B-NOH
세력	세력	NNG	I-NOH
을	을	JKO	O
_	_	_	O
비롯한	비롯하+ㄴ	VV+ETM	O
_	_	_	O
50	50	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
정치인	정치인	NNG	O
들	들	XSN	O
도	도	JX	O
_	_	_	O
새로	새롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
비전	비전	NNG	O
이나	이나	JC	O
_	_	_	O
기치	기치	NNG	O
를	를	JKO	O
_	_	_	O
들	들+ㄹ	VV+ETM	O
_	_	_	O
조짐	조짐	NNG	O
이	이	JKS	O
_	_	_	O
보이	보이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
.	.	SF	O

## 9
## 이같은 발언은 방한을 앞두고 사회당 총리 정권의 대북정책에 대한 한국 등 인근국의 우려를 줄이기 위한 것으로 분석되고 있다.
## 이같은 발언은 방한을 앞두고 <사회당:ORG> 총리 정권의 대북정책에 대한 <한국:ORG> 등 인근국의 우려를 줄이기 위한 것으로 분석되고 있다.
이	이	NP	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
발언	발언	NNG	O
은	은	JX	O
_	_	_	O
방한	방한	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
사회당	사회당	NNP	B-ORG
_	_	_	O
총리	총리	NNG	O
_	_	_	O
정권	정권	NNG	O
의	의	JKG	O
_	_	_	O
대북	대북	NNG	O
정책	정책	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
한국	한국	NNP	B-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
인근	인근	NNG	O
국	국	XSN	O
의	의	JKG	O
_	_	_	O
우려	우려	NNG	O
를	를	JKO	O
_	_	_	O
줄이	줄이	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
분석되	분석되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## “장시호 김동성, 한때 연인관계…아내도 알고 있었다”
## “<장시호:PER> <김동성:PER>, 한때 연인관계…아내도 알고 있었다”
“	“	SS	O
장시호	장시호	NNP	B-PER
_	_	_	O
김동성	김동성	NNP	B-PER
,	,	SP	O
_	_	_	O
한때	한때	NNG	O
_	_	_	O
연인	연인	NNG	O
관계	관계	NNG	O
…	…	SE	O
아내	아내	NNG	O
도	도	JX	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
”	”	SS	O

## 11
## 엔제리너스커피와 제주도가 함께 진행하는 ‘원두 리사이클 캠페인’은 친환경 자원 재순환 사업의 일환으로 한 해 동안 커피 찌꺼기를 활용해 만든 비료 500t을 취약 농가에 지원하는 활동이다.
## <엔제리너스커피:ORG>와 <제주도:ORG>가 함께 진행하는 ‘원두 리사이클 캠페인’은 친환경 자원 재순환 사업의 일환으로 <한 해:DUR> 동안 커피 찌꺼기를 활용해 만든 비료 <500t:NOH>을 취약 농가에 지원하는 활동이다.
엔제리너스커피	엔제리너스커피	NNP	B-ORG
와	와	JC	O
_	_	_	O
제주도	제주도	NNP	B-ORG
가	가	JKS	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
진행하	진행하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
원두	원두	NNG	O
_	_	_	O
리사이클	리사이클	NNG	O
_	_	_	O
캠페인	캠페인	NNG	O
’	’	SS	O
은	은	JX	O
_	_	_	O
친환경	친환경	NNG	O
_	_	_	O
자원	자원	NNG	O
_	_	_	O
재순환	재순환	NNG	O
_	_	_	O
사업	사업	NNG	O
의	의	JKG	O
_	_	_	O
일환	일환	NNG	O
으로	으로	JKB	O
_	_	_	O
한	한	MM	B-DUR
_	_	_	I-DUR
해	해	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
커피	커피	NNG	O
_	_	_	O
찌꺼기	찌꺼기	NNG	O
를	를	JKO	O
_	_	_	O
활용해	활용하+여	VV+EC	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
비료	비료	NNG	O
_	_	_	O
500	500	SN	B-NOH
t	t	SL	I-NOH
을	을	JKO	O
_	_	_	O
취약	취약	NNG	O
_	_	_	O
농가	농가	NNG	O
에	에	JKB	O
_	_	_	O
지원하	지원하	VV	O
는	는	ETM	O
_	_	_	O
활동	활동	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 1940년 나치정부가 독일계 유대인 예금주의 명단을 공개하라는 요구가 계기가 됐다.
## <1940년:DAT> <나치정부:ORG>가 <독일:LOC>계 유대인 예금주의 명단을 공개하라는 요구가 계기가 됐다.
1940	1940	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
나치	나치	NNG	B-ORG
정부	정부	NNG	I-ORG
가	가	JKS	O
_	_	_	O
독일	독일	NNP	B-LOC
계	계	XSN	O
_	_	_	O
유대인	유대인	NNG	O
_	_	_	O
예금주	예금주	NNG	O
의	의	JKG	O
_	_	_	O
명단	명단	NNG	O
을	을	JKO	O
_	_	_	O
공개하	공개하	VV	O
라는	라는	ETM	O
_	_	_	O
요구	요구	NNG	O
가	가	JKS	O
_	_	_	O
계기	계기	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 13
## 국정은 ‘박근혜 없는 박근혜 정부’가 맡고 있다.
## 국정은 ‘<박근혜:PER> 없는 <박근혜 정부:ORG>’가 맡고 있다.
국정	국정	NNG	O
은	은	JX	O
_	_	_	O
‘	‘	SS	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
박근혜	박근혜	NNP	B-ORG
_	_	_	I-ORG
정부	정부	NNG	I-ORG
’	’	SS	O
가	가	JKS	O
_	_	_	O
맡	맡	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 14
## [건강한 당신] 근력 약한 중년 '파워드라이버'로 키우세요
## [건강한 당신] 근력 약한 중년 '<파워드라이버:POH>'로 키우세요
[	[	SS	O
건강한	건강하+ㄴ	VA+ETM	O
_	_	_	O
당신	당신	NP	O
]	]	SS	O
_	_	_	O
근력	근력	NNG	O
_	_	_	O
약한	약하+ㄴ	VA+ETM	O
_	_	_	O
중년	중년	NNG	O
_	_	_	O
'	'	SS	O
파워	파워	NNG	B-POH
드라이버	드라이버	NNG	I-POH
'	'	SS	O
로	로	JKB	O
_	_	_	O
키우	키우	VV	O
세요	세요	EF	O

## 15
## ―장씨의 석방과정을 알고 있는가.
## ―<장:PER>씨의 석방과정을 알고 있는가.
―	―	SS	O
장	장	NNP	B-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
석방	석방	NNG	O
과정	과정	NNG	O
을	을	JKO	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는가	는가	EF	O
.	.	SF	O

## 16
## 경기도청이 8일부터 10일까지 사흘간 벚꽃 맞이 도청 개방 행사를 연다.
## <경기도청:ORG>이 <8일:DAT>부터 <10일:DAT>까지 <사흘간:DUR> 벚꽃 맞이 도청 개방 행사를 연다.
경기도청	경기도청	NNP	B-ORG
이	이	JKS	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
사흘	사흘	NNG	B-DUR
간	간	XSN	I-DUR
_	_	_	O
벚꽃	벚꽃	NNG	O
_	_	_	O
맞이	맞이	XSN	O
_	_	_	O
도청	도청	NNG	O
_	_	_	O
개방	개방	NNG	O
_	_	_	O
행사	행사	NNG	O
를	를	JKO	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
.	.	SF	O

## 17
## 최근 미국 자동차 전문매체 오토가이드는 위장막에 가려진 채 미국 캘리포니아의 한 도로에서 시험주행 중인 2018년형 ‘제네시스’ 모습을 공개했다.
## 최근 <미국:ORG> 자동차 전문매체 <오토가이드:ORG>는 위장막에 가려진 채 <미국:LOC> <캘리포니아:LOC>의 <한 도로:NOH>에서 시험주행 중인 <2018년:DAT>형 ‘<제네시스:POH>’ 모습을 공개했다.
최근	최근	NNG	O
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	O
자동차	자동차	NNG	O
_	_	_	O
전문	전문	NNG	O
매체	매체	NNG	O
_	_	_	O
오토	오토	NNP	B-ORG
가이드	가이드	NNG	I-ORG
는	는	JX	O
_	_	_	O
위장막	위장막	NNG	O
에	에	JKB	O
_	_	_	O
가려진	가려지+ㄴ	VV+ETM	O
_	_	_	O
채	채	NNB	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
캘리포니아	캘리포니아	NNP	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
도로	도로	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
시험	시험	NNG	O
주행	주행	NNG	O
_	_	_	O
중	중	NNB	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2018	2018	SN	B-DAT
년	년	NNB	I-DAT
형	형	XSN	O
_	_	_	O
‘	‘	SS	O
제네시스	제네시스	NNP	B-POH
’	’	SS	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

