## 1
## 김홍민 북스피어 대표는 “딱 1쇄만 찍기 때문에 독자들이 구하기 어렵다는 반응”이라며 “‘르 지라시’를 보기 위해 책을 구매한다는 독자들까지 생겼다”고 말했다.
## <김홍민:PER> <북스피어:ORG> 대표는 “딱 <1쇄:NOH>만 찍기 때문에 독자들이 구하기 어렵다는 반응”이라며 “‘<르 지라시:POH>’를 보기 위해 책을 구매한다는 독자들까지 생겼다”고 말했다.
김홍민	김홍민	NNP	B-PER
론칭	론칭	NNG	O
_	_	_	O
3	3	SN	B-NOH
주년	주년	NNB	I-NOH
을	을	JKO	O
_	_	_	O
맞이해	맞이하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
3	3	SN	B-NOH
주년	주년	NNB	I-NOH
_	_	_	O
기념	기념	NNG	O
_	_	_	O
특가	특가	NNG	O
’	’	SS	O
_	_	_	O
프로모션	프로모션	NNG	O
을	을	JKO	O
_	_	_	O
진행하	진행하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## [인물동정]신용하 독도학회·독도연구보전협회장 外
## [<인물동정:POH>]<신용하:PER> 독도학회·독도연구보전협회장 外
[	[	SS	O
인물	인물	NNG	B-POH
동정	동정	NNG	I-POH
]	]	SS	O
신용하	신용하	NNP	B-PER
_	_	_	O
독도	독도	NNP	O
학회	학회	NNG	O
·	·	SP	O
독도	독도	NNP	O
연구	연구	NNG	O
보전	보전	NNG	O
협회	협회	NNG	O
장	장	XSN	O
_	_	_	O
外	外	SH	O

## 10
## 그러나 이날 방송에서 엠버는 자신의 집을 게스트하우스로 활용한다며 언제든지 친구들이 자고갈 수 있도록 집을 청소하고 강아지 털을 다듬어 주는 등 살림꾼의 면모를 보여 천상여자 엠버의 ‘반전 매력’을 보이기도 했다.
## 그러나 이날 방송에서 <엠버:PER>는 자신의 집을 게스트하우스로 활용한다며 언제든지 친구들이 자고갈 수 있도록 집을 청소하고 강아지 털을 다듬어 주는 등 살림꾼의 면모를 보여 천상여자 <엠버:PER>의 ‘반전 매력’을 보이기도 했다.
그러나	그러나	MAJ	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
엠버	엠버	NNP	B-PER
는	는	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
집	집	NNG	O
을	을	JKO	O
_	_	_	O
게스트	게스트	NNG	O
하우스	하우스	NNG	O
로	로	JKB	O
_	_	_	O
활용한다며	활용하+ㄴ다며	VV+EC	O
_	_	_	O
언제	언제	NP	O
든지	든지	JX	O
_	_	_	O
친구	친구	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
자	자	EC	O
고	고	EC	O
갈	가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
집	집	NNG	O
을	을	JKO	O
_	_	_	O
청소하	청소하	VV	O
고	고	EC	O
_	_	_	O
강아지	강아지	NNG	O
_	_	_	O
털	털	NNG	O
을	을	JKO	O
_	_	_	O
다듬	다듬	VV	O
어	어	EC	O
_	_	_	O
주	주	VX	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
살림꾼	살림꾼	NNG	O
의	의	JKG	O
_	_	_	O
면모	면모	NNG	O
를	를	JKO	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
_	_	_	O
천상	천상	NNG	O
여자	여자	NNG	O
_	_	_	O
엠버	엠버	NNP	B-PER
의	의	JKG	O
_	_	_	O
‘	‘	SS	O
반전	반전	NNG	O
_	_	_	O
매력	매력	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
보이	보이	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 새정치민주연합은 청와대와 한편에 서는 입장이 됐다.
## <새정치민주연합:ORG>은 <청와대:ORG>와 한편에 서는 입장이 됐다.
새정치민주연합	새정치민주연합	NNP	B-ORG
은	은	JX	O
_	_	_	O
청와대	청와대	NNP	B-ORG
와	와	JC	O
_	_	_	O
한편	한편	NNG	O
에	에	JKB	O
_	_	_	O
서	서	VV	O
는	는	ETM	O
_	_	_	O
입장	입장	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 서울시는 이 같은 내용을 기본으로 2018년 4월 예장자락 재생사업을 마무리짓고 일반에 개방할 예정이다.
## <서울시:ORG>는 이 같은 내용을 기본으로 <2018년 4월:DAT> 예장자락 재생사업을 마무리짓고 일반에 개방할 예정이다.
서울시	서울시	NNP	B-ORG
는	는	JX	O
_	_	_	O
이	이	NP	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
내용	내용	NNG	O
을	을	JKO	O
_	_	_	O
기본	기본	NNG	O
으로	으로	JKB	O
_	_	_	O
2018	2018	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
4	4	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
예장	예장	NNG	O
자락	자락	NNG	O
_	_	_	O
재생	재생	NNG	O
사업	사업	NNG	O
을	을	JKO	O
_	_	_	O
마무리	마무리	NNG	O
짓	짓	VV	O
고	고	EC	O
_	_	_	O
일반	일반	NNG	O
에	에	JKB	O
_	_	_	O
개방할	개방하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 1945년 해방 이후 귀국했다.
## <1945년:DAT> 해방 이후 귀국했다.
1945	1945	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
해방	해방	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
귀국	귀국하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 중앙 수비수 레안드로 보누치가 수비 지역에서 한 번에 전방으로 길게 공을 보내고 이를 엠마누엘레 자케리니가 잡은 뒤 침착하게 오른발로 마무리 슈팅까지 이어가면서 선제 득점을 올렸다.
## 중앙 수비수 <레안드로 보누치:PER>가 수비 지역에서 <한 번:NOH>에 전방으로 길게 공을 보내고 이를 <엠마누엘레 자케리니:PER>가 잡은 뒤 침착하게 오른발로 마무리 슈팅까지 이어가면서 선제 득점을 올렸다.
중앙	중앙	NNG	O
_	_	_	O
수비수	수비수	NNG	O
_	_	_	O
레안드로	레안드로	NNP	B-PER
_	_	_	I-PER
보	보	NNG	I-PER
누치	누치	NNG	I-PER
가	가	JKS	O
_	_	_	O
수비	수비	NNG	O
_	_	_	O
지역	지역	NNG	O
에서	에서	JKB	O
_	_	_	O
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
에	에	JKB	O
_	_	_	O
전방	전방	NNG	O
으로	으로	JKB	O
_	_	_	O
길	길	VA	O
게	게	EC	O
_	_	_	O
공	공	NNG	O
을	을	JKO	O
_	_	_	O
보내	보내	VV	O
고	고	EC	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
엠마누엘	엠마누엘	NNP	B-PER
레	레	NNG	I-PER
_	_	_	I-PER
자케	자케	NNP	I-PER
리니	리니	NNP	I-PER
가	가	JKS	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
침착하	침착하	VA	O
게	게	EC	O
_	_	_	O
오른발	오른발	NNG	O
로	로	JKB	O
_	_	_	O
마무리	마무리	NNG	O
_	_	_	O
슈팅	슈팅	NNG	O
까지	까지	JX	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
가	가	VX	O
면서	면서	EC	O
_	_	_	O
선제	선제	NNG	O
_	_	_	O
득점	득점	NNG	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

