## 1
## 최악의 경제상황에 BBQ는 위기를 성장의 발판으로 도약했다.대박 터뜨린 ‘올리브 럭셔리 치킨’ 윤 회장에게 닥친 가장 큰 시련은 2003년의 AI 파동이었다.
## 최악의 경제상황에 <BBQ:ORG>는 위기를 성장의 발판으로 도약했다.대박 터뜨린 ‘올리브 럭셔리 치킨’ <윤:PER> 회장에게 닥친 가장 큰 시련은 <2003년:DAT>의 <AI 파동:POH>이었다.
최악	최악	NNG	O
## 이성·동성 커플 어느 쪽이나 쓸 수 있는 말이라는 것.이 밖에 “<국민의당:ORG>은 이 현수막으로 무슨 메시지를 전달하고자 했던 것인지 궁금하다”는 이들이 많았다.‘어떤 식으로 해석하느냐’ 문제 이전에 중의적으로 읽힐 수 있는 글을 써 현수막을 내건 의도 전달에 실패했다는 지적도 있다.
이성	이성	NNG	O
·	·	SP	O
동성	동성	NNG	O
_	_	_	O
커플	커플	NNG	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
쪽	쪽	NNB	O
이나	이나	JX	O
_	_	_	O
쓸	쓰+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
말	말	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
것	것	NNB	O
.	.	SF	O
이	이	MM	O
_	_	_	O
밖	밖	NNG	O
에	에	JKB	O
_	_	_	O
“	“	SS	O
국민	국민	NNG	B-ORG
의	의	NNG	I-ORG
당	당	XSN	I-ORG
은	은	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
현수막	현수막	NNG	O
으로	으로	JKB	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
전달하	전달하	VV	O
고자	고자	EC	O
_	_	_	O
했	+였	+EP	O
던	던	ETM	O
_	_	_	O
것	것	NNB	O
인지	이+ㄴ지	VCP+EC	O
_	_	_	O
궁금하	궁금하	VA	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
았	았	EP	O
다	다	EF	O
.	.	SF	O
‘	‘	SS	O
어떤	어떤	MM	O
_	_	_	O
식	식	NNB	O
으로	으로	JKB	O
_	_	_	O
해석하	해석하	VV	O
느냐	느냐	EF	O
’	’	SS	O
_	_	_	O
문제	문제	NNG	O
_	_	_	O
이전	이전	NNG	O
에	에	JKB	O
_	_	_	O
중의	중의	NNG	O
적	적	XSN	O
으로	으로	JKB	O
_	_	_	O
읽힐	읽히+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
글	글	NNG	O
을	을	JKO	O
_	_	_	O
써	+어	+EC	O
_	_	_	O
현수막	현수막	NNG	O
을	을	JKO	O
_	_	_	O
내건	내걸+ㄴ	VV+ETM	O
_	_	_	O
의도	의도	NNG	O
_	_	_	O
전달	전달	NNG	O
에	에	JKB	O
_	_	_	O
실패	실패하	VV	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
지적	지적	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 4
## 결혼 후 2~3년 사이에 첫 아이를 낳은 여성의 비율(21.7%)은 전년대비 1.3%포인트 증가했다.
## 결혼 후 <2~3년:DUR> 사이에 첫 아이를 낳은 <여성:POH>의 비율(<21.7%:PNT>)은 전년대비 <1.3%:PNT>포인트 증가했다.
결혼	결혼	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
2	2	SN	B-DUR
~	~	SO	I-DUR
3	3	SN	I-DUR
년	년	NNB	I-DUR
_	_	_	O
사이	사이	NNG	O
에	에	JKB	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
아이	아이	NNG	O
를	를	JKO	O
_	_	_	O
낳	낳	VV	O
은	은	ETM	O
_	_	_	O
여성	여성	NNG	B-POH
의	의	JKG	O
_	_	_	O
비율	비율	NNG	O
(	(	SS	O
21.7	21.7	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
은	은	JX	O
_	_	_	O
전년	전년	NNG	O
대비	대비	NNG	O
_	_	_	O
1.3	1.3	SN	B-PNT
%	%	SW	I-PNT
포인트	포인트	NNG	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 박 씨는 “자동차 충돌 장면 등에서 좌석의 움직임이 느낌을 적절하게 전달했다”고 말했다.
## <박:PER> 씨는 “자동차 충돌 장면 등에서 좌석의 움직임이 느낌을 적절하게 전달했다”고 말했다.
박	박	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
자동차	자동차	NNG	O
_	_	_	O
충돌	충돌	NNG	O
_	_	_	O
장면	장면	NNG	O
_	_	_	O
등	등	NNB	O
에서	에서	JKB	O
_	_	_	O
좌석	좌석	NNG	O
의	의	JKG	O
_	_	_	O
움직임	움직임	NNG	O
이	이	JKS	O
_	_	_	O
느낌	느낌	NNG	O
을	을	JKO	O
_	_	_	O
적절하	적절하	VA	O
게	게	EC	O
_	_	_	O
전달	전달하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 경찰에 따르면 조 경감은 이날 오전 5시 9분경 트레일러에서 컨테이너가 분리됐다는 신고를 받고 동료 경찰관과 함께 출동했다.
## 경찰에 따르면 <조:PER> 경감은 이날 <오전 5시 9분경:TIM> 트레일러에서 컨테이너가 분리됐다는 신고를 받고 동료 경찰관과 함께 출동했다.
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
조	조	NNG	B-PER
_	_	_	O
경감	경감	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
5	5	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
9	9	SN	I-TIM
분	분	NNB	I-TIM
경	경	XSN	I-TIM
_	_	_	O
트레일러	트레일러	NNG	O
에서	에서	JKB	O
_	_	_	O
컨테이너	컨테이너	NNG	O
가	가	JKS	O
_	_	_	O
분리	분리되	VV	O
됐	었	EP	O
다는	다는	ETM	O
_	_	_	O
신고	신고	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
동료	동료	NNG	O
_	_	_	O
경찰관	경찰관	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
출동	출동하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 창업진흥원은 이 씨앗이 커다란 나무가 될 수 있게 지원하겠다.
## <창업진흥원:ORG>은 이 씨앗이 커다란 나무가 될 수 있게 지원하겠다.
창업	창업	NNG	B-ORG
진흥	진흥	NNG	I-ORG
원	원	XSN	I-ORG
은	은	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
씨앗	씨앗	NNG	O
이	이	JKS	O
_	_	_	O
커다란	커다랗+ㄴ	VA+ETM	O
_	_	_	O
나무	나무	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
지원하	지원하	VV	O
겠	겠	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 올해는 1989년 12월 31일 이후에 태어난 선수들이 주니어 부문에 포함됐다.
## 올해는 <1989년 12월 31일:DAT> 이후에 태어난 선수들이 주니어 부문에 포함됐다.
올해	올해	NNG	O
는	는	JX	O
_	_	_	O
1989	1989	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
12	12	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
31	31	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
이후	이후	NNG	O
에	에	JKB	O
_	_	_	O
태어난	태어나+ㄴ	VV+ETM	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
주니어	주니어	NNG	O
_	_	_	O
부문	부문	NNG	O
에	에	JKB	O
_	_	_	O
포함	포함되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 자신감 상실을 내셔널리즘으로 돌파하려는 것이다.
## 자신감 상실을 <내셔널리즘:POH>으로 돌파하려는 것이다.
자신감	자신감	NNG	O
_	_	_	O
상실	상실	NNG	O
을	을	JKO	O
_	_	_	O
내셔널리즘	내셔널리즘	NNG	B-POH
으로	으로	JKB	O
_	_	_	O
돌파하	돌파하	VV	O
려는	려는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 개혁보수신당 합류에 대해선 "아직 현재로서는 특정 정당에 합류할 생각은 하고 있지 않다"고 답했다.
## <개혁보수신당:ORG> 합류에 대해선 "아직 현재로서는 특정 정당에 합류할 생각은 하고 있지 않다"고 답했다.
개혁	개혁	NNG	B-ORG
보수	보수	NNG	I-ORG
신당	신당	NNG	I-ORG
_	_	_	O
합류	합류	NNG	O
에	에	JKB	O
_	_	_	O
대해선	대하+여서+ㄴ	VV+EC+JX	O
_	_	_	O
"	"	SS	O
아직	아직	MAG	O
_	_	_	O
현재	현재	NNG	O
로서	로서	JKB	O
는	는	JX	O
_	_	_	O
특정	특정	NNG	O
_	_	_	O
정당	정당	NNG	O
에	에	JKB	O
_	_	_	O
합류할	합류하+ㄹ	VV+ETM	O
_	_	_	O
생각	생각	NNG	O
은	은	JX	O
_	_	_	O
하	하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 그는 “2대가 교대로 운행하니 운행 횟수만 100차례가 넘는다”며 “어림잡아도 셔틀버스 이용객만 6000~7000명”이라고 덧붙였다.
## 그는 “<2대:NOH>가 교대로 운행하니 운행 횟수만 <100차례:NOH>가 넘는다”며 “어림잡아도 셔틀버스 이용객만 <6000:NOH>~<7000명:NOH>”이라고 덧붙였다.
그	그	NP	O
는	는	JX	O
_	_	_	O
“	“	SS	O
2	2	SN	B-NOH
대	대	NNB	I-NOH
가	가	JKS	O
_	_	_	O
교대	교대	NNG	O
로	로	JKB	O
_	_	_	O
운행하	운행하	VV	O
니	니	EC	O
_	_	_	O
운행	운행	NNG	O
_	_	_	O
횟수	횟수	NNG	O
만	만	JX	O
_	_	_	O
100	100	SN	B-NOH
차례	차례	NNG	I-NOH
가	가	JKS	O
_	_	_	O
넘	넘	VV	O
는다	는다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
어림잡	어림잡	VV	O
아도	아도	EC	O
_	_	_	O
셔틀	셔틀	NNG	O
버스	버스	NNG	O
_	_	_	O
이용객	이용객	NNG	O
만	만	JX	O
_	_	_	O
6000	6000	SN	B-NOH
~	~	SO	O
7000	7000	SN	B-NOH
명	명	NNB	I-NOH
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 상처의 깊이와 크기에 따라 다르지만 여드름 흉터의 경우 3~4주 정도 꾸준히 사용하면 개선 효과를 기대할 수 있다.
## 상처의 깊이와 크기에 따라 다르지만 여드름 흉터의 경우 <3~4주:DUR> 정도 꾸준히 사용하면 개선 효과를 기대할 수 있다.
상처	상처	NNG	O
의	의	JKG	O
_	_	_	O
깊이	깊이	NNG	O
와	와	JC	O
_	_	_	O
크기	크기	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
다르	다르	VA	O
지만	지만	EC	O
_	_	_	O
여드름	여드름	NNG	O
_	_	_	O
흉터	흉터	NNG	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
3	3	SN	B-DUR
~	~	SO	I-DUR
4	4	SN	I-DUR
주	주	NNB	I-DUR
_	_	_	O
정도	정도	NNG	O
_	_	_	O
꾸준히	꾸준히	MAG	O
_	_	_	O
사용하	사용하	VV	O
면	면	EC	O
_	_	_	O
개선	개선	NNG	O
_	_	_	O
효과	효과	NNG	O
를	를	JKO	O
_	_	_	O
기대할	기대하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 영미권은 물론 한국 명문대까지 다수의 합격생을 배출했다.
## 영미권은 물론 <한국:LOC> 명문대까지 다수의 합격생을 배출했다.
영미	영미	NNP	O
권	권	XSN	O
은	은	JX	O
_	_	_	O
물론	물론	MAG	O
_	_	_	O
한국	한국	NNP	B-LOC
_	_	_	O
명문	명문	NNG	O
대	대	NNG	O
까지	까지	JX	O
_	_	_	O
다수	다수	NNG	O
의	의	JKG	O
_	_	_	O
합격	합격	NNG	O
생	생	XSN	O
을	을	JKO	O
_	_	_	O
배출	배출하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 현재 차기 의장으로 거론되는 유력한 후보는 변 회장이다.
## 현재 차기 의장으로 거론되는 유력한 후보는 <변:PER> 회장이다.
현재	현재	MAG	O
_	_	_	O
차기	차기	NNG	O
_	_	_	O
의장	의장	NNG	O
으로	으로	JKB	O
_	_	_	O
거론되	거론되	VV	O
는	는	ETM	O
_	_	_	O
유력한	유력하+ㄴ	VA+ETM	O
_	_	_	O
후보	후보	NNG	O
는	는	JX	O
_	_	_	O
변	변	NNG	B-PER
_	_	_	O
회장	회장	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

