## 1
## 프로야구 두산이 ‘매직넘버’를 1로 줄였다.
## 프로야구 <두산:ORG>이 ‘매직넘버’를 <1:NOH>로 줄였다.
프로	프로	NNG	O
## <2000년대:DUR> 초반 인터넷이 발달하면서 대중들은 포털사이트와 커뮤니티 게시판 등에 손쉽게 의견을 올리기 시작했고, 더 직접적이고 빠른 의견 개진을 위해 기사에 달린 댓글 기능을 활용하기 시작했다.
2000	2000	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
초반	초반	NNG	O
_	_	_	O
인터넷	인터넷	NNG	O
이	이	JKS	O
_	_	_	O
발달하	발달하	VV	O
면서	면서	EC	O
_	_	_	O
대중	대중	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
포털	포털	NNG	O
사이트	사이트	NNG	O
와	와	JC	O
_	_	_	O
커뮤니티	커뮤니티	NNG	O
_	_	_	O
게시판	게시판	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
손쉽	손쉽	VA	O
게	게	EC	O
_	_	_	O
의견	의견	NNG	O
을	을	JKO	O
_	_	_	O
올리	올리	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
고	고	EC	O
,	,	SP	O
_	_	_	O
더	더	MAG	O
_	_	_	O
직접적	직접적	NNG	O
이	이	VCP	O
고	고	EC	O
_	_	_	O
빠른	빠르+ㄴ	VA+ETM	O
_	_	_	O
의견	의견	NNG	O
_	_	_	O
개진	개진	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
기사	기사	NNG	O
에	에	JKB	O
_	_	_	O
달린	달리+ㄴ	VV+ETM	O
_	_	_	O
댓글	댓글	NNG	O
_	_	_	O
기능	기능	NNG	O
을	을	JKO	O
_	_	_	O
활용하	활용하	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 사고 당시 이창명이 현장을 떠나 직접적인 음주 측정을 할 수 없었기 때문이다.
## 사고 당시 <이창명:PER>이 현장을 떠나 직접적인 음주 측정을 할 수 없었기 때문이다.
사고	사고	NNG	O
_	_	_	O
당시	당시	NNG	O
_	_	_	O
이창명	이창명	NNP	B-PER
이	이	JKS	O
_	_	_	O
현장	현장	NNG	O
을	을	JKO	O
_	_	_	O
떠나	떠나+아	VV+EC	O
_	_	_	O
직접적	직접적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
음주	음주	NNG	O
_	_	_	O
측정	측정	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
었	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 5
## 이날 임대호는 노총각인 김현욱 아나운서에 대해 “김현욱이 뿌려놓은 축의금만 모아도 장가를 갈 수 있을 것이다”며 “그동안 어마어마하게 뿌려놨다”고 말했다.
## 이날 <임대호:PER>는 노총각인 <김현욱:PER> 아나운서에 대해 “<김현욱:PER>이 뿌려놓은 축의금만 모아도 장가를 갈 수 있을 것이다”며 “그동안 어마어마하게 뿌려놨다”고 말했다.
이날	이날	NNG	O
_	_	_	O
임대호	임대호	NNP	B-PER
는	는	JX	O
_	_	_	O
노총각	노총각	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
김현욱	김현욱	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
“	“	SS	O
김현욱	김현욱	NNP	B-PER
이	이	JKS	O
_	_	_	O
뿌려	뿌리+어	VV+EC	O
놓	놓	VX	O
은	은	ETM	O
_	_	_	O
축의금	축의금	NNG	O
만	만	JX	O
_	_	_	O
모	모으	VV	O
아도	아도	EC	O
_	_	_	O
장가	장가	NNG	O
를	를	JKO	O
_	_	_	O
갈	가+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
그동안	그동안	NNG	O
_	_	_	O
어마어마하	어마어마하	VA	O
게	게	EC	O
_	_	_	O
뿌려	뿌리+어	VV+EC	O
놨	놓	VX	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이어 “김현욱에게 ‘너 축의금 받아서 집 살 것 같다’고 한 적이 있다”는 에피소드를 털어놔 웃음을 자아냈다.
## 이어 “<김현욱:PER>에게 ‘너 축의금 받아서 집 살 것 같다’고 한 적이 있다”는 에피소드를 털어놔 웃음을 자아냈다.
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
김현욱	김현욱	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
‘	‘	SS	O
너	너	NP	O
_	_	_	O
축의금	축의금	NNG	O
_	_	_	O
받	받	VV	O
아서	아서	EC	O
_	_	_	O
집	집	NNG	O
_	_	_	O
살	살+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
다	다	EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
에피소드	에피소드	NNG	O
를	를	JKO	O
_	_	_	O
털어놔	털어놓+아	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 7
## 실제 김현욱 아나운서는 경·조사를 모두 챙기다보니 최대 천만원 가량을 지출한 적이 있다고 밝혀 놀라움을 자아냈다.
## 실제 <김현욱:PER> 아나운서는 경·조사를 모두 챙기다보니 최대 <천만원:MNY> 가량을 지출한 적이 있다고 밝혀 놀라움을 자아냈다.
실제	실제	NNG	O
_	_	_	O
김현욱	김현욱	NNP	B-PER
_	_	_	O
아나운서	아나운서	NNG	O
는	는	JX	O
_	_	_	O
경	경	NNG	O
·	·	SP	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
챙기	챙기	VV	O
다	다	EC	O
보	보	VX	O
니	니	EC	O
_	_	_	O
최대	최대	NNG	O
_	_	_	O
천만	천만	NR	B-MNY
원	원	NNB	I-MNY
_	_	_	O
가량	가량	XSN	O
을	을	JKO	O
_	_	_	O
지출한	지출하+ㄴ	VV+ETM	O
_	_	_	O
적	적	NNB	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다고	다고	EC	O
_	_	_	O
밝혀	밝히+어	VV+EC	O
_	_	_	O
놀라움	놀라움	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 특히 김현욱은 “결혼식 사회만 400~500번 봤다”며 “제가 아나운서를 시작하고 사회를 보기 시작했는데 지금 한 15~16년 됐다”고 말해 눈길을 끌었다.
## 특히 <김현욱:PER>은 “결혼식 사회만 <400:NOH>~<500번:NOH> 봤다”며 “제가 아나운서를 시작하고 사회를 보기 시작했는데 지금 한 <15:NOH>~<16년:NOH> 됐다”고 말해 눈길을 끌었다.
특히	특히	MAG	O
_	_	_	O
김현욱	김현욱	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
결혼식	결혼식	NNG	O
_	_	_	O
사회	사회	NNG	O
만	만	JX	O
_	_	_	O
400	400	SN	B-NOH
~	~	SO	O
500	500	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
봤	+았	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
제	제	NP	O
가	가	JKS	O
_	_	_	O
아나운서	아나운서	NNG	O
를	를	JKO	O
_	_	_	O
시작하	시작하	VV	O
고	고	EC	O
_	_	_	O
사회	사회	NNG	O
를	를	JKO	O
_	_	_	O
보	보	VV	O
기	기	ETN	O
_	_	_	O
시작	시작하	VV	O
했	었	EP	O
는데	는데	EC	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
한	한	MM	O
_	_	_	O
15	15	SN	B-NOH
~	~	SO	O
16	16	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
끌	끌	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 한편 김현욱은 2000년 KBS 아나운서로 입사해 ‘체험 삶의 현장’, ‘도전! 골든벨’ 등에 출연했다.
## 한편 <김현욱:PER>은 <2000년:DAT> <KBS:ORG> 아나운서로 입사해 ‘<체험 삶의 현장:POH>’, ‘<도전! 골든벨:POH>’ 등에 출연했다.
한편	한편	MAG	O
_	_	_	O
김현욱	김현욱	NNP	B-PER
은	은	JX	O
_	_	_	O
2000	2000	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
KBS	KBS	SL	B-ORG
_	_	_	O
아나운서	아나운서	NNG	O
로	로	JKB	O
_	_	_	O
입사해	입사하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
체험	체험	NNG	B-POH
_	_	_	I-POH
삶	삶	NNG	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
현장	현장	NNG	I-POH
’	’	SS	O
,	,	SP	O
_	_	_	O
‘	‘	SS	O
도전	도전	NNP	B-POH
!	!	SF	I-POH
_	_	_	I-POH
골든벨	골든벨	NNG	I-POH
’	’	SS	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
출연	출연하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 문화 프로젝트 그룹 ‘결사대’는 31일 “제주시 삼도2동 간드락소극장에서 음악인형극 ‘아기사슴섬 천사들’을 공연한다”고 밝혔다.
## 문화 프로젝트 그룹 ‘<결사대:POH>’는 <31일:DAT> “<제주시 삼도2동:LOC> <간드락소극장:LOC>에서 음악인형극 ‘<아기사슴섬 천사들:POH>’을 공연한다”고 밝혔다.
문화	문화	NNG	O
_	_	_	O
프로젝트	프로젝트	NNG	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
‘	‘	SS	O
결사대	결사대	NNG	B-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
제주시	제주시	NNP	B-LOC
_	_	_	I-LOC
삼도	삼도	NNP	I-LOC
2	2	SN	I-LOC
동	동	NNG	I-LOC
_	_	_	O
간	간	NNB	B-LOC
드	들	VV	I-LOC
락	락	NNG	I-LOC
소극장	소극장	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
음악	음악	NNG	O
인형극	인형극	NNG	O
_	_	_	O
‘	‘	SS	O
아기	아기	NNG	B-POH
사슴	사슴	NNG	I-POH
섬	섬	NNG	I-POH
_	_	_	I-POH
천사	천사	NNG	I-POH
들	들	XSN	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
공연한다	공연하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## ‘아기사슴섬 천사들’은 모든 연령대의 관람객이 볼 수 있는 작품으로 공연시간은 50분이다.
## ‘<아기사슴섬 천사들:POH>’은 모든 연령대의 관람객이 볼 수 있는 작품으로 공연시간은 <50분:DUR>이다.
‘	‘	SS	O
아기	아기	NNG	B-POH
사슴	사슴	NNG	I-POH
섬	섬	NNG	I-POH
_	_	_	I-POH
천사	천사	NNG	I-POH
들	들	XSN	I-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
연령	연령	NNG	O
대	대	XSN	O
의	의	JKG	O
_	_	_	O
관람객	관람객	NNG	O
이	이	JKS	O
_	_	_	O
볼	보+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
작품	작품	NNG	O
으로	으로	JKB	O
_	_	_	O
공연	공연	NNG	O
시간	시간	NNG	O
은	은	JX	O
_	_	_	O
50	50	SN	B-DUR
분	분	NNB	I-DUR
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 죽령옛길은 소백산자락길 최고의 인기 코스이기도 하다.
## <죽령옛길:LOC>은 <소백산:LOC>자락길 최고의 인기 코스이기도 하다.
죽령	죽령	NNG	B-LOC
옛길	옛길	NNG	I-LOC
은	은	JX	O
_	_	_	O
소백산	소백산	NNP	B-LOC
자락	자락	NNG	O
길	길	NNG	O
_	_	_	O
최고	최고	NNG	O
의	의	JKG	O
_	_	_	O
인기	인기	NNG	O
_	_	_	O
코스	코스	NNG	O
이	이	VCP	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
하	하	VX	O
다	다	EF	O
.	.	SF	O

## 13
## 이후 소방당국은 폭발에 대비해 대형 덤프차 등 소방장비와 인력을 24시간 현장에 배치했다.
## 이후 <소방당국:ORG>은 폭발에 대비해 대형 덤프차 등 소방장비와 인력을 <24시간:DUR> 현장에 배치했다.
이후	이후	NNG	O
_	_	_	O
소방	소방	NNG	B-ORG
당국	당국	NNG	I-ORG
은	은	JX	O
_	_	_	O
폭발	폭발	NNG	O
에	에	JKB	O
_	_	_	O
대비해	대비하+여	VV+EC	O
_	_	_	O
대형	대형	NNG	O
_	_	_	O
덤프차	덤프차	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
소방	소방	NNG	O
장비	장비	NNG	O
와	와	JC	O
_	_	_	O
인력	인력	NNG	O
을	을	JKO	O
_	_	_	O
24	24	SN	B-DUR
시간	시간	NNB	I-DUR
_	_	_	O
현장	현장	NNG	O
에	에	JKB	O
_	_	_	O
배치	배치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 그러나 한국지질자원연구원의 추가 조사에서 ‘폭발 위험이 없다’는 조사 결과에 따라 인력을 철수했다.
## 그러나 <한국지질자원연구원:ORG>의 추가 조사에서 ‘폭발 위험이 없다’는 조사 결과에 따라 인력을 철수했다.
그러나	그러나	MAJ	O
_	_	_	O
한국지질자원연구원	한국지질자원연구원	NNP	B-ORG
의	의	JKG	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
‘	‘	SS	O
폭발	폭발	NNG	O
_	_	_	O
위험	위험	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
다	다	EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
조사	조사	NNG	O
_	_	_	O
결과	결과	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
인력	인력	NNG	O
을	을	JKO	O
_	_	_	O
철수	철수하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 가스화재가 장기화되자 포항시는 지난달 29일 관계기관과 대책회의를 갖고 현장에 높이 230cm의 철재펜스를 설치해 일반인의 출입을 통제했다.
## 가스화재가 장기화되자 <포항시:ORG>는 지난달 <29일:DAT> 관계기관과 대책회의를 갖고 현장에 높이 <230cm:NOH>의 철재펜스를 설치해 일반인의 출입을 통제했다.
가스	가스	NNG	O
화재	화재	NNG	O
가	가	JKS	O
_	_	_	O
장기화되	장기화되	VV	O
자	자	EC	O
_	_	_	O
포항시	포항시	NNP	B-ORG
는	는	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
관계	관계	NNG	O
기관	기관	NNG	O
과	과	JC	O
_	_	_	O
대책	대책	NNG	O
회의	회의	NNG	O
를	를	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
현장	현장	NNG	O
에	에	JKB	O
_	_	_	O
높이	높이	MAG	O
_	_	_	O
230	230	SN	B-NOH
cm	cm	SL	I-NOH
의	의	JKG	O
_	_	_	O
철재	철재	NNG	O
펜스	펜스	NNG	O
를	를	JKO	O
_	_	_	O
설치해	설치하+여	VV+EC	O
_	_	_	O
일반인	일반인	NNG	O
의	의	JKG	O
_	_	_	O
출입	출입	NNG	O
을	을	JKO	O
_	_	_	O
통제	통제하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 이 내용에서 박기량씨가 언급됐다.
## 이 내용에서 <박기량:PER>씨가 언급됐다.
이	이	MM	O
_	_	_	O
내용	내용	NNG	O
에서	에서	JKB	O
_	_	_	O
박기량	박기량	NNP	B-PER
씨	씨	NNB	O
가	가	JKS	O
_	_	_	O
언급	언급되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 17
## 이에 박기량의 소속사 측은 "해당 루머는 사실무근이다"고 첫 번째 입장을 밝힌 뒤, 다음날 바로 고소장을 제출했다.
## 이에 <박기량:PER>의 소속사 측은 "해당 루머는 사실무근이다"고 첫 번째 입장을 밝힌 뒤, 다음날 바로 고소장을 제출했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
박기량	박기량	NNP	B-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
"	"	SS	O
해당	해당	NNG	O
_	_	_	O
루머	루머	NNG	O
는	는	JX	O
_	_	_	O
사실무근	사실무근	NNG	O
이	이	VCP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
밝힌	밝히+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
,	,	SP	O
_	_	_	O
다음날	다음날	NNG	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
고소장	고소장	NNG	O
을	을	JKO	O
_	_	_	O
제출	제출하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

