## 1
## 제과제빵반 윤두남(42) 교사가 김씨를 맞았다.
## 제과제빵반 <윤두남:PER>(<42:NOH>) 교사가 <김:PER>씨를 맞았다.
제과	제과	NNG	O
등	등	NNB	O
에서	에서	JKB	O
_	_	_	O
외환	외환	NNG	O
위기	위기	NNG	O
_	_	_	O
우려	우려	NNG	O
가	가	JKS	O
_	_	_	O
나오	나오	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다고	다고	EC	O
_	_	_	O
블룸버그	블룸버그	NNP	B-POH
,	,	SP	O
_	_	_	O
파이낸셜타임스	파이낸셜타임스	NNP	B-POH
(	(	SS	O
FT	FT	SL	B-POH
)	)	SS	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 여성은 남성의 1.8%에 불과하다.
## <여성:POH>은 남성의 <1.8%:PNT>에 불과하다.
여성	여성	NNG	B-POH
은	은	JX	O
_	_	_	O
남성	남성	NNG	O
의	의	JKG	O
_	_	_	O
1.8	1.8	SN	B-PNT
%	%	SW	I-PNT
에	에	JKB	O
_	_	_	O
불과하	불과하	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 이에 따라 FNC는 국내뿐 아니라 유재석의 해외 활동에 대한 적극적인 지원을 약속했다.
## 이에 따라 <FNC:ORG>는 국내뿐 아니라 <유재석:PER>의 해외 활동에 대한 적극적인 지원을 약속했다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
FNC	FNC	SL	B-ORG
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
뿐	뿐	JX	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
_	_	_	O
유재석	유재석	NNP	B-PER
의	의	JKG	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
적극적	적극적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
지원	지원	NNG	O
을	을	JKO	O
_	_	_	O
약속	약속하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이를 위해 FNC는 그동안 쌓아온 현지 인프라 등을 적극 활용할 방침이다.
## 이를 위해 <FNC:ORG>는 그동안 쌓아온 현지 인프라 등을 적극 활용할 방침이다.
이	이	NP	O
를	를	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
FNC	FNC	SL	B-ORG
는	는	JX	O
_	_	_	O
그동안	그동안	NNG	O
_	_	_	O
쌓	쌓	VV	O
아	아	EC	O
온	오+ㄴ	VX+ETM	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
인프라	인프라	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
적극	적극	NNG	O
_	_	_	O
활용할	활용하+ㄹ	VV+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 어제 최양희 미래창조과학부 장관은 AI 연구의 현주소 파악을 위해 삼성전자 서울 연구개발(R&D)캠퍼스와 LG전자 서초 R&D캠퍼스를 찾았다.
## 어제 <최양희:PER> <미래창조과학부:ORG> 장관은 AI 연구의 현주소 파악을 위해 <삼성전자:ORG> <서울:LOC> 연구개발(R&D)캠퍼스와 <LG전자:ORG> <서초:LOC> R&D캠퍼스를 찾았다.
어제	어제	MAG	O
_	_	_	O
최양희	최양희	NNP	B-PER
_	_	_	O
미래	미래	NNG	B-ORG
창조	창조	NNG	I-ORG
과학	과학	NNG	I-ORG
부	부	NNG	I-ORG
_	_	_	O
장관	장관	NNG	O
은	은	JX	O
_	_	_	O
AI	AI	SL	O
_	_	_	O
연구	연구	NNG	O
의	의	JKG	O
_	_	_	O
현주소	현주소	NNG	O
_	_	_	O
파악	파악	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
삼성전자	삼성전자	NNP	B-ORG
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
연구	연구	NNG	O
개발	개발	NNG	O
(	(	SS	O
R	R	SL	O
&	&	SW	O
D	D	SL	O
)	)	SS	O
캠퍼스	캠퍼스	NNG	O
와	와	JC	O
_	_	_	O
LG	LG	SL	B-ORG
전자	전자	NNG	I-ORG
_	_	_	O
서초	서초	NNP	B-LOC
_	_	_	O
R	R	SL	O
&	&	SW	O
D	D	SL	O
캠퍼스	캠퍼스	NNG	O
를	를	JKO	O
_	_	_	O
찾	찾	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 배우 서정희의 동안 미모가 화제다.
## 배우 <서정희:PER>의 동안 미모가 화제다.
배우	배우	NNG	O
_	_	_	O
서정희	서정희	NNP	B-PER
의	의	JKG	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
미모	미모	NNG	O
가	가	JKS	O
_	_	_	O
화제	화제+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 여야는 26일부터 10월 15일까지 열리는 2016년 국정감사에서 피감기관 691개를 대상으로 기관 증인 3256명, 일반 증인 104명을 불러 실시할 계획이었으나 파행이 예상된다.
## 여야는 <26일:DAT>부터 <10월 15일:DAT>까지 열리는 <2016년:DAT> 국정감사에서 피감기관 <691개:NOH>를 대상으로 기관 증인 <3256명:NOH>, 일반 증인 <104명:NOH>을 불러 실시할 계획이었으나 파행이 예상된다.
여야	여야	NNG	O
는	는	JX	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
15	15	SN	I-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
열리	열리	VV	O
는	는	ETM	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
국정감사	국정감사	NNG	O
에서	에서	JKB	O
_	_	_	O
피감	피감	NNG	O
기관	기관	NNG	O
_	_	_	O
691	691	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
기관	기관	NNG	O
_	_	_	O
증인	증인	NNG	O
_	_	_	O
3256	3256	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
일반	일반	NNG	O
_	_	_	O
증인	증인	NNG	O
_	_	_	O
104	104	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
불	부르	VV	O
러	어	EC	O
_	_	_	O
실시할	실시하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
었	었	EP	O
으나	으나	EC	O
_	_	_	O
파행	파행	NNG	O
이	이	JKS	O
_	_	_	O
예상된다	예상되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 자본금(8054억원)을 거의 잠식한 상태가 됐다.
## 자본금(<8054억원:MNY>)을 거의 잠식한 상태가 됐다.
자본금	자본금	NNG	O
(	(	SS	O
8054	8054	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
을	을	JKO	O
_	_	_	O
거의	거의	MAG	O
_	_	_	O
잠식한	잠식하+ㄴ	VV+ETM	O
_	_	_	O
상태	상태	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 11
## 사우디아라비아-우즈베키스탄(이상 1승 1패) 경기 승자는 2승 1패로 중국과 승점이 같아지지만 중국에 패했기 때문에 조 2위가 된다.
## <사우디아라비아:ORG>-<우즈베키스탄:ORG>(이상 <1승:NOH> <1패:NOH>) 경기 승자는 <2승:NOH> <1패:NOH>로 <중국:ORG>과 승점이 같아지지만 <중국:ORG>에 패했기 때문에 조 <2위:NOH>가 된다.
사우디아라비아	사우디아라비아	NNP	B-ORG
-	-	SO	O
우즈베키스탄	우즈베키스탄	NNP	B-ORG
(	(	SS	O
이상	이상	NNG	O
_	_	_	O
1	1	SN	B-NOH
승	승	NNB	I-NOH
_	_	_	O
1	1	SN	B-NOH
패	패	NNB	I-NOH
)	)	SS	O
_	_	_	O
경기	경기	NNP	O
_	_	_	O
승자	승자	NNG	O
는	는	JX	O
_	_	_	O
2	2	SN	B-NOH
승	승	NNB	I-NOH
_	_	_	O
1	1	SN	B-NOH
패	패	NNB	I-NOH
로	로	JKB	O
_	_	_	O
중국	중국	NNP	B-ORG
과	과	JC	O
_	_	_	O
승점	승점	NNG	O
이	이	JKS	O
_	_	_	O
같아지	같아지	VV	O
지만	지만	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
에	에	JKB	O
_	_	_	O
패	패하	VV	O
했	었	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
조	조	NNG	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
가	가	JKC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 전국의 생활체육지도자 2600여명이 소외계층을 위한 찾아가는 서비스를 제공한다.
## 전국의 생활체육지도자 <2600여명:NOH>이 소외계층을 위한 찾아가는 서비스를 제공한다.
전국	전국	NNG	O
의	의	JKG	O
_	_	_	O
생활	생활	NNG	O
체육	체육	NNG	O
지도자	지도자	NNG	O
_	_	_	O
2600	2600	SN	B-NOH
여	여	XSN	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
소외	소외	NNG	O
계층	계층	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
찾아가	찾아가	VV	O
는	는	ETM	O
_	_	_	O
서비스	서비스	NNG	O
를	를	JKO	O
_	_	_	O
제공한다	제공하+ㄴ다	VV+EF	O
.	.	SF	O

## 13
## 김정은 참수작전을 수행할 수 있는 F-35B 스텔스 전투기 10대도 올 1월 이 기지에 배치했다.
## <김정은:PER> 참수작전을 수행할 수 있는 <F-35B 스텔스 전투기:POH> <10대:NOH>도 올 <1월:DAT> 이 기지에 배치했다.
김정	김정	NNP	B-PER
은	은	JX	I-PER
_	_	_	O
참수	참수	NNG	O
작전	작전	NNG	O
을	을	JKO	O
_	_	_	O
수행할	수행하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
F	F	SL	B-POH
-	-	SO	I-POH
35	35	SN	I-POH
B	B	SL	I-POH
_	_	_	I-POH
스텔스	스텔스	NNP	I-POH
_	_	_	I-POH
전투기	전투기	NNG	I-POH
_	_	_	O
10	10	SN	B-NOH
대	대	NNB	I-NOH
도	도	JX	O
_	_	_	O
올	올	NNG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
이	이	MM	O
_	_	_	O
기지	기지	NNG	O
에	에	JKB	O
_	_	_	O
배치	배치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

