## 1
## PC온라인게임 부문 최고 기대작 중 하나인 스마일게이트의 ‘로스트아크’도 내년 상반기 내 첫 테스트를 할 것으로 보인다.
## PC온라인게임 부문 최고 기대작 중 <하나:NOH>인 <스마일게이트:ORG>의 ‘<로스트아크:POH>’도 내년 상반기 내 첫 테스트를 할 것으로 보인다.
PC	PC	SL	O
가격	가격	NNG	O
에	에	JKB	O
_	_	_	O
만나	만나+아	VV+EC	O
볼	보+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
기회	기회	NNG	O
가	가	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이	이	VCP	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
앞	앞	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
고객	고객	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
파타고니아	파타고니아	NNP	B-ORG
의	의	JKG	O
_	_	_	O
우수한	우수하+ㄴ	VA+ETM	O
_	_	_	O
제품력	제품력	NNG	O
과	과	JC	O
_	_	_	O
브랜드	브랜드	NNG	O
를	를	JKO	O
_	_	_	O
경험할	경험하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
도록	도록	EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
프로모션	프로모션	NNG	O
을	을	JKO	O
_	_	_	O
지속적	지속적	NNG	O
으로	으로	JKB	O
_	_	_	O
진행해	진행하+여	VV+EC	O
_	_	_	O
나가	나가	VX	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 인천에는 210개 노선에 2308대의 버스가 운행하고 있다.
## <인천:LOC>에는 <210개:NOH> 노선에 <2308대:NOH>의 버스가 운행하고 있다.
인천	인천	NNP	B-LOC
에	에	JKB	O
는	는	JX	O
_	_	_	O
210	210	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
노선	노선	NNG	O
에	에	JKB	O
_	_	_	O
2308	2308	SN	B-NOH
대	대	NNB	I-NOH
의	의	JKG	O
_	_	_	O
버스	버스	NNG	O
가	가	JKS	O
_	_	_	O
운행하	운행하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 10
## 에어리얼은 스키 기술이 많이 필요한 건 아니지만 자유롭게 가지고 놀려면 일단 밸런스를 알아야 하거든요.
## <에어리얼:POH>은 스키 기술이 많이 필요한 건 아니지만 자유롭게 가지고 놀려면 일단 밸런스를 알아야 하거든요.
에어리얼	에어리얼	NNP	B-POH
은	은	JX	O
_	_	_	O
스키	스키	NNG	O
_	_	_	O
기술	기술	NNG	O
이	이	JKS	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
아니	아니	VCN	O
지만	지만	EC	O
_	_	_	O
자유롭	자유롭	VA	O
게	게	EC	O
_	_	_	O
가지	가지	VV	O
고	고	EC	O
_	_	_	O
놀	놀	VV	O
려면	려면	EC	O
_	_	_	O
일단	일단	MAG	O
_	_	_	O
밸런스	밸런스	NNG	O
를	를	JKO	O
_	_	_	O
알	알	VV	O
아야	아야	EC	O
_	_	_	O
하	하	VX	O
거든요	거든요	EF	O
.	.	SF	O

## 11
## 사진기자에게 고 김영삼(YS) 대통령은 인기가 많은 대통령이었다.
## 사진기자에게 고 <김영삼:PER>(<YS:PER>) 대통령은 인기가 많은 대통령이었다.
사진	사진	NNG	O
기자	기자	NNG	O
에게	에게	JKB	O
_	_	_	O
고	고	MM	O
_	_	_	O
김영삼	김영삼	NNP	B-PER
(	(	SS	O
YS	YS	SL	B-PER
)	)	SS	O
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
인기	인기	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
대통령	대통령	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 경찰에 따르면 김 군이 몰던 카니발 차량은 이날 0시 25분경 정읍시 북면의 한 도로에서 빙판길에 미끄러져 반대편 교각과 전신주를 들이받은 뒤 농수로에 떨어졌다.
## 경찰에 따르면 <김:PER> 군이 몰던 카니발 차량은 이날 <0시 25분경:TIM> <정읍시:LOC> <북면:LOC>의 한 도로에서 빙판길에 미끄러져 반대편 교각과 전신주를 들이받은 뒤 농수로에 떨어졌다.
경찰	경찰	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
김	김	NNP	B-PER
_	_	_	O
군	군	NNG	O
이	이	JKS	O
_	_	_	O
몰	몰	VV	O
던	던	ETM	O
_	_	_	O
카니발	카니발	NNG	O
_	_	_	O
차량	차량	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
0	0	SN	B-TIM
시	시	NNB	I-TIM
_	_	_	I-TIM
25	25	SN	I-TIM
분	분	NNB	I-TIM
경	경	XSN	I-TIM
_	_	_	O
정읍시	정읍시	NNP	B-LOC
_	_	_	O
북면	북면	NNG	B-LOC
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
도로	도로	NNG	O
에서	에서	JKB	O
_	_	_	O
빙판	빙판	NNG	O
길	길	NNG	O
에	에	JKB	O
_	_	_	O
미끄러져	미끄러지+어	VV+EC	O
_	_	_	O
반대편	반대편	NNG	O
_	_	_	O
교각	교각	NNG	O
과	과	JC	O
_	_	_	O
전신주	전신주	NNG	O
를	를	JKO	O
_	_	_	O
들이받	들이받	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
농	농	NNG	O
수로	수로	NNG	O
에	에	JKB	O
_	_	_	O
떨어	떨어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 한국의 가계부채가 1200조 원을 돌파하고 기업부채가 1700조 원에 이르러도 경제 규모가 커진 데 따른 ‘성장통’이라고 뭉뚱그리면 위기감은 둔해질 수 있다.
## <한국:ORG>의 가계부채가 <1200조 원:MNY>을 돌파하고 기업부채가 <1700조 원:MNY>에 이르러도 경제 규모가 커진 데 따른 ‘성장통’이라고 뭉뚱그리면 위기감은 둔해질 수 있다.
한국	한국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
가계	가계	NNG	O
부채	부채	NNG	O
가	가	JKS	O
_	_	_	O
1200	1200	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
돌파하	돌파하	VV	O
고	고	EC	O
_	_	_	O
기업	기업	NNG	O
부채	부채	NNG	O
가	가	JKS	O
_	_	_	O
1700	1700	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
에	에	JKB	O
_	_	_	O
이르	이르	VV	O
러	어	EC	O
도	도	JX	O
_	_	_	O
경제	경제	NNG	O
_	_	_	O
규모	규모	NNG	O
가	가	JKS	O
_	_	_	O
커진	커지+ㄴ	VV+ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
성장통	성장통	NNG	O
’	’	SS	O
이라고	이라고	JKQ	O
_	_	_	O
뭉뚱그리	뭉뚱그리	VV	O
면	면	EC	O
_	_	_	O
위기감	위기감	NNG	O
은	은	JX	O
_	_	_	O
둔해	둔하+여	VA+EC	O
질	지+ㄹ	VX+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 14
## 양현종에게 4년 총액 100억원 이상의 다년 계약을 제시하기 어려운 상황이었다.
## <양현종:PER>에게 <4년:NOH> 총액 <100억원:MNY> 이상의 다년 계약을 제시하기 어려운 상황이었다.
양현종	양현종	NNP	B-PER
에게	에게	JKB	O
_	_	_	O
4	4	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
총액	총액	NNG	O
_	_	_	O
100	100	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
다년	다년	NNG	O
_	_	_	O
계약	계약	NNG	O
을	을	JKO	O
_	_	_	O
제시하	제시하	VV	O
기	기	ETN	O
_	_	_	O
어려	어렵	VA	O
운	ㄴ	ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 연평도가 적의 방사포 공격을 당했을 때도 K-9 자주포로 사후 대응 사격만 했을 뿐 민간 피해를 줄일 사전 경보나 중간 차단은 할 수 없었다.
## <연평도:LOC>가 적의 방사포 공격을 당했을 때도 <K-9 자주포:POH>로 사후 대응 사격만 했을 뿐 민간 피해를 줄일 사전 경보나 중간 차단은 할 수 없었다.
연평도	연평도	NNP	B-LOC
가	가	JKS	O
_	_	_	O
적	적	NNG	O
의	의	JKG	O
_	_	_	O
방사포	방사포	NNG	O
_	_	_	O
공격	공격	NNG	O
을	을	JKO	O
_	_	_	O
당	당하	VV	O
했	였	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
도	도	JX	O
_	_	_	O
K	K	SL	B-POH
-	-	SO	I-POH
9	9	SN	I-POH
_	_	_	I-POH
자주포	자주포	NNG	I-POH
로	로	JKB	O
_	_	_	O
사후	사후	NNG	O
_	_	_	O
대응	대응	NNG	O
_	_	_	O
사격	사격	NNG	O
만	만	JX	O
_	_	_	O
했	+였	+EP	O
을	을	ETM	O
_	_	_	O
뿐	뿐	NNB	O
_	_	_	O
민간	민간	NNG	O
_	_	_	O
피해	피해	NNG	O
를	를	JKO	O
_	_	_	O
줄일	줄이+ㄹ	VV+ETM	O
_	_	_	O
사전	사전	NNG	O
_	_	_	O
경보	경보	NNG	O
나	나	JC	O
_	_	_	O
중간	중간	NNG	O
_	_	_	O
차단	차단	NNG	O
은	은	JX	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 원조 딸바보 차태현 출연…서언-서준 쌍둥이는?
## 원조 딸바보 <차태현:PER> 출연…<서언:PER>-<서준:PER> 쌍둥이는?
원조	원조	NNG	O
_	_	_	O
딸	딸	NNG	O
바보	바보	NNG	O
_	_	_	O
차태현	차태현	NNP	B-PER
_	_	_	O
출연	출연	NNG	O
…	…	SE	O
서언	서언	NNG	B-PER
-	-	SO	O
서	서+어	VV+EC	B-PER
준	주+ㄴ	VX+ETM	I-PER
_	_	_	O
쌍둥이	쌍둥이	NNG	O
는	는	JX	O
?	?	SF	O

