## 1
## 렉서스 브랜드에서는 RC 350, GS 350, LS 460, GX 460, LX 570, RX 450h가 각각 1위에 올랐다.
## <렉서스:ORG> 브랜드에서는 <RC 350:POH>, <GS 350:POH>, <LS 460:POH>, <GX 460:POH>, <LX 570:POH>, <RX 450h:POH>가 각각 <1위:NOH>에 올랐다.
렉서스	렉서스	NNP	B-ORG
## <NIA:ORG> 빅데이터전략센터 <신신애:PER> 부장은 “영세 슈퍼의 경우 간단하고 직관적인 판매 정보를 원하지만 얻을 수 있는 기회가 없었다”며 “이번 빅데이터 분석 결과는 올해 상반기 인터넷을 통해 공개한다”고 밝혔다.
NIA	NIA	SL	B-ORG
_	_	_	O
빅	빅	NNG	O
데이터	데이터	NNG	O
전략	전략	NNG	O
센터	센터	NNG	O
_	_	_	O
신신애	신신애	NNP	B-PER
_	_	_	O
부장	부장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
영세	영세	NNG	O
_	_	_	O
슈퍼	슈퍼	NNG	O
의	의	JKG	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
간단하	간단하	VA	O
고	고	EC	O
_	_	_	O
직관적	직관적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
판매	판매	NNG	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
원하	원하	VV	O
지만	지만	EC	O
_	_	_	O
얻	얻	VV	O
을	을	ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
기회	기회	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
이번	이번	NNG	O
_	_	_	O
빅	빅	NNG	O
데이터	데이터	NNG	O
_	_	_	O
분석	분석	NNG	O
_	_	_	O
결과	결과	NNG	O
는	는	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
상반기	상반기	NNG	O
_	_	_	O
인터넷	인터넷	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
공개한다	공개하+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘김포공항 4번 게이트 결혼식’은 임씨가 25일 자신의 소셜네트워크서비스(SNS) 인스타그램에 사진을 올리면서 알려졌다.
## ‘<김포공항:LOC> <4번:NOH> 게이트 결혼식’은 <임씨:PER>가 <25일:DAT> 자신의 소셜네트워크서비스(SNS) <인스타그램:POH>에 사진을 올리면서 알려졌다.
‘	‘	SS	O
김포공항	김포공항	NNP	B-LOC
_	_	_	O
4	4	SN	B-NOH
번	번	NNB	I-NOH
_	_	_	O
게이트	게이트	NNG	O
_	_	_	O
결혼식	결혼식	NNG	O
’	’	SS	O
은	은	JX	O
_	_	_	O
임	임	NNP	B-PER
씨	씨	NNB	I-PER
가	가	JKS	O
_	_	_	O
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
소셜	소셜	NNG	O
네트워크	네트워크	NNG	O
서비스	서비스	NNG	O
(	(	SS	O
SNS	SNS	SL	O
)	)	SS	O
_	_	_	O
인스타그램	인스타그램	NNG	B-POH
에	에	JKB	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
올리	올리	VV	O
면서	면서	EC	O
_	_	_	O
알려	알려지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 박 대통령은 취임 후 지난 3년 동안 매번 여름휴가를 다녀와 청와대나 내각의 인적 개편을 해왔다.
## <박:PER> 대통령은 취임 후 지난 <3년:DAT> 동안 매번 여름휴가를 다녀와 <청와대:ORG>나 내각의 인적 개편을 해왔다.
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
취임	취임	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
동안	동안	NNG	O
_	_	_	O
매번	매번	MAG	O
_	_	_	O
여름휴가	여름휴가	NNG	O
를	를	JKO	O
_	_	_	O
다녀	다녀오	VV	O
와	아	EC	O
_	_	_	O
청와대	청와대	NNP	B-ORG
나	나	JC	O
_	_	_	O
내각	내각	NNG	O
의	의	JKG	O
_	_	_	O
인적	인적	NNG	O
_	_	_	O
개편	개편	NNG	O
을	을	JKO	O
_	_	_	O
해	하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 최 감독은 “K리그에는 타깃형 공격수가 꼭 필요하다는데, (이)근호만의 장점이 있다.
## <최:PER> 감독은 “<K리그:ORG>에는 타깃형 공격수가 꼭 필요하다는데, <(이)근호:PER>만의 장점이 있다.
최	최	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
K	K	SL	B-ORG
리그	리그	NNG	I-ORG
에	에	JKB	O
는	는	JX	O
_	_	_	O
타깃	타깃	NNG	O
형	형	XSN	O
_	_	_	O
공격수	공격수	NNG	O
가	가	JKS	O
_	_	_	O
꼭	꼭	MAG	O
_	_	_	O
필요하	필요하	VA	O
다는데	다는데	EC	O
,	,	SP	O
_	_	_	O
(	(	SS	B-PER
이	이	MM	I-PER
)	)	SS	I-PER
근호	근호	NNG	I-PER
만	만	JX	O
의	의	JKG	O
_	_	_	O
장점	장점	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 9
## 또 통합문화 바우처인 ‘문화누리카드’ 대상자를 전년 대비 7.6% 늘려 155만 명 이상의 기초·차상위 계층이 문화예술 관람의 혜택을 받게 된다.
## 또 통합문화 바우처인 ‘<문화누리카드:POH>’ 대상자를 전년 대비 <7.6%:PNT> 늘려 <155만 명:NOH> 이상의 기초·차상위 계층이 문화예술 관람의 혜택을 받게 된다.
또	또	MAG	O
_	_	_	O
통합	통합	NNG	O
문화	문화	NNG	O
_	_	_	O
바우처	바우처	NNP	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
문화	문화	NNG	B-POH
누리	누리	NNG	I-POH
카드	카드	NNG	I-POH
’	’	SS	O
_	_	_	O
대상자	대상자	NNG	O
를	를	JKO	O
_	_	_	O
전년	전년	NNG	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
7.6	7.6	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
늘려	늘리+어	VV+EC	O
_	_	_	O
155	155	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
의	의	JKG	O
_	_	_	O
기초	기초	NNG	O
·	·	SP	O
차	차	NNG	O
상위	상위	NNG	O
_	_	_	O
계층	계층	NNG	O
이	이	JKS	O
_	_	_	O
문화	문화	NNG	O
예술	예술	NNG	O
_	_	_	O
관람	관람	NNG	O
의	의	JKG	O
_	_	_	O
혜택	혜택	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## ‘문화가 있는 날 확대’ 소식을 접한 누리꾼들은 “문화가 있는 날 확대, 좋은 생각입니다”,
## ‘<문화가 있는 날:POH> 확대’ 소식을 접한 누리꾼들은 “<문화가 있는 날:POH> 확대, 좋은 생각입니다”,
‘	‘	SS	O
문화	문화	NNG	B-POH
가	가	JKS	I-POH
_	_	_	I-POH
있	있	VA	I-POH
는	는	ETM	I-POH
_	_	_	I-POH
날	날	NNG	I-POH
_	_	_	O
확대	확대	NNG	O
’	’	SS	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
접한	접하+ㄴ	VV+ETM	O
_	_	_	O
누리	누리	NNG	O
꾼	꾼	XSN	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
문화	문화	NNG	B-POH
가	가	JKS	I-POH
_	_	_	I-POH
있	있	VA	I-POH
는	는	ETM	I-POH
_	_	_	I-POH
날	날	NNG	I-POH
_	_	_	O
확대	확대	NNG	O
,	,	SP	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
생각	생각	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
”	”	SS	O
,	,	SP	O

## 11
## 이번 미국과의 합의는 이런 북한의 사정이 나타난 것이죠.
## 이번 <미국:ORG>과의 합의는 이런 <북한:ORG>의 사정이 나타난 것이죠.
이번	이번	NNG	O
_	_	_	O
미국	미국	NNP	B-ORG
과	과	JKB	O
의	의	JKG	O
_	_	_	O
합의	합의	NNG	O
는	는	JX	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
북한	북한	NNP	B-ORG
의	의	JKG	O
_	_	_	O
사정	사정	NNG	O
이	이	JKS	O
_	_	_	O
나타난	나타나+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
죠	죠	EF	O
.	.	SF	O

## 12
## 복층형(56실)과 원룸형(56실) 2개로 선호도가 높은 전용면적(17.8940m²)이다.
## 복층형(<56실:NOH>)과 원룸형(<56실:NOH>) <2개:NOH>로 선호도가 높은 전용면적(<17.8940m²:NOH>)이다.
복	복	XPN	O
층	층	NNG	O
형	형	XSN	O
(	(	SS	O
56	56	SN	B-NOH
실	실	NNB	I-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
원룸	원룸	NNG	O
형	형	XSN	O
(	(	SS	O
56	56	SN	B-NOH
실	실	NNB	I-NOH
)	)	SS	O
_	_	_	O
2	2	SN	B-NOH
개	개	NNB	I-NOH
로	로	JKB	O
_	_	_	O
선호도	선호도	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
전용면적	전용면적	NNG	O
(	(	SS	O
17.8940	17.8940	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
)	)	SS	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 中사업 협력-투자확대 논의
## <中:ORG>사업 협력-투자확대 논의
中	中	SH	B-ORG
사업	사업	NNG	O
_	_	_	O
협력	협력	NNG	O
-	-	SO	O
투자	투자	NNG	O
확대	확대	NNG	O
_	_	_	O
논의	논의	NNG	O

