## 1
## 10 8번 아이라이너로 눈 밑 점막을 채워 넣고, 면봉으로 눈두덩을 살짝 올린 뒤 1번 아이라이너로 점막을 채운다.11 1번 아이라이너로 아이라인을 따라 속눈썹 윗부분을 채우고 눈꼬리는 위로 빼 그려놓은 라인과 연결한다.
## <10:NOH> <8번:NOH> 아이라이너로 눈 밑 점막을 채워 넣고, 면봉으로 눈두덩을 살짝 올린 뒤 <1번:NOH> 아이라이너로 점막을 채운다.<11:NOH> <1번:NOH> 아이라이너로 아이라인을 따라 속눈썹 윗부분을 채우고 눈꼬리는 위로 빼 그려놓은 라인과 연결한다.
10	10	SN	B-NOH
했	였	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
시즌	시즌	NNG	O
이	이	JKS	O
_	_	_	O
끝날	끝나+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
까지	까지	JX	O
_	_	_	O
히딩크	히딩크	NNP	B-PER
를	를	JKO	O
_	_	_	O
새	새	MM	O
_	_	_	O
사령탑	사령탑	NNG	O
으로	으로	JKB	O
_	_	_	O
선임	선임하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2009	2009	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
2	2	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
첼시	첼시	NNP	B-ORG
_	_	_	O
임시	임시	NNG	O
_	_	_	O
감독	감독	NNG	O
직	직	NNG	O
을	을	JKO	O
_	_	_	O
맡	맡	VV	O
았	았	EP	O
던	던	ETM	O
_	_	_	O
히딩크	히딩크	NNP	B-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
FA	FA	SL	B-POH
컵	컵	NNG	I-POH
_	_	_	O
우승	우승	NNG	O
,	,	SP	O
_	_	_	O
프리미어	프리미어	NNG	B-POH
리그	리그	NNG	I-POH
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
,	,	SP	O
_	_	_	O
챔피언스	챔피언스	NNG	B-POH
리그	리그	NNG	I-POH
_	_	_	O
4	4	SN	B-NOH
강	강	NNG	I-NOH
_	_	_	O
진출	진출	NNG	O
의	의	JKG	O
_	_	_	O
성과	성과	NNG	O
를	를	JKO	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 3
## 이번 로드맵은 2020년의 제조업 미래상 구상, 이를 구현하기 위한 8대 기술별로 개발이 필요한 영역 도출, 업종 전문가들의 실현 가능성 검증을 단계적으로 진행함으로써 기획 단계부터 제조 현장의 수요를 고려하기 위한 것이다.
## 이번 로드맵은 <2020년:DAT>의 제조업 미래상 구상, 이를 구현하기 위한 <8대:NOH> 기술별로 개발이 필요한 영역 도출, 업종 전문가들의 실현 가능성 검증을 단계적으로 진행함으로써 기획 단계부터 제조 현장의 수요를 고려하기 위한 것이다.
이번	이번	NNG	O
_	_	_	O
로드맵	로드맵	NNG	O
은	은	JX	O
_	_	_	O
2020	2020	SN	B-DAT
년	년	NNB	I-DAT
의	의	JKG	O
_	_	_	O
제조업	제조업	NNG	O
_	_	_	O
미래상	미래상	NNG	O
_	_	_	O
구상	구상	NNG	O
,	,	SP	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
구현하	구현하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
8	8	SN	B-NOH
대	대	NNB	I-NOH
_	_	_	O
기술	기술	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
개발	개발	NNG	O
이	이	JKS	O
_	_	_	O
필요한	필요하+ㄴ	VA+ETM	O
_	_	_	O
영역	영역	NNG	O
_	_	_	O
도출	도출	NNG	O
,	,	SP	O
_	_	_	O
업종	업종	NNG	O
_	_	_	O
전문가	전문가	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
실현	실현	NNG	O
_	_	_	O
가능성	가능성	NNG	O
_	_	_	O
검증	검증	NNG	O
을	을	JKO	O
_	_	_	O
단계적	단계적	NNG	O
으로	으로	JKB	O
_	_	_	O
진행함	진행하+ㅁ	VV+ETN	O
으로써	으로써	JKB	O
_	_	_	O
기획	기획	NNG	O
_	_	_	O
단계	단계	NNG	O
부터	부터	JX	O
_	_	_	O
제조	제조	NNG	O
_	_	_	O
현장	현장	NNG	O
의	의	JKG	O
_	_	_	O
수요	수요	NNG	O
를	를	JKO	O
_	_	_	O
고려하	고려하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## 獨정치권 “러의 행태 도 넘어서”
## <獨:ORG>정치권 “<러:ORG>의 행태 도 넘어서”
獨	獨	SH	B-ORG
정치권	정치권	NNG	O
_	_	_	O
“	“	SS	O
러	러	NNP	B-ORG
의	의	JKG	O
_	_	_	O
행태	행태	NNG	O
_	_	_	O
도	도	NNG	O
_	_	_	O
넘	넘	VV	O
어서	어서	EF	O
”	”	SS	O

## 5
## 김씨는 지난해 11월3일 새벽 2시쯤 서울 영등포구 대림동 디지털로 앞 노상에서 여자친구와 함께 술을 마시던 중 “자신의 마음을 알아주지 않아 화가 난다”며 주변에 주차되어 있던 최모씨의 쏘렌토 차량을 파손하고 알몸 상태로 돌아다니는 등의 혐의로 기소됐다.
## <김:PER>씨는 지난해 <11월3일:DAT> <새벽 2시:TIM>쯤 <서울:LOC> <영등포구:LOC> <대림동:LOC> <디지털로:LOC> 앞 노상에서 여자친구와 함께 술을 마시던 중 “자신의 마음을 알아주지 않아 화가 난다”며 주변에 주차되어 있던 <최모:PER>씨의 <쏘렌토:POH> 차량을 파손하고 알몸 상태로 돌아다니는 등의 혐의로 기소됐다.
김	김	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
11	11	SN	B-DAT
월	월	NNB	I-DAT
3	3	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
새벽	새벽	NNG	B-TIM
_	_	_	I-TIM
2	2	SN	I-TIM
시	시	NNB	I-TIM
쯤	쯤	XSN	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
영등포구	영등포구	NNP	B-LOC
_	_	_	O
대림동	대림동	NNP	B-LOC
_	_	_	O
디지털	디지털	NNG	B-LOC
로	로	JKB	I-LOC
_	_	_	O
앞	앞	NNG	O
_	_	_	O
노상	노상	NNG	O
에서	에서	JKB	O
_	_	_	O
여자	여자	NNG	O
친구	친구	NNG	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
술	술	NNG	O
을	을	JKO	O
_	_	_	O
마시	마시	VV	O
던	던	ETM	O
_	_	_	O
중	중	NNB	O
_	_	_	O
“	“	SS	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
알아주	알아주	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
아	아	EC	O
_	_	_	O
화	화	NNG	O
가	가	JKS	O
_	_	_	O
난다	나+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
주변	주변	NNG	O
에	에	JKB	O
_	_	_	O
주차	주차	NNG	O
되	되	XSV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
던	던	ETM	O
_	_	_	O
최	최	NNP	B-PER
모	모	NP	I-PER
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
쏘렌토	쏘렌토	NNG	B-POH
_	_	_	O
차량	차량	NNG	O
을	을	JKO	O
_	_	_	O
파손	파손	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
알몸	알몸	NNG	O
_	_	_	O
상태	상태	NNG	O
로	로	JKB	O
_	_	_	O
돌아다니	돌아다니	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
기소	기소되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 당시 박 대통령은 “김영삼 전 대통령의 유가족에게 심심한 위로의 말씀을 드린다”며 “정부는 관련 법과 유족들의 뜻을 살펴 예우를 갖춰 장례를 준비할 것”이라고 밝혔다.
## 당시 <박:PER> 대통령은 “<김영삼:PER> 전 대통령의 유가족에게 심심한 위로의 말씀을 드린다”며 “정부는 관련 법과 유족들의 뜻을 살펴 예우를 갖춰 장례를 준비할 것”이라고 밝혔다.
당시	당시	NNG	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
김영삼	김영삼	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
의	의	JKG	O
_	_	_	O
유가족	유가족	NNG	O
에게	에게	JKB	O
_	_	_	O
심심한	심심하+ㄴ	VA+ETM	O
_	_	_	O
위로	위로	NNG	O
의	의	JKG	O
_	_	_	O
말씀	말씀	NNG	O
을	을	JKO	O
_	_	_	O
드린다	드리+ㄴ다	VV+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
정부	정부	NNG	O
는	는	JX	O
_	_	_	O
관련	관련	NNG	O
_	_	_	O
법	법	NNG	O
과	과	JC	O
_	_	_	O
유족	유족	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
뜻	뜻	NNG	O
을	을	JKO	O
_	_	_	O
살펴	살피+어	VV+EC	O
_	_	_	O
예우	예우	NNG	O
를	를	JKO	O
_	_	_	O
갖춰	갖추+어	VV+EC	O
_	_	_	O
장례	장례	NNG	O
를	를	JKO	O
_	_	_	O
준비할	준비하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이어 2사 만루에서 KIA 이홍구가 상대 투수 홍성민의 공에 팔꿈치를 맞으면서 밀어내기로 1점을 추가했다.
## 이어 <2사:NOH> 만루에서 <KIA:ORG> <이홍구:PER>가 상대 투수 <홍성민:PER>의 공에 팔꿈치를 맞으면서 밀어내기로 <1점:NOH>을 추가했다.
이어	이어	MAG	O
_	_	_	O
2	2	SN	B-NOH
사	사	NNG	I-NOH
_	_	_	O
만루	만루	NNG	O
에서	에서	JKB	O
_	_	_	O
KIA	KIA	SL	B-ORG
_	_	_	O
이홍구	이홍구	NNP	B-PER
가	가	JKS	O
_	_	_	O
상대	상대	NNG	O
_	_	_	O
투수	투수	NNG	O
_	_	_	O
홍성민	홍성민	NNP	B-PER
의	의	JKG	O
_	_	_	O
공	공	NNG	O
에	에	JKB	O
_	_	_	O
팔꿈치	팔꿈치	NNG	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
으면서	으면서	EC	O
_	_	_	O
밀어내	밀어내	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
1	1	SN	B-NOH
점	점	NNB	I-NOH
을	을	JKO	O
_	_	_	O
추가	추가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 치료 과정에는 주사바늘 형태의 치료기구인 ‘락쯔 카테터’가 사용된다.
## 치료 과정에는 주사바늘 형태의 치료기구인 ‘<락쯔 카테터:POH>’가 사용된다.
치료	치료	NNG	O
_	_	_	O
과정	과정	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
주사	주사	NNG	O
바늘	바늘	NNG	O
_	_	_	O
형태	형태	NNG	O
의	의	JKG	O
_	_	_	O
치료	치료	NNG	O
기구	기구	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
락	락	NNG	B-POH
쯔	쯔	NNG	I-POH
_	_	_	I-POH
카테터	카테터	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
사용된다	사용되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 최대 90일간 쓸 수 있는 출산 전후 휴가 급여 상한액은 월 135만 원에서 150만 원으로 15만 원 인상된다.
## 최대 <90일간:DUR> 쓸 수 있는 출산 전후 휴가 급여 상한액은 월 <135만 원:MNY>에서 <150만 원:MNY>으로 <15만 원:MNY> 인상된다.
최대	최대	NNG	O
_	_	_	O
90	90	SN	B-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
쓸	쓰+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
출산	출산	NNG	O
_	_	_	O
전후	전후	NNG	O
_	_	_	O
휴가	휴가	NNG	O
_	_	_	O
급여	급여	NNG	O
_	_	_	O
상한	상한	NNG	O
액	액	XSN	O
은	은	JX	O
_	_	_	O
월	월	NNB	O
_	_	_	O
135	135	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
에서	에서	JKB	O
_	_	_	O
150	150	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
15	15	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
_	_	_	O
인상된다	인상되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 그런데 북한이 바라는 것은 남한에서 그런 문제들이 해결되는 것이 아니라, 개선도 개혁도 못한채 망해버리는 파멸적인 사태다.
## 그런데 <북한:ORG>이 바라는 것은 <남한:ORG>에서 그런 문제들이 해결되는 것이 아니라, 개선도 개혁도 못한채 망해버리는 파멸적인 사태다.
그런데	그런데	MAJ	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
바라	바라	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
남한	남한	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
문제	문제	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
해결되	해결되	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
라	라	EC	O
,	,	SP	O
_	_	_	O
개선	개선	NNG	O
도	도	JX	O
_	_	_	O
개혁	개혁	NNG	O
도	도	JX	O
_	_	_	O
못한	못하+ㄴ	VV+ETM	O
채	채	NNB	O
_	_	_	O
망해	망하+여	VV+EC	O
버리	버리	VX	O
는	는	ETM	O
_	_	_	O
파멸적	파멸적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
사태	사태+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 한 번 그 맛을 본 곰은 다시 그 쓰레기통을 찾지 않는단다.
## <한 번:NOH> 그 맛을 본 곰은 다시 그 쓰레기통을 찾지 않는단다.
한	한	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
_	_	_	O
그	그	MM	O
_	_	_	O
맛	맛	NNG	O
을	을	JKO	O
_	_	_	O
본	보+ㄴ	VV+ETM	O
_	_	_	O
곰	곰	NNG	O
은	은	JX	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
그	그	MM	O
_	_	_	O
쓰레기통	쓰레기통	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는단다	는단다	EF	O
.	.	SF	O

## 12
## 중소기업중앙회와 소상공인연합회 등 14개 중소기업단체로 구성된 중소기업단체협의회는 ‘부정 청탁 및 금품 수수 금지법’(일명 김영란법) 개정을 촉구하는 공동 성명서를 23일 발표했다.
## <중소기업중앙회:ORG>와 <소상공인연합회:ORG> 등 <14개:NOH> 중소기업단체로 구성된 <중소기업단체협의회:ORG>는 ‘<부정 청탁 및 금품 수수 금지법:POH>’(일명 <김영란법:POH>) 개정을 촉구하는 공동 성명서를 <23일:DAT> 발표했다.
중소기업중앙회	중소기업중앙회	NNP	B-ORG
와	와	JKB	O
_	_	_	O
소	소	XPN	B-ORG
상공인	상공인	NNG	I-ORG
연합회	연합회	NNG	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
14	14	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
중소기업	중소기업	NNG	O
단체	단체	NNG	O
로	로	JKB	O
_	_	_	O
구성된	구성되+ㄴ	VV+ETM	O
_	_	_	O
중소기업	중소기업	NNG	B-ORG
단체	단체	NNG	I-ORG
협의회	협의회	NNG	I-ORG
는	는	JX	O
_	_	_	O
‘	‘	SS	O
부정	부정	NNG	B-POH
_	_	_	I-POH
청탁	청탁	NNG	I-POH
_	_	_	I-POH
및	및	MAG	I-POH
_	_	_	I-POH
금품	금품	NNG	I-POH
_	_	_	I-POH
수수	수수	NNG	I-POH
_	_	_	I-POH
금지법	금지법	NNG	I-POH
’	’	SS	O
(	(	SS	O
일명	일명	NNG	O
_	_	_	O
김영란	김영란	NNP	B-POH
법	법	NNG	I-POH
)	)	SS	O
_	_	_	O
개정	개정	NNG	O
을	을	JKO	O
_	_	_	O
촉구하	촉구하	VV	O
는	는	ETM	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
성명서	성명서	NNG	O
를	를	JKO	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 그가 85년 국무총리에 취임한 후 국무총리비서실 의전비서관으로 발탁한 사람이 바로 반 전 총장이다.
## 그가 <85년:DAT> 국무총리에 취임한 후 <국무총리비서실:ORG> 의전비서관으로 발탁한 사람이 바로 반 전 총장이다.
그	그	NP	O
가	가	JKS	O
_	_	_	O
85	85	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
국무총리	국무총리	NNG	O
에	에	JKB	O
_	_	_	O
취임한	취임하+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
국무총리	국무총리	NNG	B-ORG
비서실	비서실	NNG	I-ORG
_	_	_	O
의전	의전	NNG	O
비서관	비서관	NNG	O
으로	으로	JKB	O
_	_	_	O
발탁한	발탁하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
반	반	NNG	O
_	_	_	O
전	전	NNG	O
_	_	_	O
총장	총장	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 특검의 첫 구속영장 청구 대상이 된 문형표 전 보건복지부 장관(60·현 국민연금공단 이사장)은 이날 오후 서울중앙지법에서 열린 영장실질심사에 출석했다.
## 특검의 첫 구속영장 청구 대상이 된 <문형표:PER> 전 <보건복지부:ORG> 장관(<60:NOH>·현 <국민연금공단:ORG> 이사장)은 이날 오후 <서울중앙지법:ORG>에서 열린 영장실질심사에 출석했다.
특검	특검	NNG	O
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
구속	구속	NNG	O
영장	영장	NNG	O
_	_	_	O
청구	청구	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	JKC	O
_	_	_	O
된	되+ㄴ	VV+ETM	O
_	_	_	O
문형표	문형표	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
보건복지부	보건복지부	NNG	B-ORG
_	_	_	O
장관	장관	NNG	O
(	(	SS	O
60	60	SN	B-NOH
·	·	SP	O
현	현	MM	O
_	_	_	O
국민	국민	NNG	B-ORG
연금	연금	NNG	I-ORG
공단	공단	NNG	I-ORG
_	_	_	O
이사장	이사장	NNG	O
)	)	SS	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
서울중앙지법	서울중앙지법	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
영장	영장	NNG	O
실질	실질	NNG	O
심사	심사	NNG	O
에	에	JKB	O
_	_	_	O
출석	출석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

