## 1
## 김혜수는 극중 베테랑 여형사 차수현 역을, 이제훈은 프로파일러 박해영 역을 맡아 현재의 인물로 등장한다.
## <김혜수:PER>는 극중 베테랑 여형사 <차수현:PER> 역을, <이제훈:PER>은 프로파일러 <박해영:PER> 역을 맡아 현재의 인물로 등장한다.
김혜수	김혜수	NNP	B-PER
_	_	_	O
공개한	공개하+ㄴ	VV+ETM	O
_	_	_	O
문서	문서	NNG	O
_	_	_	O
형식	형식	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 4
## 한-프랑스 수교 130주년을 맞아 양국 간 대학 교류 및 과학기술 협력을 도모하는 ‘제1회 한불 고등교육·연구·혁신의 만남’ 행사가 17일 서울 중구 신라호텔에서 개최됐다.
## 한-<프랑스:ORG> 수교 <13:DAT>0주년을 맞아 <양국:NOH> 간 <대학:POH> 교류 및 과학기술 협력을 도모하는 ‘<제1회:NOH> 한불 고등교육·연구·혁신의 만남’ 행사가 <17일:DAT> <서울 중구 신라호텔:LOC>에서 개최됐다.
한	한	NNP	O
-	-	SO	O
프랑스	프랑스	NNP	B-ORG
_	_	_	O
수교	수교	NNG	O
_	_	_	O
130	130	SN	O
주년	주년	NNB	O
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
아	아	EC	O
_	_	_	O
양국	양국	NNG	B-NOH
_	_	_	O
간	간	NNB	O
_	_	_	O
대학	대학	NNG	B-POH
_	_	_	O
교류	교류	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
과학	과학	NNG	O
기술	기술	NNG	O
_	_	_	O
협력	협력	NNG	O
을	을	JKO	O
_	_	_	O
도모하	도모하	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
제	제	XPN	B-NOH
1	1	SN	I-NOH
회	회	NNB	I-NOH
_	_	_	O
한불	한불	NNP	O
_	_	_	O
고등	고등	NNG	O
교육	교육	NNG	O
·	·	SP	O
연구	연구	NNG	O
·	·	SP	O
혁신	혁신	NNG	O
의	의	JKG	O
_	_	_	O
만남	만남	NNG	O
’	’	SS	O
_	_	_	O
행사	행사	NNG	O
가	가	JKS	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
중	중	NNG	I-LOC
구	구	NNG	I-LOC
_	_	_	I-LOC
신라호텔	신라호텔	NNP	I-LOC
에서	에서	JKB	O
_	_	_	O
개최	개최되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 19일(현지 시간) 이스라엘 금융 매체 칼카리스트에 따르면 애플은 최근 얼굴 인식 기술을 갖춘 현지 스타트업인 ‘리얼페이스’를 인수했다.
## <19일:DAT>(현지 시간) <이스라엘:ORG> 금융 매체 <칼카리스트:POH>에 따르면 <애플:ORG>은 최근 얼굴 인식 기술을 갖춘 현지 스타트업인 ‘<리얼페이스:ORG>’를 인수했다.
19	19	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
_	_	_	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
이스라엘	이스라엘	NNP	B-ORG
_	_	_	O
금융	금융	NNG	O
_	_	_	O
매체	매체	NNG	O
_	_	_	O
칼	칼	NNG	B-POH
카	카	NNG	I-POH
리스트	리스트	NNG	I-POH
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
애플	애플	NNP	B-ORG
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
얼굴	얼굴	NNG	O
_	_	_	O
인식	인식	NNG	O
_	_	_	O
기술	기술	NNG	O
을	을	JKO	O
_	_	_	O
갖춘	갖추+ㄴ	VV+ETM	O
_	_	_	O
현지	현지	NNG	O
_	_	_	O
스타트	스타트	NNG	O
업	업	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
‘	‘	SS	O
리얼	리얼	NNG	B-ORG
페이스	페이스	NNG	I-ORG
’	’	SS	O
를	를	JKO	O
_	_	_	O
인수	인수하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 허미영의 예비신랑 박모 씨는 그보다 한 살 연상의 국회의원 보좌진으로 두 사람은 지난해 6월 지인의 소개로 첫 만남을 가진 바 있다.
## <허미영:PER>의 예비신랑 <박모:PER> 씨는 그보다 한 살 연상의 <국회:ORG>의원 보좌진으로 <두 사람:NOH>은 <지난해 6월:DAT> 지인의 소개로 첫 만남을 가진 바 있다.
허미영	허미영	NNP	B-PER
의	의	JKG	O
_	_	_	O
예비	예비	NNG	O
신랑	신랑	NNG	O
_	_	_	O
박	박	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
그	그	NP	O
보다	보다	JKB	O
_	_	_	O
한	한	MM	O
_	_	_	O
살	살	NNB	O
_	_	_	O
연상	연상	NNG	O
의	의	JKG	O
_	_	_	O
국회	국회	NNG	B-ORG
의원	의원	NNG	O
_	_	_	O
보좌	보좌	NNG	O
진	진	XSN	O
으로	으로	JKB	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	B-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
월	월	NNB	I-DAT
_	_	_	O
지인	지인	NNG	O
의	의	JKG	O
_	_	_	O
소개	소개	NNG	O
로	로	JKB	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
만남	만남	NNG	O
을	을	JKO	O
_	_	_	O
가진	가지+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 박혜수는 최근까지 자신의 인스타그램 계정에 근황 사진을 올리며 팬들과 소통해 왔다.
## <박혜수:PER>는 최근까지 자신의 <인스타그램:POH> 계정에 근황 사진을 올리며 팬들과 소통해 왔다.
박혜수	박혜수	NNP	B-PER
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
까지	까지	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
인스타그램	인스타그램	NNP	B-POH
_	_	_	O
계정	계정	NNG	O
에	에	JKB	O
_	_	_	O
근황	근황	NNG	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
올리	올리	VV	O
며	며	EC	O
_	_	_	O
팬	팬	NNG	O
들	들	XSN	O
과	과	JKB	O
_	_	_	O
소통	소통	NNG	O
해	해	NNG	O
_	_	_	O
왔	+았	+EP	O
다	다	EF	O
.	.	SF	O

## 8
## 기존 귀촌인을 점진적으로 귀농인화(6차산업 쪽으로)하는 유인책도 귀농 확장을 위한 한 방법일 듯싶다.
## 기존 귀촌인을 점진적으로 귀농인화(<6차:NOH>산업 쪽으로)하는 유인책도 귀농 확장을 위한 한 방법일 듯싶다.
기존	기존	NNG	O
_	_	_	O
귀촌	귀촌	NNG	O
인	인	XSN	O
을	을	JKO	O
_	_	_	O
점진적	점진적	NNG	O
으로	으로	JKB	O
_	_	_	O
귀농	귀농	NNG	O
인	인	XSN	O
화	화	XSN	O
(	(	SS	O
6	6	SN	B-NOH
차	차	NNB	I-NOH
산업	산업	NNG	O
_	_	_	O
쪽	쪽	NNB	O
으로	으로	JKB	O
)	)	SS	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
유인	유인	NNG	O
책	책	XSN	O
도	도	JX	O
_	_	_	O
귀농	귀농	NNG	O
_	_	_	O
확장	확장	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
한	한	MM	O
_	_	_	O
방법	방법	NNG	O
일	이+ㄹ	VCP+ETM	O
_	_	_	O
듯싶	듯싶	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 박인호 전원칼럼니스트
## <박인호:PER> 전원칼럼니스트
박인호	박인호	NNP	B-PER
_	_	_	O
전원	전원	NNG	O
칼럼니스트	칼럼니스트	NNG	O

## 10
## 그러나 지금 중국은 14억 명이 국내 여행 다니고 1억2000만 명이 해외여행을 가서 전 세계 명품의 46%를 사는 소비대국으로 변신했다.
## 그러나 지금 <중국:ORG>은 <14억 명:NOH>이 국내 여행 다니고 <1억2000만 명:NOH>이 해외여행을 가서 전 세계 명품의 <46%:PNT>를 사는 소비대국으로 변신했다.
그러나	그러나	MAJ	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
중국	중국	NNP	B-ORG
은	은	JX	O
_	_	_	O
14	14	SN	B-NOH
억	억	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
여행	여행	NNG	O
_	_	_	O
다니	다니	VV	O
고	고	EC	O
_	_	_	O
1	1	SN	B-NOH
억	억	NR	I-NOH
2000	2000	SN	I-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
해외여행	해외여행	NNG	O
을	을	JKO	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
명품	명품	NNG	O
의	의	JKG	O
_	_	_	O
46	46	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
소비	소비	NNG	O
대국	대국	NNG	O
으로	으로	JKB	O
_	_	_	O
변신	변신하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 연료 1ℓ로 17.6㎞ 주행할 수 있는 경제성이 최대의 강점이다.
## 연료 <1ℓ:NOH>로 <17.6㎞:NOH> 주행할 수 있는 경제성이 최대의 강점이다.
연료	연료	NNG	O
_	_	_	O
1	1	SN	B-NOH
ℓ	ℓ	SW	I-NOH
로	로	JKB	O
_	_	_	O
17.6	17.6	SN	B-NOH
㎞	㎞	SW	I-NOH
_	_	_	O
주행할	주행하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
경제성	경제성	NNG	O
이	이	JKS	O
_	_	_	O
최대	최대	NNG	O
의	의	JKG	O
_	_	_	O
강점	강점	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 후반 한국은 더욱 적극적으로 공격에 나섰지만 레바논의 골문은 좀처럼 열리지 않았다.
## 후반 <한국:ORG>은 더욱 적극적으로 공격에 나섰지만 <레바논:ORG>의 골문은 좀처럼 열리지 않았다.
후반	후반	NNG	O
_	_	_	O
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
적극적	적극적	NNG	O
으로	으로	JKB	O
_	_	_	O
공격	공격	NNG	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
지만	지만	EC	O
_	_	_	O
레바논	레바논	NNP	B-ORG
의	의	JKG	O
_	_	_	O
골문	골문	NNG	O
은	은	JX	O
_	_	_	O
좀처럼	좀처럼	MAG	O
_	_	_	O
열리	열리	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

