## 1
## 박람회 현장에서 매 시간마다 추첨을 통해 경품을 증정하는 ‘LUCKY DRAW’를 진행한다.
## 박람회 현장에서 매 시간마다 추첨을 통해 경품을 증정하는 ‘<LUCKY DRAW:POH>’를 진행한다.
박람회	박람회	NNG	O
성공	성공	NNG	O
은	은	JX	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
대륙	대륙	NNG	I-NOH
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
진출	진출	NNG	O
에	에	JKB	O
_	_	_	O
유리한	유리하+ㄴ	VA+ETM	O
_	_	_	O
교두보	교두보	NNG	O
를	를	JKO	O
_	_	_	O
확보한다는	확보하+ㄴ다는	VV+ETM	O
_	_	_	O
의미	의미	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 권오준 포스코 회장은 이날 주요 임원 및 계열사 대표 30여 명과 함께 서울 강남구 테헤란로 포스코센터 2층에 마련된 서명대에서 서명에 동참했다.
## <권오준:PER> <포스코:ORG> 회장은 이날 주요 임원 및 계열사 대표 <30여 명:NOH>과 함께 <서울:LOC> <강남구:LOC> <테헤란로:LOC> <포스코센터:LOC> <2층:NOH>에 마련된 서명대에서 서명에 동참했다.
권오준	권오준	NNP	B-PER
_	_	_	O
포스코	포스코	NNP	B-ORG
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
주요	주요	NNG	O
_	_	_	O
임원	임원	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
계열사	계열사	NNG	O
_	_	_	O
대표	대표	NNG	O
_	_	_	O
30	30	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
강남구	강남구	NNP	B-LOC
_	_	_	O
테헤란로	테헤란로	NNP	B-LOC
_	_	_	O
포스코	포스코	NNP	B-LOC
센터	센터	NNG	I-LOC
_	_	_	O
2	2	SN	B-NOH
층	층	NNG	I-NOH
에	에	JKB	O
_	_	_	O
마련된	마련되+ㄴ	VV+ETM	O
_	_	_	O
서명대	서명대	NNP	O
에서	에서	JKB	O
_	_	_	O
서명	서명	NNG	O
에	에	JKB	O
_	_	_	O
동참	동참하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 하이원 리조트 “해발 1340m서도 무료 와이파이 OK”
## <하이원 리조트:ORG> “해발 <1340m:NOH>서도 무료 와이파이 OK”
하이원	하이원	NNP	B-ORG
_	_	_	I-ORG
리조트	리조트	NNG	I-ORG
_	_	_	O
“	“	SS	O
해발	해발	NNG	O
_	_	_	O
1340	1340	SN	B-NOH
m	m	SL	I-NOH
서도	서도	NNP	O
_	_	_	O
무료	무료	NNG	O
_	_	_	O
와이	와이	NNG	O
파이	파이	NNG	O
_	_	_	O
OK	OK	SL	O
”	”	SS	O

## 8
## 외교부 관계자는 “지난해 이후 피살자 중 단순 여행객은 없고 교민이나 사업을 위해 필리핀을 찾은 사람이 피해를 당했다”고 말했다.
## 외교부 관계자는 “지난해 이후 피살자 중 단순 여행객은 없고 교민이나 사업을 위해 <필리핀:LOC>을 찾은 사람이 피해를 당했다”고 말했다.
외교부	외교부	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
지난해	지난해	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
피살자	피살자	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
단순	단순	NNG	O
_	_	_	O
여행객	여행객	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
고	고	EC	O
_	_	_	O
교민	교민	NNG	O
이나	이나	JC	O
_	_	_	O
사업	사업	NNG	O
을	을	JKO	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
필리핀	필리핀	NNP	B-LOC
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
은	은	ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	JKS	O
_	_	_	O
피해	피해	NNG	O
를	를	JKO	O
_	_	_	O
당	당하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 박훈상 tigermask@donga.com·이유종 기자
## <박훈상:PER> <tigermask@donga.com:POH>·<이유종:PER> 기자
박훈상	박훈상	NNP	B-PER
_	_	_	O
tigermask	tigermask	SL	B-POH
@	@	SW	I-POH
donga	donga	SL	I-POH
.	.	SF	I-POH
com	com	SL	I-POH
·	·	SP	O
이유종	이유종	NNP	B-PER
_	_	_	O
기자	기자	NNG	O

## 10
## 김씨는 “내 성향을 파악하니 지원하고 싶은 기업도 뚜렷해져 좋았다”고 말했다.
## <김:PER>씨는 “내 성향을 파악하니 지원하고 싶은 기업도 뚜렷해져 좋았다”고 말했다.
김	김	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
“	“	SS	O
내	나+의	NP+JKG	O
_	_	_	O
성향	성향	NNG	O
을	을	JKO	O
_	_	_	O
파악하	파악하	VV	O
니	니	EC	O
_	_	_	O
지원하	지원하	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
은	은	ETM	O
_	_	_	O
기업	기업	NNG	O
도	도	JX	O
_	_	_	O
뚜렷해	뚜렷하+여	VA+EC	O
져	지+어	VX+EC	O
_	_	_	O
좋	좋	VA	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 바네사브루노는 카바스백 커스터마이징 서비스를 제공하는 팝업스토어를 갤러리아 본점에 연다.
## <바네사브루노:ORG>는 <카바스백 커스터마이징 서비스:POH>를 제공하는 팝업스토어를 <갤러리아 본점:POH>에 연다.
바네사	바네사	NNP	B-ORG
브루노	브루노	NNP	I-ORG
는	는	JX	O
_	_	_	O
카바스백	카바스백	NNG	B-POH
_	_	_	I-POH
커스터	커스터	NNP	I-POH
마이	마이	NNG	I-POH
징	징	NNG	I-POH
_	_	_	I-POH
서비스	서비스	NNG	I-POH
를	를	JKO	O
_	_	_	O
제공하	제공하	VV	O
는	는	ETM	O
_	_	_	O
팝업	팝업	NNG	O
스토어	스토어	NNG	O
를	를	JKO	O
_	_	_	O
갤러리아	갤러리아	NNP	B-POH
_	_	_	I-POH
본점	본점	NNG	I-POH
에	에	JKB	O
_	_	_	O
연다	열+ㄴ다	VV+EF	O
.	.	SF	O

## 12
## 피해자들의 외출을 돕는 희망봉사단에 대한 만족도가 높다.
## 피해자들의 외출을 돕는 <희망봉사단:ORG>에 대한 만족도가 높다.
피해자	피해자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
외출	외출	NNG	O
을	을	JKO	O
_	_	_	O
돕	돕	VV	O
는	는	ETM	O
_	_	_	O
희망	희망	NNG	B-ORG
봉사	봉사	NNG	I-ORG
단	단	XSN	I-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
만족도	만족도	NNG	O
가	가	JKS	O
_	_	_	O
높	높	VA	O
다	다	EF	O
.	.	SF	O

