## 1
## YG엔터테인먼트 소속의 위너, 아이콘도 모두 리얼리티 프로그램으로 대중에 먼저 인사했다.
## <YG엔터테인먼트:ORG> 소속의 <위너:ORG>, <아이콘:ORG>도 모두 리얼리티 프로그램으로 대중에 먼저 인사했다.
YG	YG	SL	B-ORG
5	5	SN	B-NOH
승	승	NNB	I-NOH
_	_	_	O
사냥	사냥	NNG	O
과	과	JC	O
_	_	_	O
상금	상금	NNG	O
왕	왕	XSN	O
_	_	_	O
굳히	굳히	VV	O
기	기	ETN	O
에	에	JKB	O
_	_	_	O
나섰	나서+었	VV+EP	O
던	던	ETM	O
_	_	_	O
전인지	전인지	NNP	B-PER
는	는	JX	O
_	_	_	O
전날	전날	NNG	O
까지	까지	JX	O
_	_	_	O
박성현	박성현	NNP	B-PER
_	_	_	O
등	등	NNB	O
과	과	JC	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
선두	선두	NNG	O
를	를	JKO	O
_	_	_	O
달	달리	VV	O
렸	었	EP	O
지만	지만	EC	O
_	_	_	O
3	3	SN	B-NOH
라운드	라운드	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
3	3	SN	B-NOH
오버	오버	NNG	I-NOH
파	파	NNG	I-NOH
를	를	JKO	O
_	_	_	O
기록하	기록하	VV	O
며	며	EC	O
_	_	_	O
최종	최종	NNG	O
_	_	_	O
합계	합계	NNG	O
_	_	_	O
7	7	SN	B-NOH
언더	언더	NNG	I-NOH
파	파	NNG	I-NOH
로	로	JKB	O
_	_	_	O
공동	공동	NNG	O
_	_	_	O
11	11	SN	B-NOH
위	위	NNB	I-NOH
에	에	JKB	O
_	_	_	O
머물	머무르	VV	O
렀	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## ‘보면서도/ 못 믿겠어.‘하상욱(35) 시인이 1일 자신의 SNS에 올린 시다.
## ‘보면서도/ 못 믿겠어.‘<하상욱:PER>(<35:NOH>) 시인이 <1일:DAT> 자신의 SNS에 올린 시다.
‘	‘	SS	O
보	보	VV	O
면서	면서	EC	O
도	도	JX	O
/	/	SP	O
_	_	_	O
못	못	MAG	O
_	_	_	O
믿	믿	VV	O
겠	겠	EP	O
어	어	EF	O
.	.	SF	O
‘	‘	SS	O
하상욱	하상욱	NNP	B-PER
(	(	SS	O
35	35	SN	B-NOH
)	)	SS	O
_	_	_	O
시인	시인	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
SNS	SNS	SL	O
에	에	JKB	O
_	_	_	O
올린	올리+ㄴ	VV+ETM	O
_	_	_	O
시	시+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 하상욱 단편 시집 ‘뉴스’ 의 구절이다.
## <하상욱:PER> 단편 시집 ‘<뉴스:POH>’ 의 구절이다.
하상욱	하상욱	NNP	B-PER
_	_	_	O
단편	단편	NNG	O
_	_	_	O
시집	시집	NNG	O
_	_	_	O
‘	‘	SS	O
뉴스	뉴스	NNG	B-POH
’	’	SS	O
_	_	_	O
의	의	JKG	O
_	_	_	O
구절	구절	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 육군 소위 2명, 여대생 집단 성폭행 혐의
## 육군 소위 <2명:NOH>, 여대생 집단 성폭행 혐의
육군	육군	NNG	O
_	_	_	O
소위	소위	MAG	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
,	,	SP	O
_	_	_	O
여대생	여대생	NNG	O
_	_	_	O
집단	집단	NNG	O
_	_	_	O
성폭행	성폭행	NNG	O
_	_	_	O
혐의	혐의	NNG	O

## 10
## 소식통은 북한이 취급하는 일제 중고차는 닛산 블루버드와 도요타 캄리, 크라운, 크레시다등 중고급 승용차들이 주종을 이루고 있으며 대개 출고된지 5∼10년인 이들 승용차들은 중국의 암시장에서 8­9만 인민폐에 거래되고 있다고 밝혔다.
## 소식통은 <북한:ORG>이 취급하는 일제 중고차는 <닛산 블루버드:POH>와 <도요타 캄리:POH>, <크라운:POH>, <크레시다:POH>등 중고급 승용차들이 주종을 이루고 있으며 대개 출고된지 <5:NOH>∼<10년:NOH>인 이들 승용차들은 <중국:ORG>의 암시장에서 <8:MNY>­<9만 인민폐:MNY>에 거래되고 있다고 밝혔다.
소식통	소식통	NNG	O
은	은	JX	O
_	_	_	O
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
취급하	취급하	VV	O
는	는	ETM	O
_	_	_	O
일제	일제	NNG	O
_	_	_	O
중고차	중고차	NNG	O
는	는	JX	O
_	_	_	O
닛산	닛산	NNP	B-POH
_	_	_	I-POH
블루버드	블루버드	NNG	I-POH
와	와	JC	O
_	_	_	O
도요타	도요타	NNP	B-POH
_	_	_	I-POH
캄리	캄리	NNP	I-POH
,	,	SP	O
_	_	_	O
크라운	크라운	NNG	B-POH
,	,	SP	O
_	_	_	O
크레시	크레시	NNG	B-POH
다	다	NNG	I-POH
등	등	NNB	O
_	_	_	O
중	중	NNP	O
고급	고급	NNG	O
_	_	_	O
승용차	승용차	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
주종	주종	NNG	O
을	을	JKO	O
_	_	_	O
이루	이루	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
_	_	_	O
대개	대개	MAG	O
_	_	_	O
출고된	출고되+ㄴ	VV+ETM	O
지	지	NNB	O
_	_	_	O
5	5	SN	B-NOH
∼	∼	SO	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
_	_	_	O
승용차	승용차	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
암시장	암시장	NNG	O
에서	에서	JKB	O
_	_	_	O
8	8	SN	B-MNY
­	­	SS	O
9	9	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
인민폐	인민폐	NNG	I-MNY
에	에	JKB	O
_	_	_	O
거래되	거래되	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다고	다고	EC	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 황 총리 일행이 등장하자 주민들은 “물러가라” “사드 반대”라고 외쳤다.
## <황:PER> 총리 일행이 등장하자 주민들은 “물러가라” “사드 반대”라고 외쳤다.
황	황	NNP	B-PER
_	_	_	O
총리	총리	NNG	O
_	_	_	O
일행	일행	NNG	O
이	이	JKS	O
_	_	_	O
등장하	등장하	VV	O
자	자	EC	O
_	_	_	O
주민	주민	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
“	“	SS	O
물러가	물러가	VV	O
라	라	EF	O
”	”	SS	O
_	_	_	O
“	“	SS	O
사드	사드	NNP	O
_	_	_	O
반대	반대	NNG	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
외	외치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 두 사람은 단순한 회사 동료다.
## <두 사람:NOH>은 단순한 회사 동료다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
단순한	단순하+ㄴ	VA+ETM	O
_	_	_	O
회사	회사	NNG	O
_	_	_	O
동료	동료	NNG	O
다	다	NNG	O
.	.	SF	O

## 13
## 그러나 중요한 것은 한반도 주변 강국이 모두 남북한에 일정한 영향력을 행사할 수 있는 상황이 올 때, 이것이 앞으로의 한반도 통일에 어떤 영향을 미치게 될 것인가 하는 점이다.
## 그러나 중요한 것은 <한반도:LOC> 주변 강국이 모두 <남북한:LOC>에 일정한 영향력을 행사할 수 있는 상황이 올 때, 이것이 앞으로의 <한반도:LOC> 통일에 어떤 영향을 미치게 될 것인가 하는 점이다.
그러나	그러나	MAJ	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
한반도	한반도	NNP	B-LOC
_	_	_	O
주변	주변	NNG	O
_	_	_	O
강국	강국	NNG	O
이	이	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
남	남	NNP	B-LOC
북한	북한	NNP	I-LOC
에	에	JKB	O
_	_	_	O
일정한	일정하+ㄴ	VA+ETM	O
_	_	_	O
영향력	영향력	NNG	O
을	을	JKO	O
_	_	_	O
행사할	행사하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
상황	상황	NNG	O
이	이	JKS	O
_	_	_	O
올	오+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
,	,	SP	O
_	_	_	O
이것	이것	NP	O
이	이	JKS	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
의	의	JKG	O
_	_	_	O
한반도	한반도	NNP	B-LOC
_	_	_	O
통일	통일	NNG	O
에	에	JKB	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
미치	미치	VV	O
게	게	EC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
인가	이+ㄴ가	VCP+EC	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
점	점	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

