## 1
## 본회의에 앞서 열린 새정치민주연합 의총에서 ‘양심에 따라 자유투표에 임한다’는 결정에 따른 것. 한편 원내 의석을 5석 갖고 있는 정의당은 이날 임명동의안 인준 표결에 불참한 것으로 알려졌다.
## 본회의에 앞서 열린 <새정치민주연합 의총:POH>에서 ‘양심에 따라 자유투표에 임한다’는 결정에 따른 것. 한편 원내 의석을 <5석:NOH> 갖고 있는 <정의당:ORG>은 이날 임명동의안 인준 표결에 불참한 것으로 알려졌다.
본회의	본회의	NNG	O
‘	‘	SS	O
송도	송도	NNP	B-POH
맥주	맥주	NNG	I-POH
축제	축제	NNG	I-POH
’	’	SS	O
의	의	JKG	O
_	_	_	O
주요	주요	NNG	O
행사	행사	NNG	O
는	는	JX	O
_	_	_	O
음악	음악	NNG	O
페스티벌	페스티벌	NNG	O
,	,	SP	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
맥주	맥주	NNG	O
_	_	_	O
체험	체험	NNG	O
_	_	_	O
행사	행사	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
준비	준비되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 음악페스티벌에서는 국내외 가수들의 라이브 공연이 9일 동안 연이어 진행되면서 여느 락페스벌 못지않은 열기를 느낄 수 있다.
## 음악페스티벌에서는 국내외 가수들의 라이브 공연이 <9일:DUR> 동안 연이어 진행되면서 여느 락페스벌 못지않은 열기를 느낄 수 있다.
음악	음악	NNG	O
페스티벌	페스티벌	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
국내외	국내외	NNG	O
_	_	_	O
가수	가수	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
라이브	라이브	NNG	O
_	_	_	O
공연	공연	NNG	O
이	이	JKS	O
_	_	_	O
9	9	SN	B-DUR
일	일	NNB	I-DUR
_	_	_	O
동안	동안	NNG	O
_	_	_	O
연이	연잇	VV	O
어	어	EC	O
_	_	_	O
진행되	진행되	VV	O
면서	면서	EC	O
_	_	_	O
여느	여느	MM	O
_	_	_	O
락페스벌	락페스벌	NNG	O
_	_	_	O
못지않	못지않	VA	O
은	은	ETM	O
_	_	_	O
열기	열기	NNG	O
를	를	JKO	O
_	_	_	O
느낄	느끼+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 6
## 특히 미 본토에 대한 테러 위협을 제거하기 위한 최강의 군사력 확충에 나서겠다고 밝혀, 북한 김정은 정권이 연초 예고한 대륙간탄도미사일(ICBM) 시험 발사에 나설 경우 초강경 대응을 검토할 것임을 시사했다.
## 특히 <미:LOC> 본토에 대한 테러 위협을 제거하기 위한 최강의 군사력 확충에 나서겠다고 밝혀, <북한:ORG> <김정은:PER> 정권이 연초 예고한 대륙간탄도미사일(ICBM) 시험 발사에 나설 경우 초강경 대응을 검토할 것임을 시사했다.
특히	특히	MAG	O
_	_	_	O
미	미	NNP	B-LOC
_	_	_	O
본토	본토	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
테러	테러	NNG	O
_	_	_	O
위협	위협	NNG	O
을	을	JKO	O
_	_	_	O
제거하	제거하	VV	O
기	기	ETN	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
최강	최강	NNG	O
의	의	JKG	O
_	_	_	O
군사력	군사력	NNG	O
_	_	_	O
확충	확충	NNG	O
에	에	JKB	O
_	_	_	O
나서	나서	VV	O
겠	겠	EP	O
다고	다고	EC	O
_	_	_	O
밝혀	밝히+어	VV+EC	O
,	,	SP	O
_	_	_	O
북한	북한	NNP	B-ORG
_	_	_	O
김정은	김정은	NNP	B-PER
_	_	_	O
정권	정권	NNG	O
이	이	JKS	O
_	_	_	O
연초	연초	NNG	O
_	_	_	O
예고한	예고하+ㄴ	VV+ETM	O
_	_	_	O
대륙	대륙	NNG	O
간	간	NNB	O
탄도미사일	탄도미사일	NNG	O
(	(	SS	O
ICBM	ICBM	SL	O
)	)	SS	O
_	_	_	O
시험	시험	NNG	O
_	_	_	O
발사	발사	NNG	O
에	에	JKB	O
_	_	_	O
나설	나서+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
초	초	XPN	O
강경	강경	NNG	O
_	_	_	O
대응	대응	NNG	O
을	을	JKO	O
_	_	_	O
검토할	검토하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
임	이+ㅁ	VCP+ETN	O
을	을	JKO	O
_	_	_	O
시사	시사하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 韓 선수단의 목표는 ‘10-10’ …리우 금빛질주 스타트는 누구?
## <韓 선수단:ORG>의 목표는 ‘<10-10:NOH>’ …<리우:LOC> 금빛질주 스타트는 누구?
韓	韓	SH	B-ORG
_	_	_	I-ORG
선수단	선수단	NNG	I-ORG
의	의	JKG	O
_	_	_	O
목표	목표	NNG	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
10	10	SN	B-NOH
-	-	SO	I-NOH
10	10	SN	I-NOH
’	’	SS	O
_	_	_	O
…	…	SE	O
리우	리우	NNP	B-LOC
_	_	_	O
금빛	금빛	NNG	O
질주	질주	NNG	O
_	_	_	O
스타트	스타트	NNG	O
는	는	JX	O
_	_	_	O
누구	누구	NP	O
?	?	SF	O

## 8
## 강동경희대병원 신경과 수면센터 신원철(대한수면학회 정책이사) 교수는 “정신이 산만해 병원을 찾는 아이 가운데 수면부채가 심하게 쌓인 사례가 많다”고 말했다.
## <강동경희대병원 신경과 수면센터:ORG> <신원철:PER>(<대한수면학회:ORG> 정책이사) 교수는 “정신이 산만해 병원을 찾는 아이 가운데 수면부채가 심하게 쌓인 사례가 많다”고 말했다.
강동경희대병원	강동경희대병원	NNP	B-ORG
_	_	_	I-ORG
신경	신경	NNG	I-ORG
과	과	JC	I-ORG
_	_	_	I-ORG
수면	수면	NNG	I-ORG
센터	센터	NNG	I-ORG
_	_	_	O
신원철	신원철	NNP	B-PER
(	(	SS	O
대한	대한	NNP	B-ORG
수	수	NNG	I-ORG
면학회	면학회	NNP	I-ORG
_	_	_	O
정책	정책	NNG	O
이사	이사	NNG	O
)	)	SS	O
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
정신	정신	NNG	O
이	이	JKS	O
_	_	_	O
산만해	산만하+여	VA+EC	O
_	_	_	O
병원	병원	NNG	O
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
는	는	ETM	O
_	_	_	O
아이	아이	NNG	O
_	_	_	O
가운데	가운데	NNG	O
_	_	_	O
수면	수면	NNG	O
부채	부채	NNG	O
가	가	JKS	O
_	_	_	O
심하	심하	VA	O
게	게	EC	O
_	_	_	O
쌓인	쌓이+ㄴ	VV+ETM	O
_	_	_	O
사례	사례	NNG	O
가	가	JKS	O
_	_	_	O
많	많	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 두 사람은 16일 새벽 서울 강남구 강남역 사거리에서 오토바이를 치고 달아나던 뺑소니 차량을 112에 신고한 뒤 자신들의 차로 추격했다.
## <두 사람:NOH>은 <16일:DAT> 새벽 <서울 강남구 강남역 사거리:LOC>에서 오토바이를 치고 달아나던 뺑소니 차량을 <112:ORG>에 신고한 뒤 자신들의 차로 추격했다.
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
은	은	JX	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
새벽	새벽	NNG	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	I-LOC
강남구	강남구	NNP	I-LOC
_	_	_	I-LOC
강남역	강남역	NNP	I-LOC
_	_	_	I-LOC
사거리	사거리	NNG	I-LOC
에서	에서	JKB	O
_	_	_	O
오토바이	오토바이	NNG	O
를	를	JKO	O
_	_	_	O
치	치	VV	O
고	고	EC	O
_	_	_	O
달아나	달아나	VV	O
던	던	ETM	O
_	_	_	O
뺑소니	뺑소니	NNG	O
_	_	_	O
차량	차량	NNG	O
을	을	JKO	O
_	_	_	O
112	112	SN	B-ORG
에	에	JKB	O
_	_	_	O
신고한	신고하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
자신	자신	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
차	차	NNG	O
로	로	JKB	O
_	_	_	O
추격	추격하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 김현중 전 여친 출산, 과거 김현중 문자 보니 “군대 가 있는 동안 잘 키워”…무슨 의미?
## <김현중:PER> 전 여친 출산, 과거 <김현중:PER> 문자 보니 “군대 가 있는 동안 잘 키워”…무슨 의미?
김현중	김현중	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
여	여	NNG	O
친	친	NNG	O
_	_	_	O
출산	출산	NNG	O
,	,	SP	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
김현중	김현중	NNP	B-PER
_	_	_	O
문자	문자	NNG	O
_	_	_	O
보	보	VV	O
니	니	EC	O
_	_	_	O
“	“	SS	O
군대	군대	NNG	O
_	_	_	O
가	가+아	VV+EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
동안	동안	NNG	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
키	키우	VV	O
워	어	EF	O
”	”	SS	O
…	…	SE	O
무슨	무슨	MM	O
_	_	_	O
의미	의미	NNG	O
?	?	SF	O

## 11
## 2억 5000만 명 규모의 세계 4위 인구 대국인 인도네시아는 1분기 총 970만 대의 스마트폰을 판매해 15개 국가 중 가장 큰 판매량을 나타냈다.
## <2억 5000만 명:NOH> 규모의 세계 <4위:NOH> 인구 대국인 <인도네시아:ORG>는 <1분기:NOH> 총 <970만 대:NOH>의 스마트폰을 판매해 <15개:NOH> 국가 중 가장 큰 판매량을 나타냈다.
2	2	SN	B-NOH
억	억	NR	I-NOH
_	_	_	I-NOH
5000	5000	SN	I-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
_	_	_	O
규모	규모	NNG	O
의	의	JKG	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
4	4	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
인구	인구	NNG	O
_	_	_	O
대국	대국	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
인도네시아	인도네시아	NNP	B-ORG
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
분기	분기	NNG	I-NOH
_	_	_	O
총	총	MM	O
_	_	_	O
970	970	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
대	대	NNB	I-NOH
의	의	JKG	O
_	_	_	O
스마트폰	스마트폰	NNG	O
을	을	JKO	O
_	_	_	O
판매해	판매하+여	VV+EC	O
_	_	_	O
15	15	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
국가	국가	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
판매량	판매량	NNG	O
을	을	JKO	O
_	_	_	O
나타냈	나타내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 최지우는 "유호정과 홍콩, 제주도, 부산, 터키, 뉴욕까지 함께 여행을 다녔을 정도로 친한 사이다.
## <최지우:PER>는 "<유호정:PER>과 <홍콩:LOC>, <제주도:LOC>, <부산:LOC>, <터키:LOC>, <뉴욕:LOC>까지 함께 여행을 다녔을 정도로 친한 사이다.
최지우	최지우	NNP	B-PER
는	는	JX	O
_	_	_	O
"	"	SS	O
유호정	유호정	NNP	B-PER
과	과	JC	O
_	_	_	O
홍콩	홍콩	NNP	B-LOC
,	,	SP	O
_	_	_	O
제주도	제주도	NNP	B-LOC
,	,	SP	O
_	_	_	O
부산	부산	NNP	B-LOC
,	,	SP	O
_	_	_	O
터키	터키	NNP	B-LOC
,	,	SP	O
_	_	_	O
뉴욕	뉴욕	NNP	B-LOC
까지	까지	JX	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
여행	여행	NNG	O
을	을	JKO	O
_	_	_	O
다	다니	VV	O
녔	었	EP	O
을	을	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
친한	친하+ㄴ	VA+ETM	O
_	_	_	O
사	사이	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 이날 볼트는 자메이카의 마지막 주자로 나서 가장 먼저 결승선을 통과했다.
## 이날 <볼트:PER>는 <자메이카:ORG>의 마지막 주자로 나서 가장 먼저 결승선을 통과했다.
이날	이날	NNG	O
_	_	_	O
볼트	볼트	NNB	B-PER
는	는	JX	O
_	_	_	O
자메이카	자메이카	NNP	B-ORG
의	의	JKG	O
_	_	_	O
마지막	마지막	NNG	O
_	_	_	O
주자	주자	NNG	O
로	로	JKB	O
_	_	_	O
나서	나+아서	VV+EC	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
먼저	먼저	MAG	O
_	_	_	O
결승선	결승선	NNG	O
을	을	JKO	O
_	_	_	O
통과	통과하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 지하 1층, 지상 4층에 전용면적 84m² 248채 규모다.
## 지하 <1층:NOH>, 지상 <4층:NOH>에 전용면적 <84m²:NOH> <248채:NOH> 규모다.
지하	지하	NNG	O
_	_	_	O
1	1	SN	B-NOH
층	층	NNG	I-NOH
,	,	SP	O
_	_	_	O
지상	지상	NNG	O
_	_	_	O
4	4	SN	B-NOH
층	층	NNG	I-NOH
에	에	JKB	O
_	_	_	O
전용면적	전용면적	NNG	O
_	_	_	O
84	84	SN	B-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
_	_	_	O
248	248	SN	B-NOH
채	채	NNB	I-NOH
_	_	_	O
규모	규모+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

