## 1
## 대중화 라인으로는 ▶기초 스킨케어 제품군(토너·앰플·세럼·크림·마스크팩 5종) ▶핸드앤바디 제품군(핸드크림·바디로션·바디크림·튼살크림 4종) 9종이 판매되고 있다.
## 대중화 라인으로는 ▶기초 스킨케어 제품군(토너·앰플·세럼·크림·마스크팩 5종) ▶핸드앤바디 제품군(핸드크림·바디로션·바디크림·튼살크림 <4종:NOH>) <9종:NOH>이 판매되고 있다.
대중화	대중화	NNG	O
온난화	온난화	NNG	O
의	의	JKG	O
_	_	_	O
심각성	심각성	NNG	O
_	_	_	O
2041	2041	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
2	2	SN	B-NOH
℃	℃	SW	I-NOH
가	가	JKS	O
_	_	_	O
상승할	상승하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
예측되	예측되	VV	O
는	는	ETM	O
_	_	_	O
기온	기온	NNG	O
은	은	JX	O
_	_	_	O
온난화	온난화	NNG	O
의	의	JKG	O
_	_	_	O
돌이킬	돌이키+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
지점	지점	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
며	며	EC	O
,	,	SP	O
_	_	_	O
2056	2056	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
지구	지구	NNG	O
_	_	_	O
기온	기온	NNG	O
이	이	JKS	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
3	3	SN	B-NOH
℃	℃	SW	I-NOH
_	_	_	O
이상	이상	NNG	O
_	_	_	O
상승한다면	상승하+ㄴ다면	VV+EC	O
_	_	_	O
자연	자연	NNG	O
과	과	JC	O
_	_	_	O
인간	인간	NNG	O
의	의	JKG	O
_	_	_	O
시스템	시스템	NNG	O
을	을	JKO	O
_	_	_	O
영구적	영구적	NNG	O
으로	으로	JKB	O
_	_	_	O
붕괴	붕괴	NNG	O
시킬	시키+ㄹ	XSV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 스포츠동아는 이를 ‘한류 4.0’이라 이름 붙였다.
## <스포츠동아:ORG>는 이를 ‘한류 <4.0:NOH>’이라 이름 붙였다.
스포츠	스포츠	NNG	B-ORG
동아	동아	NNP	I-ORG
는	는	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
‘	‘	SS	O
한류	한류	NNG	O
_	_	_	O
4.0	4.0	SN	B-NOH
’	’	SS	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
이름	이름	NNG	O
_	_	_	O
붙	붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 이날 정 전 의원은 김진 전 논설위원에게 “훈수는 둘 때 아름답지만, 막상 실천할 때는 쉽지 않다.
## 이날 <정:PER> 전 의원은 <김진:PER> 전 논설위원에게 “훈수는 둘 때 아름답지만, 막상 실천할 때는 쉽지 않다.
이날	이날	NNG	O
_	_	_	O
정	정	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
김진	김진	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
논설위원	논설위원	NNG	O
에게	에게	JKB	O
_	_	_	O
“	“	SS	O
훈수	훈수	NNG	O
는	는	JX	O
_	_	_	O
둘	두+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
아름답	아름답	VA	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
막상	막상	MAG	O
_	_	_	O
실천할	실천하+ㄹ	VV+ETM	O
_	_	_	O
때	때	NNG	O
는	는	JX	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 또 "삼성동을 점령한 불법 친박 현수막은 철거하지도 않고 있다"라며 "마치 삼성동 주민 전체가 박 전 대통령을 환영하는 것처럼 보일까
## 또 "<삼성동:LOC>을 점령한 불법 친박 현수막은 철거하지도 않고 있다"라며 "마치 <삼성동:LOC> 주민 전체가 <박:PER> 전 대통령을 환영하는 것처럼 보일까
또	또	MAG	O
_	_	_	O
"	"	SS	O
삼성동	삼성동	NNP	B-LOC
을	을	JKO	O
_	_	_	O
점령한	점령하+ㄴ	VV+ETM	O
_	_	_	O
불법	불법	NNG	O
_	_	_	O
친	친	XPN	O
박	박	NNP	O
_	_	_	O
현수막	현수막	NNG	O
은	은	JX	O
_	_	_	O
철거하	철거하	VV	O
지	지	EC	O
도	도	JX	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
"	"+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
"	"	SS	O
마치	마치	MAG	O
_	_	_	O
삼성동	삼성동	NNP	B-LOC
_	_	_	O
주민	주민	NNG	O
_	_	_	O
전체	전체	NNG	O
가	가	JKS	O
_	_	_	O
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
을	을	JKO	O
_	_	_	O
환영하	환영하	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
처럼	처럼	JKB	O
_	_	_	O
보일까	보이+ㄹ까	VV+EC	O

## 8
## 박춘희 원장은 “어린이들의 올바른 인성 형성과 협동심 배양에 도움이 되는 재미있는 체험 프로그램을 더 개발할 계획”이라고 밝혔다.
## <박춘희:PER> 원장은 “어린이들의 올바른 인성 형성과 협동심 배양에 도움이 되는 재미있는 체험 프로그램을 더 개발할 계획”이라고 밝혔다.
박춘희	박춘희	NNP	B-PER
_	_	_	O
원장	원장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
어린이	어린이	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
올바른	올바르+ㄴ	VA+ETM	O
_	_	_	O
인성	인성	NNG	O
_	_	_	O
형성	형성	NNG	O
과	과	JC	O
_	_	_	O
협동심	협동심	NNG	O
_	_	_	O
배양	배양	NNG	O
에	에	JKB	O
_	_	_	O
도움	도움	NNG	O
이	이	JKC	O
_	_	_	O
되	되	VV	O
는	는	ETM	O
_	_	_	O
재미있	재미있	VA	O
는	는	ETM	O
_	_	_	O
체험	체험	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
더	더	MAG	O
_	_	_	O
개발할	개발하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이어 21~25년에 효고(兵庫)현, 30년대에는 교토(京都) 등지로 퍼졌다.
## 이어 <21~25년:DUR>에 <효고:LOC>(<兵庫:LOC>)현, <30년대:DUR>에는 교토(<京都:LOC>) 등지로 퍼졌다.
이어	이어	MAG	O
_	_	_	O
21	21	SN	B-DUR
~	~	SO	I-DUR
25	25	SN	I-DUR
년	년	NNB	I-DUR
에	에	JKB	O
_	_	_	O
효고	효고	NNP	B-LOC
(	(	SS	O
兵庫	兵庫	SH	B-LOC
)	)	SS	O
현	현	NNG	O
,	,	SP	O
_	_	_	O
30	30	SN	B-DUR
년대	년대	NNB	I-DUR
에	에	JKB	O
는	는	JX	O
_	_	_	O
교토	교토	NNP	O
(	(	SS	O
京都	京都	SH	B-LOC
)	)	SS	O
_	_	_	O
등지	등지	NNB	O
로	로	JKB	O
_	_	_	O
퍼	퍼지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 매뉴얼 자체가 중동 지역에서 수집된 한정된 정보를 바탕으로 한 것인데도 이를 과신해 상황에 따른 적절한 대처를 하지 못했다는 비판을 받고 있다.
## 매뉴얼 자체가 <중동:LOC> 지역에서 수집된 한정된 정보를 바탕으로 한 것인데도 이를 과신해 상황에 따른 적절한 대처를 하지 못했다는 비판을 받고 있다.
매뉴얼	매뉴얼	NNG	O
_	_	_	O
자체	자체	NNG	O
가	가	JKS	O
_	_	_	O
중동	중동	NNP	B-LOC
_	_	_	O
지역	지역	NNG	O
에서	에서	JKB	O
_	_	_	O
수집된	수집되+ㄴ	VV+ETM	O
_	_	_	O
한정된	한정되+ㄴ	VV+ETM	O
_	_	_	O
정보	정보	NNG	O
를	를	JKO	O
_	_	_	O
바탕	바탕	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
인데	이+ㄴ데	VCP+EC	O
도	도	JX	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
과신해	과신하+여	VV+EC	O
_	_	_	O
상황	상황	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
적절한	적절하+ㄴ	VA+ETM	O
_	_	_	O
대처	대처	NNG	O
를	를	JKO	O
_	_	_	O
하	하	VV	O
지	지	EC	O
_	_	_	O
못	못하	VX	O
했	였	EP	O
다는	다는	ETM	O
_	_	_	O
비판	비판	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 11
## 23일에는 요리 방송을 하는 BJ들이 나눔의 집을 찾아 ‘추석음식 만들기’를 주제로 방송을 진행할 예정이다.
## <23일:DAT>에는 요리 방송을 하는 BJ들이 <나눔의 집:ORG>을 찾아 ‘<추석:DAT>음식 만들기’를 주제로 방송을 진행할 예정이다.
23	23	SN	B-DAT
일	일	NNB	I-DAT
에	에	JKB	O
는	는	JX	O
_	_	_	O
요리	요리	NNG	O
_	_	_	O
방송	방송	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
는	는	ETM	O
_	_	_	O
BJ	BJ	SL	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
나눔	나누+ㅁ	VV+ETN	B-ORG
의	의	JKG	I-ORG
_	_	_	I-ORG
집	집	NNG	I-ORG
을	을	JKO	O
_	_	_	O
찾	찾	VV	O
아	아	EC	O
_	_	_	O
‘	‘	SS	O
추석	추석	NNG	B-DAT
음식	음식	NNG	O
_	_	_	O
만들	만들	VV	O
기	기	ETN	O
’	’	SS	O
를	를	JKO	O
_	_	_	O
주제	주제	NNG	O
로	로	JKB	O
_	_	_	O
방송	방송	NNG	O
을	을	JKO	O
_	_	_	O
진행할	진행하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 〈(주)코리아랜드 대표〉
## 〈<(주)코리아랜드:ORG> 대표〉
〈	〈	SS	O
(	(	SS	B-ORG
주	주	NNG	I-ORG
)	)	SS	I-ORG
코리아	코리아	NNP	I-ORG
랜드	랜드	NNG	I-ORG
_	_	_	O
대표	대표	NNG	O
〉	〉	SS	O

