## 1
## 강원도 정선군 화암면 백전리에 소재한 용소동굴은‘용이 사는 동굴’이라는 뜻을 가지고 있다.
## <강원도:LOC> <정선군:LOC> <화암면:LOC> <백전리:LOC>에 소재한 <용소동굴:POH>은‘용이 사는 동굴’이라는 뜻을 가지고 있다.
강원도	강원도	NNP	B-LOC
,	,	SP	O
_	_	_	O
김종현	김종현	NNP	B-PER
,	,	SP	O
_	_	_	O
황민현	황민현	NNP	B-PER
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
'	'	SS	O
프로듀스	프로듀스	NNG	B-POH
_	_	_	I-POH
101	101	SN	I-POH
_	_	_	I-POH
시즌	시즌	NNG	I-POH
_	_	_	I-POH
2	2	SN	I-POH
'	'	SS	O
에	에	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
재	재	XPN	O
도약	도약	NNG	O
을	을	JKO	O
_	_	_	O
꿈꾸	꿈꾸	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 5
## 박상옥 대법관 후보자에 대한 인사청문회를 야당이 거부하고 있는 것에 대해 새누리당 지도부가 집중적으로 비판하고 나섰다.
## <박상옥:PER> 대법관 후보자에 대한 인사청문회를 야당이 거부하고 있는 것에 대해 <새누리당:ORG> 지도부가 집중적으로 비판하고 나섰다.
박상옥	박상옥	NNP	B-PER
_	_	_	O
대법관	대법관	NNG	O
_	_	_	O
후보자	후보자	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
인사	인사	NNG	O
청문회	청문회	NNG	O
를	를	JKO	O
_	_	_	O
야당	야당	NNG	O
이	이	JKS	O
_	_	_	O
거부하	거부하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
지도부	지도부	NNG	O
가	가	JKS	O
_	_	_	O
집중적	집중적	NNG	O
으로	으로	JKB	O
_	_	_	O
비판하	비판하	VV	O
고	고	EC	O
_	_	_	O
나섰	나서+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 6
## 인지도는 낮지만 가격대비 성능이 좋은 것으로 알려진 AMD APU, 그 중에서도 최신 모델인 A10-8750(코드명 고다바리)를 탑재했으며, 넉넉한 16GB 메모리까지 갖춰 다양한 작업에 무리없이 이용 가능하다.
## 인지도는 낮지만 가격대비 성능이 좋은 것으로 알려진 <AMD APU:POH>, 그 중에서도 최신 모델인 <A10-8750:POH>(코드명 <고다바리:POH>)를 탑재했으며, 넉넉한 <16GB:NOH> 메모리까지 갖춰 다양한 작업에 무리없이 이용 가능하다.
인지도	인지도	NNG	O
는	는	JX	O
_	_	_	O
낮	낮	VA	O
지만	지만	EC	O
_	_	_	O
가격	가격	NNG	O
대비	대비	NNG	O
_	_	_	O
성능	성능	NNG	O
이	이	JKS	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
알려진	알려지+ㄴ	VV+ETM	O
_	_	_	O
AMD	AMD	SL	B-POH
_	_	_	I-POH
APU	APU	SL	I-POH
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
중	중	NNB	O
에서	에서	JKB	O
도	도	JX	O
_	_	_	O
최신	최신	NNG	O
_	_	_	O
모델	모델	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
A	A	SL	B-POH
10	10	SN	I-POH
-	-	SO	I-POH
8750	8750	SN	I-POH
(	(	SS	O
코드	코드	NNG	O
명	명	NNG	O
_	_	_	O
고다바리	고다바리	NNP	B-POH
)	)	SS	O
를	를	JKO	O
_	_	_	O
탑재	탑재하	VV	O
했	였	EP	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
넉넉한	넉넉하+ㄴ	VA+ETM	O
_	_	_	O
16	16	SN	B-NOH
GB	GB	SL	I-NOH
_	_	_	O
메모리	메모리	NNG	O
까지	까지	JX	O
_	_	_	O
갖춰	갖추+어	VV+EC	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
작업	작업	NNG	O
에	에	JKB	O
_	_	_	O
무리	무리	NNG	O
없이	없이	MAG	O
_	_	_	O
이용	이용	NNG	O
_	_	_	O
가능하	가능하	VA	O
다	다	EF	O
.	.	SF	O

## 7
## 노벨 화학상을 받은 세계적 석학 로버트 그럽스 미국 캘리포니아공대 교수(74·사진)가 서울대 강단에 선다.
## <노벨 화학상:POH>을 받은 세계적 석학 <로버트 그럽스:PER> <미국 캘리포니아공대:ORG> 교수(<74:NOH>·사진)가 <서울대:LOC> 강단에 선다.
노벨	노벨	NNP	B-POH
_	_	_	I-POH
화학	화학	NNG	I-POH
상	상	NNG	I-POH
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
세계적	세계적	NNG	O
_	_	_	O
석학	석학	NNG	O
_	_	_	O
로버트	로버트	NNP	B-PER
_	_	_	I-PER
그럽스	그럽스	NNG	I-PER
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
캘리포니아	캘리포니아	NNP	I-ORG
공대	공대	NNG	I-ORG
_	_	_	O
교수	교수	NNG	O
(	(	SS	O
74	74	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
서울대	서울대	NNP	B-LOC
_	_	_	O
강단	강단	NNG	O
에	에	JKB	O
_	_	_	O
선다	선다	NNP	O
.	.	SF	O

## 8
## 교육부는 행정절차를 마무리한 뒤 산하 기관인 국사편찬위원회에 교과서 개발을 맡길 계획이다.
## <교육부:ORG>는 행정절차를 마무리한 뒤 산하 기관인 <국사편찬위원회:ORG>에 교과서 개발을 맡길 계획이다.
교육부	교육부	NNG	B-ORG
는	는	JX	O
_	_	_	O
행정	행정	NNG	O
절차	절차	NNG	O
를	를	JKO	O
_	_	_	O
마무리한	마무리하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
산하	산하	NNG	O
_	_	_	O
기관	기관	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
국사	국사	NNG	B-ORG
편찬	편찬	NNG	I-ORG
위원회	위원회	NNG	I-ORG
에	에	JKB	O
_	_	_	O
교과서	교과서	NNG	O
_	_	_	O
개발	개발	NNG	O
을	을	JKO	O
_	_	_	O
맡길	맡기+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 민청학련 사건에 연루돼 64일간 구금됐다가 석방된 바 있어 헌법재판소 재판관 중 가장 진보적이라는 평가를 받기도 한 인물이다.
## <민청학련 사건:POH>에 연루돼 <64일간:DUR> 구금됐다가 석방된 바 있어 <헌법재판소:ORG> 재판관 중 가장 진보적이라는 평가를 받기도 한 인물이다.
민청학련	민청학련	NNG	B-POH
_	_	_	I-POH
사건	사건	NNG	I-POH
에	에	JKB	O
_	_	_	O
연루돼	연루되+어	VV+EC	O
_	_	_	O
64	64	SN	B-DUR
일	일	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
구금	구금되	VV	O
됐	었	EP	O
다가	다가	EC	O
_	_	_	O
석방된	석방되+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
어	어	EC	O
_	_	_	O
헌법재판소	헌법재판소	NNG	B-ORG
_	_	_	O
재판관	재판관	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
진보적	진보적	NNG	O
이	이	VCP	O
라는	라는	ETM	O
_	_	_	O
평가	평가	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
기	기	ETN	O
도	도	JX	O
_	_	_	O
한	하+ㄴ	VX+ETM	O
_	_	_	O
인물	인물	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## UEFA는 보통 2년 전에 개최 희망 도시의 신청을 받은 뒤 총회를 통해 장소를 확정한다.
## <UEFA:POH>는 보통 <2년:NOH> 전에 개최 희망 도시의 신청을 받은 뒤 총회를 통해 장소를 확정한다.
UEFA	UEFA	SL	B-POH
는	는	JX	O
_	_	_	O
보통	보통	NNG	O
_	_	_	O
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
개최	개최	NNG	O
_	_	_	O
희망	희망	NNG	O
_	_	_	O
도시	도시	NNG	O
의	의	JKG	O
_	_	_	O
신청	신청	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
총회	총회	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
장소	장소	NNG	O
를	를	JKO	O
_	_	_	O
확정한다	확정하+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 새 재무장관, 차칼로토스 “그리스인들은 더 나은 대우 받아야 한다”
## 새 재무장관, <차칼로토스:PER> “그리스인들은 더 나은 대우 받아야 한다”
새	새	MM	O
_	_	_	O
재무	재무	NNG	O
장관	장관	NNG	O
,	,	SP	O
_	_	_	O
차칼로토스	차칼로토스	NNP	B-PER
_	_	_	O
“	“	SS	O
그리스인	그리스인	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
나	낫	VA	O
은	은	ETM	O
_	_	_	O
대우	대우	NNG	O
_	_	_	O
받	받	VV	O
아야	아야	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O

## 12
## 사시 폐단 보완 위해 10년 논의 끝 도입한 로스쿨
## 사시 폐단 보완 위해 <10년:DUR> 논의 끝 도입한 로스쿨
사시	사시	NNG	O
_	_	_	O
폐단	폐단	NNG	O
_	_	_	O
보완	보완	NNG	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
10	10	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
논의	논의	NNG	O
_	_	_	O
끝	끝	NNG	O
_	_	_	O
도입한	도입하+ㄴ	VV+ETM	O
_	_	_	O
로스쿨	로스쿨	NNG	O

## 13
## 사전 고지된 일정표를 준수하지 않는 여행사는 중국 여유국에 명단을 통보할 계획이다.
## 사전 고지된 일정표를 준수하지 않는 여행사는 <중국 여유국:ORG>에 명단을 통보할 계획이다.
사전	사전	NNG	O
_	_	_	O
고지	고지	NNG	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
일정표	일정표	NNG	O
를	를	JKO	O
_	_	_	O
준수하	준수하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
여행사	여행사	NNG	O
는	는	JX	O
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	I-ORG
여유	여유	NNG	I-ORG
국	국	XSN	I-ORG
에	에	JKB	O
_	_	_	O
명단	명단	NNG	O
을	을	JKO	O
_	_	_	O
통보할	통보하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 김태호 연평해전 전사자 ‘개죽음’표현 논란...새정치 “국가관이 의심스러운 발언”제2연평해전 13주년, 김태호 연평해전 전사자새누리당 김태호 최고위원이 제2연평해전 13주년을 맞은 29일 “다시는 우리 아들딸들이 이런 개죽음 당하는 일은 없어야한다”고 말해 막말 논란이 일고 있다.
## <김태호:PER> <연평해전:POH> 전사자 ‘개죽음’표현 논란...<새정치:ORG> “국가관이 의심스러운 발언”<제2연평해전:POH> <13주년:NOH>, <김태호:PER> <연평해전:POH> 전사자<새누리당:ORG> <김태호:PER> 최고위원이 <제2연평해전:POH> <13주년:DUR>을 맞은 <29일:DAT> “다시는 우리 아들딸들이 이런 개죽음 당하는 일은 없어야한다”고 말해 막말 논란이 일고 있다.
김태호	김태호	NNP	B-PER
_	_	_	O
연평	연평	NNP	B-POH
해전	해전	NNG	I-POH
_	_	_	O
전사자	전사자	NNG	O
_	_	_	O
‘	‘	SS	O
개죽음	개죽음	NNG	O
’	’	SS	O
표현	표현	NNG	O
_	_	_	O
논란	논란	NNG	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
새정치	새정치	NNP	B-ORG
_	_	_	O
“	“	SS	O
국가관	국가관	NNG	O
이	이	JKS	O
_	_	_	O
의심스러	의심스럽	VA	O
운	ㄴ	ETM	O
_	_	_	O
발언	발언	NNG	O
”	”	SS	O
제	제	XPN	B-POH
2	2	SN	I-POH
연평	연평	NNP	I-POH
해전	해전	NNG	I-POH
_	_	_	O
13	13	SN	B-NOH
주년	주년	NNB	I-NOH
,	,	SP	O
_	_	_	O
김태호	김태호	NNP	B-PER
_	_	_	O
연평	연평	NNP	B-POH
해전	해전	NNG	I-POH
_	_	_	O
전사자	전사자	NNG	O
새누리당	새누리당	NNP	B-ORG
_	_	_	O
김태호	김태호	NNP	B-PER
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
이	이	JKS	O
_	_	_	O
제	제	XPN	B-POH
2	2	SN	I-POH
연평	연평	NNP	I-POH
해전	해전	NNG	I-POH
_	_	_	O
13	13	SN	B-DUR
주년	주년	NNB	I-DUR
을	을	JKO	O
_	_	_	O
맞	맞	VV	O
은	은	ETM	O
_	_	_	O
29	29	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
다시	다시	MAG	O
는	는	JX	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
아들딸	아들딸	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
이런	이런	MM	O
_	_	_	O
개죽음	개죽음	NNG	O
_	_	_	O
당하	당하	VV	O
는	는	ETM	O
_	_	_	O
일	일	NNG	O
은	은	JX	O
_	_	_	O
없	없	VA	O
어야	어야	EC	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
막말	막말	NNG	O
_	_	_	O
논란	논란	NNG	O
이	이	JKS	O
_	_	_	O
일	일	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 15
## 김 최고위원은 이날 경기도 평택에서 열린 현장 최고위원 회의에서 제2연평해전 당시 전투수칙 등의 이유로 제대로 대응하지 못한 상황을 지적한 뒤 “이런 일이 있으면 사자처럼 용맹하게 즉각 대응해야 한다.
## <김:PER> 최고위원은 이날 <경기도:LOC> <평택:LOC>에서 열린 현장 최고위원 회의에서 <제2연평해전:POH> 당시 전투수칙 등의 이유로 제대로 대응하지 못한 상황을 지적한 뒤 “이런 일이 있으면 사자처럼 용맹하게 즉각 대응해야 한다.
김	김	NNP	B-PER
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
경기도	경기도	NNP	B-LOC
_	_	_	O
평택	평택	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
현장	현장	NNG	O
_	_	_	O
최고	최고	NNG	O
위원	위원	NNG	O
_	_	_	O
회의	회의	NNG	O
에서	에서	JKB	O
_	_	_	O
제	제	XPN	B-POH
2	2	SN	I-POH
연평	연평	NNP	I-POH
해전	해전	NNG	I-POH
_	_	_	O
당시	당시	NNG	O
_	_	_	O
전투	전투	NNG	O
수칙	수칙	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
대응하	대응하	VV	O
지	지	EC	O
_	_	_	O
못한	못하+ㄴ	VX+ETM	O
_	_	_	O
상황	상황	NNG	O
을	을	JKO	O
_	_	_	O
지적한	지적하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
“	“	SS	O
이런	이런	MM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
으면	으면	EC	O
_	_	_	O
사자	사자	NNG	O
처럼	처럼	JKB	O
_	_	_	O
용맹하	용맹하	VA	O
게	게	EC	O
_	_	_	O
즉각	즉각	MAG	O
_	_	_	O
대응해야	대응하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
.	.	SF	O

