## 1
## 그리고 그 정점에서 신 총괄회장이 한·일 양국의 롯데를 총괄했다.그러던 중 지난해 말과 올해 초에 걸쳐 신 전 부회장이 주요 보직에서 잇따라 밀려났다.
## 그리고 그 정점에서 <신:PER> 총괄회장이 <한·일:ORG> <양국:NOH>의 <롯데:ORG>를 총괄했다.그러던 중 지난해 말과 올해 초에 걸쳐 <신:PER> 전 부회장이 주요 보직에서 잇따라 밀려났다.
그리고	그리고	MAJ	O
보고	보고	NNG	O
시퍼	시퍼	NNP	O
여	여	NNG	O
”	”	SS	O
_	_	_	O
문자하	문자하	VV	O
자	자	EC	O
_	_	_	O
곧바로	곧바로	MAG	O
…	…	SE	O
‘	‘	SS	O
닭살	닭살	NNG	O
_	_	_	O
부부	부부	NNG	O
’	’	SS	O
_	_	_	O
인증	인증	NNG	O
소유진	소유진	NNP	B-PER
_	_	_	O
백종원	백종원	NNP	B-PER
.	.	SF	O
둘째	둘째	NR	O
_	_	_	O
출산	출산	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
소유진	소유진	NNP	B-PER
이	이	JKS	O
_	_	_	O
백종원	백종원	NNP	B-PER
과	과	JKB	O
의	의	JKG	O
_	_	_	O
행복한	행복하+ㄴ	VA+ETM	O
_	_	_	O
결혼	결혼	NNG	O
생활	생활	NNG	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
SBS	SBS	SL	B-POH
_	_	_	I-POH
러브	러브	NNG	I-POH
FM	FM	SL	I-POH
_	_	_	O
‘	‘	SS	O
김지선	김지선	NNP	B-POH
_	_	_	I-POH
김일중	김일중	NNP	I-POH
의	의	JKG	I-POH
_	_	_	I-POH
세상	세상	NNG	I-POH
을	을	JKO	I-POH
_	_	_	I-POH
만나	만나	VV	I-POH
자	자	EF	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
블	블	NNG	B-POH
링	링	NNG	I-POH
블	블	NNG	I-POH
링	링	NNG	I-POH
_	_	_	I-POH
스타	스타	NNG	I-POH
_	_	_	I-POH
특집	특집	NNG	I-POH
’	’	SS	O
_	_	_	O
코너	코너	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
소유	소유	NNG	B-PER
진	진	NNG	I-PER
과	과	JKB	O
_	_	_	O
전화	전화	NNG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
를	를	JKO	O
_	_	_	O
진행	진행하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 2018년경 단지에서 걸어서 통학할 수 있는 곳에 초중고교가 들어선다.
## <2018년:DAT>경 단지에서 걸어서 통학할 수 있는 곳에 초중고교가 들어선다.
2018	2018	SN	B-DAT
년	년	NNB	I-DAT
경	경	XSN	O
_	_	_	O
단지	단지	NNG	O
에서	에서	JKB	O
_	_	_	O
걸	걷	VV	O
어서	어서	EC	O
_	_	_	O
통학할	통학하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
곳	곳	NNG	O
에	에	JKB	O
_	_	_	O
초	초	NNG	O
중	중	NNG	O
고교	고교	NNG	O
가	가	JKS	O
_	_	_	O
들어선다	들어서+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 호남 출신 법무부 장관이 나와 지역 안배가 이뤄진 데다
## <호남:LOC> 출신 <법무부:ORG> 장관이 나와 지역 안배가 이뤄진 데다
호남	호남	NNP	B-LOC
_	_	_	O
출신	출신	NNG	O
_	_	_	O
법무부	법무부	NNG	B-ORG
_	_	_	O
장관	장관	NNG	O
이	이	JKS	O
_	_	_	O
나	나오	VV	O
와	아	EC	O
_	_	_	O
지역	지역	NNG	O
_	_	_	O
안배	안배	NNG	O
가	가	JKS	O
_	_	_	O
이뤄진	이루어지+ㄴ	VV+ETM	O
_	_	_	O
데	데	NNB	O
다	다	JX	O

## 12
## 그가 입장하자 김무성 대표는 회의 도중 다른 참석자들 자리를 하나씩 옮기게 했다.
## 그가 입장하자 <김무성:PER> 대표는 회의 도중 다른 참석자들 자리를 하나씩 옮기게 했다.
그	그	NP	O
가	가	JKS	O
_	_	_	O
입장하	입장하	VV	O
자	자	EC	O
_	_	_	O
김무성	김무성	NNP	B-PER
_	_	_	O
대표	대표	NNG	O
는	는	JX	O
_	_	_	O
회의	회의	NNG	O
_	_	_	O
도중	도중	NNG	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
참석자	참석자	NNG	O
들	들	XSN	O
_	_	_	O
자리	자리	NNG	O
를	를	JKO	O
_	_	_	O
하나	하나	NR	O
씩	씩	XSN	O
_	_	_	O
옮기	옮기	VV	O
게	게	EC	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

