## 1
## 최고출력은 204마력, 최대토크는 51.0kg.m으로 GLE클래스 라인업 중 가장 낮은 힘을 발휘했지만, 동급 경쟁 모델과 비교해 부족함 없는 성능이 특징이다.
## 최고출력은 <204마력:NOH>, 최대토크는 <51.0kg.m:NOH>으로 <GLE클래스 라인업:POH> 중 가장 낮은 힘을 발휘했지만, 동급 경쟁 모델과 비교해 부족함 없는 성능이 특징이다.
최고	최고	NNG	O
기업	기업	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
IoT	IoT	SL	O
_	_	_	O
시장	시장	NNG	O
을	을	JKO	O
_	_	_	O
놓	놓	VV	O
고	고	EC	O
_	_	_	O
벌이	벌이	VV	O
는	는	ETM	O
_	_	_	O
전쟁터	전쟁터+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 또한 볼보가 세계 최초로 개발한 시티 세이프티(City Safety)와 사각지대 정보 시스템(BLIS) 등이 모두 기본 사양이다.
## 또한 <볼보:ORG>가 세계 최초로 개발한 시티 세이프티(City Safety)와 사각지대 정보 시스템(BLIS) 등이 모두 기본 사양이다.
또한	또한	MAG	O
_	_	_	O
볼보	볼보	NNP	B-ORG
가	가	JKS	O
_	_	_	O
세계	세계	NNG	O
_	_	_	O
최초	최초	NNG	O
로	로	JKB	O
_	_	_	O
개발한	개발하+ㄴ	VV+ETM	O
_	_	_	O
시티	시티	NNG	O
_	_	_	O
세이프티	세이프티	NNG	O
(	(	SS	O
City	City	SL	O
_	_	_	O
Safety	Safety	SL	O
)	)	SS	O
와	와	JKB	O
_	_	_	O
사각지대	사각지대	NNG	O
_	_	_	O
정보	정보	NNG	O
_	_	_	O
시스템	시스템	NNG	O
(	(	SS	O
BLIS	BLIS	SL	O
)	)	SS	O
_	_	_	O
등	등	NNB	O
이	이	JKS	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
기본	기본	NNG	O
_	_	_	O
사양	사양	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 15
## 하지만 중국이 2012년부터 대규모로 TPA 생산설비를 증설하면서 공급과잉이 시작됐다.
## 하지만 <중국:ORG>이 <2012년:DAT>부터 대규모로 TPA 생산설비를 증설하면서 공급과잉이 시작됐다.
하지만	하지만	MAJ	O
_	_	_	O
중국	중국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
대규모	대규모	NNG	O
로	로	JKB	O
_	_	_	O
TPA	TPA	SL	O
_	_	_	O
생산	생산	NNG	O
설비	설비	NNG	O
를	를	JKO	O
_	_	_	O
증설하	증설하	VV	O
면서	면서	EC	O
_	_	_	O
공급과잉	공급과잉	NNG	O
이	이	JKS	O
_	_	_	O
시작	시작되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

