## 1
## 현지 경찰은 현장 감식과 부검을 의뢰하는 한편, 사고당시 A씨와 함께 술을 마신 한국인 2명을 상대로 조사에 나섰다.
## 현지 경찰은 현장 감식과 부검을 의뢰하는 한편, 사고당시 <A:PER>씨와 함께 술을 마신 한국인 <2명:NOH>을 상대로 조사에 나섰다.
현지	현지	NNG	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 4
## BMW가 새해 첫 달부터 글로벌 시장에서 자존심을 구겼다.
## <BMW:ORG>가 새해 첫 달부터 글로벌 시장에서 자존심을 구겼다.
BMW	BMW	SL	B-ORG
가	가	JKS	O
_	_	_	O
새해	새해	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
달	달	NNG	O
부터	부터	JX	O
_	_	_	O
글로벌	글로벌	NNG	O
_	_	_	O
시장	시장	NNG	O
에서	에서	JKB	O
_	_	_	O
자존심	자존심	NNG	O
을	을	JKO	O
_	_	_	O
구	구기	VV	O
겼	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 토론회 초반부에 두 후보가 30초간 묻고 40초간 답하는 코너는 답변 시간이 너무 짧아 스치듯 지나가버려 시간 낭비라는 지적도 나왔다.
## 토론회 초반부에 <두 후보:NOH>가 <30초:NOH>간 묻고 <40초간:DUR> 답하는 코너는 답변 시간이 너무 짧아 스치듯 지나가버려 시간 낭비라는 지적도 나왔다.
토론회	토론회	NNG	O
_	_	_	O
초반	초반	NNG	O
부	부	XSN	O
에	에	JKB	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
후보	후보	NNG	I-NOH
가	가	JKS	O
_	_	_	O
30	30	SN	B-NOH
초	초	NNB	I-NOH
간	간	XSN	O
_	_	_	O
묻	묻	VV	O
고	고	EC	O
_	_	_	O
40	40	SN	B-DUR
초	초	NNB	I-DUR
간	간	XSN	I-DUR
_	_	_	O
답하	답하	VV	O
는	는	ETM	O
_	_	_	O
코너	코너	NNG	O
는	는	JX	O
_	_	_	O
답변	답변	NNG	O
_	_	_	O
시간	시간	NNG	O
이	이	JKS	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
짧	짧	VA	O
아	아	EC	O
_	_	_	O
스치	스치	VV	O
듯	듯	EC	O
_	_	_	O
지나가	지나가+아	VV+EC	O
버려	버리+어	VX+EC	O
_	_	_	O
시간	시간	NNG	O
_	_	_	O
낭비	낭비+이	NNG+VCP	O
라는	라는	ETM	O
_	_	_	O
지적	지적	NNG	O
도	도	JX	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 6
## “잘 부르네요. 흐뭇합니다”라는 글과 함께 올라온 이 영상 상단에는 ‘아프리카 아이들의 애국가’라는 자막이 보인다.
## “잘 부르네요. 흐뭇합니다”라는 글과 함께 올라온 이 영상 상단에는 ‘<아프리카:LOC> 아이들의 애국가’라는 자막이 보인다.
“	“	SS	O
잘	잘	MAG	O
_	_	_	O
부르	부르	VV	O
네요	네요	EF	O
.	.	SF	O
_	_	_	O
흐뭇합니다	흐뭇하+ㅂ니다	VA+EF	O
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
올라온	올라오+ㄴ	VV+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
영상	영상	NNG	O
_	_	_	O
상단	상단	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
아프리카	아프리카	NNP	B-LOC
_	_	_	O
아이	아이	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
애국가	애국가	NNG	O
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
자막	자막	NNG	O
이	이	JKS	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## YTN의 설명에 따르면 유엔세계관광기구 스텝재단은 지난 2007년부터 문화체육관광부의 지원을 받아 개발도상국 20개국에 작은 도서관을 짓는 사업을 벌이고 있다.
## <YTN:ORG>의 설명에 따르면 <유엔세계관광기구 스텝재단:ORG>은 지난 <2007년:DAT>부터 <문화체육관광부:ORG>의 지원을 받아 개발도상국 <20개국:NOH>에 작은 도서관을 짓는 사업을 벌이고 있다.
YTN	YTN	SL	B-ORG
의	의	JKG	O
_	_	_	O
설명	설명	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
유엔	유엔	NNP	B-ORG
세계	세계	NNG	I-ORG
관광	관광	NNG	I-ORG
기구	기구	NNG	I-ORG
_	_	_	I-ORG
스텝	스텝	NNG	I-ORG
재단	재단	NNG	I-ORG
은	은	JX	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
2007	2007	SN	B-DAT
년	년	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
문화	문화	NNG	B-ORG
체육	체육	NNG	I-ORG
관광부	관광부	NNG	I-ORG
의	의	JKG	O
_	_	_	O
지원	지원	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
개발도상국	개발도상국	NNG	O
_	_	_	O
20	20	SN	B-NOH
개국	개국	NNB	I-NOH
에	에	JKB	O
_	_	_	O
작	작	VA	O
은	은	ETM	O
_	_	_	O
도서관	도서관	NNG	O
을	을	JKO	O
_	_	_	O
짓	짓	VV	O
는	는	ETM	O
_	_	_	O
사업	사업	NNG	O
을	을	JKO	O
_	_	_	O
벌이	벌이	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 오리온은 ‘합리적인 가격에 좋은 품질의 제품을 공급한다’는 철학에 따라 소비자 만족을 최우선으로 한 제품혁신을 지속해 간다는 방침이다.
## <오리온:ORG>은 ‘합리적인 가격에 좋은 품질의 제품을 공급한다’는 철학에 따라 소비자 만족을 최우선으로 한 제품혁신을 지속해 간다는 방침이다.
오리온	오리온	NNP	B-ORG
은	은	JX	O
_	_	_	O
‘	‘	SS	O
합리적	합리적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
가격	가격	NNG	O
에	에	JKB	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
품질	품질	NNG	O
의	의	JKG	O
_	_	_	O
제품	제품	NNG	O
을	을	JKO	O
_	_	_	O
공급한다	공급하+ㄴ다	VV+EF	O
’	’	SS	O
는	는	JX	O
_	_	_	O
철학	철학	NNG	O
에	에	JKB	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
소비자	소비자	NNG	O
_	_	_	O
만족	만족	NNG	O
을	을	JKO	O
_	_	_	O
최우선	최우선	NNG	O
으로	으로	JKB	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
제품	제품	NNG	O
혁신	혁신	NNG	O
을	을	JKO	O
_	_	_	O
지속해	지속하+여	VV+EC	O
_	_	_	O
간다는	가+ㄴ다는	VX+ETM	O
_	_	_	O
방침	방침	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 이미자 장사익 합동 콘서트, 장사익 "이미자와 한 무대에 서서 영광"
## <이미자 장사익 합동 콘서트:POH>, <장사익:PER> "<이미자:PER>와 한 무대에 서서 영광"
이미자	이미자	NNP	B-POH
_	_	_	I-POH
장사익	장사익	NNP	I-POH
_	_	_	I-POH
합동	합동	NNG	I-POH
_	_	_	I-POH
콘서트	콘서트	NNG	I-POH
,	,	SP	O
_	_	_	O
장사익	장사익	NNP	B-PER
_	_	_	O
"	"	SS	O
이미자	이미자	NNP	B-PER
와	와	JC	O
_	_	_	O
한	한	MM	O
_	_	_	O
무대	무대	NNG	O
에	에	JKB	O
_	_	_	O
서서	서+어서	VV+EC	O
_	_	_	O
영광	영광	NNG	O
"	"	SS	O

