## 1
## 카메라G4는 후면 1600만, 전면 800만의 높은 화소수로 어두운 환경에서도 비교적 좋은 사진을 촬영할 수 있었다.
## 카메라<G4:POH>는 후면 <1600만:NOH>, 전면 <800만:NOH>의 높은 화소수로 어두운 환경에서도 비교적 좋은 사진을 촬영할 수 있었다.
카메라	카메라	NNG	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
통합	통합	NNG	O
선거법	선거법	NNG	O
은	은	JX	O
_	_	_	O
영국	영국	NNP	B-ORG
이	이	JKS	O
_	_	_	O
선거	선거	NNG	O
부정	부정	NNG	O
을	을	JKO	O
_	_	_	O
막	막	VV	O
기	기	ETN	O
위해	위하+여	VV+EC	O
_	_	_	O
1883	1883	SN	B-DAT
년	년	NNB	I-DAT
에	에	JKB	O
_	_	_	O
제정	제정하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
부패	부패	NNG	O
방지	방지	NNG	O
법	법	NNG	O
에	에	JKB	O
_	_	_	O
못	못하	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다	다	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
말한다	말하+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 2012년 첫발을 내디딘 링크사업단은 2013년 최우수 기관에 이어 지난해 대구·경북·강원권 링크사업단을 추진하는 8개 대학 중 2년 연속 최우수 기관으로 선정돼 52억원의 국고지원금을 확보했다.
## <2012년:DAT> 첫발을 내디딘 링크사업단은 <2013년:DAT> 최우수 기관에 이어 지난해 <대구:LOC>·<경북:LOC>·<강원:LOC>권 링크사업단을 추진하는 <8개:NOH> 대학 중 <2년:DAT> 연속 최우수 기관으로 선정돼 <52억원:MNY>의 국고지원금을 확보했다.
2012	2012	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
첫발	첫발	NNG	O
을	을	JKO	O
_	_	_	O
내디딘	내디디+ㄴ	VV+ETM	O
_	_	_	O
링크	링크	NNG	O
사업단	사업단	NNG	O
은	은	JX	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
최우수	최우수	NNG	O
_	_	_	O
기관	기관	NNG	O
에	에	JKB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
대구	대구	NNP	B-LOC
·	·	SP	O
경북	경북	NNP	B-LOC
·	·	SP	O
강원	강원	NNP	B-LOC
권	권	XSN	O
_	_	_	O
링크	링크	NNG	O
사업단	사업단	NNG	O
을	을	JKO	O
_	_	_	O
추진하	추진하	VV	O
는	는	ETM	O
_	_	_	O
8	8	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
대학	대학	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
2	2	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
연속	연속	NNG	O
_	_	_	O
최우수	최우수	NNG	O
_	_	_	O
기관	기관	NNG	O
으로	으로	JKB	O
_	_	_	O
선정돼	선정되+어	VV+EC	O
_	_	_	O
52	52	SN	B-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
의	의	JKG	O
_	_	_	O
국고	국고	NNG	O
지원금	지원금	NNG	O
을	을	JKO	O
_	_	_	O
확보	확보하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 「이별의 노래」 「출항의 노래」등의 히트넘버도 흥겹고 서정적이다.
## 「<이별의 노래:POH>」 「<출항의 노래:POH>」등의 히트넘버도 흥겹고 서정적이다.
「	「	SS	O
이별	이별	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
노래	노래	NNG	I-POH
」	」	SS	O
_	_	_	O
「	「	SS	O
출항	출항	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
노래	노래	NNG	I-POH
」	」	SS	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
히트	히트	NNG	O
넘버	넘버	NNG	O
도	도	JX	O
_	_	_	O
흥겹	흥겹	VA	O
고	고	EC	O
_	_	_	O
서정적	서정적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 김은영 차장은 “은행의 이미지와 맞지 않는 선정적인 영화나 잔인한 영화는 선정하지 않는다”고 설명했다.
## <김은영:PER> 차장은 “은행의 이미지와 맞지 않는 선정적인 영화나 잔인한 영화는 선정하지 않는다”고 설명했다.
김은영	김은영	NNP	B-PER
_	_	_	O
차장	차장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
은행	은행	NNG	O
의	의	JKG	O
_	_	_	O
이미지	이미지	NNG	O
와	와	JKB	O
_	_	_	O
맞	맞	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
선정적	선정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
영화	영화	NNG	O
나	나	JC	O
_	_	_	O
잔인한	잔인하+ㄴ	VA+ETM	O
_	_	_	O
영화	영화	NNG	O
는	는	JX	O
_	_	_	O
선정하	선정하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는다	는다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
설명	설명하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이 씨는 대우조선해양의 오만 선상호텔사업과 서울 영등포구 당산동 빌딩 사업 등에서 특혜를 받고 회삿돈을 빼돌린 혐의 등을 받고 있다.
## <이:PER> 씨는 <대우조선해양:ORG>의 <오만 선상호텔:LOC>사업과 <서울:LOC> <영등포구:LOC> <당산동:LOC> 빌딩 사업 등에서 특혜를 받고 회삿돈을 빼돌린 혐의 등을 받고 있다.
이	이	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
대우조선해양	대우조선해양	NNP	B-ORG
의	의	JKG	O
_	_	_	O
오	오	NR	B-LOC
만	만	NR	I-LOC
_	_	_	I-LOC
선상	선상	NNG	I-LOC
호텔	호텔	NNG	I-LOC
사업	사업	NNG	O
과	과	JC	O
_	_	_	O
서울	서울	NNP	B-LOC
_	_	_	O
영등포구	영등포구	NNP	B-LOC
_	_	_	O
당산동	당산동	NNP	B-LOC
_	_	_	O
빌딩	빌딩	NNG	O
_	_	_	O
사업	사업	NNG	O
_	_	_	O
등	등	NNB	O
에서	에서	JKB	O
_	_	_	O
특혜	특혜	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
회삿	회사	NNG	O
돈	돈	NNG	O
을	을	JKO	O
_	_	_	O
빼돌린	빼돌리+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 12
## 미국 캘리포니아주 롱비치의 퍼시픽 아쿠아리움에 있는 바다사자 마일로가 주인공이다.
## <미국:LOC> <캘리포니아주:LOC> <롱비치:LOC>의 <퍼시픽 아쿠아리움:LOC>에 있는 바다사자 <마일로:PER>가 주인공이다.
미국	미국	NNP	B-LOC
_	_	_	O
캘리포니아주	캘리포니아주	NNP	B-LOC
_	_	_	O
롱비치	롱비치	NNP	B-LOC
의	의	JKG	O
_	_	_	O
퍼시픽	퍼시픽	NNP	B-LOC
_	_	_	I-LOC
아쿠아리움	아쿠아리움	NNG	I-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
바다사자	바다사자	NNG	O
_	_	_	O
마일	마일	NNB	B-PER
로	로	XSN	I-PER
가	가	JKS	O
_	_	_	O
주인공	주인공	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 서울메트로 “4호선 창동역 하선 사당행 열차 고장…현재 정상 운행 中”
## <서울메트로:ORG> “<4호선:NOH> <창동역:LOC> 하선 <사당:LOC>행 열차 고장…현재 정상 운행 中”
서울메트로	서울메트로	NNP	B-ORG
_	_	_	O
“	“	SS	O
4	4	SN	B-NOH
호	호	NNB	I-NOH
선	선	XSN	I-NOH
_	_	_	O
창동	창동	NNP	B-LOC
역	역	NNG	I-LOC
_	_	_	O
하선	하선	NNP	O
_	_	_	O
사당	사당	NNP	B-LOC
행	행	XSN	O
_	_	_	O
열차	열차	NNG	O
_	_	_	O
고장	고장	NNG	O
…	…	SE	O
현재	현재	MAG	O
_	_	_	O
정상	정상	NNG	O
_	_	_	O
운행	운행	NNG	O
_	_	_	O
中	中	SH	O
”	”	SS	O

## 14
## 한국은 공장 자동화 과정에서 가장 많은 일자리가 사라지는 국가로도 꼽혔다.
## <한국:ORG>은 공장 자동화 과정에서 가장 많은 일자리가 사라지는 국가로도 꼽혔다.
한국	한국	NNP	B-ORG
은	은	JX	O
_	_	_	O
공장	공장	NNG	O
_	_	_	O
자동화	자동화	NNG	O
_	_	_	O
과정	과정	NNG	O
에서	에서	JKB	O
_	_	_	O
가장	가장	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
일자리	일자리	NNG	O
가	가	JKS	O
_	_	_	O
사라지	사라지	VV	O
는	는	ETM	O
_	_	_	O
국가	국가	NNG	O
로	로	JKB	O
도	도	JX	O
_	_	_	O
꼽	꼽히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## “둘 다 불확실한 미래보단 현재의 만족을 지향하는 공통점은 있죠. 허나 해외에서 들어온 개념인 욜로는 어느 정도 경제적 기반이 있는 상태에서 적극적으로 과소비를 추구하는 삶입니다.
## “<둘:NOH> 다 불확실한 미래보단 현재의 만족을 지향하는 공통점은 있죠. 허나 해외에서 들어온 개념인 <욜로:POH>는 어느 정도 경제적 기반이 있는 상태에서 적극적으로 과소비를 추구하는 삶입니다.
“	“	SS	O
둘	둘	NR	B-NOH
_	_	_	O
다	다	MAG	O
_	_	_	O
불확실한	불확실하+ㄴ	VA+ETM	O
_	_	_	O
미래	미래	NNG	O
보단	보다+ㄴ	JKB+JX	O
_	_	_	O
현재	현재	NNG	O
의	의	JKG	O
_	_	_	O
만족	만족	NNG	O
을	을	JKO	O
_	_	_	O
지향하	지향하	VV	O
는	는	ETM	O
_	_	_	O
공통점	공통점	NNG	O
은	은	JX	O
_	_	_	O
있	있	VA	O
죠	죠	EF	O
.	.	SF	O
_	_	_	O
허나	허나	MAG	O
_	_	_	O
해외	해외	NNG	O
에서	에서	JKB	O
_	_	_	O
들어온	들어오+ㄴ	VV+ETM	O
_	_	_	O
개념	개념	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
욜로	욜로	MAG	B-POH
는	는	JX	O
_	_	_	O
어느	어느	MM	O
_	_	_	O
정도	정도	NNG	O
_	_	_	O
경제적	경제적	NNG	O
_	_	_	O
기반	기반	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
상태	상태	NNG	O
에서	에서	JKB	O
_	_	_	O
적극적	적극적	NNG	O
으로	으로	JKB	O
_	_	_	O
과소비	과소비	NNG	O
를	를	JKO	O
_	_	_	O
추구하	추구하	VV	O
는	는	ETM	O
_	_	_	O
삶	삶	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

