## 1
## 항상 “석모야”라며 찾던 선수들이 진심을 담아 그간의 고마움을 표현했다.
## 항상 “<석모:PER>야”라며 찾던 선수들이 진심을 담아 그간의 고마움을 표현했다.
항상	항상	MAG	O
## 환경 훼손이 크고 기존공항 폐쇄에 대해 제주도 주민들이 반대하기 때문에 실행 가능성이 떨어지는 것으로 평가됐다.
## 환경 훼손이 크고 기존공항 폐쇄에 대해 <제주도:LOC> 주민들이 반대하기 때문에 실행 가능성이 떨어지는 것으로 평가됐다.
환경	환경	NNG	O
_	_	_	O
훼손	훼손	NNG	O
이	이	JKS	O
_	_	_	O
크	크	VA	O
고	고	EC	O
_	_	_	O
기존	기존	NNG	O
공항	공항	NNG	O
_	_	_	O
폐쇄	폐쇄	NNG	O
에	에	JKB	O
_	_	_	O
대해	대하+여	VV+EC	O
_	_	_	O
제주도	제주도	NNP	B-LOC
_	_	_	O
주민	주민	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
반대하	반대하	VV	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
에	에	JKB	O
_	_	_	O
실행	실행	NNG	O
_	_	_	O
가능성	가능성	NNG	O
이	이	JKS	O
_	_	_	O
떨어지	떨어지	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
평가	평가되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 선수들 외에도 감독들 중에선 ‘게겐 프레싱(Gegen Pressing)’의 창시자 위르겐 클롭도 도르트문트를 세계무대에 올리며 위상이 올라간 감독 중 한명이다.
## 선수들 외에도 감독들 중에선 ‘게겐 프레싱(Gegen Pressing)’의 창시자 <위르겐 클롭:PER>도 <도르트문트:ORG>를 세계무대에 올리며 위상이 올라간 감독 중 <한명:NOH>이다.
선수	선수	NNG	O
들	들	XSN	O
_	_	_	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
감독	감독	NNG	O
들	들	XSN	O
_	_	_	O
중	중	NNB	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
‘	‘	SS	O
게겐	게겐	NNG	O
_	_	_	O
프레싱	프레싱	NNG	O
(	(	SS	O
Gegen	Gegen	SL	O
_	_	_	O
Pressing	Pressing	SL	O
)	)	SS	O
’	’	SS	O
의	의	JKG	O
_	_	_	O
창시자	창시자	NNG	O
_	_	_	O
위르겐	위르겐	NNP	B-PER
_	_	_	I-PER
클롭	클롭	NNG	I-PER
도	도	JX	O
_	_	_	O
도르트문트	도르트문트	NNP	B-ORG
를	를	JKO	O
_	_	_	O
세계무대	세계무대	NNG	O
에	에	JKB	O
_	_	_	O
올리	올리	VV	O
며	며	EC	O
_	_	_	O
위상	위상	NNG	O
이	이	JKS	O
_	_	_	O
올라간	올라가+ㄴ	VV+ETM	O
_	_	_	O
감독	감독	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
한	한	MM	B-NOH
명	명	NNB	I-NOH
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 16
## 이 표결에는 유엔 총회에서 선출된 47개 이사국만 참여했으며 중국, 러시아, 쿠바, 베네수엘라, 베트남, 볼리비아가 반대표를 던졌다.
## 이 표결에는 <유엔:ORG> 총회에서 선출된 <47개:NOH> 이사국만 참여했으며 <중국:ORG>, <러시아:ORG>, <쿠바:ORG>, <베네수엘라:ORG>, <베트남:ORG>, <볼리비아:ORG>가 반대표를 던졌다.
이	이	MM	O
_	_	_	O
표결	표결	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
유엔	유엔	NNP	B-ORG
_	_	_	O
총회	총회	NNG	O
에서	에서	JKB	O
_	_	_	O
선출된	선출되+ㄴ	VV+ETM	O
_	_	_	O
47	47	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
이사국	이사국	NNG	O
만	만	JX	O
_	_	_	O
참여	참여하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
중국	중국	NNP	B-ORG
,	,	SP	O
_	_	_	O
러시아	러시아	NNP	B-ORG
,	,	SP	O
_	_	_	O
쿠바	쿠바	NNP	B-ORG
,	,	SP	O
_	_	_	O
베네수엘라	베네수엘라	NNP	B-ORG
,	,	SP	O
_	_	_	O
베트남	베트남	NNP	B-ORG
,	,	SP	O
_	_	_	O
볼리비아	볼리비아	NNP	B-ORG
가	가	JKS	O
_	_	_	O
반대표	반대표	NNG	O
를	를	JKO	O
_	_	_	O
던	던지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

