## 1
## 무릎·고관절센터, 어깨·팔·손목센터, 족부센터 등으로 세분화된 관절센터를 총괄하는 이대영 원장은 전문 분야인 관절내시경과 인공관절 수술에 역량을 쏟고 있다.
## 무릎·고관절센터, 어깨·팔·손목센터, 족부센터 등으로 세분화된 관절센터를 총괄하는 <이대영:PER> 원장은 전문 분야인 관절내시경과 인공관절 수술에 역량을 쏟고 있다.
무릎	무릎	NNG	O
거의	거의	MAG	O
_	_	_	O
쳐다보	쳐다보	VV	O
지	지	EC	O
도	도	JX	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
성유리	성유리	NNP	B-PER
를	를	JKO	O
_	_	_	O
민망하	민망하	VA	O
게	게	EC	O
_	_	_	O
만들	만들	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이에 성유리는 “우리 팀이 시크했다”고 말해 웃음을 자아냈다.
## 이에 <성유리:PER>는 “우리 팀이 시크했다”고 말해 웃음을 자아냈다.
이	이	NP	O
에	에	JKB	O
_	_	_	O
성유리	성유리	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
우리	우리	NP	O
_	_	_	O
팀	팀	NNG	O
이	이	JKS	O
_	_	_	O
시크	시크+하	NNG+VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말해	말하+여	VV+EC	O
_	_	_	O
웃음	웃음	NNG	O
을	을	JKO	O
_	_	_	O
자아냈	자아내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 4
## 정 의장의 중재로 여야가 합의할 경우 17일 본회의가 열리고, 황 후보자의 임명동의안이 처리될 가능성도 있다.
## <정:PER> 의장의 중재로 여야가 합의할 경우 <17일:DAT> 본회의가 열리고, <황:PER> 후보자의 임명동의안이 처리될 가능성도 있다.
정	정	NNP	B-PER
_	_	_	O
의장	의장	NNG	O
의	의	JKG	O
_	_	_	O
중재	중재	NNG	O
로	로	JKB	O
_	_	_	O
여야	여야	NNG	O
가	가	JKS	O
_	_	_	O
합의할	합의하+ㄹ	VV+ETM	O
_	_	_	O
경우	경우	NNG	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
본회의	본회의	NNG	O
가	가	JKS	O
_	_	_	O
열리	열리	VV	O
고	고	EC	O
,	,	SP	O
_	_	_	O
황	황	NNP	B-PER
_	_	_	O
후보자	후보자	NNG	O
의	의	JKG	O
_	_	_	O
임명	임명	NNG	O
동의	동의	NNG	O
안	안	NNG	O
이	이	JKS	O
_	_	_	O
처리될	처리되+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
도	도	JX	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 5
## 따라서 국토부는 운항이 재개되는 즉시 항공기 운항은 안전 운항에 지장이 없는 범위 내에서 시행이 가능하도록 정기 및 임시 항공편을 증편하여 수송용량을 확대하는 비상수송대책을 마련할 계획이다.
## 따라서 <국토부:ORG>는 운항이 재개되는 즉시 항공기 운항은 안전 운항에 지장이 없는 범위 내에서 시행이 가능하도록 정기 및 임시 항공편을 증편하여 수송용량을 확대하는 비상수송대책을 마련할 계획이다.
따라서	따라서	MAJ	O
_	_	_	O
국토	국토	NNG	B-ORG
부	부	XSN	I-ORG
는	는	JX	O
_	_	_	O
운항	운항	NNG	O
이	이	JKS	O
_	_	_	O
재개되	재개되	VV	O
는	는	ETM	O
_	_	_	O
즉시	즉시	NNG	O
_	_	_	O
항공기	항공기	NNG	O
_	_	_	O
운항	운항	NNG	O
은	은	JX	O
_	_	_	O
안전	안전	NNG	O
_	_	_	O
운항	운항	NNG	O
에	에	JKB	O
_	_	_	O
지장	지장	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
범위	범위	NNG	O
_	_	_	O
내	내	NNB	O
에서	에서	JKB	O
_	_	_	O
시행	시행	NNG	O
이	이	JKS	O
_	_	_	O
가능하	가능하	VA	O
도록	도록	EC	O
_	_	_	O
정기	정기	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
임시	임시	NNG	O
_	_	_	O
항공편	항공편	NNG	O
을	을	JKO	O
_	_	_	O
증편	증편	NNG	O
하	하	XSV	O
여	여	EC	O
_	_	_	O
수송	수송	NNG	O
용량	용량	NNG	O
을	을	JKO	O
_	_	_	O
확대하	확대하	VV	O
는	는	ETM	O
_	_	_	O
비상	비상	NNG	O
수송	수송	NNG	O
대책	대책	NNG	O
을	을	JKO	O
_	_	_	O
마련할	마련하+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘막돼먹은 영애씨 시즌14’ 조현영, 섹시한 가슴골 과시 ‘아찔’
## ‘<막돼먹은 영애씨 시즌14:POH>’ <조현영:PER>, 섹시한 가슴골 과시 ‘아찔’
‘	‘	SS	O
막돼먹	막돼먹	VA	B-POH
은	은	ETM	I-POH
_	_	_	I-POH
영애	영애	NNP	I-POH
씨	씨	NNB	I-POH
_	_	_	I-POH
시즌	시즌	NNG	I-POH
14	14	SN	I-POH
’	’	SS	O
_	_	_	O
조현영	조현영	NNP	B-PER
,	,	SP	O
_	_	_	O
섹시한	섹시하+ㄴ	VA+ETM	O
_	_	_	O
가슴골	가슴골	NNG	O
_	_	_	O
과시	과시	NNG	O
_	_	_	O
‘	‘	SS	O
아찔	아찔	NNG	O
’	’	SS	O

## 7
## 지난 3월 용인시 아파트 3.3㎡당 평균 전셋값은 787만 원으로 작년 동월(705만원) 대비 11.6%나 올랐다.
## 지난 <3월:DAT> <용인시:LOC> 아파트 <3.3㎡:NOH>당 평균 전셋값은 <787만 원:MNY>으로 작년 동월(<705만원:MNY>) 대비 <11.6%:PNT>나 올랐다.
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
용인시	용인시	NNP	B-LOC
_	_	_	O
아파트	아파트	NNG	O
_	_	_	O
3.3	3.3	SN	B-NOH
㎡	㎡	SW	I-NOH
당	당	XSN	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
전셋값	전셋값	NNG	O
은	은	JX	O
_	_	_	O
787	787	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
으로	으로	JKB	O
_	_	_	O
작년	작년	NNG	O
_	_	_	O
동월	동월	NNG	O
(	(	SS	O
705	705	SN	B-MNY
만	만	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
11.6	11.6	SN	B-PNT
%	%	SW	I-PNT
나	나	JX	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 3년여밖에 남지 않은 올림픽의 성공 개최를 위한 방안을 2회에 걸쳐 모색해 본다.
## <3년여:DUR>밖에 남지 않은 올림픽의 성공 개최를 위한 방안을 <2회:NOH>에 걸쳐 모색해 본다.
3	3	SN	B-DUR
년	년	NNB	I-DUR
여	여	XSN	I-DUR
밖에	밖에	JX	O
_	_	_	O
남	남	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
올림픽	올림픽	NNG	O
의	의	JKG	O
_	_	_	O
성공	성공	NNG	O
_	_	_	O
개최	개최	NNG	O
를	를	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
방안	방안	NNG	O
을	을	JKO	O
_	_	_	O
2	2	SN	B-NOH
회	회	NNB	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
모색해	모색하+여	VV+EC	O
_	_	_	O
본다	보+ㄴ다	VX+EF	O
.	.	SF	O

## 9
## 서울역에서 KTX로 부산에 가서 자유관광을 즐긴 뒤 한일 페리선 뉴카멜리아호로 일본 유후인과 벳부의 온천을 즐기는 2박3일의 일정이다.
## <서울역:LOC>에서 <KTX:POH>로 <부산:LOC>에 가서 자유관광을 즐긴 뒤 <한일:ORG> 페리선 <뉴카멜리아호:POH>로 <일본:LOC> <유후인:LOC>과 <벳부:LOC>의 온천을 즐기는 <2박:NOH><3일:NOH>의 일정이다.
서울역	서울역	NNP	B-LOC
에서	에서	JKB	O
_	_	_	O
KTX	KTX	SL	B-POH
로	로	JKB	O
_	_	_	O
부산	부산	NNP	B-LOC
에	에	JKB	O
_	_	_	O
가서	가+아서	VV+EC	O
_	_	_	O
자유	자유	NNG	O
관광	관광	NNG	O
을	을	JKO	O
_	_	_	O
즐긴	즐기+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
한일	한일	NNP	B-ORG
_	_	_	O
페리	페리	NNG	O
선	선	XSN	O
_	_	_	O
뉴	뉴	NNG	B-POH
카멜리아	카멜리아	NNP	I-POH
호	호	NNB	I-POH
로	로	JKB	O
_	_	_	O
일본	일본	NNP	B-LOC
_	_	_	O
유후인	유후인	NNP	B-LOC
과	과	JC	O
_	_	_	O
벳부	벳부	NNP	B-LOC
의	의	JKG	O
_	_	_	O
온천	온천	NNG	O
을	을	JKO	O
_	_	_	O
즐기	즐기	VV	O
는	는	ETM	O
_	_	_	O
2	2	SN	B-NOH
박	박	NNB	I-NOH
3	3	SN	B-NOH
일	일	NNB	I-NOH
의	의	JKG	O
_	_	_	O
일정	일정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## LG, 장애인 구한 해병대원에게 장학금 및 채용기회 제공
## <LG:ORG>, 장애인 구한 해병대원에게 장학금 및 채용기회 제공
LG	LG	SL	B-ORG
,	,	SP	O
_	_	_	O
장애인	장애인	NNG	O
_	_	_	O
구한	구하+ㄴ	VV+ETM	O
_	_	_	O
해병대원	해병대원	NNG	O
에게	에게	JKB	O
_	_	_	O
장학금	장학금	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
채용	채용	NNG	O
기회	기회	NNG	O
_	_	_	O
제공	제공	NNG	O

## 11
## 지난해 10월부터 지난달 28일까지 7723건의 신생아 소두증 의심 사례가 보고됐고 1489건은 확진 판정을 받았다.
## 지난해 <10월:DAT>부터 지난달 <28일:DAT>까지 <7723건:NOH>의 신생아 소두증 의심 사례가 보고됐고 <1489건:NOH>은 확진 판정을 받았다.
지난해	지난해	NNG	O
_	_	_	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
지난달	지난달	NNG	O
_	_	_	O
28	28	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
7723	7723	SN	B-NOH
건	건	NNB	I-NOH
의	의	JKG	O
_	_	_	O
신생아	신생아	NNG	O
_	_	_	O
소두증	소두증	NNG	O
_	_	_	O
의심	의심	NNG	O
_	_	_	O
사례	사례	NNG	O
가	가	JKS	O
_	_	_	O
보고	보고되	VV	O
됐	었	EP	O
고	고	EC	O
_	_	_	O
1489	1489	SN	B-NOH
건	건	NNB	I-NOH
은	은	JX	O
_	_	_	O
확진	확진	NNG	O
_	_	_	O
판정	판정	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 영국 왕위 계승 서열 3위인 조지 왕자(2)가 내년 1월부터 서민들이 다니는 유아원에 다닌다고 켄싱턴 궁이 18일(현지 시간) 발표했다.
## <영국:ORG> 왕위 계승 서열 <3위:NOH>인 <조지 왕자:PER>(<2:NOH>)가 내년 <1월:DAT>부터 서민들이 다니는 유아원에 다닌다고 <켄싱턴:ORG> 궁이 <18일:DAT>(현지 시간) 발표했다.
영국	영국	NNP	B-ORG
_	_	_	O
왕위	왕위	NNG	O
_	_	_	O
계승	계승	NNG	O
_	_	_	O
서열	서열	NNG	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
조지	조지	NNP	B-PER
_	_	_	I-PER
왕자	왕자	NNG	I-PER
(	(	SS	O
2	2	SN	B-NOH
)	)	SS	O
가	가	JKS	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
서민	서민	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
다니	다니	VV	O
는	는	ETM	O
_	_	_	O
유아원	유아원	NNG	O
에	에	JKB	O
_	_	_	O
다닌다고	다니+ㄴ다고	VV+EC	O
_	_	_	O
켄싱턴	켄싱턴	NNP	B-ORG
_	_	_	O
궁	궁	NNG	O
이	이	JKS	O
_	_	_	O
18	18	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
현지	현지	NNG	O
_	_	_	O
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 아시아나항공은 임직원들이 가족과 함께 전통시장을 방문하는 프로그램을 마련했다.
## <아시아나항공:ORG>은 임직원들이 가족과 함께 전통시장을 방문하는 프로그램을 마련했다.
아시아나항공	아시아나항공	NNP	B-ORG
은	은	JX	O
_	_	_	O
임직원	임직원	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
가족	가족	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
전통	전통	NNG	O
시장	시장	NNG	O
을	을	JKO	O
_	_	_	O
방문하	방문하	VV	O
는	는	ETM	O
_	_	_	O
프로그램	프로그램	NNG	O
을	을	JKO	O
_	_	_	O
마련	마련하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 반면 캔자스시티 네드 요스트 감독은 2점차 리드를 잡자, 8회말부터 마무리 웨이드 데이비스를 마운드에 올렸다.
## 반면 <캔자스시티:ORG> <네드 요스트:PER> 감독은 <2점:NOH>차 리드를 잡자, <8회:NOH>말부터 마무리 <웨이드 데이비스:PER>를 마운드에 올렸다.
반면	반면	NNG	O
_	_	_	O
캔자스시티	캔자스시티	NNP	B-ORG
_	_	_	O
네드	네드	NNP	B-PER
_	_	_	I-PER
요스트	요스트	NNP	I-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
2	2	SN	B-NOH
점	점	NNB	I-NOH
차	차	NNG	O
_	_	_	O
리드	리드	NNG	O
를	를	JKO	O
_	_	_	O
잡	잡	VV	O
자	자	EC	O
,	,	SP	O
_	_	_	O
8	8	SN	B-NOH
회	회	NNB	I-NOH
말	말	NNB	O
부터	부터	JX	O
_	_	_	O
마무리	마무리	NNG	O
_	_	_	O
웨이드	웨이드	NNP	B-PER
_	_	_	I-PER
데이비스	데이비스	NNP	I-PER
를	를	JKO	O
_	_	_	O
마운드	마운드	NNG	O
에	에	JKB	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 지난해 투자액(5조7000억원)보다 30% 이상 늘어난 역대 최대다.
## 지난해 투자액(<5조7000억원:MNY>)보다 <30%:PNT> 이상 늘어난 역대 최대다.
지난해	지난해	NNG	O
_	_	_	O
투자	투자	NNG	O
액	액	XSN	O
(	(	SS	O
5	5	SN	B-MNY
조	조	NNG	I-MNY
7000	7000	SN	I-MNY
억	억	NR	I-MNY
원	원	NNB	I-MNY
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
30	30	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
이상	이상	NNG	O
_	_	_	O
늘어난	늘어나+ㄴ	VV+ETM	O
_	_	_	O
역대	역대	NNG	O
_	_	_	O
최대	최대+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

