## 1
## 패전일엔 ‘가미카제’ 비행장 방문… 한일 우호발언 하더니 극우행보
## <패전일:DAT>엔 ‘<가미카제:POH>’ 비행장 방문… <한:ORG><일:ORG> 우호발언 하더니 극우행보
패전	패전	NNG	B-DAT
일어난	일어나+ㄴ	VV+ETM	O
_	_	_	O
후	후	NNG	O
_	_	_	O
의문	의문	NNG	O
의	의	JKG	O
_	_	_	O
은색	은색	NNG	O
_	_	_	O
구두	구두	NNG	O
를	를	JKO	O
_	_	_	O
손	손	NNG	O
에	에	JKB	O
_	_	_	O
잡	잡	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 29기까기 배출된 6급 남성공무원연수교육에는 시설 미비 등을 이유로 여성을 받아들이지 않았기 때문이다.
## <29기:NOH>까기 배출된 <6급:NOH> 남성공무원연수교육에는 시설 미비 등을 이유로 여성을 받아들이지 않았기 때문이다.
29	29	SN	B-NOH
기	기	ETN	I-NOH
까기	까지	JX	O
_	_	_	O
배출된	배출되+ㄴ	VV+ETM	O
_	_	_	O
6	6	SN	B-NOH
급	급	NNG	I-NOH
_	_	_	O
남성	남성	NNG	O
공무원	공무원	NNG	O
연수	연수	NNG	O
교육	교육	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
시설	시설	NNG	O
_	_	_	O
미비	미비	NNG	O
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
이유	이유	NNG	O
로	로	JKB	O
_	_	_	O
여성	여성	NNG	O
을	을	JKO	O
_	_	_	O
받아들이	받아들이	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
기	기	ETN	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 한재훈 LS산전 사장은 “아직 수익 모델이 불분명한 만큼 정부가 초기 기술 개발과 투자를 지원하고 규제와 제도를 획기적으로 개선해야 한다”며 “예를 들어 전력저장장치를 비상발전기로 사용하기 위해서는 소방법, 건축법 등 많은 규제를 함께 풀어야 한다”고 지적했다.
## <한재훈:PER> <LS산전:ORG> 사장은 “아직 수익 모델이 불분명한 만큼 정부가 초기 기술 개발과 투자를 지원하고 규제와 제도를 획기적으로 개선해야 한다”며 “예를 들어 전력저장장치를 비상발전기로 사용하기 위해서는 소방법, 건축법 등 많은 규제를 함께 풀어야 한다”고 지적했다.
한재훈	한재훈	NNP	B-PER
_	_	_	O
LS	LS	SL	B-ORG
산전	산전	NNG	I-ORG
_	_	_	O
사장	사장	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
아직	아직	MAG	O
_	_	_	O
수익	수익	NNG	O
_	_	_	O
모델	모델	NNG	O
이	이	JKS	O
_	_	_	O
불분명한	불분명하+ㄴ	VA+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
정부	정부	NNG	O
가	가	JKS	O
_	_	_	O
초기	초기	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
개발	개발	NNG	O
과	과	JC	O
_	_	_	O
투자	투자	NNG	O
를	를	JKO	O
_	_	_	O
지원하	지원하	VV	O
고	고	EC	O
_	_	_	O
규제	규제	NNG	O
와	와	JC	O
_	_	_	O
제도	제도	NNG	O
를	를	JKO	O
_	_	_	O
획기적	획기적	NNG	O
으로	으로	JKB	O
_	_	_	O
개선해야	개선하+여야	VV+EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
예	예	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
전력	전력	NNG	O
저장	저장	NNG	O
장치	장치	NNG	O
를	를	JKO	O
_	_	_	O
비상	비상	NNG	O
발전기	발전기	NNG	O
로	로	JKB	O
_	_	_	O
사용하	사용하	VV	O
기	기	ETN	O
_	_	_	O
위해서	위하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
소방법	소방법	NNG	O
,	,	SP	O
_	_	_	O
건축법	건축법	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
규제	규제	NNG	O
를	를	JKO	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
풀	풀	VV	O
어야	어야	EC	O
_	_	_	O
한다	하+ㄴ다	VX+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 이날 오후 송 의원은 안 의원을 따라 탈당하지 않고 새정치연합 잔류를 선언했다.
## 이날 오후 <송:PER> 의원은 <안:PER> 의원을 따라 탈당하지 않고 새정치연합 잔류를 선언했다.
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	O
_	_	_	O
송	송	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
은	은	JX	O
_	_	_	O
안	안	NNP	B-PER
_	_	_	O
의원	의원	NNG	O
을	을	JKO	O
_	_	_	O
따	따르	VV	O
라	아	EC	O
_	_	_	O
탈당하	탈당하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
새정치연합	새정치연합	NNP	O
_	_	_	O
잔류	잔류	NNG	O
를	를	JKO	O
_	_	_	O
선언	선언하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘컬투쇼’ 심형탁은 “겨드랑이 털도 없고 대체적으로 몸에 털이 없는 편이다.
## ‘<컬투쇼:POH>’ <심형탁:PER>은 “겨드랑이 털도 없고 대체적으로 몸에 털이 없는 편이다.
‘	‘	SS	O
컬투쇼	컬투쇼	NNP	B-POH
’	’	SS	O
_	_	_	O
심형탁	심형탁	NNG	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
겨드랑이	겨드랑이	NNG	O
_	_	_	O
털	털	NNG	O
도	도	JX	O
_	_	_	O
없	없	VA	O
고	고	EC	O
_	_	_	O
대체적	대체적	NNG	O
으로	으로	JKB	O
_	_	_	O
몸	몸	NNG	O
에	에	JKB	O
_	_	_	O
털	털	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
편	편	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 노년층의 입원 질환 1위 백내장은 매년 진료받는 환자가 늘어나고 있는 추세다.
## 노년층의 입원 질환 <1위:NOH> 백내장은 매년 진료받는 환자가 늘어나고 있는 추세다.
노년	노년	NNG	O
층	층	XSN	O
의	의	JKG	O
_	_	_	O
입원	입원	NNG	O
_	_	_	O
질환	질환	NNG	O
_	_	_	O
1	1	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
백내장	백내장	NNG	O
은	은	JX	O
_	_	_	O
매년	매년	MAG	O
_	_	_	O
진료	진료	NNG	O
받	받	VV	O
는	는	ETM	O
_	_	_	O
환자	환자	NNG	O
가	가	JKS	O
_	_	_	O
늘어나	늘어나	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는	는	ETM	O
_	_	_	O
추세	추세+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

## 10
## DJI 케어는 아시아 전체에 적용할 예정이라 조금만 더 기다려 달라”고 언급했다.
## <DJI 케어:ORG>는 <아시아:LOC> 전체에 적용할 예정이라 조금만 더 기다려 달라”고 언급했다.
DJI	DJI	SL	B-ORG
_	_	_	I-ORG
케어	케어	NNG	I-ORG
는	는	JX	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
전체	전체	NNG	O
에	에	JKB	O
_	_	_	O
적용할	적용하+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
조금	조금	NNG	O
만	만	JX	O
_	_	_	O
더	더	MAG	O
_	_	_	O
기다려	기다리+어	VV+EC	O
_	_	_	O
달	달	VX	O
라	라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
언급	언급하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

