## 1
## 최 창업주에 이어 회장을 맡은 고 최종현 회장은 1973년 취임하며 이 같은 방침을 내세웠다.
## <최:PER> 창업주에 이어 회장을 맡은 고 <최종현:PER> 회장은 <1973년:DAT> 취임하며 이 같은 방침을 내세웠다.
최	최	NNP	B-PER
함께	함께	MAG	O
_	_	_	O
노란색	노란색	NNG	O
_	_	_	O
배경	배경	NNG	O
에	에	JKB	O
_	_	_	O
노란색	노란색	NNG	O
_	_	_	O
의상	의상	NNP	O
의	의	JKG	O
_	_	_	O
사진	사진	NNG	O
을	을	JKO	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이번에 공개된 ‘비비드’에는 타이틀 곡 ‘너나 잘해’ 비롯해 총 10곡이 수록되어 있으며, 락발라드, 발라드, 레트로소울, 팝, R&B 등 다양한 장르의 음악이 담겨있다.
## 이번에 공개된 ‘<비비드:POH>’에는 타이틀 곡 ‘<너나 잘해:POH>’ 비롯해 총 <10곡:NOH>이 수록되어 있으며, 락발라드, 발라드, 레트로소울, 팝, R&B 등 다양한 장르의 음악이 담겨있다.
이번	이번	NNG	O
에	에	JKB	O
_	_	_	O
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
비비드	비비드	NNP	B-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
타이틀	타이틀	NNG	O
_	_	_	O
곡	곡	NNG	O
_	_	_	O
‘	‘	SS	O
너	너	NP	B-POH
나	나	JX	I-POH
_	_	_	I-POH
잘해	잘하+여	VV+EF	I-POH
’	’	SS	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
총	총	MM	O
_	_	_	O
10	10	SN	B-NOH
곡	곡	NNG	I-NOH
이	이	JKS	O
_	_	_	O
수록되	수록되	VV	O
어	어	EC	O
_	_	_	O
있	있	VX	O
으며	으며	EC	O
,	,	SP	O
_	_	_	O
락	락	NNG	O
발라드	발라드	NNG	O
,	,	SP	O
_	_	_	O
발라드	발라드	NNG	O
,	,	SP	O
_	_	_	O
레트	레트	NNG	O
로	로	XSN	O
소울	소울	NNG	O
,	,	SP	O
_	_	_	O
팝	팝	NNG	O
,	,	SP	O
_	_	_	O
R	R	SL	O
&	&	SW	O
B	B	SL	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
장르	장르	NNG	O
의	의	JKG	O
_	_	_	O
음악	음악	NNG	O
이	이	JKS	O
_	_	_	O
담겨	담기+어	VV+EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## 이날 공개된 ‘너나잘해’ 뮤직비디오 속에서 에일리는 자존감 강한 여성을 연기했으며 가죽 핫팬츠와 망사 스타킹, 밀착 드레스 등으로 볼륨감 넘치는 몸매를 뽐내는 한편 강렬한 카리스마를 내뿜었다.
## 이날 공개된 ‘<너나잘해:POH>’ 뮤직비디오 속에서 <에일리:PER>는 자존감 강한 여성을 연기했으며 가죽 핫팬츠와 망사 스타킹, 밀착 드레스 등으로 볼륨감 넘치는 몸매를 뽐내는 한편 강렬한 카리스마를 내뿜었다.
이날	이날	NNG	O
_	_	_	O
공개된	공개되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
너	너	NP	B-POH
나잘해	나잘하	VA	I-POH
’	’	SS	O
_	_	_	O
뮤직	뮤직	NNG	O
비디오	비디오	NNG	O
_	_	_	O
속	속	NNG	O
에서	에서	JKB	O
_	_	_	O
에일리	에일리	NNP	B-PER
는	는	JX	O
_	_	_	O
자존	자존	NNG	O
감	감	XSN	O
_	_	_	O
강한	강하+ㄴ	VA+ETM	O
_	_	_	O
여성	여성	NNG	O
을	을	JKO	O
_	_	_	O
연기	연기하	VV	O
했	였	EP	O
으며	으며	EC	O
_	_	_	O
가죽	가죽	NNG	O
_	_	_	O
핫팬츠	핫팬츠	NNG	O
와	와	JC	O
_	_	_	O
망사	망사	NNG	O
_	_	_	O
스타킹	스타킹	NNG	O
,	,	SP	O
_	_	_	O
밀착	밀착	NNG	O
_	_	_	O
드레스	드레스	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
볼륨	볼륨	NNG	O
감	감	XSN	O
_	_	_	O
넘치	넘치	VV	O
는	는	ETM	O
_	_	_	O
몸매	몸매	NNG	O
를	를	JKO	O
_	_	_	O
뽐내	뽐내	VV	O
는	는	ETM	O
_	_	_	O
한편	한편	NNG	O
_	_	_	O
강렬한	강렬하+ㄴ	VA+ETM	O
_	_	_	O
카리스마	카리스마	NNG	O
를	를	JKO	O
_	_	_	O
내뿜	내뿜	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 한편 에일리는 내일(10월1일) 방송되는 Mnet ‘엠카운트다운’을 통해 컴백 무대를 갖고 정규앨범 활동에 들어간다.
## 한편 <에일리:PER>는 내일(<10월1일:DAT>) 방송되는 <Mnet:POH> ‘<엠카운트다운:POH>’을 통해 컴백 무대를 갖고 정규앨범 활동에 들어간다.
한편	한편	MAG	O
_	_	_	O
에일리	에일리	NNP	B-PER
는	는	JX	O
_	_	_	O
내일	내일	NNG	O
(	(	SS	O
10	10	SN	B-DAT
월	월	NNB	I-DAT
1	1	SN	I-DAT
일	일	NNB	I-DAT
)	)	SS	O
_	_	_	O
방송되	방송되	VV	O
는	는	ETM	O
_	_	_	O
Mnet	Mnet	SL	B-POH
_	_	_	O
‘	‘	SS	O
엠	엠	NNG	B-POH
카운트다운	카운트다운	NNG	I-POH
’	’	SS	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
컴백	컴백	NNG	O
_	_	_	O
무대	무대	NNG	O
를	를	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
정규	정규	NNG	O
앨범	앨범	NNG	O
_	_	_	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
들어간다	들어가+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 사랑해 밥차는 서부정류장에서 쫓겨나면 걸어서 10분 거리에 사비를 들여 실내급식소를 임시로 만들 계획이다.
## 사랑해 밥차는 서부정류장에서 쫓겨나면 걸어서 <10분:NOH> 거리에 사비를 들여 실내급식소를 임시로 만들 계획이다.
사랑해	사랑하+여	VV+EC	O
_	_	_	O
밥	밥	NNG	O
차	차	NNG	O
는	는	JX	O
_	_	_	O
서부	서부	NNG	O
정류장	정류장	NNG	O
에서	에서	JKB	O
_	_	_	O
쫓겨나	쫓겨나	VV	O
면	면	EC	O
_	_	_	O
걸	걷	VV	O
어서	어서	EC	O
_	_	_	O
10	10	SN	B-NOH
분	분	NNB	I-NOH
_	_	_	O
거리	거리	NNG	O
에	에	JKB	O
_	_	_	O
사비	사비	NNG	O
를	를	JKO	O
_	_	_	O
들	들이	VV	O
여	어	EC	O
_	_	_	O
실내	실내	NNG	O
급식소	급식소	NNG	O
를	를	JKO	O
_	_	_	O
임시	임시	NNG	O
로	로	JKB	O
_	_	_	O
만들	만들+ㄹ	VV+ETM	O
_	_	_	O
계획	계획	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 13일 3집 ‘메이드’를 낸 빅뱅이 같은 날 언론 인터뷰에서 “한때 멤버들의 동반 입대를 고려했다”고 말했다.
## <13일:DAT> <3집:NOH> ‘<메이드:POH>’를 낸 <빅뱅:ORG>이 같은 날 언론 인터뷰에서 “한때 멤버들의 동반 입대를 고려했다”고 말했다.
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
3	3	SN	B-NOH
집	집	NNB	I-NOH
_	_	_	O
‘	‘	SS	O
메이드	메이드	NNG	B-POH
’	’	SS	O
를	를	JKO	O
_	_	_	O
낸	내+ㄴ	VV+ETM	O
_	_	_	O
빅뱅	빅뱅	NNP	B-ORG
이	이	JKS	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
날	날	NNG	O
_	_	_	O
언론	언론	NNG	O
_	_	_	O
인터뷰	인터뷰	NNG	O
에서	에서	JKB	O
_	_	_	O
“	“	SS	O
한때	한때	NNG	O
_	_	_	O
멤버	멤버	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
동반	동반	NNG	O
_	_	_	O
입대	입대	NNG	O
를	를	JKO	O
_	_	_	O
고려	고려하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 아칸소대학을 졸업한 볼싱어는 2010년 신인드래프트 10라운드에서 애리조나에 지명됐다.
## <아칸소대학:ORG>을 졸업한 <볼싱어:PER>는 <2010년:DAT> 신인드래프트 <10라운드:NOH>에서 <애리조나:ORG>에 지명됐다.
아칸소대학	아칸소대학	NNP	B-ORG
을	을	JKO	O
_	_	_	O
졸업한	졸업하+ㄴ	VV+ETM	O
_	_	_	O
볼	볼	NNG	B-PER
싱어	싱어	NNG	I-PER
는	는	JX	O
_	_	_	O
2010	2010	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
신인	신인	NNG	O
드래프트	드래프트	NNG	O
_	_	_	O
10	10	SN	B-NOH
라운드	라운드	NNG	I-NOH
에서	에서	JKB	O
_	_	_	O
애리조나	애리조나	NNP	B-ORG
에	에	JKB	O
_	_	_	O
지명	지명되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

