## 1
## LH에 따르면 임대조건은 임대보증금 5000만 원, 월임대료 48만 원이다.
## <LH:ORG>에 따르면 임대조건은 임대보증금 <5000만 원:MNY>, 월임대료 <48만 원:MNY>이다.
LH	LH	SL	B-ORG
## “이건 뭐야? 주문 더 들어왔어?” “아니, 이건 내 거야. 어렸을 때 밤이면 엄마 몰래 냉장고에서 꺼내 먹던 게 있었어. 이거였어. 치즈와 햄.” 애쉬는 크로크무슈를 우적우적 씹었다.
## “이건 뭐야? 주문 더 들어왔어?” “아니, 이건 내 거야. 어렸을 때 밤이면 엄마 몰래 냉장고에서 꺼내 먹던 게 있었어. 이거였어. 치즈와 햄.” <애쉬:PER>는 크로크무슈를 우적우적 씹었다.
“	“	SS	O
이건	이것+ㄴ	NP+JX	O
_	_	_	O
뭐	뭐+이	NP+VCP	O
야	야	EF	O
?	?	SF	O
_	_	_	O
주문	주문	NNG	O
_	_	_	O
더	더	MAG	O
_	_	_	O
들어	들어오	VV	O
왔	았	EP	O
어	어	EF	O
?	?	SF	O
”	”	SS	O
_	_	_	O
“	“	SS	O
아니	아니	IC	O
,	,	SP	O
_	_	_	O
이건	이것+ㄴ	NP+JX	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
거	것+이	NNB+VCP	O
야	야	EF	O
.	.	SF	O
_	_	_	O
어	어리	VA	O
렸	었	EP	O
을	을	ETM	O
_	_	_	O
때	때	NNG	O
_	_	_	O
밤	밤	NNG	O
이	이	VCP	O
면	면	EC	O
_	_	_	O
엄마	엄마	NNG	O
_	_	_	O
몰래	몰래	MAG	O
_	_	_	O
냉장고	냉장고	NNG	O
에서	에서	JKB	O
_	_	_	O
꺼내	꺼내+어	VV+EC	O
_	_	_	O
먹	먹	VV	O
던	던	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
있	있	VA	O
었	었	EP	O
어	어	EF	O
.	.	SF	O
_	_	_	O
이거	이거+이	NP+VCP	O
였	었	EP	O
어	어	EF	O
.	.	SF	O
_	_	_	O
치즈	치즈	NNG	O
와	와	JC	O
_	_	_	O
햄	햄	NNG	O
.	.	SF	O
”	”	SS	O
_	_	_	O
애쉬	애쉬	NNP	B-PER
는	는	JX	O
_	_	_	O
크로	크로	NNP	O
크	크	VA	O
무슈	무슈	NNG	O
를	를	JKO	O
_	_	_	O
우적우적	우적우적	MAG	O
_	_	_	O
씹	씹	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 중국은 세 가지 이유를 들어 강력 반발했다.
## <중국:ORG>은 세 가지 이유를 들어 강력 반발했다.
중국	중국	NNP	B-ORG
은	은	JX	O
_	_	_	O
세	세	MM	O
_	_	_	O
가지	가지	NNB	O
_	_	_	O
이유	이유	NNG	O
를	를	JKO	O
_	_	_	O
들	들	VV	O
어	어	EC	O
_	_	_	O
강력	강력	NNG	O
_	_	_	O
반발	반발하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 3회 째를 맞는 이번 대회는 10개 프로 팀과 상무, 대학 상위 5개 팀 정예 선수가 총출동한다.
## <3회:NOH> 째를 맞는 이번 대회는 <10개:NOH> 프로 팀과 상무, 대학 상위 <5개:NOH> 팀 정예 선수가 총출동한다.
3	3	SN	B-NOH
회	회	NNB	I-NOH
_	_	_	O
째	째	XSN	O
를	를	JKO	O
_	_	_	O
맞	맞	VV	O
는	는	ETM	O
_	_	_	O
이번	이번	NNG	O
_	_	_	O
대회	대회	NNG	O
는	는	JX	O
_	_	_	O
10	10	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
프로	프로	NNG	O
_	_	_	O
팀	팀	NNG	O
과	과	JC	O
_	_	_	O
상무	상무	NNG	O
,	,	SP	O
_	_	_	O
대학	대학	NNG	O
_	_	_	O
상위	상위	NNG	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
팀	팀	NNG	O
_	_	_	O
정예	정예	NNG	O
_	_	_	O
선수	선수	NNG	O
가	가	JKS	O
_	_	_	O
총출동한다	총출동하+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## ‘암살’과 ‘베테랑’이 맞붙었던 여름처럼 ‘히말라야’와 ‘대호’가 16일 나란히 개봉한다.
## ‘<암살:POH>’과 ‘<베테랑:POH>’이 맞붙었던 여름처럼 ‘<히말라야:POH>’와 ‘<대호:POH>’가 <16일:DAT> 나란히 개봉한다.
‘	‘	SS	O
암살	암살	NNG	B-POH
’	’	SS	O
과	과	JC	O
_	_	_	O
‘	‘	SS	O
베테랑	베테랑	NNG	B-POH
’	’	SS	O
이	이	JKS	O
_	_	_	O
맞붙	맞붙	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
여름	여름	NNG	O
처럼	처럼	JKB	O
_	_	_	O
‘	‘	SS	O
히말라야	히말라야	NNP	B-POH
’	’	SS	O
와	와	JC	O
_	_	_	O
‘	‘	SS	O
대호	대호	NNG	B-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
16	16	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
나란히	나란히	MAG	O
_	_	_	O
개봉한다	개봉하+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## [2017 대학가는 길]수능 백분위 점수 활용… 교차지원 가능
## [<2017:DAT> 대학가는 길]수능 백분위 점수 활용… 교차지원 가능
[	[	SS	O
2017	2017	SN	B-DAT
_	_	_	O
대학가	대학가	NNG	O
는	는	JX	O
_	_	_	O
길	길	NNG	O
]	]	SS	O
수능	수능	NNG	O
_	_	_	O
백분위	백분위	NNG	O
_	_	_	O
점수	점수	NNG	O
_	_	_	O
활용	활용	NNG	O
…	…	SE	O
_	_	_	O
교차	교차	NNG	O
지원	지원	NNG	O
_	_	_	O
가능	가능	NNG	O

## 9
## K팝과 국내 드라마가 중국과 일본을 포함한 해외에서 꾸준히 인기를 끌고 있어 여행지 선호도에도 긍정적인 영향을 끼친 것으로 분석된다.
## K팝과 국내 드라마가 <중국:ORG>과 <일본:ORG>을 포함한 해외에서 꾸준히 인기를 끌고 있어 여행지 선호도에도 긍정적인 영향을 끼친 것으로 분석된다.
K	K	SL	O
팝	팝	NNG	O
과	과	JC	O
_	_	_	O
국내	국내	NNG	O
_	_	_	O
드라마	드라마	NNG	O
가	가	JKS	O
_	_	_	O
중국	중국	NNP	B-ORG
과	과	JC	O
_	_	_	O
일본	일본	NNP	B-ORG
을	을	JKO	O
_	_	_	O
포함한	포함하+ㄴ	VV+ETM	O
_	_	_	O
해외	해외	NNG	O
에서	에서	JKB	O
_	_	_	O
꾸준히	꾸준히	MAG	O
_	_	_	O
인기	인기	NNG	O
를	를	JKO	O
_	_	_	O
끌	끌	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
어	어	EC	O
_	_	_	O
여행지	여행지	NNG	O
_	_	_	O
선호도	선호도	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
긍정적	긍정적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
영향	영향	NNG	O
을	을	JKO	O
_	_	_	O
끼친	끼치+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
분석된다	분석되+ㄴ다	VV+EF	O
.	.	SF	O

## 10
## 김효진 교보증권 책임연구원은 “원유 공급 과잉이 근본적으로 해소되기 전에는 유가가 상승세로 돌아설 가능성은 낮다”며 “당분간 유가 변동성이 커질 것”이라고 말했다.
## <김효진:PER> <교보증권:ORG> 책임연구원은 “원유 공급 과잉이 근본적으로 해소되기 전에는 유가가 상승세로 돌아설 가능성은 낮다”며 “당분간 유가 변동성이 커질 것”이라고 말했다.
김효진	김효진	NNP	B-PER
_	_	_	O
교보증권	교보증권	NNP	B-ORG
_	_	_	O
책임	책임	NNG	O
연구원	연구원	NNG	O
은	은	JX	O
_	_	_	O
“	“	SS	O
원유	원유	NNG	O
_	_	_	O
공급	공급	NNG	O
_	_	_	O
과잉	과잉	NNG	O
이	이	JKS	O
_	_	_	O
근본적	근본적	NNG	O
으로	으로	JKB	O
_	_	_	O
해소되	해소되	VV	O
기	기	ETN	O
_	_	_	O
전	전	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
유가	유가	NNG	O
가	가	JKS	O
_	_	_	O
상승세	상승세	NNG	O
로	로	JKB	O
_	_	_	O
돌아설	돌아서+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
은	은	JX	O
_	_	_	O
낮	낮	VA	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
당분간	당분간	MAG	O
_	_	_	O
유가	유가	NNG	O
_	_	_	O
변동성	변동성	NNG	O
이	이	JKS	O
_	_	_	O
커질	커지+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 이민화 KAIST 교수는 “인류는 과학 기술의 발전에 힘입어 수퍼맨으로 가는 초기 단계에 진입했다”며 “그 시작은 바로 스마트폰의 등장”이라고 말했다.
## <이민화:PER> <KAIST:ORG> 교수는 “인류는 과학 기술의 발전에 힘입어 수퍼맨으로 가는 초기 단계에 진입했다”며 “그 시작은 바로 스마트폰의 등장”이라고 말했다.
이민화	이민화	NNP	B-PER
_	_	_	O
KAIST	KAIST	SL	B-ORG
_	_	_	O
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
인류	인류	NNG	O
는	는	JX	O
_	_	_	O
과학	과학	NNG	O
_	_	_	O
기술	기술	NNG	O
의	의	JKG	O
_	_	_	O
발전	발전	NNG	O
에	에	JKB	O
_	_	_	O
힘입	힘입	VV	O
어	어	EC	O
_	_	_	O
수퍼맨	수퍼맨	NNG	O
으로	으로	JKB	O
_	_	_	O
가	가	VV	O
는	는	ETM	O
_	_	_	O
초기	초기	NNG	O
_	_	_	O
단계	단계	NNG	O
에	에	JKB	O
_	_	_	O
진입	진입하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
그	그	MM	O
_	_	_	O
시작	시작	NNG	O
은	은	JX	O
_	_	_	O
바로	바로	MAG	O
_	_	_	O
스마트폰	스마트폰	NNG	O
의	의	JKG	O
_	_	_	O
등장	등장	NNG	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 10대 기업을 제외하면 대부분 기업이 기부에 인색하고 특히 개인기부 문화가 여전히 취약하다고 지적했다.
## <10대:NOH> 기업을 제외하면 대부분 기업이 기부에 인색하고 특히 개인기부 문화가 여전히 취약하다고 지적했다.
10	10	SN	B-NOH
대	대	NNG	I-NOH
_	_	_	O
기업	기업	NNG	O
을	을	JKO	O
_	_	_	O
제외하	제외하	VV	O
면	면	EC	O
_	_	_	O
대부분	대부분	NNG	O
_	_	_	O
기업	기업	NNG	O
이	이	JKS	O
_	_	_	O
기부	기부	NNG	O
에	에	JKB	O
_	_	_	O
인색하	인색하	VA	O
고	고	EC	O
_	_	_	O
특히	특히	MAG	O
_	_	_	O
개인	개인	NNG	O
기부	기부	NNG	O
_	_	_	O
문화	문화	NNG	O
가	가	JKS	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
취약하	취약하	VA	O
다고	다고	EC	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 179cm의 큰 키에서 뿜어져 나오는 장타를 앞세워 드림투어 4승을 기록한 유망주다.
## <179cm:NOH>의 큰 키에서 뿜어져 나오는 장타를 앞세워 드림투어 <4승:NOH>을 기록한 유망주다.
179	179	SN	B-NOH
cm	cm	SL	I-NOH
의	의	JKG	O
_	_	_	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
키	키	NNG	O
에서	에서	JKB	O
_	_	_	O
뿜	뿜	VV	O
어	어	EC	O
져	지+어	VX+EC	O
_	_	_	O
나오	나오	VV	O
는	는	ETM	O
_	_	_	O
장타	장타	NNG	O
를	를	JKO	O
_	_	_	O
앞세	앞세우	VV	O
워	어	EC	O
_	_	_	O
드림	드림	NNG	O
투어	투어	NNG	O
_	_	_	O
4	4	SN	B-NOH
승	승	NNB	I-NOH
을	을	JKO	O
_	_	_	O
기록한	기록하+ㄴ	VV+ETM	O
_	_	_	O
유망주	유망주+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

