## 1
## 선생은 또다시 부인회 간부 42명과 함께 체포됐다.
## 선생은 또다시 부인회 간부 <42명:NOH>과 함께 체포됐다.
선생	선생	NNG	O
은	은	JX	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
트위터	트위터	NNP	B-POH
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
미쓰에	미쓰에	NNP	B-ORG
이	이	JKS	I-ORG
_	_	_	O
7	7	SN	B-NOH
집	집	NNB	I-NOH
_	_	_	O
앨범	앨범	NNG	O
_	_	_	O
‘	‘	SS	O
컬러스	컬러스	NNG	B-POH
’	’	SS	O
_	_	_	O
티저	티저	NNG	O
_	_	_	O
이미지	이미지	NNG	O
,	,	SP	O
_	_	_	O
미쓰에	미쓰에	NNP	B-ORG
이	이	JKS	I-ORG
_	_	_	O
컬러스	컬러스	NNG	B-POH
_	_	_	O
수지	수지	NNG	B-PER
”	”+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
글	글	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
수지	수지	NNG	B-PER
의	의	JKG	O
_	_	_	O
티저	티저	NNG	O
_	_	_	O
이미지	이미지	NNG	B-PER
_	_	_	O
여러	여러	MM	O
_	_	_	O
장	장	NNB	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그리스 정부 “9일까지 IMF에 부채 4억5800만 유로 갚겠다”
## <그리스:LOC> <정부:ORG> “<9일:DAT>까지 <IMF:ORG>에 부채 <4억5800만 유로:MNY> 갚겠다”
그리스	그리스	NNP	B-LOC
_	_	_	O
정부	정부	NNG	B-ORG
_	_	_	O
“	“	SS	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
IMF	IMF	SL	B-ORG
에	에	JKB	O
_	_	_	O
부채	부채	NNG	O
_	_	_	O
4	4	SN	B-MNY
억	억	NR	I-MNY
5800	5800	SN	I-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
유로	유로	NNG	I-MNY
_	_	_	O
갚	갚	VV	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O

## 6
## 조지 W 부시 행정부에서 국무장관을 지낸 콘돌리자 라이스도 트럼프 후보 사퇴를 요구했다.
## <조지 W 부시:PER> 행정부에서 국무장관을 지낸 <콘돌리자 라이스:PER>도 <트럼프:PER> 후보 사퇴를 요구했다.
조지	조지	NNP	B-PER
_	_	_	I-PER
W	W	SL	I-PER
_	_	_	I-PER
부시	부시	NNP	I-PER
_	_	_	O
행정부	행정부	NNG	O
에서	에서	JKB	O
_	_	_	O
국무	국무	NNG	O
장관	장관	NNG	O
을	을	JKO	O
_	_	_	O
지낸	지내+ㄴ	VV+ETM	O
_	_	_	O
콘돌리자	콘돌리자	NNP	B-PER
_	_	_	I-PER
라이스	라이스	NNP	I-PER
도	도	JX	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
_	_	_	O
후보	후보	NNG	O
_	_	_	O
사퇴	사퇴	NNG	O
를	를	JKO	O
_	_	_	O
요구	요구하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 그는 SBS 예능 ‘동상이몽’에 유재석 보조 MC로 출연해 탁월한 진행능력과 끼를 드러내며 ‘리틀 유재석’이란 수식어를 얻었다.
## 그는 <SBS:ORG> 예능 ‘<동상이몽:POH>’에 <유재석:PER> 보조 MC로 출연해 탁월한 진행능력과 끼를 드러내며 ‘<리틀 유재석:PER>’이란 수식어를 얻었다.
그	그	NP	O
는	는	JX	O
_	_	_	O
SBS	SBS	SL	B-ORG
_	_	_	O
예능	예능	NNG	O
_	_	_	O
‘	‘	SS	O
동상이몽	동상이몽	NNG	B-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
유재석	유재석	NNP	B-PER
_	_	_	O
보조	보조	NNG	O
_	_	_	O
MC	MC	SL	O
로	로	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
탁월한	탁월하+ㄴ	VA+ETM	O
_	_	_	O
진행	진행	NNG	O
능력	능력	NNG	O
과	과	JC	O
_	_	_	O
끼	끼	NNG	O
를	를	JKO	O
_	_	_	O
드러내	드러내	VV	O
며	며	EC	O
_	_	_	O
‘	‘	SS	O
리틀	리틀	NNG	B-PER
_	_	_	I-PER
유재석	유재석	NNP	I-PER
’	’	SS	O
이	이	VCP	O
란	란	ETM	O
_	_	_	O
수식어	수식어	NNG	O
를	를	JKO	O
_	_	_	O
얻	얻	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 우승 150점, 준우승 80점 등 40위까지 주어지며 메이저 대회에서는 두 배의 점수가 부여된다.
## 우승 <150점:NOH>, 준우승 <80점:NOH> 등 <40위:NOH>까지 주어지며 메이저 대회에서는 <두 배:PNT>의 점수가 <부여:LOC>된다.
우승	우승	NNG	O
_	_	_	O
150	150	SN	B-NOH
점	점	NNB	I-NOH
,	,	SP	O
_	_	_	O
준우승	준우승	NNG	O
_	_	_	O
80	80	SN	B-NOH
점	점	NNB	I-NOH
_	_	_	O
등	등	NNB	O
_	_	_	O
40	40	SN	B-NOH
위	위	NNB	I-NOH
까지	까지	JX	O
_	_	_	O
주어지	주어지	VV	O
며	며	EC	O
_	_	_	O
메이저	메이저	NNG	O
_	_	_	O
대회	대회	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
두	두	MM	B-PNT
_	_	_	I-PNT
배	배	NNG	I-PNT
의	의	JKG	O
_	_	_	O
점수	점수	NNG	O
가	가	JKS	O
_	_	_	O
부여된다	부여되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 재판부는 “가정부에게 수천만 원을 빌리고도 제대로 갚지 않고 오히려 유흥업 종사자를 동원해 가정부를 협박해 채무를 면제받은 점도 죄책이 가볍지 않은데도 잘못을 반성하지 않고 책임을 회피하는 데 급급해 엄정한 처벌이 불가피하다”고 덧붙였다.
## 재판부는 “가정부에게 <수천만 원:MNY>을 빌리고도 제대로 갚지 않고 오히려 유흥업 종사자를 동원해 가정부를 협박해 채무를 면제받은 점도 죄책이 가볍지 않은데도 잘못을 반성하지 않고 책임을 회피하는 데 급급해 엄정한 처벌이 불가피하다”고 덧붙였다.
재판부	재판부	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
가정부	가정부	NNG	O
에게	에게	JKB	O
_	_	_	O
수천만	수천만	NR	B-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
빌리	빌리	VV	O
고도	고도	EC	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
갚	갚	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
오히려	오히려	MAG	O
_	_	_	O
유흥업	유흥업	NNG	O
_	_	_	O
종사자	종사자	NNG	O
를	를	JKO	O
_	_	_	O
동원해	동원하+여	VV+EC	O
_	_	_	O
가정부	가정부	NNG	O
를	를	JKO	O
_	_	_	O
협박해	협박하+여	VV+EC	O
_	_	_	O
채무	채무	NNG	O
를	를	JKO	O
_	_	_	O
면제	면제	NNG	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
점	점	NNG	O
도	도	JX	O
_	_	_	O
죄책	죄책	NNG	O
이	이	JKS	O
_	_	_	O
가볍	가볍	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은데	은데	EC	O
도	도	JX	O
_	_	_	O
잘못	잘못	NNG	O
을	을	JKO	O
_	_	_	O
반성하	반성하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
고	고	EC	O
_	_	_	O
책임	책임	NNG	O
을	을	JKO	O
_	_	_	O
회피하	회피하	VV	O
는	는	ETM	O
_	_	_	O
데	데	NNB	O
_	_	_	O
급급해	급급하+여	VA+EC	O
_	_	_	O
엄정한	엄정하+ㄴ	VA+ETM	O
_	_	_	O
처벌	처벌	NNG	O
이	이	JKS	O
_	_	_	O
불가피하	불가피하	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
덧붙	덧붙이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 지난해 여름 고명진(28)의 이적과 시즌 종료 후 몰리나(36)와의 계약 해지 등으로 공백이 생긴 미드필드에는 국내선수를 대거 영입했다.
## 지난해 여름 <고명진:PER>(<28:NOH>)의 이적과 시즌 종료 후 <몰리나:PER>(<36:NOH>)와의 계약 해지 등으로 공백이 생긴 미드필드에는 국내선수를 대거 영입했다.
지난해	지난해	NNG	O
_	_	_	O
여름	여름	NNG	O
_	_	_	O
고명진	고명진	NNP	B-PER
(	(	SS	O
28	28	SN	B-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
이적	이적	NNG	O
과	과	JC	O
_	_	_	O
시즌	시즌	NNG	O
_	_	_	O
종료	종료	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
몰리나	몰리나	NNP	B-PER
(	(	SS	O
36	36	SN	B-NOH
)	)	SS	O
와	와	JKB	O
의	의	JKG	O
_	_	_	O
계약	계약	NNG	O
_	_	_	O
해지	해지	NNG	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
공백	공백	NNG	O
이	이	JKS	O
_	_	_	O
생긴	생기+ㄴ	VV+ETM	O
_	_	_	O
미드필드	미드필드	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
국내	국내	NNG	O
선수	선수	NNG	O
를	를	JKO	O
_	_	_	O
대거	대거	MAG	O
_	_	_	O
영입	영입하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 김선아는 KBS 2TV ‘프로듀사’에 출연하면서 시청자에 눈도장을 찍었다.
## <김선아:PER>는 <KBS 2TV:POH> ‘<프로듀사:POH>’에 출연하면서 시청자에 눈도장을 찍었다.
김선아	김선아	NNP	B-PER
는	는	JX	O
_	_	_	O
KBS	KBS	SL	B-POH
_	_	_	I-POH
2	2	SN	I-POH
TV	TV	SL	I-POH
_	_	_	O
‘	‘	SS	O
프로듀사	프로듀사	NNP	B-POH
’	’	SS	O
에	에	JKB	O
_	_	_	O
출연하	출연하	VV	O
면서	면서	EC	O
_	_	_	O
시청자	시청자	NNG	O
에	에	JKB	O
_	_	_	O
눈도장	눈도장	NNG	O
을	을	JKO	O
_	_	_	O
찍	찍	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 법원은 올해 1월 오 전 대표의 배임 혐의 등에 대해서는 유죄를 선고하고 주가조작에 대해서는 무죄라고 판결했다.
## <법원:ORG>은 올해 <1월:DAT> <오:PER> 전 대표의 배임 혐의 등에 대해서는 유죄를 선고하고 주가조작에 대해서는 무죄라고 판결했다.
법원	법원	NNG	B-ORG
은	은	JX	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
오	오	NR	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대표	대표	NNG	O
의	의	JKG	O
_	_	_	O
배임	배임	NNG	O
_	_	_	O
혐의	혐의	NNG	O
_	_	_	O
등	등	NNB	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
유죄	유죄	NNG	O
를	를	JKO	O
_	_	_	O
선고하	선고하	VV	O
고	고	EC	O
_	_	_	O
주가	주가	NNG	O
조작	조작	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
무죄	무죄+이	NNG+VCP	O
라고	라고	EC	O
_	_	_	O
판결	판결하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## ‘영혼의 집’과 함께 3부작을 잇는 ‘운명의 딸’(1999)과 ‘세피아빛 초상’(2000)도 비슷한 구조다.
## ‘<영혼의 집:POH>’과 함께 <3부작:NOH>을 잇는 ‘<운명의 딸:POH>’(<1999:DAT>)과 ‘<세피아빛 초상:POH>’(<2000:DAT>)도 비슷한 구조다.
‘	‘	SS	O
영혼	영혼	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
집	집	NNG	I-POH
’	’	SS	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
3	3	SN	B-NOH
부	부	NNB	I-NOH
작	작	NNG	I-NOH
을	을	JKO	O
_	_	_	O
잇	잇	VV	O
는	는	ETM	O
_	_	_	O
‘	‘	SS	O
운명	운명	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
딸	딸	NNG	I-POH
’	’	SS	O
(	(	SS	O
1999	1999	SN	B-DAT
)	)	SS	O
과	과	JKB	O
_	_	_	O
‘	‘	SS	O
세피아	세피아	NNG	B-POH
빛	빛	NNG	I-POH
_	_	_	I-POH
초상	초상	NNG	I-POH
’	’	SS	O
(	(	SS	O
2000	2000	SN	B-DAT
)	)	SS	O
도	도	JX	O
_	_	_	O
비슷한	비슷하+ㄴ	VA+ETM	O
_	_	_	O
구조	구조+이	NNG+VCP	O
다	다	EF	O
.	.	SF	O

