## 1
## 각 기업의 성격, 연령, 목적에 맞게 프로그램을 추천해주고 관리하는 것이죠. 실제로 프로그램에 참여했던 GWP(Great Work Place) 담당자는 “일상에서 벗어나 미술에서 주는 심적으로 힐링의 시간이었고 그룹장과 직원들이 이런 GWP 행사는 처음이었다고 한다”고 전했습니다.
## 각 기업의 성격, 연령, 목적에 맞게 프로그램을 추천해주고 관리하는 것이죠. 실제로 프로그램에 참여했던 <GWP:POH>(<Great Work Place:POH>) 담당자는 “일상에서 벗어나 미술에서 주는 심적으로 힐링의 시간이었고 그룹장과 직원들이 이런 <GWP:POH> 행사는 처음이었다고 한다”고 전했습니다.
각	각	MM	O
## 9연승을 내달린 3위 한국전력(53점)은 4위 대한항공(43점)보다 2위 OK저축은행(58점)과의 승점 차이가 적다.
## <9연승:NOH>을 내달린 <3위:NOH> <한국전력:ORG>(<53점:NOH>)은 <4위:NOH> <대한항공:ORG>(<43점:NOH>)보다 <2위:NOH> <OK저축은행:ORG>(<58점:NOH>)과의 승점 차이가 적다.
9	9	SN	B-NOH
연승	연승	NNG	I-NOH
을	을	JKO	O
_	_	_	O
내달린	내달리+ㄴ	VV+ETM	O
_	_	_	O
3	3	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
한국전력	한국전력	NNP	B-ORG
(	(	SS	O
53	53	SN	B-NOH
점	점	NNB	I-NOH
)	)	SS	O
은	은	JX	O
_	_	_	O
4	4	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
대한항공	대한항공	NNP	B-ORG
(	(	SS	O
43	43	SN	B-NOH
점	점	NNB	I-NOH
)	)	SS	O
보다	보다	JKB	O
_	_	_	O
2	2	SN	B-NOH
위	위	NNB	I-NOH
_	_	_	O
OK	OK	SL	B-ORG
저축은행	저축은행	NNP	I-ORG
(	(	SS	O
58	58	SN	B-NOH
점	점	NNB	I-NOH
)	)	SS	O
과	과	JKB	O
의	의	JKG	O
_	_	_	O
승점	승점	NNG	O
_	_	_	O
차이	차이	NNG	O
가	가	JKS	O
_	_	_	O
적	적	VA	O
다	다	EF	O
.	.	SF	O

## 6
## ○…경기도 동두천에 있는 부조종사 유영재대위의 가족들은 사고가 난지 6시간이 지난 뒤에야 군으로부터 사고 소식을 전해 듣고 대성통곡했다.
## ○…<경기도 동두천:LOC>에 있는 부조종사 <유영재:PER>대위의 가족들은 사고가 난지 <6시간:DUR>이 지난 뒤에야 군으로부터 사고 소식을 전해 듣고 대성통곡했다.
○	○	SW	O
…	…	SE	O
경기	경기	NNG	B-LOC
도	도	JX	I-LOC
_	_	_	I-LOC
동두천	동두천	NNP	I-LOC
에	에	JKB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
부조종사	부조종사	NNG	O
_	_	_	O
유영재	유영재	NNP	B-PER
대위	대위	NNG	O
의	의	JKG	O
_	_	_	O
가족	가족	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
사고	사고	NNG	O
가	가	JKS	O
_	_	_	O
난	나+ㄴ	VV+ETM	O
지	지	NNB	O
_	_	_	O
6	6	SN	B-DUR
시간	시간	NNB	I-DUR
이	이	JKS	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
에	에	JKB	O
야	야	JX	O
_	_	_	O
군	군	NNG	O
으로부터	으로부터	JKB	O
_	_	_	O
사고	사고	NNG	O
_	_	_	O
소식	소식	NNG	O
을	을	JKO	O
_	_	_	O
전해	전하+여	VV+EC	O
_	_	_	O
듣	듣	VV	O
고	고	EC	O
_	_	_	O
대성통곡	대성통곡하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 문화분야에서는 「우리 가락 우리문화」 「우리의 옛노래」외에도 「한국인의 애송시」 「정지용전집」 「윤동주평전」 「좋은 시 94」 등 고전부터 최근작까지 올라있다.
## 문화분야에서는 「<우리 가락 우리문화:POH>」 「<우리의 옛노래:POH>」외에도 「<한국인의 애송시:POH>」 「<정지용전집:POH>」 「<윤동주평전:POH>」 「<좋은 시 94:POH>」 등 고전부터 최근작까지 올라있다.
문화	문화	NNG	O
분야	분야	NNG	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
「	「	SS	O
우리	우리	NP	B-POH
_	_	_	I-POH
가락	가락	NNG	I-POH
_	_	_	I-POH
우리	우리	NP	I-POH
문화	문화	NNG	I-POH
」	」	SS	O
_	_	_	O
「	「	SS	O
우리	우리	NP	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
옛	옛	MM	I-POH
노래	노래	NNG	I-POH
」	」	SS	O
외	외	NNB	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
「	「	SS	O
한국인	한국인	NNG	B-POH
의	의	JKG	I-POH
_	_	_	I-POH
애송시	애송시	NNG	I-POH
」	」	SS	O
_	_	_	O
「	「	SS	O
정지용	정지용	NNP	B-POH
전집	전집	NNG	I-POH
」	」	SS	O
_	_	_	O
「	「	SS	O
윤동주	윤동주	NNP	B-POH
평전	평전	NNG	I-POH
」	」	SS	O
_	_	_	O
「	「	SS	O
좋	좋	VA	B-POH
은	은	ETM	I-POH
_	_	_	I-POH
시	시	NNG	I-POH
_	_	_	I-POH
94	94	SN	I-POH
」	」	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
고전	고전	NNG	O
부터	부터	JX	O
_	_	_	O
최근	최근	NNG	O
작	작	XSN	O
까지	까지	JX	O
_	_	_	O
올	오르	VV	O
라	아	EC	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 8
## 법원이 아내 서정희 씨를 폭행한 혐의로 기소된 방송인 겸 목사 서세원 씨에게 법원이 징역 6월 집행유예 2년 판결을 내렸다.
## 법원이 아내 <서정희:PER> 씨를 폭행한 혐의로 기소된 방송인 겸 목사 <서세원:PER> 씨에게 법원이 징역 <6월:DUR> 집행유예 <2년:DUR> 판결을 내렸다.
법원	법원	NNG	O
이	이	JKS	O
_	_	_	O
아내	아내	NNG	O
_	_	_	O
서정희	서정희	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
를	를	JKO	O
_	_	_	O
폭행한	폭행하+ㄴ	VV+ETM	O
_	_	_	O
혐의	혐의	NNG	O
로	로	JKB	O
_	_	_	O
기소된	기소되+ㄴ	VV+ETM	O
_	_	_	O
방송인	방송인	NNG	O
_	_	_	O
겸	겸	NNB	O
_	_	_	O
목사	목사	NNG	O
_	_	_	O
서세원	서세원	NNP	B-PER
_	_	_	O
씨	씨	NNB	O
에게	에게	JKB	O
_	_	_	O
법원	법원	NNG	O
이	이	JKS	O
_	_	_	O
징역	징역	NNG	O
_	_	_	O
6	6	SN	B-DUR
월	월	NNB	I-DUR
_	_	_	O
집행	집행	NNG	O
유예	유예	NNG	O
_	_	_	O
2	2	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
판결	판결	NNG	O
을	을	JKO	O
_	_	_	O
내	내리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 스윈튼은 “영화로 관객을 놀라게 하고 싶고, 그 기회가 한국이 되길 바란다”고 애정을 드러냈다.
## <스윈튼:PER>은 “영화로 관객을 놀라게 하고 싶고, 그 기회가 <한국:ORG>이 되길 바란다”고 애정을 드러냈다.
스윈튼	스윈튼	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
영화	영화	NNG	O
로	로	JKB	O
_	_	_	O
관객	관객	NNG	O
을	을	JKO	O
_	_	_	O
놀라	놀라	VV	O
게	게	EC	O
_	_	_	O
하	하	VX	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
고	고	EC	O
,	,	SP	O
_	_	_	O
그	그	MM	O
_	_	_	O
기회	기회	NNG	O
가	가	JKS	O
_	_	_	O
한국	한국	NNP	B-ORG
이	이	JKC	O
_	_	_	O
되	되	VV	O
길	기+ㄹ	ETN+JKO	O
_	_	_	O
바란다	바라+ㄴ다	VV+EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
애정	애정	NNG	O
을	을	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 10
## EMK의 첫 프로젝트였던 2010 뮤지컬 ‘모차르트!’는 EMK를 지금의 자리에 있게 해준 좋은 인연과 기회를 만들어준 특별한 작품입니다.
## <EMK:ORG>의 첫 프로젝트였던 <2010:DAT> 뮤지컬 ‘<모차르트!:POH>’는 <EMK:ORG>를 지금의 자리에 있게 해준 좋은 인연과 기회를 만들어준 특별한 작품입니다.
EMK	EMK	SL	B-ORG
의	의	JKG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
프로젝트	프로젝트+이	NNG+VCP	O
였	었	EP	O
던	던	ETM	O
_	_	_	O
2010	2010	SN	B-DAT
_	_	_	O
뮤지컬	뮤지컬	NNG	O
_	_	_	O
‘	‘	SS	O
모차르트	모차르트	NNP	B-POH
!	!	SF	I-POH
’	’	SS	O
는	는	JX	O
_	_	_	O
EMK	EMK	SL	B-ORG
를	를	JKO	O
_	_	_	O
지금	지금	NNG	O
의	의	JKG	O
_	_	_	O
자리	자리	NNG	O
에	에	JKB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
해	하+여	VX+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
인연	인연	NNG	O
과	과	JC	O
_	_	_	O
기회	기회	NNG	O
를	를	JKO	O
_	_	_	O
만들	만들	VV	O
어	어	EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
특별한	특별하+ㄴ	VA+ETM	O
_	_	_	O
작품	작품	NNG	O
입니다	이+ㅂ니다	VCP+EF	O
.	.	SF	O

## 11
## 25일 실시된 광주·전남·제주 경선 현장 투표에서 유권자를 단체로 차량으로 실어 나르며 특정 후보를 찍으라고 독려하는 정황이 포착된 것이다.
## <25일:DAT> 실시된 <광주:LOC>·<전남:LOC>·<제주:LOC> 경선 현장 투표에서 유권자를 단체로 차량으로 실어 나르며 특정 후보를 찍으라고 독려하는 정황이 포착된 것이다.
25	25	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
실시된	실시되+ㄴ	VV+ETM	O
_	_	_	O
광주	광주	NNP	B-LOC
·	·	SP	O
전남	전남	NNP	B-LOC
·	·	SP	O
제주	제주	NNP	B-LOC
_	_	_	O
경선	경선	NNG	O
_	_	_	O
현장	현장	NNG	O
_	_	_	O
투표	투표	NNG	O
에서	에서	JKB	O
_	_	_	O
유권자	유권자	NNG	O
를	를	JKO	O
_	_	_	O
단체	단체	NNG	O
로	로	JKB	O
_	_	_	O
차량	차량	NNG	O
으로	으로	JKB	O
_	_	_	O
실	싣	VV	O
어	어	EC	O
_	_	_	O
나르	나르	VV	O
며	며	EC	O
_	_	_	O
특정	특정	NNG	O
_	_	_	O
후보	후보	NNG	O
를	를	JKO	O
_	_	_	O
찍	찍	VV	O
으라고	으라고	EC	O
_	_	_	O
독려하	독려하	VV	O
는	는	ETM	O
_	_	_	O
정황	정황	NNG	O
이	이	JKS	O
_	_	_	O
포착된	포착되+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

