## 1
## 불에 달군 쇠막대기로 고양이를 찌르고 주전자에 담긴 끓는 물을 고양이에게 붓는 학대 행위를 동영상으로 촬영해 유포한 20대가 경찰에 붙잡혔다.
## 불에 달군 쇠막대기로 고양이를 찌르고 주전자에 담긴 끓는 물을 고양이에게 붓는 학대 행위를 동영상으로 촬영해 유포한 <20대:NOH>가 경찰에 붙잡혔다.
불	불	NNG	O
2	2	SN	B-DAT
월	월	NNB	I-DAT
에	에	JKB	O
_	_	_	O
발표된	발표되+ㄴ	VV+ETM	O
_	_	_	O
표준지	표준지	NNG	O
공시	공시	NNG	O
지가	지가	NNG	O
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
개별	개별	NNG	O
공시	공시	NNG	O
지가	지가	NNG	O
는	는	JX	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
평균	평균	NNG	O
_	_	_	O
4.14	4.14	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
상승할	상승하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 5
## 2년 전인 2013년까지 전체 6차산업 인증사업자 중 귀농 귀촌한 사람은 36.2%였다.
## <2년:NOH> 전인 <2013년:DAT>까지 전체 <6차:NOH>산업 인증사업자 중 귀농 귀촌한 사람은 <36.2%:PNT>였다.
2	2	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
2013	2013	SN	B-DAT
년	년	NNB	I-DAT
까지	까지	JX	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
6	6	SN	B-NOH
차	차	NNB	I-NOH
산업	산업	NNG	O
_	_	_	O
인증	인증	NNG	O
사업자	사업자	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
귀농	귀농	NNG	O
_	_	_	O
귀촌한	귀촌하+ㄴ	VV+ETM	O
_	_	_	O
사람	사람	NNG	O
은	은	JX	O
_	_	_	O
36.2	36.2	SN	B-PNT
%	%+이	SW+VCP	I-PNT
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 세종시 관계자는 “지난해부터 매월 5000명 이상이 신도시에 입주하고 있다.
## <세종시:ORG> 관계자는 “지난해부터 매월 <5000명:NOH> 이상이 신도시에 입주하고 있다.
세종시	세종시	NNP	B-ORG
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
지난해	지난해	NNG	O
부터	부터	JX	O
_	_	_	O
매월	매월	MAG	O
_	_	_	O
5000	5000	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
이	이	JKS	O
_	_	_	O
신도시	신도시	NNG	O
에	에	JKB	O
_	_	_	O
입주하	입주하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 관객을 모으며 올해 첫 한국영화 천만 관객 돌파 초읽기에 돌입했다.
## 관객을 모으며 올해 첫 <한국:LOC>영화 <천만 관객:NOH> 돌파 초읽기에 돌입했다.
관객	관객	NNG	O
을	을	JKO	O
_	_	_	O
모으	모으	VV	O
며	며	EC	O
_	_	_	O
올해	올해	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
한국	한국	NNP	B-LOC
영화	영화	NNG	O
_	_	_	O
천만	천만	NR	B-NOH
_	_	_	I-NOH
관객	관객	NNG	I-NOH
_	_	_	O
돌파	돌파	NNG	O
_	_	_	O
초읽기	초읽기	NNG	O
에	에	JKB	O
_	_	_	O
돌입	돌입하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘암살’은 1933년 상하이와 경성을 배경으로 친일파 암살작전을 둘러싼 독립군들과 임시정부대원, 그들을 쫓는 청부살인업자까지 이들의 엇갈린 선택과 예측할 수 없는 운명을 그린 작품이다.
## ‘<암살:POH>’은 <1933년:DAT> <상하이:LOC>와 <경성:LOC>을 배경으로 친일파 암살작전을 둘러싼 독립군들과 임시정부대원, 그들을 쫓는 청부살인업자까지 이들의 엇갈린 선택과 예측할 수 없는 운명을 그린 작품이다.
‘	‘	SS	O
암살	암살	NNG	B-POH
’	’	SS	O
은	은	JX	O
_	_	_	O
1933	1933	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
상하이	상하이	NNP	B-LOC
와	와	NNP	O
_	_	_	O
경성	경성	NNP	B-LOC
을	을	JKO	O
_	_	_	O
배경	배경	NNG	O
으로	으로	JKB	O
_	_	_	O
친일파	친일파	NNG	O
_	_	_	O
암살	암살	NNG	O
작전	작전	NNG	O
을	을	JKO	O
_	_	_	O
둘러싼	둘러싸+ㄴ	VV+ETM	O
_	_	_	O
독립군	독립군	NNG	O
들	들	XSN	O
과	과	JC	O
_	_	_	O
임시	임시	NNG	O
정부	정부	NNG	O
대원	대원	NNG	O
,	,	SP	O
_	_	_	O
그	그	NP	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
쫓	쫓	VV	O
는	는	ETM	O
_	_	_	O
청부	청부	NNG	O
살인	살인	NNG	O
업자	업자	NNG	O
까지	까지	JX	O
_	_	_	O
이	이	NP	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
엇갈린	엇갈리+ㄴ	VV+ETM	O
_	_	_	O
선택	선택	NNG	O
과	과	JC	O
_	_	_	O
예측할	예측하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
운명	운명	NNG	O
을	을	JKO	O
_	_	_	O
그린	그리+ㄴ	VV+ETM	O
_	_	_	O
작품	작품	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## ‘타격부진·실책’ 박동원 슬럼프 탈출에 넥센 운명 걸렸다
## ‘타격부진·실책’ <박동원:PER> 슬럼프 탈출에 <넥센:ORG> 운명 걸렸다
‘	‘	SS	O
타격	타격	NNG	O
부진	부진	NNG	O
·	·	SP	O
실책	실책	NNG	O
’	’	SS	O
_	_	_	O
박동원	박동원	NNP	B-PER
_	_	_	O
슬럼프	슬럼프	NNG	O
_	_	_	O
탈출	탈출	NNG	O
에	에	JKB	O
_	_	_	O
넥센	넥센	NNP	B-ORG
_	_	_	O
운명	운명	NNG	O
_	_	_	O
걸	걸리	VV	O
렸	었	EP	O
다	다	EF	O

## 10
## 지난해 대한장애인체육회가 전국의 초중등 일반학교 및 특수학교 교사를 상대로 실시한 ‘통합체육교실’ 프로그램에서 우수교사로 뽑힌 교사 4명과 장애인체육회 생활체육부 및 국립특수교육원 직원의 연수 현장을 본보가 함께했다.
## 지난해 <대한장애인체육회:ORG>가 전국의 초중등 일반학교 및 특수학교 교사를 상대로 실시한 ‘통합체육교실’ 프로그램에서 우수교사로 뽑힌 교사 <4명:NOH>과 <장애인체육회 생활체육부:ORG> 및 <국립특수교육원:ORG> 직원의 연수 현장을 본보가 함께했다.
지난해	지난해	NNG	O
_	_	_	O
대한	대한	NNP	B-ORG
장애인	장애인	NNG	I-ORG
체육회	체육회	NNG	I-ORG
가	가	JKS	O
_	_	_	O
전국	전국	NNG	O
의	의	JKG	O
_	_	_	O
초	초	NNG	O
중등	중등	NNG	O
_	_	_	O
일반	일반	NNG	O
학교	학교	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
특수	특수	NNG	O
학교	학교	NNG	O
_	_	_	O
교사	교사	NNG	O
를	를	JKO	O
_	_	_	O
상대	상대	NNG	O
로	로	JKB	O
_	_	_	O
실시한	실시하+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
통합	통합	NNG	O
체육	체육	NNG	O
교실	교실	NNG	O
’	’	SS	O
_	_	_	O
프로그램	프로그램	NNG	O
에서	에서	JKB	O
_	_	_	O
우수	우수	NNG	O
교사	교사	NNG	O
로	로	JKB	O
_	_	_	O
뽑힌	뽑히+ㄴ	VV+ETM	O
_	_	_	O
교사	교사	NNG	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
과	과	JC	O
_	_	_	O
장애인	장애인	NNG	B-ORG
체육	체육	NNG	I-ORG
회	회	XSN	I-ORG
_	_	_	I-ORG
생활	생활	NNG	I-ORG
체육	체육	NNG	I-ORG
부	부	XSN	I-ORG
_	_	_	O
및	및	MAG	O
_	_	_	O
국립	국립	NNG	B-ORG
특수	특수	NNG	I-ORG
교육	교육	NNG	I-ORG
원	원	NNB	I-ORG
_	_	_	O
직원	직원	NNG	O
의	의	JKG	O
_	_	_	O
연수	연수	NNG	O
_	_	_	O
현장	현장	NNG	O
을	을	JKO	O
_	_	_	O
본보	본보	NNG	O
가	가	JKS	O
_	_	_	O
함께	함께하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 리더로서 누구보다도 고생이 많을 텐데 항상 웃어줘서 너무나 고맙고 많은 배울 점을주었던 인형 같은 세리언니, 내 5년 룸메이트로서 누구보다 의지했고 이젠 눈빛만 봐도 알것 같은 나의 앙숙! 아영이, 고등학교 때부터 지금까지 그리고 앞으로도 너무나 예쁜 얼굴만큼 마음도 밝고 맑은 우희, 막내인데도 언니들부터 챙기고 어른스러운, 그렇지만 너무 철든 모습에 마음도 많이 아팠던, 멤버가 만든 ‘Joker’라는 곡으로 활동할 수 있는 걸그룹계에서는 유일무이한 경험을 할 수 있게 해준 수빈이가 어마어마한 곡으로 컴백을 앞두고 있으니 기대 많이 해주시고 이 친구들이 언제 어떤 무대에서든 힘낼 수 있게 응원도 크게!많이! 해주시면 너무 감사할 것 같아요.
## 리더로서 누구보다도 고생이 많을 텐데 항상 웃어줘서 너무나 고맙고 많은 배울 점을주었던 인형 같은 <세리:PER>언니, 내 <5년:DUR> 룸메이트로서 누구보다 의지했고 이젠 눈빛만 봐도 알것 같은 나의 앙숙! <아영이:PER>, 고등학교 때부터 지금까지 그리고 앞으로도 너무나 예쁜 얼굴만큼 마음도 밝고 맑은 <우희:PER>, 막내인데도 언니들부터 챙기고 어른스러운, 그렇지만 너무 철든 모습에 마음도 많이 아팠던, 멤버가 만든 ‘<Joker:POH>’라는 곡으로 활동할 수 있는 걸그룹계에서는 유일무이한 경험을 할 수 있게 해준 <수빈:PER>이가 어마어마한 곡으로 컴백을 앞두고 있으니 기대 많이 해주시고 이 친구들이 언제 어떤 무대에서든 힘낼 수 있게 응원도 크게!많이! 해주시면 너무 감사할 것 같아요.
리더	리더	NNG	O
로서	로서	JKB	O
_	_	_	O
누구	누구	NP	O
보다	보다	JKB	O
도	도	JX	O
_	_	_	O
고생	고생	NNG	O
이	이	JKS	O
_	_	_	O
많	많	VA	O
을	을	ETM	O
_	_	_	O
텐데	터+이+ㄴ데	NNB+VCP+EC	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
웃	웃	VV	O
어	어	EC	O
줘서	주+어서	VX+EC	O
_	_	_	O
너무나	너무나	MAG	O
_	_	_	O
고맙	고맙	VA	O
고	고	EC	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
배울	배우+ㄹ	VV+ETM	O
_	_	_	O
점	점	NNB	O
을	을	NNG	O
주	주	VX	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
인형	인형	NNG	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
세리	세리	NNG	B-PER
언니	언니	NNG	O
,	,	SP	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
5	5	SN	B-DUR
년	년	NNB	I-DUR
_	_	_	O
룸메이트	룸메이트	NNG	O
로서	로서	JKB	O
_	_	_	O
누구	누구	NP	O
보다	보다	JKB	O
_	_	_	O
의지	의지하	VV	O
했	였	EP	O
고	고	EC	O
_	_	_	O
이젠	이제+ㄴ	NNG+JX	O
_	_	_	O
눈빛	눈빛	NNG	O
만	만	JX	O
_	_	_	O
봐도	보+아도	VV+EC	O
_	_	_	O
알	알	NNP	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
은	은	ETM	O
_	_	_	O
나	나	NP	O
의	의	JKG	O
_	_	_	O
앙숙	앙숙	NNG	O
!	!	SF	O
_	_	_	O
아영	아영	NNP	B-PER
이	이	JKS	I-PER
,	,	SP	O
_	_	_	O
고등학교	고등학교	NNG	O
_	_	_	O
때	때	NNG	O
부터	부터	JX	O
_	_	_	O
지금	지금	NNG	O
까지	까지	JX	O
_	_	_	O
그리고	그리고	MAJ	O
_	_	_	O
앞	앞	NNG	O
으로	으로	JKB	O
도	도	JX	O
_	_	_	O
너무나	너무나	MAG	O
_	_	_	O
예쁜	예쁘+ㄴ	VA+ETM	O
_	_	_	O
얼굴	얼굴	NNG	O
만큼	만큼	JX	O
_	_	_	O
마음	마음	NNG	O
도	도	JX	O
_	_	_	O
밝	밝	VA	O
고	고	EC	O
_	_	_	O
맑	맑	VA	O
은	은	ETM	O
_	_	_	O
우희	우희	NNP	B-PER
,	,	SP	O
_	_	_	O
막내	막내	NNG	O
인데	이+ㄴ데	VCP+EC	O
도	도	JX	O
_	_	_	O
언니	언니	NNG	O
들	들	XSN	O
부터	부터	JX	O
_	_	_	O
챙기	챙기	VV	O
고	고	EC	O
_	_	_	O
어른스러운	어른스럽+ㄴ	VA+ETM	O
,	,	SP	O
_	_	_	O
그렇지만	그렇지만	MAJ	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
철든	철들+ㄴ	VV+ETM	O
_	_	_	O
모습	모습	NNG	O
에	에	JKB	O
_	_	_	O
마음	마음	NNG	O
도	도	JX	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
아	아프	VA	O
팠	았	EP	O
던	던	ETM	O
,	,	SP	O
_	_	_	O
멤버	멤버	NNG	O
가	가	JKS	O
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
Joker	Joker	SL	B-POH
’	’+이	SS+VCP	O
라는	라는	ETM	O
_	_	_	O
곡	곡	NNG	O
으로	으로	JKB	O
_	_	_	O
활동할	활동하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
걸	걸	NNG	O
그룹	그룹	NNG	O
계	계	XSN	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
유일무이한	유일무이하+ㄴ	VA+ETM	O
_	_	_	O
경험	경험	NNG	O
을	을	JKO	O
_	_	_	O
할	하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
해	하+여	VX+EC	O
준	주+ㄴ	VX+ETM	O
_	_	_	O
수빈이	수빈이	NNP	O
가	가	JKS	O
_	_	_	O
어마어마한	어마어마하+ㄴ	VA+ETM	O
_	_	_	O
곡	곡	NNG	O
으로	으로	JKB	O
_	_	_	O
컴백	컴백	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
으니	으니	EC	O
_	_	_	O
기대	기대	NNG	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
해	하+여	VV+EC	O
주	주	VX	O
시	시	EP	O
고	고	EC	O
_	_	_	O
이	이	MM	O
_	_	_	O
친구	친구	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
언제	언제	MAG	O
_	_	_	O
어떤	어떤	MM	O
_	_	_	O
무대	무대	NNG	O
에서	에서	JKB	O
든	든	JX	O
_	_	_	O
힘낼	힘내+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
게	게	EC	O
_	_	_	O
응원	응원	NNG	O
도	도	JX	O
_	_	_	O
크	크	VA	O
게	게	EF	O
!	!	SF	O
많이	많이	MAG	O
!	!	SF	O
_	_	_	O
해	하+여	VV+EC	O
주	주	VX	O
시	시	EP	O
면	면	EC	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
감사할	감사하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
_	_	_	O
같	같	VA	O
아요	아요	EF	O
.	.	SF	O

## 12
## 또 온주완은 “여자 분들은 머리가 내려와 있지 않냐”는 말과 함께 흘러내린 조여정의 머릿결을 자연스럽게 넘겨주는 등 특급 노하우를 아낌 없이 전수해 화제를 모았다.
## 또 <온주완:PER>은 “여자 분들은 머리가 내려와 있지 않냐”는 말과 함께 흘러내린 <조여정:PER>의 머릿결을 자연스럽게 넘겨주는 등 특급 노하우를 아낌 없이 전수해 화제를 모았다.
또	또	MAG	O
_	_	_	O
온주	온주	NNG	B-PER
완	완	NNP	I-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
여자	여자	NNG	O
_	_	_	O
분	분	NNB	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
머리	머리	NNG	O
가	가	JKS	O
_	_	_	O
내려	내려오	VV	O
와	아	EC	O
_	_	_	O
있	있	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
냐	냐	EF	O
”	”	SS	O
는	는	JX	O
_	_	_	O
말	말	NNG	O
과	과	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
흘러내린	흘러내리+ㄴ	VV+ETM	O
_	_	_	O
조여정	조여정	NNP	B-PER
의	의	JKG	O
_	_	_	O
머릿결	머릿결	NNG	O
을	을	JKO	O
_	_	_	O
자연스럽	자연스럽	VA	O
게	게	EC	O
_	_	_	O
넘겨주	넘겨주	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
특급	특급	NNG	O
_	_	_	O
노하우	노하우	NNG	O
를	를	JKO	O
_	_	_	O
아낌	아끼+ㅁ	VV+ETN	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
전	전	NNG	O
수해	수해	NNG	O
_	_	_	O
화제	화제	NNG	O
를	를	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 한편, 26일 한 매체는 “온주완과 조보아가 지난해 8월 방송한 tvN 드라마 ‘잉여공주’에서의 호흡을 계기로 가까워졌다”며 두 사람의 열애설을 제기했다이에 온주완의 소속사 윌엔터테인먼트는 이날 “두 배우가 연인으로 만나고 있음을 확인했다”고 열애를 공식 인정했다.
## 한편, <26일:DAT> <한:NOH> 매체는 “<온주완:PER>과 <조보아:PER>가 지난해 <8월:DAT> 방송한 <tvN:ORG> 드라마 ‘<잉여공주:POH>’에서의 호흡을 계기로 가까워졌다”며 <두 사람:NOH>의 열애설을 제기했다이에 <온주완:PER>의 소속사 <윌엔터테인먼트:ORG>는 이날 “<두 배우:NOH>가 연인으로 만나고 있음을 확인했다”고 열애를 공식 인정했다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
26	26	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
한	한	MM	B-NOH
_	_	_	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
온주완	온주완	NNG	B-PER
과	과	JC	O
_	_	_	O
조보아	조보아	NNP	B-PER
가	가	JKS	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
8	8	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
방송한	방송하+ㄴ	VV+ETM	O
_	_	_	O
tvN	tvN	SL	B-ORG
_	_	_	O
드라마	드라마	NNG	O
_	_	_	O
‘	‘	SS	O
잉여	잉여	NNG	B-POH
공주	공주	NNG	I-POH
’	’	SS	O
에서	에서	JKB	O
의	의	JKG	O
_	_	_	O
호흡	호흡	NNG	O
을	을	JKO	O
_	_	_	O
계기	계기	NNG	O
로	로	JKB	O
_	_	_	O
가까	가깝	VA	O
워	어+지	EC+VX	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
사람	사람	NNG	I-NOH
의	의	JKG	O
_	_	_	O
열애	열애	NNG	O
설	설	XSN	O
을	을	JKO	O
_	_	_	O
제기	제기하	VV	O
했	였	EP	O
다	다	EC	O
이	이	NP	O
에	에	JKB	O
_	_	_	O
온주	온주	NNG	B-PER
완	완	NNP	I-PER
의	의	JKG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
_	_	_	O
윌	윌	NNP	B-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
는	는	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
“	“	SS	O
두	두	MM	B-NOH
_	_	_	I-NOH
배우	배우	NNG	I-NOH
가	가	JKS	O
_	_	_	O
연인	연인	NNG	O
으로	으로	JKB	O
_	_	_	O
만나	만나	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
음	음	ETN	O
을	을	JKO	O
_	_	_	O
확인	확인하	VV	O
했	였	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
열애	열애	NNG	O
를	를	JKO	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
인정	인정하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

