## 1
## Ingredients생미역 ½컵, 달걀 1개, 물 4컵, 닭가슴살 1쪽, 대파 1대(10cm), 마늘 3쪽, 간장 1작은술, 소금 · 녹말물 약간씩How to make1 미역은 흐르는 물에 씻어 먹기 좋은 크기로 썬다.
## Ingredients생미역 <½컵:NOH>, 달걀 <1개:NOH>, 물 <4컵:NOH>, 닭가슴살 <1쪽:NOH>, 대파 <1대:NOH>(<10cm:NOH>), 마늘 <3쪽:NOH>, 간장 <1작은술:NOH>, 소금 · 녹말물 약간씩How to make<1:NOH> 미역은 흐르는 물에 씻어 먹기 좋은 크기로 썬다.
Ingredients	Ingredients	SL	O
## 김준일 락앤락 회장(64·사진)이 아시아 국가들의 화합을 도모하기 위해 20억 원을 출연한 재단법인 아시아발전재단이 31일 발족한다.
## <김준일:PER> <락앤락:ORG> 회장(<64:NOH>·사진)이 <아시아:LOC> 국가들의 화합을 도모하기 위해 <20억 원:MNY>을 출연한 재단법인 <아시아발전재단:ORG>이 <31일:DAT> 발족한다.
김준일	김준일	NNP	B-PER
_	_	_	O
락앤락	락앤락	NNG	B-ORG
_	_	_	O
회장	회장	NNG	O
(	(	SS	O
64	64	SN	B-NOH
·	·	SP	O
사진	사진	NNG	O
)	)	SS	O
이	이	JKS	O
_	_	_	O
아시아	아시아	NNP	B-LOC
_	_	_	O
국가	국가	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
화합	화합	NNG	O
을	을	JKO	O
_	_	_	O
도모하	도모하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
20	20	SN	B-MNY
억	억	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
출연한	출연하+ㄴ	VV+ETM	O
_	_	_	O
재단	재단	NNG	O
법인	법인	NNG	O
_	_	_	O
아시아	아시아	NNP	B-ORG
발전	발전	NNG	I-ORG
재단	재단	NNG	I-ORG
이	이	JKS	O
_	_	_	O
31	31	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
발족한다	발족하+ㄴ다	VV+EF	O
.	.	SF	O

## 4
## 24일 한국자동차협회에 따르면 지난 1월 3만302대가 판매된 SUV는 매월 수요가 증가했다.
## <24일:DAT> <한국자동차협회:ORG>에 따르면 지난 <1월:DAT> <3만302대:NOH>가 판매된 SUV는 매월 수요가 증가했다.
24	24	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
한국자동차협회	한국자동차협회	NNP	B-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
1	1	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
3	3	SN	B-NOH
만	만	NR	I-NOH
302	302	SN	I-NOH
대	대	NNB	I-NOH
가	가	JKS	O
_	_	_	O
판매된	판매되+ㄴ	VV+ETM	O
_	_	_	O
SUV	SUV	SL	O
는	는	JX	O
_	_	_	O
매월	매월	MAG	O
_	_	_	O
수요	수요	NNG	O
가	가	JKS	O
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그런데 윤건이 연세대를 나왔다고 하니까 정말이냐며 '어쩜 그렇게 공부도 잘하고 잘생기고 착하냐'라고 하더라"고 윤건을 향한 장모님의 마음을 전했다.
## 그런데 <윤건:PER>이 <연세대:ORG>를 나왔다고 하니까 정말이냐며 '어쩜 그렇게 공부도 잘하고 잘생기고 착하냐'라고 하더라"고 <윤건:PER>을 향한 장모님의 마음을 전했다.
그런데	그런데	MAJ	O
_	_	_	O
윤건	윤건	NNP	B-PER
이	이	JKS	O
_	_	_	O
연세대	연세대	NNP	B-ORG
를	를	JKO	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다고	다고	EC	O
_	_	_	O
하	하	VX	O
니까	니까	EC	O
_	_	_	O
정말	정말	NNG	O
이	이	VCP	O
냐며	냐며	EC	O
_	_	_	O
'	'	SS	O
어쩜	어쩜	MAG	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
공부	공부	NNG	O
도	도	JX	O
_	_	_	O
잘하	잘하	VV	O
고	고	EC	O
_	_	_	O
잘생기	잘생기	VA	O
고	고	EC	O
_	_	_	O
착하	착하	VA	O
냐	냐	EF	O
'	'	SS	O
라고	라고	JKQ	O
_	_	_	O
하	하	VV	O
더라	더라	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
윤건	윤건	NNP	B-PER
을	을	JKO	O
_	_	_	O
향한	향하+ㄴ	VV+ETM	O
_	_	_	O
장모님	장모님	NNG	O
의	의	JKG	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 상당한 거리를 매일 비행하기가 현재로선 쉽지 않다고 NYT는 지적했다.
## 상당한 거리를 매일 비행하기가 현재로선 쉽지 않다고 <NYT:ORG>는 지적했다.
상당한	상당하+ㄴ	VA+ETM	O
_	_	_	O
거리	거리	NNG	O
를	를	JKO	O
_	_	_	O
매일	매일	MAG	O
_	_	_	O
비행하	비행하	VV	O
기	기	ETN	O
가	가	JKS	O
_	_	_	O
현재	현재	NNG	O
로선	로서+ㄴ	JKB+JX	O
_	_	_	O
쉽	쉽	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
다고	다고	EC	O
_	_	_	O
NYT	NYT	SL	B-ORG
는	는	JX	O
_	_	_	O
지적	지적하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 화승실업­국제상사 수십년사업 방향전환 “주목”
## <화승실업:ORG>­<국제상사:ORG> 수십년사업 방향전환 “주목”
화승	화승	NNG	B-ORG
실업	실업	NNG	I-ORG
­	­	SS	O
국제상사	국제상사	NNP	B-ORG
_	_	_	O
수십	수십	NR	O
년	년	NNB	O
사업	사업	NNG	O
_	_	_	O
방향	방향	NNG	O
전환	전환	NNG	O
_	_	_	O
“	“	SS	O
주목	주목	NNG	O
”	”	SS	O

## 8
## 이현희교수는 『서금2로 건물은 이동휘 이동녕 신규식선생 등 임정요인들이 1919년 4월10일부터 이틀간 최초의 임시의정원회의를 여는 등 한달여동안 국호 정부조직법제정 각료선정 등 임정정부수립작업을 벌인 장소로 대한민국정부가 탄생한 역사적 장소』라며 『이 건물에 대한 기록은 조선민족운동연감 등 곳곳에 나타나 있었으나 49년이후 본래 명칭(김신부로)이 현주소로 바뀌는 바람에 그동안 일반에 알려지지 않았다』고 말했다.
## <이현희:PER>교수는 『<서금2로:LOC> 건물은 <이동휘:PER> <이동녕:PER> <신규식:PER>선생 등 임정요인들이 <1919년 4월10일:DAT>부터 <이틀간:DUR> 최초의 임시의정원회의를 여는 등 <한달여동안:DUR> 국호 정부조직법제정 각료선정 등 임정정부수립작업을 벌인 장소로 <대한민국정부:ORG>가 탄생한 역사적 장소』라며 『이 건물에 대한 기록은 <조선민족운동연감:POH> 등 곳곳에 나타나 있었으나 <49년:DAT>이후 본래 명칭(<김신부로:LOC>)이 현주소로 바뀌는 바람에 그동안 일반에 알려지지 않았다』고 말했다.
이현희	이현희	NNP	B-PER
교수	교수	NNG	O
는	는	JX	O
_	_	_	O
『	『	SS	O
서금	서금	NNG	B-LOC
2	2	SN	I-LOC
로	로	JKB	I-LOC
_	_	_	O
건물	건물	NNG	O
은	은	JX	O
_	_	_	O
이동휘	이동휘	NNP	B-PER
_	_	_	O
이동녕	이동녕	NNP	B-PER
_	_	_	O
신규식	신규식	NNP	B-PER
선생	선생	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
임정	임정	NNG	O
요인	요인	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
1919	1919	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	I-DAT
4	4	SN	I-DAT
월	월	NNB	I-DAT
10	10	SN	I-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
이틀	이틀	NNG	B-DUR
간	간	XSN	I-DUR
_	_	_	O
최초	최초	NNG	O
의	의	JKG	O
_	_	_	O
임시	임시	NNG	O
의정원	의정원	NNG	O
회의	회의	NNG	O
를	를	JKO	O
_	_	_	O
여	열	VV	O
는	는	ETM	O
_	_	_	O
등	등	NNB	O
_	_	_	O
한	한	MM	B-DUR
달	달	NNB	I-DUR
여	여	XSN	I-DUR
동안	동안	NNG	I-DUR
_	_	_	O
국호	국호	NNG	O
_	_	_	O
정부	정부	NNG	O
조직법	조직법	NNG	O
제정	제정	NNG	O
_	_	_	O
각료	각료	NNG	O
선정	선정	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
임정	임정	NNG	O
정부	정부	NNG	O
수립	수립	NNG	O
작업	작업	NNG	O
을	을	JKO	O
_	_	_	O
벌인	벌이+ㄴ	VV+ETM	O
_	_	_	O
장소	장소	NNG	O
로	로	JKB	O
_	_	_	O
대한민국	대한민국	NNP	B-ORG
정부	정부	NNG	I-ORG
가	가	JKS	O
_	_	_	O
탄생한	탄생하+ㄴ	VV+ETM	O
_	_	_	O
역사적	역사적	NNG	O
_	_	_	O
장소	장소	NNG	O
』	』+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
『	『	SS	O
이	이	MM	O
_	_	_	O
건물	건물	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
기록	기록	NNG	O
은	은	JX	O
_	_	_	O
조선	조선	NNP	B-POH
민족	민족	NNG	I-POH
운동	운동	NNG	I-POH
연감	연감	NNG	I-POH
_	_	_	O
등	등	NNB	O
_	_	_	O
곳곳	곳곳	NNG	O
에	에	JKB	O
_	_	_	O
나타나	나타나+아	VV+EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
으나	으나	EC	O
_	_	_	O
49	49	SN	B-DAT
년	년	NNB	I-DAT
이후	이후	NNG	O
_	_	_	O
본래	본래	NNG	O
_	_	_	O
명칭	명칭	NNG	O
(	(	SS	O
김	김	NNP	B-LOC
신부	신부	NNG	I-LOC
로	로	XSN	I-LOC
)	)	SS	O
이	이	JKS	O
_	_	_	O
현주소	현주소	NNG	O
로	로	JKB	O
_	_	_	O
바뀌	바뀌	VV	O
는	는	ETM	O
_	_	_	O
바람	바람	NNB	O
에	에	JKB	O
_	_	_	O
그동안	그동안	NNG	O
_	_	_	O
일반	일반	NNG	O
에	에	JKB	O
_	_	_	O
알려지	알려지	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
다	다	EF	O
』	』	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 이수만, 양현석, 배용준 등 연예인 주식부자들의 주식자산 평가액이 절반가량 줄었다.
## <이수만:PER>, <양현석:PER>, <배용준:PER> 등 연예인 주식부자들의 주식자산 평가액이 절반가량 줄었다.
이수만	이수만	NNP	B-PER
,	,	SP	O
_	_	_	O
양현석	양현석	NNP	B-PER
,	,	SP	O
_	_	_	O
배용준	배용준	NNP	B-PER
_	_	_	O
등	등	NNB	O
_	_	_	O
연예인	연예인	NNG	O
_	_	_	O
주식	주식	NNG	O
부자	부자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
주식	주식	NNG	O
자산	자산	NNG	O
_	_	_	O
평가	평가	NNG	O
액	액	XSN	O
이	이	JKS	O
_	_	_	O
절반	절반	NNG	O
가량	가량	XSN	O
_	_	_	O
줄	줄	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 고려대를 비롯해 순천향대·인제대백병원 등 전국 20여 개 종합병원이 무수혈 수술을 도입했다.
## <고려대:ORG>를 비롯해 <순천향대:ORG>·<인제대백병원:ORG> 등 전국 <20여 개:NOH> 종합병원이 무수혈 수술을 도입했다.
고려대	고려대	NNP	B-ORG
를	를	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
순천향대	순천향대	NNP	B-ORG
·	·	SP	O
인제대	인제대	NNP	B-ORG
백병원	백병원	NNP	I-ORG
_	_	_	O
등	등	NNB	O
_	_	_	O
전국	전국	NNG	O
_	_	_	O
20	20	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
_	_	_	O
종합	종합	NNG	O
병원	병원	NNG	O
이	이	JKS	O
_	_	_	O
무	무	NNG	O
수혈	수혈	NNG	O
_	_	_	O
수술	수술	NNG	O
을	을	JKO	O
_	_	_	O
도입	도입하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 하루짜리 유쾌한 휴가였다.
## <하루:NOH>짜리 유쾌한 휴가였다.
하루	하루	NNG	B-NOH
짜리	짜리	XSN	O
_	_	_	O
유쾌한	유쾌하+ㄴ	VA+ETM	O
_	_	_	O
휴가	휴가+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## OK저축은행은 챔피언결정전을 앞두고 외국인 선수 시몬(29)이 수염을, 송명근(23)이 머리를 팀의 상징색인 노란색으로 염색했다.
## <OK저축은행:ORG>은 챔피언결정전을 앞두고 외국인 선수 <시몬:PER>(<29:NOH>)이 수염을, <송명근:PER>(<23:NOH>)이 머리를 팀의 상징색인 노란색으로 염색했다.
OK	OK	SL	B-ORG
저축은행	저축은행	NNG	I-ORG
은	은	JX	O
_	_	_	O
챔피언	챔피언	NNG	O
결정	결정	NNG	O
전	전	XSN	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
외국인	외국인	NNG	O
_	_	_	O
선수	선수	NNG	O
_	_	_	O
시몬	시몬	NNP	B-PER
(	(	SS	O
29	29	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
수염	수염	NNG	O
을	을	JKO	O
,	,	SP	O
_	_	_	O
송명근	송명근	NNP	B-PER
(	(	SS	O
23	23	SN	B-NOH
)	)	SS	O
이	이	JKS	O
_	_	_	O
머리	머리	NNG	O
를	를	JKO	O
_	_	_	O
팀	팀	NNG	O
의	의	JKG	O
_	_	_	O
상징	상징	NNG	O
색	색	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
노란색	노란색	NNG	O
으로	으로	JKB	O
_	_	_	O
염색	염색하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 박흥식 코치 “KIA 타선 키맨은 최희섭”
## <박흥식:PER> 코치 “<KIA:ORG> 타선 키맨은 <최희섭:PER>”
박흥식	박흥식	NNP	B-PER
_	_	_	O
코치	코치	NNG	O
_	_	_	O
“	“	SS	O
KIA	KIA	SL	B-ORG
_	_	_	O
타선	타선	NNG	O
_	_	_	O
키	키	NNG	O
맨	맨	NNG	O
은	은	JX	O
_	_	_	O
최희섭	최희섭	NNP	B-PER
”	”	SS	O

## 14
## 독자들에게도 활짝 미소가 지어질 만큼 흐뭇한 선물이 될 거예요. 청딱따구리야 그런 사실을 알든 말든. 김혜진 어린이도서평론가
## 독자들에게도 활짝 미소가 지어질 만큼 흐뭇한 선물이 될 거예요. 청딱따구리야 그런 사실을 알든 말든. <김혜진:PER> 어린이도서평론가
독자	독자	NNG	O
들	들	XSN	O
에게	에게	JKB	O
도	도	JX	O
_	_	_	O
활짝	활짝	MAG	O
_	_	_	O
미소	미소	NNG	O
가	가	JKS	O
_	_	_	O
지	짓	VV	O
어	어	EC	O
질	지+ㄹ	VX+ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
흐뭇한	흐뭇하+ㄴ	VA+ETM	O
_	_	_	O
선물	선물	NNG	O
이	이	JKC	O
_	_	_	O
될	되+ㄹ	VV+ETM	O
_	_	_	O
거	것+이	NNB+VCP	O
예요	에요	EF	O
.	.	SF	O
_	_	_	O
청딱따구리	청딱따구리	NNG	O
야	야	JX	O
_	_	_	O
그런	그런	MM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
알든	알든	NNP	O
_	_	_	O
말	말	VV	O
든	든	EF	O
.	.	SF	O
_	_	_	O
김혜진	김혜진	NNP	B-PER
_	_	_	O
어린이	어린이	NNG	O
도서	도서	NNG	O
평론가	평론가	NNG	O

## 15
## A-마운트와 E-마운트, FE-마운트 모두 칼 자이스 렌즈가 전체 50% 가량을 차지할 정도.그러나 소니는 지-마스터(G-Master) 렌즈를 2016년 초에 공개하며 색다른 행보를 이어나갔다.
## A-마운트와 E-마운트, FE-마운트 모두 <칼 자이스 렌즈:POH>가 전체 <50%:PNT> 가량을 차지할 정도.그러나 <소니:ORG>는 <지-마스터(G-Master) 렌즈:POH>를 <2016년:DAT> 초에 공개하며 색다른 행보를 이어나갔다.
A	A	SL	O
-	-	SO	O
마운트	마운트	NNG	O
와	와	JC	O
_	_	_	O
E	E	SL	O
-	-	SO	O
마운트	마운트	NNG	O
,	,	SP	O
_	_	_	O
FE	FE	SL	O
-	-	SO	O
마운트	마운트	NNG	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
칼	칼	NNG	B-POH
_	_	_	I-POH
자	자	XSN	I-POH
이스	이스	NNP	I-POH
_	_	_	I-POH
렌즈	렌즈	NNG	I-POH
가	가	JKS	O
_	_	_	O
전체	전체	NNG	O
_	_	_	O
50	50	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
가량	가량	XSN	O
을	을	JKO	O
_	_	_	O
차지할	차지하+ㄹ	VV+ETM	O
_	_	_	O
정도	정도	NNG	O
.	.	SF	O
그러나	그러나	MAJ	O
_	_	_	O
소니	소니	NNP	B-ORG
는	는	JX	O
_	_	_	O
지	지	NNB	B-POH
-	-	SO	I-POH
마스터	마스터	NNG	I-POH
(	(	SS	I-POH
G	G	SL	I-POH
-	-	SO	I-POH
Master	Master	SL	I-POH
)	)	SS	I-POH
_	_	_	I-POH
렌즈	렌즈	NNG	I-POH
를	를	JKO	O
_	_	_	O
2016	2016	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
초	초	NNB	O
에	에	JKB	O
_	_	_	O
공개하	공개하	VV	O
며	며	EC	O
_	_	_	O
색다른	색다르+ㄴ	VA+ETM	O
_	_	_	O
행보	행보	NNG	O
를	를	JKO	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
나	나가	VX	O
갔	았	EP	O
다	다	EF	O
.	.	SF	O

## 16
## “광윤사 14일 주주총회… 신동빈 이사직 해임, 신격호 회장 주식 1주 받아 지분 과반 확보”
## “<광윤사:ORG> <14일:DAT> 주주총회… <신동빈:PER> 이사직 해임, <신격호:PER> 회장 주식 <1주:NOH> 받아 지분 과반 확보”
“	“	SS	O
광윤사	광윤사	NNP	B-ORG
_	_	_	O
14	14	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
주주	주주	NNG	O
총회	총회	NNG	O
…	…	SE	O
_	_	_	O
신동빈	신동빈	NNP	B-PER
_	_	_	O
이사	이사	NNG	O
직	직	NNG	O
_	_	_	O
해임	해임	NNG	O
,	,	SP	O
_	_	_	O
신격호	신격호	NNP	B-PER
_	_	_	O
회장	회장	NNG	O
_	_	_	O
주식	주식	NNG	O
_	_	_	O
1	1	SN	B-NOH
주	주	NNB	I-NOH
_	_	_	O
받	받	VV	O
아	아	EC	O
_	_	_	O
지분	지분	NNG	O
_	_	_	O
과반	과반	NNG	O
_	_	_	O
확보	확보	NNG	O
”	”	SS	O

