## 1
## 당일만 해도 블링켄베르 변호사는 로이터통신과 인터뷰를 가지며 “송환 문제를 법원으로 가져가 싸우겠다”고 밝혔으나 이후 돌연 숨진 것이다.
## 당일만 해도 <블링켄베르:PER> 변호사는 <로이터통신:ORG>과 인터뷰를 가지며 “송환 문제를 법원으로 가져가 싸우겠다”고 밝혔으나 이후 돌연 숨진 것이다.
당일	당일	NNG	O
큰	크+ㄴ	VA+ETM	O
_	_	_	O
아쉬움	아쉬움	NNG	O
은	은	JX	O
_	_	_	O
자식	자식	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
어린데	어리+ㄴ데	VA+EC	O
도	도	JX	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
많	많	VA	O
은	은	ETM	O
_	_	_	O
일	일	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다는	다는	ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 네티즌들은 그를 아이돌 그룹 틴탑의 천지라 추측해 눈길을 모았다.
## 네티즌들은 그를 아이돌 그룹 <틴탑:ORG>의 <천지:PER>라 추측해 눈길을 모았다.
네티즌	네티즌	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
그	그	NP	O
를	를	JKO	O
_	_	_	O
아이돌	아이돌	NNG	O
_	_	_	O
그룹	그룹	NNG	O
_	_	_	O
틴탑	틴탑	NNP	B-ORG
의	의	JKG	O
_	_	_	O
천지	천지+이	NNG+VCP	B-PER
라	라	EC	O
_	_	_	O
추측해	추측하+여	VV+EC	O
_	_	_	O
눈길	눈길	NNG	O
을	을	JKO	O
_	_	_	O
모	모으	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 이와 함께 스토리가 있는 4개의 마당 및 힐링 체험을 위한 6개의 정원 등 다채로운 단지 내 테마공원도 조성될 예정이다.
## 이와 함께 스토리가 있는 <4개:NOH>의 마당 및 힐링 체험을 위한 <6개:NOH>의 정원 등 다채로운 단지 내 테마공원도 조성될 예정이다.
이	이	NP	O
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
스토리	스토리	NNG	O
가	가	JKS	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
마당	마당	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
힐링	힐링	NNG	O
_	_	_	O
체험	체험	NNG	O
을	을	JKO	O
_	_	_	O
위한	위하+ㄴ	VV+ETM	O
_	_	_	O
6	6	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
정원	정원	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다채로	다채롭	VA	O
운	ㄴ	ETM	O
_	_	_	O
단지	단지	NNG	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
테마	테마	NNG	O
공원	공원	NNG	O
도	도	JX	O
_	_	_	O
조성될	조성되+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘포항 리버카운티’가 위치한 원동지구는 남쪽의 문덕지구와 함께 형산강 이남 지역을 대표하는 신도시급 주거지역으로 떠오르고 있다.
## ‘<포항 리버카운티:LOC>’가 위치한 <원동지구:LOC>는 남쪽의 <문덕지구:LOC>와 함께 <형산강 이남:LOC> 지역을 대표하는 신도시급 주거지역으로 떠오르고 있다.
‘	‘	SS	O
포항	포항	NNP	B-LOC
_	_	_	I-LOC
리버	리버	NNG	I-LOC
카운티	카운티	NNG	I-LOC
’	’	SS	O
가	가	JKS	O
_	_	_	O
위치한	위치하+ㄴ	VV+ETM	O
_	_	_	O
원동	원동	NNP	B-LOC
지구	지구	NNG	I-LOC
는	는	JX	O
_	_	_	O
남쪽	남쪽	NNG	O
의	의	JKG	O
_	_	_	O
문덕	문덕	NNG	B-LOC
지구	지구	NNG	I-LOC
와	와	JKB	O
_	_	_	O
함께	함께	MAG	O
_	_	_	O
형산강	형산강	NNP	B-LOC
_	_	_	I-LOC
이남	이남	NNG	I-LOC
_	_	_	O
지역	지역	NNG	O
을	을	JKO	O
_	_	_	O
대표하	대표하	VV	O
는	는	ETM	O
_	_	_	O
신도시	신도시	NNG	O
급	급	NNG	O
_	_	_	O
주거	주거	NNG	O
지역	지역	NNG	O
으로	으로	JKB	O
_	_	_	O
떠오르	떠오르	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## “朴대통령 경제사절단”…거짓말로 주가조작 혐의 벤처회장 재판에
## “<朴:PER>대통령 경제사절단”…거짓말로 주가조작 혐의 벤처회장 재판에
“	“	SS	O
朴	朴	SH	B-PER
대통령	대통령	NNG	O
_	_	_	O
경제	경제	NNG	O
사절단	사절단	NNG	O
”	”	SS	O
…	…	SE	O
거짓말	거짓말	NNG	O
로	로	JKB	O
_	_	_	O
주가	주가	NNG	O
조작	조작	NNG	O
_	_	_	O
혐의	혐의	NNG	O
_	_	_	O
벤처	벤처	NNG	O
회장	회장	NNG	O
_	_	_	O
재판	재판	NNG	O
에	에	JKB	O

## 8
## 국제원자력기구(IAEA)가 이를 철저히 검증한 뒤 미국과 유럽연합(EU)은 제재를 풀게 된다.
## <국제원자력기구:ORG>(<IAEA:ORG>)가 이를 철저히 검증한 뒤 <미국:ORG>과 <유럽연합:ORG>(<EU:ORG>)은 제재를 풀게 된다.
국제	국제	NNG	B-ORG
원자력	원자력	NNG	I-ORG
기구	기구	NNG	I-ORG
(	(	SS	O
IAEA	IAEA	SL	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
이	이	NP	O
를	를	JKO	O
_	_	_	O
철저히	철저히	MAG	O
_	_	_	O
검증한	검증하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
미국	미국	NNP	B-ORG
과	과	JC	O
_	_	_	O
유럽	유럽	NNP	B-ORG
연합	연합	NNG	I-ORG
(	(	SS	O
EU	EU	SL	B-ORG
)	)	SS	O
은	은	JX	O
_	_	_	O
제재	제재	NNG	O
를	를	JKO	O
_	_	_	O
풀	풀	VV	O
게	게	EC	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 8일 JYP엔터테인먼트(이하 JYP)는 신인 걸그룹 프로젝트 엠넷 ‘식스틴’의 멤버 선발 결과와 관련해 멤버 선정 기준을 밝혔다.
## <8일:DAT> <JYP엔터테인먼트:ORG>(이하 <JYP:ORG>)는 신인 걸그룹 프로젝트 <엠넷:ORG> ‘<식스틴:ORG>’의 멤버 선발 결과와 관련해 멤버 선정 기준을 밝혔다.
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
JYP	JYP	SL	B-ORG
엔터테인먼트	엔터테인먼트	NNG	I-ORG
(	(	SS	O
이하	이하	NNG	O
_	_	_	O
JYP	JYP	SL	B-ORG
)	)	SS	O
는	는	JX	O
_	_	_	O
신인	신인	NNG	O
_	_	_	O
걸그룹	걸그룹	NNG	O
_	_	_	O
프로젝트	프로젝트	NNG	O
_	_	_	O
엠넷	엠넷	NNP	B-ORG
_	_	_	O
‘	‘	SS	O
식스틴	식스틴	NNG	B-ORG
’	’	SS	O
의	의	JKG	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
선발	선발	NNG	O
_	_	_	O
결과	결과	NNG	O
와	와	JKB	O
_	_	_	O
관련해	관련하+여	VV+EC	O
_	_	_	O
멤버	멤버	NNG	O
_	_	_	O
선정	선정	NNG	O
_	_	_	O
기준	기준	NNG	O
을	을	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 전체 염색체 중 13군데를 비교하니 틀릴 확률이 10억분의 1이다.
## 전체 염색체 중 1<3군데:NOH>를 비교하니 틀릴 확률이 <10억분의 1:PNT>이다.
전체	전체	NNG	O
_	_	_	O
염색체	염색체	NNG	O
_	_	_	O
중	중	NNP	O
_	_	_	O
13	13	SN	B-NOH
군데	군데	NNB	I-NOH
를	를	JKO	O
_	_	_	O
비교하	비교하	VV	O
니	니	EC	O
_	_	_	O
틀릴	틀리+ㄹ	VV+ETM	O
_	_	_	O
확률	확률	NNG	O
이	이	JKS	O
_	_	_	O
10	10	SN	B-PNT
억	억	NR	I-PNT
분	분	XSN	I-PNT
의	의	JKG	I-PNT
_	_	_	I-PNT
1	1	SN	I-PNT
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 11
## 청라국제도시 계획인구수가 9만 여명인 것으로 보며 약 90%가 입주를 완료한 셈이다.
## <청라국제도시:PER> 계획인구수가 <9만 여명:NOH>인 것으로 보며 약 <90%:PNT>가 입주를 완료한 셈이다.
청라	청라	NNP	B-PER
국제도시	국제도시	NNG	I-PER
_	_	_	O
계획	계획	NNG	O
인구수	인구수	NNG	O
가	가	JKS	O
_	_	_	O
9	9	SN	B-NOH
만	만	NR	I-NOH
_	_	_	I-NOH
여명	여명	NNG	I-NOH
인	이+ㄴ	VCP+ETM	O
_	_	_	O
것	것	NNB	O
으로	으로	JKB	O
_	_	_	O
보	보	VV	O
며	며	EC	O
_	_	_	O
약	약	MM	O
_	_	_	O
90	90	SN	B-PNT
%	%	SW	I-PNT
가	가	JKS	O
_	_	_	O
입주	입주	NNG	O
를	를	JKO	O
_	_	_	O
완료한	완료하+ㄴ	VV+ETM	O
_	_	_	O
셈	셈	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

