## 1
## 사고가 난 해리슨포드는 현재 긴급구조팀에 의 해 병원으로 옮겨져 치료를 받고 있다.
## 사고가 난 <해리슨포드:PER>는 현재 긴급구조팀에 의 해 병원으로 옮겨져 치료를 받고 있다.
사고	사고	NNG	O
_	_	_	O
아들	아들	NNG	O
_	_	_	O
벤	벤	NNP	B-PER
_	_	_	I-PER
포드	포드	NNP	I-PER
는	는	JX	O
_	_	_	O
6	6	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
트위터	트위터	NNP	B-POH
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
“	“	SS	O
아버지	아버지	NNG	O
는	는	JX	O
_	_	_	O
다치	다치	VV	O
긴	기+ㄴ	ETN+JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
괜찮	괜찮	VA	O
다	다	EF	O
”	”	SS	O
며	며	EF	O
“	“	SS	O
아버지	아버지	NNG	O
는	는	JX	O
_	_	_	O
믿기	믿기	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
을	을	ETM	O
_	_	_	O
만큼	만큼	NNB	O
_	_	_	O
강한	강하+ㄴ	VA+ETM	O
_	_	_	O
사람	사람	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 4
## ‘제1 중동 붐’ 해외건설 역사
## ‘<제1 중동 붐:POH>’ 해외건설 역사
‘	‘	SS	O
제	제	XPN	B-POH
1	1	SN	I-POH
_	_	_	I-POH
중동	중동	NNP	I-POH
_	_	_	I-POH
붐	붐	NNG	I-POH
’	’	SS	O
_	_	_	O
해외	해외	NNG	O
건설	건설	NNG	O
_	_	_	O
역사	역사	NNG	O

## 5
## 현재 프라고나르는 프랑스 전역에 직영 매장 20개, 향수 박물관과 미술관 및 패션 박물관 5개를 운영하고 있다.
## 현재 <프라고나르:ORG>는 <프랑스:LOC> 전역에 직영 매장 <20개:NOH>, 향수 박물관과 미술관 및 패션 박물관 <5개:NOH>를 운영하고 있다.
현재	현재	MAG	O
_	_	_	O
프라고나르	프라고나르	NNP	B-ORG
는	는	JX	O
_	_	_	O
프랑스	프랑스	NNP	B-LOC
_	_	_	O
전역	전역	NNG	O
에	에	JKB	O
_	_	_	O
직영	직영	NNG	O
_	_	_	O
매장	매장	NNG	O
_	_	_	O
20	20	SN	B-NOH
개	개	NNB	I-NOH
,	,	SP	O
_	_	_	O
향수	향수	NNG	O
_	_	_	O
박물관	박물관	NNG	O
과	과	JC	O
_	_	_	O
미술관	미술관	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
패션	패션	NNG	O
_	_	_	O
박물관	박물관	NNG	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
를	를	JKO	O
_	_	_	O
운영하	운영하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 6
## [오늘 날씨]서울.경기내륙과 충청북도 곳곳에 소나기, 낮기온이 30도 웃돌아기상청은 13일 12시30분 기상청 속보를 통해 서울.경기내륙과 충청북도 곳곳에 소나기가 온다고 알렸다.
## [오늘 날씨]<서울:LOC>.<경기:LOC>내륙과 <충청북도:LOC> 곳곳에 소나기, 낮기온이 <30도:NOH> 웃돌아기상청은 <13일:DAT> <12시30분:TIM> 기상청 속보를 통해 <서울:LOC>.<경기:LOC>내륙과 <충청북도:LOC> 곳곳에 소나기가 온다고 알렸다.
[	[	SS	O
오늘	오늘	MAG	O
_	_	_	O
날씨	날씨	NNG	O
]	]	SS	O
서울	서울	NNP	B-LOC
.	.	SF	O
경기	경기	NNP	B-LOC
내륙	내륙	NNG	O
과	과	JC	O
_	_	_	O
충청북도	충청북도	NNP	B-LOC
_	_	_	O
곳곳	곳곳	NNG	O
에	에	JKB	O
_	_	_	O
소나기	소나기	NNG	O
,	,	SP	O
_	_	_	O
낮	낮	NNG	O
기온	기온	NNG	O
이	이	JKS	O
_	_	_	O
30	30	SN	B-NOH
도	도	NNB	I-NOH
_	_	_	O
웃돌	웃돌	VV	O
아	아	EC	O
기상청	기상청	NNG	O
은	은	JX	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
12	12	SN	B-TIM
시	시	NNB	I-TIM
30	30	SN	I-TIM
분	분	NNB	I-TIM
_	_	_	O
기상청	기상청	NNG	O
_	_	_	O
속보	속보	NNG	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
서울	서울	NNP	B-LOC
.	.	SF	O
경기	경기	NNP	B-LOC
내륙	내륙	NNG	O
과	과	JC	O
_	_	_	O
충청북도	충청북도	NNP	B-LOC
_	_	_	O
곳곳	곳곳	NNG	O
에	에	JKB	O
_	_	_	O
소나기	소나기	NNG	O
가	가	JKS	O
_	_	_	O
온다고	오+ㄴ다고	VV+EC	O
_	_	_	O
알	알리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 세월호 13m 부상 목표 시간을 23일 오전 11시로 잡은 것도 이 때문이다.
## <세월호:POH> <13m:NOH> 부상 목표 시간을 <23일:DAT> <오전 11시:TIM>로 잡은 것도 이 때문이다.
세월호	세월호	NNP	B-POH
_	_	_	O
13	13	SN	B-NOH
m	m	SL	I-NOH
_	_	_	O
부상	부상	NNG	O
_	_	_	O
목표	목표	NNG	O
_	_	_	O
시간	시간	NNG	O
을	을	JKO	O
_	_	_	O
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오전	오전	NNG	B-TIM
_	_	_	I-TIM
11	11	SN	I-TIM
시	시	NNB	I-TIM
로	로	JKB	O
_	_	_	O
잡	잡	VV	O
은	은	ETM	O
_	_	_	O
것	것	NNB	O
도	도	JX	O
_	_	_	O
이	이	MM	O
_	_	_	O
때문	때문	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 8
## 남쪽 벽면에는 고(故) 신영복 선생이 쓴 ‘사람 사는 세상’이라 적힌 액자가 걸려 있다.
## 남쪽 벽면에는 고(故) <신영복:PER> 선생이 쓴 ‘사람 사는 세상’이라 적힌 액자가 걸려 있다.
남쪽	남쪽	NNG	O
_	_	_	O
벽면	벽면	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
고	고	JKQ	O
(	(	SS	O
故	故	SH	O
)	)	SS	O
_	_	_	O
신영복	신영복	NNP	B-PER
_	_	_	O
선생	선생	NNG	O
이	이	JKS	O
_	_	_	O
쓴	쓰+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
사람	사람	NNG	O
_	_	_	O
사	살	VV	O
는	는	ETM	O
_	_	_	O
세상	세상	NNG	O
’	’	SS	O
이	이	VCP	O
라	라	EC	O
_	_	_	O
적힌	적히+ㄴ	VV+ETM	O
_	_	_	O
액자	액자	NNG	O
가	가	JKS	O
_	_	_	O
걸려	걸리+어	VV+EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 회의가 끝나자마자 트럼프는 호프 힉스 대변인을 통해 루언다우스키의 경질을 발표했다.
## 회의가 끝나자마자 <트럼프:PER>는 <호프 힉스:PER> 대변인을 통해 <루언다우스키:PER>의 경질을 발표했다.
회의	회의	NNG	O
가	가	JKS	O
_	_	_	O
끝나	끝나	VV	O
자마자	자마자	EC	O
_	_	_	O
트럼프	트럼프	NNP	B-PER
는	는	JX	O
_	_	_	O
호프	호프	NNG	B-PER
_	_	_	I-PER
힉스	힉스	NNP	I-PER
_	_	_	O
대변인	대변인	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
루	루	NNG	B-PER
언다	얼+ㄴ다	VV+EC	I-PER
우스키	우스키	NNP	I-PER
의	의	JKG	O
_	_	_	O
경질	경질	NNG	O
을	을	JKO	O
_	_	_	O
발표	발표하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 중학교(김민우 마산중, 장원삼 신월중)만 다르다.
## 중학교(<김민우:PER> <마산중:ORG>, <장원삼:PER> <신월중:ORG>)만 다르다.
중학교	중학교	NNG	O
(	(	SS	O
김민우	김민우	NNP	B-PER
_	_	_	O
마산중	마산중	NNP	B-ORG
,	,	SP	O
_	_	_	O
장원삼	장원삼	NNP	B-PER
_	_	_	O
신월중	신월중	NNP	B-ORG
)	)	SS	O
만	만	JX	O
_	_	_	O
다르	다르	VA	O
다	다	EF	O
.	.	SF	O

## 11
## 그는 1980년대 말 미국 유학 시절 우연한 기회에 대중가요의 의미를 제대로 발견했다고 소개했다.
## 그는 <1980년대:DUR> 말 <미국:LOC> 유학 시절 우연한 기회에 대중가요의 의미를 제대로 발견했다고 소개했다.
그	그	NP	O
는	는	JX	O
_	_	_	O
1980	1980	SN	B-DUR
년대	년대	NNB	I-DUR
_	_	_	O
말	말	NNB	O
_	_	_	O
미국	미국	NNP	B-LOC
_	_	_	O
유학	유학	NNG	O
_	_	_	O
시절	시절	NNG	O
_	_	_	O
우연한	우연하+ㄴ	VA+ETM	O
_	_	_	O
기회	기회	NNG	O
에	에	JKB	O
_	_	_	O
대중가요	대중가요	NNG	O
의	의	JKG	O
_	_	_	O
의미	의미	NNG	O
를	를	JKO	O
_	_	_	O
제대로	제대로	MAG	O
_	_	_	O
발견	발견하	VV	O
했	였	EP	O
다고	다고	EC	O
_	_	_	O
소개	소개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 니시코리 게이는 메이저 대회인 US오픈 결승전까지 오르며 아시아권 선수의 벽을 넘어섰다는 평가를 받는다.
## <니시코리 게이:PER>는 메이저 대회인 <US오픈:POH> 결승전까지 오르며 <아시아:LOC>권 선수의 벽을 넘어섰다는 평가를 받는다.
니시	니시	NNP	B-PER
코리	코리	NNP	I-PER
_	_	_	I-PER
게이	게이	NNG	I-PER
는	는	JX	O
_	_	_	O
메이저	메이저	NNG	O
_	_	_	O
대회	대회	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
US	US	SL	B-POH
오픈	오픈	NNG	I-POH
_	_	_	O
결승전	결승전	NNG	O
까지	까지	JX	O
_	_	_	O
오르	오르	VV	O
며	며	EC	O
_	_	_	O
아시아	아시아	NNP	B-LOC
권	권	XSN	O
_	_	_	O
선수	선수	NNG	O
의	의	JKG	O
_	_	_	O
벽	벽	NNG	O
을	을	JKO	O
_	_	_	O
넘어섰	넘어서+었	VV+EP	O
다는	다는	ETM	O
_	_	_	O
평가	평가	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
는다	는다	EF	O
.	.	SF	O

## 13
## 7부소매­나팔식치마 인기
## <7부:NOH>소매­나팔식치마 인기
7	7	SN	B-NOH
부	부	NNB	I-NOH
소매	소매	NNG	O
­	­	SS	O
나팔	나팔	NNG	O
식	식	XSN	O
치마	치마	NNG	O
_	_	_	O
인기	인기	NNG	O

## 14
## 첸, 백현, 시우민은 그동안 엑소 활동을 비롯해 영화, 드라마, 예능 등 다양한 분야에서 끼와 매력을 발산해왔다.
## <첸:PER>, <백현:PER>, <시우민:PER>은 그동안 <엑소:ORG> 활동을 비롯해 영화, 드라마, 예능 등 다양한 분야에서 끼와 매력을 발산해왔다.
첸	첸	NNP	B-PER
,	,	SP	O
_	_	_	O
백현	백현	NNP	B-PER
,	,	SP	O
_	_	_	O
시우	시우	NNG	B-PER
민	민	XSN	I-PER
은	은	JX	O
_	_	_	O
그동안	그동안	NNG	O
_	_	_	O
엑소	엑소	NNP	B-ORG
_	_	_	O
활동	활동	NNG	O
을	을	JKO	O
_	_	_	O
비롯해	비롯하+여	VV+EC	O
_	_	_	O
영화	영화	NNG	O
,	,	SP	O
_	_	_	O
드라마	드라마	NNG	O
,	,	SP	O
_	_	_	O
예능	예능	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
다양한	다양하+ㄴ	VA+ETM	O
_	_	_	O
분야	분야	NNG	O
에서	에서	JKB	O
_	_	_	O
끼	끼	NNG	O
와	와	JC	O
_	_	_	O
매력	매력	NNG	O
을	을	JKO	O
_	_	_	O
발산해	발산하+여+오	VV+EC+VX	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

