## 1
## 광복군이 독립을 염원하며 서명한 임시의정원 태극기를 재현해 애국선열에 대한 감사, 통일에 대한 염원 등 시민들의 메시지가 적혀 있다.
## <광복군:ORG>이 독립을 염원하며 서명한 임시의정원 태극기를 재현해 애국선열에 대한 감사, 통일에 대한 염원 등 시민들의 메시지가 적혀 있다.
광복군	광복군	NNG	B-ORG
_	_	_	O
“	“	SS	O
훈련	훈련	NNG	O
_	_	_	O
때	때	NNG	O
_	_	_	O
예의	예의	NNG	O
와	와	JC	O
_	_	_	O
자세	자세	NNG	O
_	_	_	O
등	등	NNB	O
의	의	JKG	O
_	_	_	O
중요성	중요성	NNG	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
_	_	_	O
항상	항상	MAG	O
_	_	_	O
강조하	강조하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는데	는데	EC	O
_	_	_	O
선수	선수	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
잘	잘	MAG	O
_	_	_	O
이해해	이해하+여	VV+EC	B-LOC
주	주	VX	I-LOC
고	고	EC	O
_	_	_	O
행동	행동	NNG	O
으로	으로	JKB	O
_	_	_	O
보	보이	VV	O
여	어	EC	O
주	주	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 4
## [비즈 칼럼] 면세점 시장 독과점, 경쟁 구조로 바꾸자
## [<비즈 칼럼:POH>] 면세점 시장 독과점, 경쟁 구조로 바꾸자
[	[	SS	O
비즈	비즈	NNG	B-POH
_	_	_	I-POH
칼럼	칼럼	NNG	I-POH
]	]	SS	O
_	_	_	O
면세점	면세점	NNG	O
_	_	_	O
시장	시장	NNG	O
_	_	_	O
독과점	독과점	NNG	O
,	,	SP	O
_	_	_	O
경쟁	경쟁	NNG	O
_	_	_	O
구조	구조	NNG	O
로	로	JKB	O
_	_	_	O
바꾸	바꾸	VV	O
자	자	EC	O

## 5
## 5회에도 2사 후에 2루수 땅볼로, 2-11로 뒤진 8회에는 선두타자로 타석에 들어서 2루수 땅볼로 아웃됐다.
## <5회:NOH>에도 <2사:NOH> 후에 <2루수:NOH> 땅볼로, <2-11:NOH>로 뒤진 <8회:NOH>에는 선두타자로 타석에 들어서 <2루수:NOH> 땅볼로 아웃됐다.
5	5	SN	B-NOH
회	회	NNB	I-NOH
에	에	JKB	O
도	도	JX	O
_	_	_	O
2	2	SN	B-NOH
사	사	NNG	I-NOH
_	_	_	O
후	후	NNG	O
에	에	JKB	O
_	_	_	O
2	2	SN	B-NOH
루	루	NNG	I-NOH
수	수	XSN	I-NOH
_	_	_	O
땅볼	땅볼	NNG	O
로	로	JKB	O
,	,	SP	O
_	_	_	O
2	2	SN	B-NOH
-	-	SO	I-NOH
11	11	SN	I-NOH
로	로	JKB	O
_	_	_	O
뒤진	뒤지+ㄴ	VV+ETM	O
_	_	_	O
8	8	SN	B-NOH
회	회	NNB	I-NOH
에	에	JKB	O
는	는	JX	O
_	_	_	O
선두	선두	NNG	O
타자	타자	NNG	O
로	로	JKB	O
_	_	_	O
타석	타석	NNG	O
에	에	JKB	O
_	_	_	O
들어서	들어서+어	VV+EC	O
_	_	_	O
2	2	SN	B-NOH
루	루	NNG	I-NOH
수	수	XSN	I-NOH
_	_	_	O
땅볼	땅볼	NNG	O
로	로	JKB	O
_	_	_	O
아웃	아웃+되	NNG+XSV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 해양수산부가 주최하고 채널A와 동아일보가 주관한 이 행사에서 항만 개발 전문가들의 열띤 토론이 이어졌다.
## <해양수산부:ORG>가 주최하고 <채널A:ORG>와 <동아일보:POH>가 주관한 이 행사에서 항만 개발 전문가들의 열띤 토론이 이어졌다.
해양수산부	해양수산부	NNG	B-ORG
가	가	JKS	O
_	_	_	O
주최하	주최하	VV	O
고	고	EC	O
_	_	_	O
채널	채널	NNG	B-ORG
A	A	SL	I-ORG
와	와	JC	O
_	_	_	O
동아일보	동아일보	NNP	B-POH
가	가	JKS	O
_	_	_	O
주관한	주관하+ㄴ	VV+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
행사	행사	NNG	O
에서	에서	JKB	O
_	_	_	O
항만	항만	NNG	O
_	_	_	O
개발	개발	NNG	O
_	_	_	O
전문가	전문가	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
열띤	열띠+ㄴ	VA+ETM	O
_	_	_	O
토론	토론	NNG	O
이	이	JKS	O
_	_	_	O
이어	이어지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 피해자에 1억여원규모 요금감면
## 피해자에 <1억여원:MNY>규모 요금감면
피해자	피해자	NNG	O
에	에	JKB	O
_	_	_	O
1	1	SN	B-MNY
억	억	NR	I-MNY
여	여	XSN	I-MNY
원	원	NNB	I-MNY
규모	규모	NNG	O
_	_	_	O
요금	요금	NNG	O
감면	감면	NNG	O

## 8
## 아베 내각의 지지율은 최근 여론조사에서 61%(요미우리신문), 66%(니혼게이자이신문) 등으로 60%대의 고공행진을 이어가고 있다.
## <아베 내각:ORG>의 지지율은 최근 여론조사에서 <61%:PNT>(<요미우리신문:ORG>), <66%:PNT>(<니혼게이자이신문:ORG>) 등으로 <60%:PNT>대의 고공행진을 이어가고 있다.
아베	아베	NNP	B-ORG
_	_	_	I-ORG
내각	내각	NNG	I-ORG
의	의	JKG	O
_	_	_	O
지지율	지지율	NNG	O
은	은	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
여론	여론	NNG	O
조사	조사	NNG	O
에서	에서	JKB	O
_	_	_	O
61	61	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
요미우리신문	요미우리신문	NNP	B-ORG
)	)	SS	O
,	,	SP	O
_	_	_	O
66	66	SN	B-PNT
%	%	SW	I-PNT
(	(	SS	O
니혼게이자이신문	니혼게이자이신문	NNP	B-ORG
)	)	SS	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
60	60	SN	B-PNT
%	%	SW	I-PNT
대	대	XSN	O
의	의	JKG	O
_	_	_	O
고공	고공	NNG	O
행진	행진	NNG	O
을	을	JKO	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
가	가	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 지금까지 11곳의 분만 시설이 선정됐다.
## 지금까지 <11곳:NOH>의 분만 시설이 선정됐다.
지금	지금	NNG	O
까지	까지	JX	O
_	_	_	O
11	11	SN	B-NOH
곳	곳	NNG	I-NOH
의	의	JKG	O
_	_	_	O
분만	분만	NNG	O
_	_	_	O
시설	시설	NNG	O
이	이	JKS	O
_	_	_	O
선정	선정되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이들 기업 최고경영자(CEO)가 37개 모든 학과별로 산학협의체에 참여한다.
## 이들 기업 최고경영자(CEO)가 <37개:NOH> 모든 학과별로 산학협의체에 참여한다.
이	이	NP	O
들	들	XSN	O
_	_	_	O
기업	기업	NNG	O
_	_	_	O
최고	최고	NNG	O
경영자	경영자	NNG	O
(	(	SS	O
CEO	CEO	SL	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
37	37	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
모든	모든	MM	O
_	_	_	O
학과	학과	NNG	O
별	별	XSN	O
로	로	JKB	O
_	_	_	O
산학	산학	NNG	O
협의	협의	NNG	O
체	체	XSN	O
에	에	JKB	O
_	_	_	O
참여한다	참여하+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 한편, 17일 방송된 ‘히든싱어4’에서는 ‘노래방 대통령’ 버즈의 보컬 민경훈 편이 전파를 탔다.
## 한편, <17일:DAT> 방송된 ‘<히든싱어4:POH>’에서는 ‘노래방 대통령’ <버즈:ORG>의 보컬 <민경훈:PER> 편이 전파를 탔다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
방송된	방송되+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
히든	히든	NNG	B-POH
싱어	싱어	NNG	I-POH
4	4	SN	I-POH
’	’	SS	O
에서	에서	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
노래방	노래방	NNG	O
_	_	_	O
대통령	대통령	NNG	O
’	’	SS	O
_	_	_	O
버즈	버즈	NNP	B-ORG
의	의	JKG	O
_	_	_	O
보컬	보컬	NNG	O
_	_	_	O
민경훈	민경훈	NNP	B-PER
_	_	_	O
편	편	NNB	O
이	이	JKS	O
_	_	_	O
전파	전파	NNG	O
를	를	JKO	O
_	_	_	O
탔	타+았	VV+EP	O
다	다	EF	O
.	.	SF	O

## 12
## 10년 전 SK에 입단한 첫 해 그는 ‘1’할(0.193) 타자였다.
## <10년:NOH> 전 <SK:ORG>에 입단한 첫 해 그는 <‘1’할:PNT>(<0.193:PNT>) 타자였다.
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
SK	SK	SL	B-ORG
에	에	JKB	O
_	_	_	O
입단한	입단하+ㄴ	VV+ETM	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
해	해	NNG	O
_	_	_	O
그	그	NP	O
는	는	JX	O
_	_	_	O
‘	‘	SS	B-PNT
1	1	SN	I-PNT
’	’	SS	I-PNT
할	하+ㄹ	XSV+ETM	I-PNT
(	(	SS	O
0.193	0.193	SN	B-PNT
)	)	SS	O
_	_	_	O
타자	타자+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 9월 2~4일 訪中… 한중 정상회담
## <9월 2~4일:DAT> 訪中… <한중:ORG> 정상회담
9	9	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
2	2	SN	I-DAT
~	~	SO	I-DAT
4	4	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
訪中	訪中	SH	O
…	…	SE	O
_	_	_	O
한중	한중	NNP	B-ORG
_	_	_	O
정상	정상	NNG	O
회담	회담	NNG	O

## 14
## 특히 한국처럼 비정규직 비율(올해 3월 기준 32%)이 높아 노동시장의 이중구조가 심한 국가일수록 개혁으로 인한 단기적 고용 손실이 작다는 분석도 나왔다.
## 특히 <한국:ORG>처럼 비정규직 비율(올해 <3월:DAT> 기준 <32%:PNT>)이 높아 노동시장의 이중구조가 심한 국가일수록 개혁으로 인한 단기적 고용 손실이 작다는 분석도 나왔다.
특히	특히	MAG	O
_	_	_	O
한국	한국	NNP	B-ORG
처럼	처럼	JKB	O
_	_	_	O
비정규	비정규	NNG	O
직	직	NNG	O
_	_	_	O
비율	비율	NNG	O
(	(	SS	O
올해	올해	NNG	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
기준	기준	NNG	O
_	_	_	O
32	32	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
이	이	JKS	O
_	_	_	O
높	높	VA	O
아	아	EC	O
_	_	_	O
노동시장	노동시장	NNG	O
의	의	JKG	O
_	_	_	O
이중	이중	NNG	O
구조	구조	NNG	O
가	가	JKS	O
_	_	_	O
심한	심하+ㄴ	VA+ETM	O
_	_	_	O
국가	국가	NNG	O
일수록	이+ㄹ수록	VCP+EC	O
_	_	_	O
개혁	개혁	NNG	O
으로	으로	JKB	O
_	_	_	O
인한	인하+ㄴ	VV+ETM	O
_	_	_	O
단기	단기	NNG	O
적	적	XSN	O
_	_	_	O
고용	고용	NNG	O
_	_	_	O
손실	손실	NNG	O
이	이	JKS	O
_	_	_	O
작	작	VA	O
다는	다는	ETM	O
_	_	_	O
분석	분석	NNG	O
도	도	JX	O
_	_	_	O
나	나오	VV	O
왔	았	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 북한이 열병식에 전략무기들을 총동원한 것은 도널드 트럼프 미국 행정부의 거세지는 대북 압박에 굴복하지 않겠다는 의지와 대미(對美) 군사적 대결을 불사하겠다는 메시지를 대내외에 과시하고 내부 결속을 다지려는 의도로 보인다.
## <북한:ORG>이 열병식에 전략무기들을 총동원한 것은 <도널드 트럼프:PER> <미국 행정부:ORG>의 거세지는 대북 압박에 굴복하지 않겠다는 의지와 대미(對美) 군사적 대결을 불사하겠다는 메시지를 대내외에 과시하고 내부 결속을 다지려는 의도로 보인다.
북한	북한	NNP	B-ORG
이	이	JKS	O
_	_	_	O
열병식	열병식	NNG	O
에	에	JKB	O
_	_	_	O
전략	전략	NNG	O
무기	무기	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
총동원한	총동원하+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
은	은	JX	O
_	_	_	O
도널드	도널드	NNP	B-PER
_	_	_	I-PER
트럼프	트럼프	NNP	I-PER
_	_	_	O
미국	미국	NNP	B-ORG
_	_	_	I-ORG
행정부	행정부	NNG	I-ORG
의	의	JKG	O
_	_	_	O
거세지	거세지	VV	O
는	는	ETM	O
_	_	_	O
대북	대북	NNG	O
_	_	_	O
압박	압박	NNG	O
에	에	JKB	O
_	_	_	O
굴복하	굴복하	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
의지	의지	NNG	O
와	와	JC	O
_	_	_	O
대미	대미	NNG	O
(	(	SS	O
對美	對美	SH	O
)	)	SS	O
_	_	_	O
군사적	군사적	NNG	O
_	_	_	O
대결	대결	NNG	O
을	을	JKO	O
_	_	_	O
불사하	불사하	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
메시지	메시지	NNG	O
를	를	JKO	O
_	_	_	O
대내외	대내외	NNG	O
에	에	JKB	O
_	_	_	O
과시하	과시하	VV	O
고	고	EC	O
_	_	_	O
내부	내부	NNG	O
_	_	_	O
결속	결속	NNG	O
을	을	JKO	O
_	_	_	O
다지	다지	VV	O
려는	려는	ETM	O
_	_	_	O
의도	의도	NNG	O
로	로	JKB	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 16
## 당시 박경림이 이상형 월드컵을 제안하자 고준희는 수많은 미남 스타들을 제치고 최종적으로 여진구를 선택했다.이에 박경림은 "여진구를 뽑은 이유가 뭐냐"고 물었고 고준희는 "나이가 어린데도 남자 느낌이 난다"고 답했다.
## 당시 <박경림:PER>이 이상형 월드컵을 제안하자 <고준희:PER>는 수많은 미남 스타들을 제치고 최종적으로 <여진구:PER>를 선택했다.이에 <박경림:PER>은 "<여진구:PER>를 뽑은 이유가 뭐냐"고 물었고 <고준희:PER>는 "나이가 어린데도 남자 느낌이 난다"고 답했다.
당시	당시	NNG	O
_	_	_	O
박경림	박경림	NNP	B-PER
이	이	JKS	O
_	_	_	O
이상형	이상형	NNG	O
_	_	_	O
월드컵	월드컵	NNG	O
을	을	JKO	O
_	_	_	O
제안하	제안하	VV	O
자	자	EC	O
_	_	_	O
고준희	고준희	NNP	B-PER
는	는	JX	O
_	_	_	O
수많	수많	VA	O
은	은	ETM	O
_	_	_	O
미남	미남	NNG	O
_	_	_	O
스타	스타	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
제치	제치	VV	O
고	고	EC	O
_	_	_	O
최종적	최종적	NNG	O
으로	으로	JKB	O
_	_	_	O
여진구	여진구	NNP	B-PER
를	를	JKO	O
_	_	_	O
선택	선택하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O
이	이	NP	O
에	에	JKB	O
_	_	_	O
박경림	박경림	NNP	B-PER
은	은	JX	O
_	_	_	O
"	"	SS	O
여진구	여진구	NNP	B-PER
를	를	JKO	O
_	_	_	O
뽑	뽑	VV	O
은	은	ETM	O
_	_	_	O
이유	이유	NNG	O
가	가	JKS	O
_	_	_	O
뭐	뭐+이	NP+VCP	O
냐	냐	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
고	고	EC	O
_	_	_	O
고준희	고준희	NNP	B-PER
는	는	JX	O
_	_	_	O
"	"	SS	O
나이	나이	NNG	O
가	가	JKS	O
_	_	_	O
어린데	어리+ㄴ데	VA+EC	O
도	도	JX	O
_	_	_	O
남자	남자	NNG	O
_	_	_	O
느낌	느낌	NNG	O
이	이	JKS	O
_	_	_	O
난다	나+ㄴ다	VV+EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

