## 1
## 세율은 증여가액에서 5억 원을 공제한 액수에 대해 10%로 적용된다.
## 세율은 증여가액에서 <5억 원:MNY>을 공제한 액수에 대해 <10%:PNT>로 적용된다.
세율	세율	NNG	O
## 전체 공격성공률도 57%를 마크해 수치만 따지자면 공격성공률 56%, 속공점유율 8%의 현대캐피탈을 압도했지만 경기는 완패였다.
## 전체 공격성공률도 <57%:PNT>를 마크해 수치만 따지자면 공격성공률 <56%:PNT>, 속공점유율 <8%:PNT>의 <현대캐피탈:ORG>을 압도했지만 경기는 완패였다.
전체	전체	NNG	O
_	_	_	O
공격	공격	NNG	O
성공률	성공률	NNG	O
도	도	JX	O
_	_	_	O
57	57	SN	B-PNT
%	%	SW	I-PNT
를	를	JKO	O
_	_	_	O
마크해	마크하+여	VV+EC	O
_	_	_	O
수치	수치	NNG	O
만	만	JX	O
_	_	_	O
따지	따지	VV	O
자면	자면	EC	O
_	_	_	O
공격	공격	NNG	O
성공률	성공률	NNG	O
_	_	_	O
56	56	SN	B-PNT
%	%	SW	I-PNT
,	,	SP	O
_	_	_	O
속공	속공	NNG	O
점유율	점유율	NNG	O
_	_	_	O
8	8	SN	B-PNT
%	%	SW	I-PNT
의	의	JKG	O
_	_	_	O
현대캐피탈	현대캐피탈	NNP	B-ORG
을	을	JKO	O
_	_	_	O
압도	압도하	VV	O
했	였	EP	O
지만	지만	EC	O
_	_	_	O
경기	경기	NNG	O
는	는	JX	O
_	_	_	O
완패	완패+이	NNG+VCP	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 타격에 전념할 수 있는 포지션의 특성상 3루수로 바꿀 이유가 없어 보인다.
## 타격에 전념할 수 있는 포지션의 특성상 <3루수:NOH>로 바꿀 이유가 없어 보인다.
타격	타격	NNG	O
에	에	JKB	O
_	_	_	O
전념할	전념하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
는	는	ETM	O
_	_	_	O
포지션	포지션	NNG	O
의	의	JKG	O
_	_	_	O
특성	특성	NNG	O
상	상	XSN	O
_	_	_	O
3	3	SN	B-NOH
루수	루수	NNG	I-NOH
로	로	JKB	O
_	_	_	O
바꿀	바꾸+ㄹ	VV+ETM	O
_	_	_	O
이유	이유	NNG	O
가	가	JKS	O
_	_	_	O
없	없	VA	O
어	어	EC	O
_	_	_	O
보인다	보이+ㄴ다	VV+EF	O
.	.	SF	O

## 6
## 새누리 “2014년 만든 상설특검 활용” 민주 “MB사저 때처럼 별도특검을”
## 새누리 “<2014년:DAT> 만든 상설특검 활용” <민주:ORG> “<MB:PER>사저 때처럼 별도특검을”
새누리	새누리	NNP	O
_	_	_	O
“	“	SS	O
2014	2014	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
만든	만들+ㄴ	VV+ETM	O
_	_	_	O
상설	상설	NNG	O
특검	특검	NNG	O
_	_	_	O
활용	활용	NNG	O
”	”	SS	O
_	_	_	O
민주	민주	NNG	B-ORG
_	_	_	O
“	“	SS	O
MB	MB	SL	B-PER
사저	사저	NNG	O
_	_	_	O
때	때	NNG	O
처럼	처럼	JKB	O
_	_	_	O
별도	별도	NNG	O
특검	특검	NNG	O
을	을	JKO	O
”	”	SS	O

## 7
## 하지만 이종현은 코트가 아닌 스탠드로 올라가 경기를 지켜봤다.
## 하지만 <이종현:PER>은 코트가 아닌 스탠드로 올라가 경기를 지켜봤다.
하지만	하지만	MAJ	O
_	_	_	O
이종현	이종현	NNP	B-PER
은	은	JX	O
_	_	_	O
코트	코트	NNG	O
가	가	JKC	O
_	_	_	O
아닌	아니+ㄴ	VCN+ETM	O
_	_	_	O
스탠드	스탠드	NNG	O
로	로	JKB	O
_	_	_	O
올라가	올라가+아	VV+EC	O
_	_	_	O
경기	경기	NNG	O
를	를	JKO	O
_	_	_	O
지켜	지켜보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 8
## ‘라디오스타’ 박나래 “양세찬, 내 맘 알고 ‘나한테 고백하지 마’ 하더라”개그우먼 박나래가 ‘라디오스타’에서 과거 개그맨 양세찬을 짝사랑했던 과거를 털어놨다.
## ‘<라디오스타:POH>’ <박나래:PER> “<양세찬:PER>, 내 맘 알고 ‘나한테 고백하지 마’ 하더라”개그우먼 <박나래:PER>가 ‘<라디오스타:POH>’에서 과거 개그맨 <양세찬:PER>을 짝사랑했던 과거를 털어놨다.
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
_	_	_	O
박나래	박나래	NNP	B-PER
_	_	_	O
“	“	SS	O
양세찬	양세찬	NNP	B-PER
,	,	SP	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
맘	맘	NNG	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
‘	‘	SS	O
나	나	NP	O
한테	한테	JKB	O
_	_	_	O
고백하	고백하	VV	O
지	지	EC	O
_	_	_	O
마	말+아	VX+EF	O
’	’	SS	O
_	_	_	O
하	하	VV	O
더라	더라	EF	O
”	”	SS	O
개그우먼	개그우먼	NNG	O
_	_	_	O
박나래	박나래	NNP	B-PER
가	가	JKS	O
_	_	_	O
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
과거	과거	NNG	O
_	_	_	O
개그맨	개그맨	NNG	O
_	_	_	O
양세찬	양세찬	NNP	B-PER
을	을	JKO	O
_	_	_	O
짝사랑	짝사랑하	VV	O
했	였	EP	O
던	던	ETM	O
_	_	_	O
과거	과거	NNG	O
를	를	JKO	O
_	_	_	O
털어	털어놓	VV	O
놨	았	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 23일 오후 방송한 MBC 예능프로그램 ‘라디오스타’에는 오세득 셰프, 개그맨 윤정수, 박나래, 작곡가 유재환이 게스트로 출연해 ‘입담 베테랑 특집’을 꾸몄다.
## <23일:DAT> <오후:TIM> 방송한 <MBC:ORG> 예능프로그램 ‘<라디오스타:POH>’에는 <오세득:PER> 셰프, 개그맨 <윤정수:PER>, <박나래:PER>, 작곡가 <유재환:PER>이 게스트로 출연해 ‘입담 <베테랑:POH> 특집’을 꾸몄다.
23	23	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	O
방송한	방송하+ㄴ	VV+ETM	O
_	_	_	O
MBC	MBC	SL	B-ORG
_	_	_	O
예능	예능	NNG	O
프로그램	프로그램	NNG	O
_	_	_	O
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
오세득	오세득	NNP	B-PER
_	_	_	O
셰프	셰프	NNG	O
,	,	SP	O
_	_	_	O
개그맨	개그맨	NNG	O
_	_	_	O
윤정수	윤정수	NNP	B-PER
,	,	SP	O
_	_	_	O
박나래	박나래	NNP	B-PER
,	,	SP	O
_	_	_	O
작곡가	작곡가	NNG	O
_	_	_	O
유재환	유재환	NNP	B-PER
이	이	JKS	O
_	_	_	O
게스트	게스트	NNG	O
로	로	JKB	O
_	_	_	O
출연해	출연하+여	VV+EC	O
_	_	_	O
‘	‘	SS	O
입담	입담	NNG	O
_	_	_	O
베테랑	베테랑	NNG	B-POH
_	_	_	O
특집	특집	NNG	O
’	’	SS	O
을	을	JKO	O
_	_	_	O
꾸	꾸미	VV	O
몄	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이날 ‘라디오스타’에서 박나래는 “양세찬이 나보다 한 살 어린 친구인데 너무 괜찮고 어른스럽더라”며 후배 개그맨 양세찬을 언급했다.
## 이날 ‘<라디오스타:POH>’에서 <박나래:PER>는 “<양세찬:PER>이 나보다 한 살 어린 친구인데 너무 괜찮고 어른스럽더라”며 후배 개그맨 <양세찬:PER>을 언급했다.
이날	이날	NNG	O
_	_	_	O
‘	‘	SS	O
라디오스타	라디오스타	NNP	B-POH
’	’	SS	O
에서	에서	JKB	O
_	_	_	O
박나래	박나래	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
양세찬	양세찬	NNP	B-PER
이	이	JKS	O
_	_	_	O
나	나	NP	O
보다	보다	JKB	O
_	_	_	O
한	한	MM	O
_	_	_	O
살	살	NNB	O
_	_	_	O
어린	어리+ㄴ	VA+ETM	O
_	_	_	O
친구	친구	NNG	O
인데	이+ㄴ데	VCP+EC	O
_	_	_	O
너무	너무	MAG	O
_	_	_	O
괜찮	괜찮	VA	O
고	고	EC	O
_	_	_	O
어른스럽	어른스럽	VA	O
더라	더라	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
후배	후배	NNG	O
_	_	_	O
개그맨	개그맨	NNG	O
_	_	_	O
양세찬	양세찬	NNP	B-PER
을	을	JKO	O
_	_	_	O
언급	언급하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 박나래는 “(양세찬을 향한)마음을 숨겼다고 생각했는데 그게 안 숨겨지더라. 술만 마시면 그렇게 연락을 했다”며 “양세찬도 말은 안 했는데 내 마음을 알고 있었다”고 털어놨다.
## <박나래:PER>는 “(<양세찬:PER>을 향한)마음을 숨겼다고 생각했는데 그게 안 숨겨지더라. 술만 마시면 그렇게 연락을 했다”며 “<양세찬:PER>도 말은 안 했는데 내 마음을 알고 있었다”고 털어놨다.
박나래	박나래	NNP	B-PER
는	는	JX	O
_	_	_	O
“	“	SS	O
(	(	SS	O
양세찬	양세찬	NNP	B-PER
을	을	JKO	O
_	_	_	O
향한	향하+ㄴ	VV+ETM	O
)	)	SS	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
숨	숨기	VV	O
겼	었	EP	O
다고	다고	EC	O
_	_	_	O
생각	생각하	VV	O
했	었	EP	O
는데	는데	EC	O
_	_	_	O
그게	그것+이	NP+JKS	O
_	_	_	O
안	안	MAG	O
_	_	_	O
숨겨	숨기+어	VV+EC	O
지	지	VX	O
더라	더라	EF	O
.	.	SF	O
_	_	_	O
술	술	NNG	O
만	만	JX	O
_	_	_	O
마시	마시	VV	O
면	면	EC	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
연락	연락	NNG	O
을	을	JKO	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
며	며	EC	O
_	_	_	O
“	“	SS	O
양세찬	양세찬	NNP	B-PER
도	도	JX	O
_	_	_	O
말	말	NNG	O
은	은	JX	O
_	_	_	O
안	안	MAG	O
_	_	_	O
했	+였	+EP	O
는데	는데	EC	O
_	_	_	O
내	나+의	NP+JKG	O
_	_	_	O
마음	마음	NNG	O
을	을	JKO	O
_	_	_	O
알	알	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
털어	털어놓	VV	O
놨	았	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 박나래는 이어 “고백을 하기로 결심했는데 양세찬이 그걸 느꼈는지 ‘나한테 고백하지 마’라고 하더라. ‘고백하면 후회할 거야. 우리 사이가 이상해진다’고 했다”고 말했다.
## <박나래:PER>는 이어 “고백을 하기로 결심했는데 <양세찬:PER>이 그걸 느꼈는지 ‘나한테 고백하지 마’라고 하더라. ‘고백하면 후회할 거야. 우리 사이가 이상해진다’고 했다”고 말했다.
박나래	박나래	NNP	B-PER
는	는	JX	O
_	_	_	O
이어	이어	MAG	O
_	_	_	O
“	“	SS	O
고백	고백	NNG	O
을	을	JKO	O
_	_	_	O
하	하	VV	O
기	기	ETN	O
로	로	JKB	O
_	_	_	O
결심	결심하	VV	O
했	였	EP	O
는데	는데	EC	O
_	_	_	O
양세찬	양세찬	NNP	B-PER
이	이	JKS	O
_	_	_	O
그걸	그것+ㄹ	NP+JKO	O
_	_	_	O
느	느끼	VV	O
꼈	었	EP	O
는지	는지	EC	O
_	_	_	O
‘	‘	SS	O
나	나	NP	O
한테	한테	JKB	O
_	_	_	O
고백하	고백하	VV	O
지	지	EC	O
_	_	_	O
마	말+아	VX+EF	O
’	’	SS	O
라고	라고	JKQ	O
_	_	_	O
하	하	VV	O
더라	더라	EF	O
.	.	SF	O
_	_	_	O
‘	‘	SS	O
고백하	고백하	VV	O
면	면	EC	O
_	_	_	O
후회할	후회하+ㄹ	VV+ETM	O
_	_	_	O
거	거+이	NNB+VCP	O
야	야	EF	O
.	.	SF	O
_	_	_	O
우리	우리	NP	O
_	_	_	O
사이	사이	NNG	O
가	가	JKS	O
_	_	_	O
이상해	이상하+여	VA+EC	O
진다	지+ㄴ다	VX+EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 박나래는 또 “동료 개그우먼 김지민이 양세찬과 통화 중 ‘나래하고 무슨 일 있었냐’고 물었는데 양세찬이 ‘더 이상 엮지 말라. 박나래 있으면 안 갈게’라고 하더라”고 전했다.
## <박나래:PER>는 또 “동료 개그우먼 <김지민:PER>이 <양세찬:PER>과 통화 중 ‘나래하고 무슨 일 있었냐’고 물었는데 <양세찬:PER>이 ‘더 이상 엮지 말라. <박나래:PER> 있으면 안 갈게’라고 하더라”고 전했다.
박나래	박나래	NNP	B-PER
는	는	JX	O
_	_	_	O
또	또	MAG	O
_	_	_	O
“	“	SS	O
동료	동료	NNG	O
_	_	_	O
개그우먼	개그우먼	NNG	O
_	_	_	O
김지민	김지민	NNP	B-PER
이	이	JKS	O
_	_	_	O
양세찬	양세찬	NNP	B-PER
과	과	JC	O
_	_	_	O
통화	통화	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
‘	‘	SS	O
나래	나래	NNG	O
하	하	XSV	O
고	고	EC	O
_	_	_	O
무슨	무슨	MM	O
_	_	_	O
일	일	NNG	O
_	_	_	O
있	있	VA	O
었	었	EP	O
냐	냐	EF	O
’	’	SS	O
고	고	JKQ	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
는데	는데	EC	O
_	_	_	O
양세찬	양세찬	NNP	B-PER
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
더	더	MAG	O
_	_	_	O
이상	이상	NNG	O
_	_	_	O
엮	엮	VV	O
지	지	EC	O
_	_	_	O
말	말	VX	O
라	라	EF	O
.	.	SF	O
_	_	_	O
박나래	박나래	NNP	B-PER
_	_	_	O
있	있	VA	O
으면	으면	EC	O
_	_	_	O
안	안	MAG	O
_	_	_	O
갈게	가+ㄹ게	VV+EF	O
’	’	SS	O
라고	라고	JKQ	O
_	_	_	O
하	하	VV	O
더라	더라	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 한편, 이날 방송에서 또 김상혁은 자신의 10년 전 실수 이후 자신을 믿어주지 않는 가족들에 대한 서운한 마음도 고백했다.
## 한편, 이날 방송에서 또 <김상혁:PER>은 자신의 <10년:NOH> 전 실수 이후 자신을 믿어주지 않는 가족들에 대한 서운한 마음도 고백했다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
방송	방송	NNG	O
에서	에서	JKB	O
_	_	_	O
또	또	MAG	O
_	_	_	O
김상혁	김상혁	NNP	B-PER
은	은	JX	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
10	10	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
_	_	_	O
실수	실수	NNG	O
_	_	_	O
이후	이후	NNG	O
_	_	_	O
자신	자신	NNG	O
을	을	JKO	O
_	_	_	O
믿	믿	VV	O
어	어	EC	O
주	주	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
는	는	ETM	O
_	_	_	O
가족	가족	NNG	O
들	들	XSN	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
서운한	서운하+ㄴ	VA+ETM	O
_	_	_	O
마음	마음	NNG	O
도	도	JX	O
_	_	_	O
고백	고백하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

