## 1
## 스포츠 세단 ‘재규어 XE’ 한국 판매 시작
## 스포츠 세단 ‘<재규어 XE:POH>’ <한국:LOC> 판매 시작
스포츠	스포츠	NNG	O
부문	부문	NNG	O
]	]	SS	O
창조	창조	NNG	O
경영	경영	NNG	O
과	과	JC	O
_	_	_	O
사회	사회	NNG	O
공헌	공헌	NNG	O
으로	으로	JKB	O
_	_	_	O
한국	한국	NNP	B-ORG
사회	사회	NNG	O
를	를	JKO	O
_	_	_	O
불	불	NNG	O
_	_	_	O
밝히	밝히	VV	O
다	다	EF	O

## 6
## 웹툰 ‘미생2’가 오는 17일부터 연재된다.
## 웹툰 ‘<미생2:POH>’가 오는 <17일:DAT>부터 연재된다.
웹	웹	NNG	O
툰	툰	NNP	O
_	_	_	O
‘	‘	SS	O
미생	미생	NNG	B-POH
2	2	SN	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
부터	부터	JX	O
_	_	_	O
연재된다	연재되+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 주전 세터 김사니의 원활한 볼 배급이 돋보였다.
## 주전 세터 <김사니:PER>의 원활한 볼 배급이 돋보였다.
주전	주전	NNG	O
_	_	_	O
세터	세터	NNG	O
_	_	_	O
김사니	김사니	NNP	B-PER
의	의	JKG	O
_	_	_	O
원활한	원활하+ㄴ	VA+ETM	O
_	_	_	O
볼	볼	NNG	O
_	_	_	O
배급	배급	NNG	O
이	이	JKS	O
_	_	_	O
돋보	돋보이	VV	O
였	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 상위 1% 부자는 전 세계에 모두 4700만 명이나 된다.
## 상위 <1%:PNT> 부자는 전 세계에 모두 <4700만 명:MNY>이나 된다.
상위	상위	NNG	O
_	_	_	O
1	1	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
부자	부자	NNG	O
는	는	JX	O
_	_	_	O
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
에	에	JKB	O
_	_	_	O
모두	모두	MAG	O
_	_	_	O
4700	4700	SN	B-MNY
만	만	NR	I-MNY
_	_	_	I-MNY
명	명	NNB	I-MNY
이나	이나	JX	O
_	_	_	O
된다	되+ㄴ다	VV+EF	O
.	.	SF	O

## 9
## 비과세 종합저축은 현재 장애인, 독립유공자 및 유가족, 국가유공상이자, 기초생활수급자, 5·18 민주화운동 부상자, 고엽제 후유의증 환자, 그리고 만 62세 이상인 자만 가입할 수 있다.
## 비과세 종합저축은 현재 장애인, 독립유공자 및 유가족, 국가유공상이자, 기초생활수급자, <5·18 민주화운동:POH> 부상자, 고엽제 후유의증 환자, 그리고 <만 62세:NOH> 이상인 자만 가입할 수 있다.
비과세	비과세	NNG	O
_	_	_	O
종합	종합	NNG	O
저축	저축	NNG	O
은	은	JX	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
장애인	장애인	NNG	O
,	,	SP	O
_	_	_	O
독립	독립	NNG	O
유공자	유공자	NNG	O
_	_	_	O
및	및	MAG	O
_	_	_	O
유가족	유가족	NNG	O
,	,	SP	O
_	_	_	O
국가	국가	NNG	O
유공	유공	NNP	O
상이	상이	NNG	O
자	자	XSN	O
,	,	SP	O
_	_	_	O
기초	기초	NNG	O
생활	생활	NNG	O
수급	수급	NNG	O
자	자	XSN	O
,	,	SP	O
_	_	_	O
5	5	SN	B-POH
·	·	SP	I-POH
18	18	SN	I-POH
_	_	_	I-POH
민주화	민주화	NNG	I-POH
운동	운동	NNG	I-POH
_	_	_	O
부상자	부상자	NNG	O
,	,	SP	O
_	_	_	O
고엽제	고엽제	NNG	O
_	_	_	O
후유	후유	NNG	O
의증	의증	NNG	O
_	_	_	O
환자	환자	NNG	O
,	,	SP	O
_	_	_	O
그리고	그리고	MAG	O
_	_	_	O
만	만	JX	B-NOH
_	_	_	I-NOH
62	62	SN	I-NOH
세	세	NNB	I-NOH
_	_	_	O
이상	이상	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
자	자	NNB	O
만	만	JX	O
_	_	_	O
가입할	가입하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 10
## 22일 인천경제청에 따르면 인하대 스마트캠퍼스추진단 측은 당초 계약한 면적 22만5060m² 중 13만2000m²만 매입하겠다는 의향을 최근 경제청에 전달했다.
## <22일:DAT> <인천경제청:ORG>에 따르면 <인하대 스마트캠퍼스추진단:ORG> 측은 당초 계약한 면적 <22만5060m²:NOH> 중 <13만2000m²:NOH>만 매입하겠다는 의향을 최근 경제청에 전달했다.
22	22	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
인천	인천	NNP	B-ORG
경제	경제	NNG	I-ORG
청	청	XSN	I-ORG
에	에	JKB	O
_	_	_	O
따르	따르	VV	O
면	면	EC	O
_	_	_	O
인하대	인하대	NNP	B-ORG
_	_	_	I-ORG
스마트	스마트	NNG	I-ORG
캠퍼스	캠퍼스	NNG	I-ORG
추진	추진	NNG	I-ORG
단	단	MAG	I-ORG
_	_	_	O
측	측	NNB	O
은	은	JX	O
_	_	_	O
당초	당초	NNG	O
_	_	_	O
계약한	계약하+ㄴ	VV+ETM	O
_	_	_	O
면적	면적	NNG	O
_	_	_	O
22	22	SN	B-NOH
만	만	NR	I-NOH
5060	5060	SN	I-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
_	_	_	O
중	중	NNP	O
_	_	_	O
13	13	SN	B-NOH
만	만	NR	I-NOH
2000	2000	SN	I-NOH
m	m	SL	I-NOH
²	²	SW	I-NOH
만	만	JX	O
_	_	_	O
매입하	매입하	VV	O
겠	겠	EP	O
다는	다는	ETM	O
_	_	_	O
의향	의향	NNG	O
을	을	JKO	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
경제	경제	NNG	O
청	청	XSN	O
에	에	JKB	O
_	_	_	O
전달	전달하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 네이버는 지난해 3조 원이 넘는 매출액 중 해외 비중이 1조 원을 넘었다.
## <네이버:ORG>는 지난해 <3조 원:MNY>이 넘는 매출액 중 해외 비중이 <1조 원:MNY>을 넘었다.
네이버	네이버	NNP	B-ORG
는	는	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
3	3	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
는	는	ETM	O
_	_	_	O
매출액	매출액	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
해외	해외	NNG	O
_	_	_	O
비중	비중	NNG	O
이	이	JKS	O
_	_	_	O
1	1	SN	B-MNY
조	조	NR	I-MNY
_	_	_	I-MNY
원	원	NNB	I-MNY
을	을	JKO	O
_	_	_	O
넘	넘	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 12
## 이철희 “박영선, 안희정 캠프 합류 막바지 고민”
## <이철희:PER> “<박영선:PER>, <안희정:PER> 캠프 합류 막바지 고민”
이철희	이철희	NNP	B-PER
_	_	_	O
“	“	SS	O
박영선	박영선	NNP	B-PER
,	,	SP	O
_	_	_	O
안희정	안희정	NNP	B-PER
_	_	_	O
캠프	캠프	NNG	O
_	_	_	O
합류	합류	NNG	O
_	_	_	O
막바지	막바지	NNG	O
_	_	_	O
고민	고민	NNG	O
”	”	SS	O

## 13
## 전 세계에서 한국만큼 드라마틱한 고령화가 예고된 나라는 없다.
## 전 세계에서 <한국:LOC>만큼 드라마틱한 고령화가 예고된 나라는 없다.
전	전	MM	O
_	_	_	O
세계	세계	NNG	O
에서	에서	JKB	O
_	_	_	O
한국	한국	NNP	B-LOC
만큼	만큼	NNB	O
_	_	_	O
드라마틱	드라마틱	NNG	O
한	하+ㄴ	XSA+ETM	O
_	_	_	O
고령화	고령화	NNG	O
가	가	JKS	O
_	_	_	O
예고된	예고되+ㄴ	VV+ETM	O
_	_	_	O
나라	나라	NNG	O
는	는	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

