## 1
## 인구 10만명당 환자수로 하면 80대 이상이 8836명으로 가장 많았고, 70대가 6103명으로 다음이었다.
## 인구 <10만명:NOH>당 환자수로 하면 <80대:NOH> 이상이 <8836명:NOH>으로 가장 많았고, <70대:NOH>가 <6103명:NOH>으로 다음이었다.
인구	인구	NNG	O
에서	에서	JKB	O
_	_	_	O
소매치기한	소매치기하+ㄴ	VV+ETM	O
_	_	_	O
50	50	SN	B-NOH
대	대	NNB	I-NOH
…	…	SE	O
잠복	잠복	NNG	O
수사	수사	NNG	O
에	에	JKB	O
_	_	_	O
덜미	덜미	NNG	O

## 7
## 걸스데이는 오는 7월 6일 쇼케이스를 갖고 공식적인 활동에 나선다.
## <걸스데이:ORG>는 오는 <7월 6일:DAT> 쇼케이스를 갖고 공식적인 활동에 나선다.
걸스데이	걸스데이	NNP	B-ORG
는	는	JX	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
7	7	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	I-DAT
6	6	SN	I-DAT
일	일	NNB	I-DAT
_	_	_	O
쇼케이스	쇼케이스	NNG	O
를	를	JKO	O
_	_	_	O
갖	갖	VV	O
고	고	EC	O
_	_	_	O
공식적	공식적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
활동	활동	NNG	O
에	에	JKB	O
_	_	_	O
나선다	나서+ㄴ다	VV+EF	O
.	.	SF	O

## 8
## 이밖에도 ‘이별 후 아무렇지 않은 듯 안부를 물었던 행동(10.2%)’도 높은 비중을 차지했다.
## 이밖에도 ‘이별 후 아무렇지 않은 듯 안부를 물었던 행동(<10.2%:PNT>)’도 높은 비중을 차지했다.
이	이	MM	O
밖	밖	NNG	O
에	에	JKB	O
도	도	JX	O
_	_	_	O
‘	‘	SS	O
이별	이별	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
아무렇	아무렇	VA	O
지	지	EC	O
_	_	_	O
않	않	VX	O
은	은	ETM	O
_	_	_	O
듯	듯	NNB	O
_	_	_	O
안부	안부	NNG	O
를	를	JKO	O
_	_	_	O
물	묻	VV	O
었	었	EP	O
던	던	ETM	O
_	_	_	O
행동	행동	NNG	O
(	(	SS	O
10.2	10.2	SN	B-PNT
%	%	SW	I-PNT
)	)	SS	O
’	’	SS	O
도	도	JX	O
_	_	_	O
높	높	VA	O
은	은	ETM	O
_	_	_	O
비중	비중	NNG	O
을	을	JKO	O
_	_	_	O
차지	차지하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 한 원장의 남편인 정지연 광원건설 회장은 인천 아너소사이어티 82번째 회원이다.
## <한:PER> 원장의 남편인 <정지연:PER> <광원건설:ORG> 회장은 <인천 아너소사이어티:ORG> <82번:NOH>째 회원이다.
한	한	NNP	B-PER
_	_	_	O
원장	원장	NNG	O
의	의	JKG	O
_	_	_	O
남편	남편	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
정지연	정지연	NNP	B-PER
_	_	_	O
광원	광원	NNG	B-ORG
건설	건설	NNG	I-ORG
_	_	_	O
회장	회장	NNG	O
은	은	JX	O
_	_	_	O
인천	인천	NNP	B-ORG
_	_	_	I-ORG
아너	아너	NNG	I-ORG
소사이어티	소사이어티	NNG	I-ORG
_	_	_	O
82	82	SN	B-NOH
번째	번째	NNB	O
_	_	_	O
회원	회원	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 10
## 대한통운 출하부 우인식차장(38)은 『오늘 하루 3천t의 철강제품이 수송되지 못해 야적장에 쌓여 있다』며 『대책이 없는 한 조업을 단축해야 할 판』이라고 말했다.
## <대한통운 출하부:ORG> <우인식:PER>차장(<38:NOH>)은 『오늘 하루 <3천t:NOH>의 철강제품이 수송되지 못해 야적장에 쌓여 있다』며 『대책이 없는 한 조업을 단축해야 할 판』이라고 말했다.
대한통운	대한통운	NNP	B-ORG
_	_	_	I-ORG
출하	출하	NNG	I-ORG
부	부	XSN	I-ORG
_	_	_	O
우인식	우인식	NNP	B-PER
차장	차장	NNG	O
(	(	SS	O
38	38	SN	B-NOH
)	)	SS	O
은	은	JX	O
_	_	_	O
『	『	SS	O
오늘	오늘	NNG	O
_	_	_	O
하루	하루	NNG	O
_	_	_	O
3	3	SN	B-NOH
천	천	NR	I-NOH
t	t	SL	I-NOH
의	의	JKG	O
_	_	_	O
철강	철강	NNG	O
제품	제품	NNG	O
이	이	JKS	O
_	_	_	O
수송	수송	NNG	O
되	되	XSV	O
지	지	EC	O
_	_	_	O
못해	못하+여	VX+EC	O
_	_	_	O
야적장	야적장	NNG	O
에	에	JKB	O
_	_	_	O
쌓	쌓이	VV	O
여	어	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
』	』	SS	O
며	며	EC	O
_	_	_	O
『	『	SS	O
대책	대책	NNG	O
이	이	JKS	O
_	_	_	O
없	없	VA	O
는	는	ETM	O
_	_	_	O
한	한	NNG	O
_	_	_	O
조업	조업	NNG	O
을	을	JKO	O
_	_	_	O
단축해야	단축하+여야	VV+EC	O
_	_	_	O
할	하+ㄹ	VX+ETM	O
_	_	_	O
판	판	NNG	O
』	』	SS	O
이라고	이라고	JKQ	O
_	_	_	O
말	말하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

