## 1
## 기존엔 도로 폭이 8m가 넘으면 공동관리가 불가능했지만 앞으로는 도로의 지하로 아파트 단지가 연결되면 공동관리가 가능해진다.
## 기존엔 도로 폭이 <8m:NOH>가 넘으면 공동관리가 불가능했지만 앞으로는 도로의 지하로 아파트 단지가 연결되면 공동관리가 가능해진다.
기존	기존	NNG	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
아들	아들	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
애정	애정	NNG	O
을	을	JKO	O
_	_	_	O
드러냈	드러내+었	VV+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 재두루미의 인공 증식은 국내에선 이례적이다.
## <재두루미:POH>의 인공 증식은 국내에선 이례적이다.
재두루미	재두루미	NNG	B-POH
의	의	JKG	O
_	_	_	O
인공	인공	NNG	O
_	_	_	O
증식	증식	NNG	O
은	은	JX	O
_	_	_	O
국내	국내	NNG	O
에선	에서+ㄴ	JKB+JX	O
_	_	_	O
이례적	이례적	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 6
## 스마트폰을 만드는 삼성전자가 재두루미 인공 증식에 나선 사연은 3년 전으로 거슬러 올라간다.
## 스마트폰을 만드는 <삼성전자:ORG>가 <재두루미:POH> 인공 증식에 나선 사연은 <3년:NOH> 전으로 거슬러 올라간다.
스마트폰	스마트폰	NNG	O
을	을	JKO	O
_	_	_	O
만드	만들	VV	O
는	는	ETM	O
_	_	_	O
삼성전자	삼성전자	NNP	B-ORG
가	가	JKS	O
_	_	_	O
재두루미	재두루미	NNG	B-POH
_	_	_	O
인공	인공	NNG	O
_	_	_	O
증식	증식	NNG	O
에	에	JKB	O
_	_	_	O
나선	나서+ㄴ	VV+ETM	O
_	_	_	O
사연	사연	NNG	O
은	은	JX	O
_	_	_	O
3	3	SN	B-NOH
년	년	NNB	I-NOH
_	_	_	O
전	전	NNG	O
으로	으로	JKB	O
_	_	_	O
거슬	거스르	VV	O
러	어	EC	O
_	_	_	O
올라간다	올라가+ㄴ다	VV+EF	O
.	.	SF	O

## 7
## 올해 1분기 삼성전자 광주공장의 공기청정기 생산량은 지난해 대비 2배 증가했다.
## 올해 <1분기:NOH> <삼성전자 광주공장:ORG>의 공기청정기 생산량은 지난해 대비 <2배:PNT> 증가했다.
올해	올해	NNG	O
_	_	_	O
1	1	SN	B-NOH
분기	분기	NNG	I-NOH
_	_	_	O
삼성전자	삼성전자	NNP	B-ORG
_	_	_	I-ORG
광주	광주	NNP	I-ORG
공장	공장	NNG	I-ORG
의	의	JKG	O
_	_	_	O
공기청정기	공기청정기	NNG	O
_	_	_	O
생산량	생산량	NNG	O
은	은	JX	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
대비	대비	NNG	O
_	_	_	O
2	2	SN	B-PNT
배	배	NNG	I-PNT
_	_	_	O
증가	증가하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 올겨울은 유난히 춥다는 게 기상청 예보다.
## 올겨울은 유난히 춥다는 게 <기상청:ORG> 예보다.
올겨울	올겨울	NNG	O
은	은	JX	O
_	_	_	O
유난히	유난히	MAG	O
_	_	_	O
춥	춥	VA	O
다는	다는	ETM	O
_	_	_	O
게	것+이	NNB+JKS	O
_	_	_	O
기상청	기상청	NNG	B-ORG
_	_	_	O
예보	예보	NNG	O
다	다	NNG	O
.	.	SF	O

## 9
## 이날 정 부회장은 왼쪽 가슴에 V자 모양의 배지를 달았다.
## 이날 <정:PER> 부회장은 왼쪽 가슴에 V자 모양의 배지를 달았다.
이날	이날	NNG	O
_	_	_	O
정	정	NNP	B-PER
_	_	_	O
부회장	부회장	NNG	O
은	은	JX	O
_	_	_	O
왼쪽	왼쪽	NNG	O
_	_	_	O
가슴	가슴	NNG	O
에	에	JKB	O
_	_	_	O
V	V	SL	O
자	자	NNG	O
_	_	_	O
모양	모양	NNG	O
의	의	JKG	O
_	_	_	O
배지	배지	NNG	O
를	를	JKO	O
_	_	_	O
달	달	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 김일성 기념관 건립팀/중국, 기술자10명 파북
## 김<일성 기념관 건립팀:POH>/<중국:LOC>, 기술자<10명:NOH> 파북
김일성	김일성	NNP	B-POH
_	_	_	I-POH
기념관	기념관	NNG	I-POH
_	_	_	I-POH
건립	건립	NNG	I-POH
팀	팀	NNG	I-POH
/	/	SP	O
중국	중국	NNP	B-LOC
,	,	SP	O
_	_	_	O
기술자	기술자	NNG	O
10	10	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
파북	파북	NNG	O

## 11
## 참가자 70명 모집에 지원자 2000명이 넘게 몰려 접수 이틀 만에 마감이 됐을 정도로 열기가 뜨거웠던 이 대회를 영상으로 담았다.
## 참가자 <70명:NOH> 모집에 지원자 <2000명:NOH>이 넘게 몰려 접수 이틀 만에 마감이 됐을 정도로 열기가 뜨거웠던 이 대회를 영상으로 담았다.
참가자	참가자	NNG	O
_	_	_	O
70	70	SN	B-NOH
명	명	NNB	I-NOH
_	_	_	O
모집	모집	NNG	O
에	에	JKB	O
_	_	_	O
지원자	지원자	NNG	O
_	_	_	O
2000	2000	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
넘	넘	VV	O
게	게	EC	O
_	_	_	O
몰려	몰리+어	VV+EC	O
_	_	_	O
접수	접수	NNG	O
_	_	_	O
이틀	이틀	NNG	O
_	_	_	O
만	만	NNB	O
에	에	JKB	O
_	_	_	O
마감	마감	NNG	O
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
을	을	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
열기	열기	NNG	O
가	가	JKS	O
_	_	_	O
뜨거	뜨겁	VA	O
웠	었	EP	O
던	던	ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
대회	대회	NNG	O
를	를	JKO	O
_	_	_	O
영상	영상	NNG	O
으로	으로	JKB	O
_	_	_	O
담	담	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 12
## KB증권은 희망퇴직을 통해 현대증권과 KB투자증권을 합쳐 약 220명의 직원을 줄였으나 추가 구조조정에 나설 가능성을 배제할 수 없다.
## <KB증권:ORG>은 희망퇴직을 통해 <현대증권:ORG>과 <KB투자증권:ORG>을 합쳐 약 <220명:NOH>의 직원을 줄였으나 추가 구조조정에 나설 가능성을 배제할 수 없다.
KB	KB	SL	B-ORG
증권	증권	NNG	I-ORG
은	은	JX	O
_	_	_	O
희망퇴직	희망퇴직	NNG	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
현대증권	현대증권	NNP	B-ORG
과	과	JC	O
_	_	_	O
KB	KB	SL	B-ORG
투자	투자	NNG	I-ORG
증권	증권	NNG	I-ORG
을	을	JKO	O
_	_	_	O
합쳐	합치+어	VV+EC	O
_	_	_	O
약	약	MM	O
_	_	_	O
220	220	SN	B-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
직원	직원	NNG	O
을	을	JKO	O
_	_	_	O
줄	줄이	VV	O
였	었	EP	O
으나	으나	EC	O
_	_	_	O
추가	추가	NNG	O
_	_	_	O
구조	구조	NNG	O
조정	조정	NNG	O
에	에	JKB	O
_	_	_	O
나설	나서+ㄹ	VV+ETM	O
_	_	_	O
가능성	가능성	NNG	O
을	을	JKO	O
_	_	_	O
배제할	배제하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
없	없	VA	O
다	다	EF	O
.	.	SF	O

## 13
## 잡코리아는 최근 취준생 1078명을 대상으로 출신 학교와 소재지에 따른 취업 전망을 묻는 설문조사를 실시한 결과 이같이 분석됐다고 13일 밝혔다.
## <잡코리아:ORG>는 최근 취준생 <1078명:NOH>을 대상으로 출신 학교와 소재지에 따른 취업 전망을 묻는 설문조사를 실시한 결과 이같이 분석됐다고 <13일:DAT> 밝혔다.
잡코리아	잡코리아	NNP	B-ORG
는	는	JX	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
취	취	NNG	O
준생	준생	NNP	O
_	_	_	O
1078	1078	SN	B-NOH
명	명	NNB	I-NOH
을	을	JKO	O
_	_	_	O
대상	대상	NNG	O
으로	으로	JKB	O
_	_	_	O
출신	출신	NNG	O
_	_	_	O
학교	학교	NNG	O
와	와	JC	O
_	_	_	O
소재지	소재지	NNG	O
에	에	JKB	O
_	_	_	O
따른	따르+ㄴ	VV+ETM	O
_	_	_	O
취업	취업	NNG	O
_	_	_	O
전망	전망	NNG	O
을	을	JKO	O
_	_	_	O
묻	묻	VV	O
는	는	ETM	O
_	_	_	O
설문	설문	NNG	O
조사	조사	NNG	O
를	를	JKO	O
_	_	_	O
실시한	실시하+ㄴ	VV+ETM	O
_	_	_	O
결과	결과	NNG	O
_	_	_	O
이같이	이같이	MAG	O
_	_	_	O
분석	분석되	VV	O
됐	었	EP	O
다고	다고	EC	O
_	_	_	O
13	13	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

