## 1
## 타이거 우즈는 최근 허리통증 탓에 특유의 역동적인 스윙을 전혀 선보이지 못했다.
## <타이거 우즈:PER>는 최근 허리통증 탓에 특유의 역동적인 스윙을 전혀 선보이지 못했다.
타이거	타이거	NNP	B-PER
줄어든	줄어들+ㄴ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 7
## 이 사고로 싼타페에 탔던 한 씨의 딸(33)과 두 손자(3세, 생후 30개월), 부인 박모 씨(60) 등 4명이 숨졌다.
## 이 사고로 싼타페에 탔던 한 씨의 딸(<33:NOH>)과 두 <손자:PER>(3세, 생후 <30개월:DAT>), 부인 <박모:PER> 씨(<60:NOH>) 등 <4명:NOH>이 숨졌다.
이	이	MM	O
_	_	_	O
사고	사고	NNG	O
로	로	JKB	O
_	_	_	O
싼타페	싼타페	NNG	O
에	에	JKB	O
_	_	_	O
탔	타+았	VV+EP	O
던	던	ETM	O
_	_	_	O
한	한	NNP	O
_	_	_	O
씨	씨	NNB	O
의	의	JKG	O
_	_	_	O
딸	딸	NNG	O
(	(	SS	O
33	33	SN	B-NOH
)	)	SS	O
과	과	JKB	O
_	_	_	O
두	두	MM	O
_	_	_	O
손자	손자	NNG	B-PER
(	(	SS	O
3	3	SN	O
세	세	NNB	O
,	,	SP	O
_	_	_	O
생후	생후	NNG	O
_	_	_	O
30	30	SN	B-DAT
개월	개월	NNB	I-DAT
)	)	SS	O
,	,	SP	O
_	_	_	O
부인	부인	NNG	O
_	_	_	O
박	박	NNP	B-PER
모	모	NP	I-PER
_	_	_	O
씨	씨	NNB	O
(	(	SS	O
60	60	SN	B-NOH
)	)	SS	O
_	_	_	O
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKS	O
_	_	_	O
숨	숨지	VV	O
졌	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 박성현은 “경기 초반 흔들리기는 했지만 좋은 경기를 펼쳤던 생각만 하면서 기다렸다.
## <박성현:PER>은 “<경기:LOC> 초반 흔들리기는 했지만 좋은 <경기:LOC>를 펼쳤던 생각만 하면서 기다렸다.
박성현	박성현	NNP	B-PER
은	은	JX	O
_	_	_	O
“	“	SS	O
경기	경기	NNG	B-LOC
_	_	_	O
초반	초반	NNG	O
_	_	_	O
흔들리	흔들리	VV	O
기	기	ETN	O
는	는	JX	O
_	_	_	O
했	+였	+EP	O
지만	지만	EC	O
_	_	_	O
좋	좋	VA	O
은	은	ETM	O
_	_	_	O
경기	경기	NNG	B-LOC
를	를	JKO	O
_	_	_	O
펼	펼치	VV	O
쳤	었	EP	O
던	던	ETM	O
_	_	_	O
생각	생각	NNG	O
만	만	JX	O
_	_	_	O
하	하	VV	O
면서	면서	EC	O
_	_	_	O
기다	기다리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 9
## 경찰 관계자는 5일 “언론사로 정식 등재된 곳은 수사 대상이 아니다”라며 “언론중재위원회 등을 통해 가짜뉴스를 수정하도록 권고 조치할 수밖에 없다”고 밝혔다.
## 경찰 관계자는 <5일:DAT> “언론사로 정식 등재된 곳은 수사 대상이 아니다”라며 “<언론중재위원회:ORG> 등을 통해 가짜뉴스를 수정하도록 권고 조치할 수밖에 없다”고 밝혔다.
경찰	경찰	NNG	O
_	_	_	O
관계자	관계자	NNG	O
는	는	JX	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
“	“	SS	O
언론사	언론사	NNG	O
로	로	JKB	O
_	_	_	O
정식	정식	NNG	O
_	_	_	O
등재된	등재되+ㄴ	VV+ETM	O
_	_	_	O
곳	곳	NNG	O
은	은	JX	O
_	_	_	O
수사	수사	NNG	O
_	_	_	O
대상	대상	NNG	O
이	이	JKC	O
_	_	_	O
아니	아니	VCN	O
다	다	EF	O
”	”	SS	O
라며	라며	EC	O
_	_	_	O
“	“	SS	O
언론	언론	NNG	B-ORG
중재	중재	NNG	I-ORG
위원회	위원회	NNG	I-ORG
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
가짜	가짜	NNG	O
뉴스	뉴스	NNG	O
를	를	JKO	O
_	_	_	O
수정하	수정하	VV	O
도록	도록	EC	O
_	_	_	O
권고	권고	NNG	O
_	_	_	O
조치할	조치하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
밖에	밖에	JX	O
_	_	_	O
없	없	VA	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 국내 메르스(MERS·중동호흡기증후군) 환자가 18명이 됐다.
## 국내 <메르스:POH>(<MERS:POH>·<중동호흡기증후군:POH>) 환자가 <18명:NOH>이 됐다.
국내	국내	NNG	O
_	_	_	O
메르스	메르스	NNG	B-POH
(	(	SS	O
MERS	MERS	SL	B-POH
·	·	SP	O
중동	중동	NNP	B-POH
호흡기	호흡기	NNG	I-POH
증후군	증후군	NNG	I-POH
)	)	SS	O
_	_	_	O
환자	환자	NNG	O
가	가	JKS	O
_	_	_	O
18	18	SN	B-NOH
명	명	NNB	I-NOH
이	이	JKC	O
_	_	_	O
됐	+었	+EP	O
다	다	EF	O
.	.	SF	O

## 11
## ‘강남 1970’ 3월 중국 개봉, "인터넷 검색 10억 건 넘어… 뜨거운 관심"
## ‘<강남 1970:POH>’ <3월:DAT> <중국:ORG> 개봉, "인터넷 검색 <10억:MNY> 건 넘어… 뜨거운 관심"
‘	‘	SS	O
강남	강남	NNP	B-POH
_	_	_	I-POH
1970	1970	SN	I-POH
’	’	SS	O
_	_	_	O
3	3	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-ORG
_	_	_	O
개봉	개봉	NNG	O
,	,	SP	O
_	_	_	O
"	"	SS	O
인터넷	인터넷	NNG	O
_	_	_	O
검색	검색	NNG	O
_	_	_	O
10	10	SN	B-MNY
억	억	NR	I-MNY
_	_	_	O
건	것+ㄴ	NNB+JX	O
_	_	_	O
넘	넘	VV	O
어	어	EC	O
…	…	SE	O
_	_	_	O
뜨거	뜨겁	VA	O
운	ㄴ	ETM	O
_	_	_	O
관심	관심	NNG	O
"	"	SS	O

## 12
## 올 시즌을 앞두고 정식선수가 됐지만, 여전히 1군은 그에게 멀기만 했다.
## 올 시즌을 앞두고 정식선수가 됐지만, 여전히 <1군:NOH>은 그에게 멀기만 했다.
올	올	NNG	O
_	_	_	O
시즌	시즌	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
정식	정식	NNG	O
선수	선수	NNG	O
가	가	JKC	O
_	_	_	O
됐	+었	+EP	O
지만	지만	EC	O
,	,	SP	O
_	_	_	O
여전히	여전히	MAG	O
_	_	_	O
1	1	SN	B-NOH
군	군	NNG	I-NOH
은	은	JX	O
_	_	_	O
그	그	NP	O
에게	에게	JKB	O
_	_	_	O
멀	멀	VA	O
기	기	ETN	O
만	만	JX	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

