## 1
## 그러면서 복수의 관계자를 인용해 정우식 캐스팅 압력을 넣은 당사자로 A모 드라마본부장을 지목했다.
## 그러면서 복수의 관계자를 인용해 <정우식:PER> 캐스팅 압력을 넣은 당사자로 <A모:PER> 드라마본부장을 지목했다.
그러	그러	VV	O
이	이	VCP	O
라고	라고	EC	O
_	_	_	O
고백하	고백하	VV	O
며	며	EC	O
_	_	_	O
"	"	SS	O
부친	부친	NNG	O
이	이	JKS	O
_	_	_	O
어머니	어머니	NNG	O
와	와	JKB	O
_	_	_	O
이혼	이혼	NNG	O
_	_	_	O
한	하+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
가족	가족	NNG	O
들	들	XSN	O
을	을	JKO	O
_	_	_	O
철저히	철저히	MAG	O
_	_	_	O
외면	외면하	VV	O
했	었	EP	O
다	다	EF	O
"	"	SS	O
고	고	JKQ	O
_	_	_	O
주장	주장하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 4
## 당시 정우식은 "나는 지금 소속사도 없이 2년 동안 혼자서 운전하고 촬영장 다니고 그렇게 사는데…"라며 "만약 아버지 도움을 받았으면 내가 지금 이렇게 살지 않았을 것"이라고 했다.
## 당시 <정우식:PER>은 "나는 지금 소속사도 없이 <2년:DAT> 동안 혼자서 운전하고 촬영장 다니고 그렇게 사는데…"라며 "만약 아버지 도움을 받았으면 내가 지금 이렇게 살지 않았을 것"이라고 했다.
당시	당시	NNG	O
_	_	_	O
정우식	정우식	NNP	B-PER
은	은	JX	O
_	_	_	O
"	"	SS	O
나	나	NP	O
는	는	JX	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
소속	소속	NNG	O
사	사	XSN	O
도	도	JX	O
_	_	_	O
없이	없이	MAG	O
_	_	_	O
2	2	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
동안	동안	NNG	O
_	_	_	O
혼자	혼자	NNG	O
서	서	JKS	O
_	_	_	O
운전하	운전하	VV	O
고	고	EC	O
_	_	_	O
촬영장	촬영장	NNG	O
_	_	_	O
다니	다니	VV	O
고	고	EC	O
_	_	_	O
그렇	그렇	VA	O
게	게	EC	O
_	_	_	O
사	살	VV	O
는데	는데	EC	O
…	…	SE	O
"	"+이	SS+VCP	O
라며	라며	EC	O
_	_	_	O
"	"	SS	O
만약	만약	NNG	O
_	_	_	O
아버지	아버지	NNG	O
_	_	_	O
도움	도움	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
으면	으면	EC	O
_	_	_	O
내	내	NP	O
가	가	JKS	O
_	_	_	O
지금	지금	MAG	O
_	_	_	O
이렇	이렇	VA	O
게	게	EC	O
_	_	_	O
살	살	VV	O
지	지	EC	O
_	_	_	O
않	않	VX	O
았	았	EP	O
을	을	ETM	O
_	_	_	O
것	것	NNB	O
"	"	SS	O
이라고	이라고	JKQ	O
_	_	_	O
했	+였	+EP	O
다	다	EF	O
.	.	SF	O

## 5
## 그들이 ‘이케메소’를 통해 스트레스를 해소할 수 있었으면 좋겠다”고 전했다.
## 그들이 ‘<이케메소:ORG>’를 통해 스트레스를 해소할 수 있었으면 좋겠다”고 전했다.
그	그	NP	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
‘	‘	SS	O
이케	이케	MAG	B-ORG
메소	메소	NNG	I-ORG
’	’	SS	O
를	를	JKO	O
_	_	_	O
통해	통하+여	VV+EC	O
_	_	_	O
스트레스	스트레스	NNG	O
를	를	JKO	O
_	_	_	O
해소할	해소하+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
었	었	EP	O
으면	으면	EC	O
_	_	_	O
좋	좋	VA	O
겠	겠	EP	O
다	다	EF	O
”	”	SS	O
고	고	JKQ	O
_	_	_	O
전	전하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## ‘이케메소’ 남자 직원들의 외모를 중요한 기준으로 삼는 것에 대해서는 “참가자들이 눈물을 흘림과 동시에 일상생활에서와는 다른 흥미진진한 무언가를 느낄 수 있어야 하지 않겠느냐”라고 답했다.
## ‘<이케메소:ORG>’ 남자 직원들의 외모를 중요한 기준으로 삼는 것에 대해서는 “참가자들이 눈물을 흘림과 동시에 일상생활에서와는 다른 흥미진진한 무언가를 느낄 수 있어야 하지 않겠느냐”라고 답했다.
‘	‘	SS	O
이케	이케	MAG	B-ORG
메소	메소	NNG	I-ORG
’	’	SS	O
_	_	_	O
남자	남자	NNG	O
_	_	_	O
직원	직원	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
외모	외모	NNG	O
를	를	JKO	O
_	_	_	O
중요한	중요하+ㄴ	VA+ETM	O
_	_	_	O
기준	기준	NNG	O
으로	으로	JKB	O
_	_	_	O
삼	삼	VV	O
는	는	ETM	O
_	_	_	O
것	것	NNB	O
에	에	JKB	O
_	_	_	O
대해서	대하+여서	VV+EC	O
는	는	JX	O
_	_	_	O
“	“	SS	O
참가자	참가자	NNG	O
들	들	XSN	O
이	이	JKS	O
_	_	_	O
눈물	눈물	NNG	O
을	을	JKO	O
_	_	_	O
흘림	흘리+ㅁ	VV+ETN	O
과	과	JKB	O
_	_	_	O
동시	동시	NNG	O
에	에	JKB	O
_	_	_	O
일상	일상	NNG	O
생활	생활	NNG	O
에서	에서	JKB	O
와	와	JKB	O
는	는	JX	O
_	_	_	O
다른	다른	MM	O
_	_	_	O
흥미진진한	흥미진진하+ㄴ	VA+ETM	O
_	_	_	O
무언가	무어+이+ㄴ가	NP+VCP+EC	O
를	를	JKO	O
_	_	_	O
느낄	느끼+ㄹ	VV+ETM	O
_	_	_	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
어야	어야	EC	O
_	_	_	O
하	하	VX	O
지	지	EC	O
_	_	_	O
않	않	VX	O
겠	겠	EP	O
느냐	느냐	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 7
## 마크 멜란스은 47세이브, A.J. 라모스는 40세이브 등을 올렸다.
## <마크 멜란스:PER>은 <47세이브:NOH>, <A.J. 라모스:PER>는 <40세이브:NOH> 등을 올렸다.
마크	마크	NNP	B-PER
_	_	_	I-PER
멜란스	멜란스	NNG	I-PER
은	은	JX	O
_	_	_	O
47	47	SN	B-NOH
세이브	세이브	NNG	I-NOH
,	,	SP	O
_	_	_	O
A	A	SL	B-PER
.	.	SF	I-PER
J	J	SL	I-PER
.	.	SF	I-PER
_	_	_	I-PER
라모스	라모스	NNP	I-PER
는	는	JX	O
_	_	_	O
40	40	SN	B-NOH
세이브	세이브	NNG	I-NOH
_	_	_	O
등	등	NNB	O
을	을	JKO	O
_	_	_	O
올	올리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 수상자는 30일 전에 확정될 예정이다.
## 수상자는 <30일:DAT> 전에 확정될 예정이다.
수상자	수상자	NNG	O
는	는	JX	O
_	_	_	O
30	30	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
전	전	NNG	O
에	에	JKB	O
_	_	_	O
확정될	확정되+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 이날 4-2-3-1 포메이션을 내세운 울리 슈틸리케 감독은 최전방 공격수에 지동원을 배치했다.
## 이날 <4-2-3-1 포메이션:NOH>을 내세운 <울리 슈틸리케:PER> 감독은 최전방 공격수에 지동원을 배치했다.
이날	이날	NNG	O
_	_	_	O
4	4	SN	B-NOH
-	-	SO	I-NOH
2	2	SN	I-NOH
-	-	SO	I-NOH
3	3	SN	I-NOH
-	-	SO	I-NOH
1	1	SN	I-NOH
_	_	_	I-NOH
포메이션	포메이션	NNG	I-NOH
을	을	JKO	O
_	_	_	O
내세운	내세우+ㄴ	VV+ETM	O
_	_	_	O
울리	울리	NNP	B-PER
_	_	_	I-PER
슈틸리케	슈틸리케	NNP	I-PER
_	_	_	O
감독	감독	NNG	O
은	은	JX	O
_	_	_	O
최전방	최전방	NNG	O
_	_	_	O
공격수	공격수	NNG	O
에	에	JKB	O
_	_	_	O
지동원	지동원	NNP	O
을	을	JKO	O
_	_	_	O
배치	배치하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 또한 신청자에 한에 도서관 출입과 도서 대출이 가능한 연세대학교 학생증도 발급된다.
## 또한 신청자에 한에 도서관 출입과 도서 대출이 가능한 <연세대학교:ORG> 학생증도 발급된다.
또한	또한	MAG	O
_	_	_	O
신청자	신청자	NNG	O
에	에	JKB	O
_	_	_	O
한	한	NNG	O
에	에	JKB	O
_	_	_	O
도서관	도서관	NNG	O
_	_	_	O
출입	출입	NNG	O
과	과	JC	O
_	_	_	O
도서	도서	NNG	O
_	_	_	O
대출	대출	NNG	O
이	이	JKS	O
_	_	_	O
가능한	가능하+ㄴ	VA+ETM	O
_	_	_	O
연세대학교	연세대학교	NNP	B-ORG
_	_	_	O
학생	학생	NNG	O
증	증	XSN	O
도	도	JX	O
_	_	_	O
발급된다	발급되+ㄴ다	VV+EF	O
.	.	SF	O

## 11
## 귀순자들의 사회적응 프로그램은 크게 3단계로 나누어 실시될수 있다.
## 귀순자들의 사회적응 프로그램은 크게 <3단계:NOH>로 나누어 실시될수 있다.
귀순자	귀순자	NNG	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
사회	사회	NNG	O
적응	적응	NNG	O
_	_	_	O
프로그램	프로그램	NNG	O
은	은	JX	O
_	_	_	O
크	크	VA	O
게	게	EC	O
_	_	_	O
3	3	SN	B-NOH
단계	단계	NNG	I-NOH
로	로	JKB	O
_	_	_	O
나누	나누	VV	O
어	어	EC	O
_	_	_	O
실시될	실시되+ㄹ	VV+ETM	O
수	수	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 12
## 밸런타인데이의 순수하고 따뜻한 분위기를 사랑의 낙원 에덴동산에 빗대 부드럽고 섬세하게 표현했다.
## <밸런타인데이:DAT>의 순수하고 따뜻한 분위기를 사랑의 낙원 에덴동산에 빗대 부드럽고 섬세하게 표현했다.
밸런타인데이	밸런타인데이	NNG	B-DAT
의	의	JKG	O
_	_	_	O
순수하	순수하	VA	O
고	고	EC	O
_	_	_	O
따뜻한	따뜻하+ㄴ	VA+ETM	O
_	_	_	O
분위기	분위기	NNG	O
를	를	JKO	O
_	_	_	O
사랑	사랑	NNG	O
의	의	JKG	O
_	_	_	O
낙원	낙원	NNG	O
_	_	_	O
에덴동산	에덴동산	NNP	O
에	에	JKB	O
_	_	_	O
빗대	빗대+어	VV+EC	O
_	_	_	O
부드럽	부드럽	VA	O
고	고	EC	O
_	_	_	O
섬세하	섬세하	VA	O
게	게	EC	O
_	_	_	O
표현	표현하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 서울중앙지법 형사합의27부(부장판사 심규홍) 심리로 11일 열린 아서 존 패터슨(36)의 2차 공판에 이윤성 서울대 의대 법의학교실 교수(62)와 이현탁 경위(혈흔형태 분석 전문수사관)가 참석했다.
## <서울중앙지법 형사합의27부:ORG>(부장판사 <심규홍:PER>) 심리로 <11일:DAT> 열린 <아서 존 패터슨:PER>(<36:NOH>)의 <2차:NOH> 공판에 <이윤성:PER> <서울대 의대:ORG> 법의학교실 교수(<62:NOH>)와 <이현탁:PER> 경위(혈흔형태 분석 전문수사관)가 참석했다.
서울중앙지법	서울중앙지법	NNP	B-ORG
_	_	_	I-ORG
형사	형사	NNG	I-ORG
합의	합의	NNG	I-ORG
27	27	SN	I-ORG
부	부	NNB	I-ORG
(	(	SS	O
부장판사	부장판사	NNG	O
_	_	_	O
심규홍	심규홍	NNP	B-PER
)	)	SS	O
_	_	_	O
심리	심리	NNG	O
로	로	JKB	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
아서	아서	EC	B-PER
_	_	_	I-PER
존	존	NNG	I-PER
_	_	_	I-PER
패터슨	패터슨	NNP	I-PER
(	(	SS	O
36	36	SN	B-NOH
)	)	SS	O
의	의	JKG	O
_	_	_	O
2	2	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
공판	공판	NNG	O
에	에	JKB	O
_	_	_	O
이윤성	이윤성	NNP	B-PER
_	_	_	O
서울대	서울대	NNP	B-ORG
_	_	_	I-ORG
의대	의대	NNG	I-ORG
_	_	_	O
법의학	법의학	NNG	O
교실	교실	NNG	O
_	_	_	O
교수	교수	NNG	O
(	(	SS	O
62	62	SN	B-NOH
)	)	SS	O
와	와	JKB	O
_	_	_	O
이현탁	이현탁	NNP	B-PER
_	_	_	O
경위	경위	NNG	O
(	(	SS	O
혈흔	혈흔	NNG	O
형태	형태	NNG	O
_	_	_	O
분석	분석	NNG	O
_	_	_	O
전문	전문	NNG	O
수사관	수사관	NNG	O
)	)	SS	O
가	가	JKS	O
_	_	_	O
참석	참석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 14
## 하지만 사용자 중 누군가 테이의 학습능력을 악용하는 방법을 찾아내 미국에서 금기시된 막말을 가르쳤다.
## 하지만 사용자 중 누군가 테이의 학습능력을 악용하는 방법을 찾아내 <미국:ORG>에서 금기시된 막말을 가르쳤다.
하지만	하지만	MAJ	O
_	_	_	O
사용자	사용자	NNG	O
_	_	_	O
중	중	NNB	O
_	_	_	O
누군가	누구+이+ㄴ가	NP+VCP+EC	O
_	_	_	O
테이	테이	NNP	O
의	의	JKG	O
_	_	_	O
학습	학습	NNG	O
능력	능력	NNG	O
을	을	JKO	O
_	_	_	O
악용하	악용하	VV	O
는	는	ETM	O
_	_	_	O
방법	방법	NNG	O
을	을	JKO	O
_	_	_	O
찾아내	찾아내+어	VV+EC	O
_	_	_	O
미국	미국	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
금기	금기	NNG	O
시	시	XSN	O
된	되+ㄴ	XSV+ETM	O
_	_	_	O
막말	막말	NNG	O
을	을	JKO	O
_	_	_	O
가르	가르치	VV	O
쳤	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 박 전 대통령 탄핵 후 첫 주말인 11일 오후 친박단체들은 대규모 집회를 열었다.
## <박:PER> 전 대통령 탄핵 후 첫 주말인 <11일:DAT> 오후 친박단체들은 대규모 집회를 열었다.
박	박	NNP	B-PER
_	_	_	O
전	전	MM	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
탄핵	탄핵	NNG	O
_	_	_	O
후	후	NNG	O
_	_	_	O
첫	첫	MM	O
_	_	_	O
주말	주말	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
11	11	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
오후	오후	NNG	O
_	_	_	O
친	친	XPN	O
박	박	NNP	O
단체	단체	NNG	O
들	들	XSN	O
은	은	JX	O
_	_	_	O
대규모	대규모	NNG	O
_	_	_	O
집회	집회	NNG	O
를	를	JKO	O
_	_	_	O
열	열	VV	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 두 정상은 확대회담후 한­러 공동선언에 서명한데 이어 해상사고방지협정등 4개 협정 체결식에 임석했다.
## 두 정상은 확대회담후 <한­러 공동선언:POH>에 서명한데 이어 <해상사고방지협정:POH>등 <4개:NOH> 협정 체결식에 임석했다.
두	두	MM	O
_	_	_	O
정상	정상	NNG	O
은	은	JX	O
_	_	_	O
확대	확대	NNG	O
회담	회담	NNG	O
후	후	NNG	O
_	_	_	O
한	한	NNP	B-POH
­	­	SS	I-POH
러	러	NNP	I-POH
_	_	_	I-POH
공동	공동	NNG	I-POH
선언	선언	NNG	I-POH
에	에	JKB	O
_	_	_	O
서명한	서명하+ㄴ	VV+ETM	O
데	데	NNB	O
_	_	_	O
이	잇	VV	O
어	어	EC	O
_	_	_	O
해상	해상	NNG	B-POH
사고	사고	NNG	I-POH
방지	방지	NNG	I-POH
협정	협정	NNG	I-POH
등	등	NNB	O
_	_	_	O
4	4	SN	B-NOH
개	개	NNB	I-NOH
_	_	_	O
협정	협정	NNG	O
_	_	_	O
체결	체결	NNG	O
식	식	XSN	O
에	에	JKB	O
_	_	_	O
임석	임석하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

