## 1
## 전원합의체 사건을 형사, 민사, 특별(행정 및 특허) 사건 3가지로 나눠 분석한 결과 대표적 진보 그룹으로 분류된 김영란 전수안 박시환 이홍훈 김지형 전 대법관은 형사사건에서 진보성향(1, 2, 3, 5, 6위)이 뚜렷했지만 민사에서는 이합 집산했고, 행정사건에서는 오히려 보수적인 색채(1, 2, 3, 4, 8위)를 보였다.
## 전원합의체 사건을 형사, 민사, 특별(행정 및 특허) 사건 <3가지:NOH>로 나눠 분석한 결과 대표적 진보 그룹으로 분류된 <김영란:PER> <전수안:PER> <박시환:PER> <이홍훈:PER> <김지형:PER> 전 대법관은 형사사건에서 진보성향(<1:NOH>, <2:NOH>, <3:NOH>, <5:NOH>, <6위:NOH>)이 뚜렷했지만 민사에서는 이합 집산했고, 행정사건에서는 오히려 보수적인 색채(<1:NOH>, <2:NOH>, <3:NOH>, <4:NOH>, <8위:NOH>)를 보였다.
전원	전원	NNG	O
속	속	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
부인	부인	NNG	O
_	_	_	O
A	A	SL	B-NOH
_	_	_	O
씨	씨	NNB	O
와	와	JC	O
_	_	_	O
사망한	사망하+ㄴ	VV+ETM	O
_	_	_	O
전남편	전남편	NNG	O
_	_	_	O
B	B	SL	B-NOH
_	_	_	O
씨	씨	NNB	O
_	_	_	O
사이	사이	NNG	O
에서	에서	JKB	O
_	_	_	O
태어난	태어나+ㄴ	VV+ETM	O
_	_	_	O
아들	아들	NNG	O
도	도	JX	O
_	_	_	O
모습	모습	NNG	O
을	을	JKO	O
_	_	_	O
지켜보	지켜보	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
었	었	EP	O
다	다	EF	O
.	.	SF	O

## 3
## 이 주상복합에는 ‘트럼프월드’란 이름에 걸맞게 국내에서 처음으로 ‘트럼프식 주거서비스’가 도입됐습니다.
## 이 주상복합에는 ‘<트럼프월드:POH>’란 이름에 걸맞게 국내에서 처음으로 ‘<트럼프:PER>식 주거서비스’가 도입됐습니다.
이	이	MM	O
_	_	_	O
주상	주상	NNG	O
복합	복합	NNG	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
‘	‘	SS	O
트럼프월드	트럼프월드	NNP	B-POH
’	’+이	SS+VCP	O
란	란	ETM	O
_	_	_	O
이름	이름	NNG	O
에	에	JKB	O
_	_	_	O
걸맞	걸맞	VA	O
게	게	EC	O
_	_	_	O
국내	국내	NNG	O
에서	에서	JKB	O
_	_	_	O
처음	처음	NNG	O
으로	으로	JKB	O
_	_	_	O
‘	‘	SS	O
트럼프	트럼프	NNP	B-PER
식	식	XSN	O
_	_	_	O
주거	주거	NNG	O
서비스	서비스	NNG	O
’	’	SS	O
가	가	JKS	O
_	_	_	O
도입	도입되	VV	O
됐	었	EP	O
습니다	습니다	EF	O
.	.	SF	O

## 4
## 그때 총리 제의를 받은 일이 있는지 세 차례나 물어봤다.
## 그때 총리 제의를 받은 일이 있는지 <세 차례:NOH>나 물어봤다.
그때	그때	NNG	O
_	_	_	O
총리	총리	NNG	O
_	_	_	O
제의	제의	NNG	O
를	를	JKO	O
_	_	_	O
받	받	VV	O
은	은	ETM	O
_	_	_	O
일	일	NNG	O
이	이	JKS	O
_	_	_	O
있	있	VA	O
는지	는지	EC	O
_	_	_	O
세	세	MM	B-NOH
_	_	_	I-NOH
차례	차례	NNG	I-NOH
나	나	JX	O
_	_	_	O
물어	물어보	VV	O
봤	았	EP	O
다	다	EF	O
.	.	SF	O

## 5
## 한편 바이든 부통령은 이날 조지워싱턴 대학에서 열린 대담에서 2011년 오사마 빈 라덴사살 작전을 설명하면서 리언 패네타 당시 중앙정보국(CIA) 국장과 로버트 게이츠 국방장관 등 2명만이 오바마 대통령에게 작전 수행 여부에 대한 명확한 입장을 밝혔다고 공개했다.
## 한편 <바이든:PER> 부통령은 이날 <조지워싱턴 대학:ORG>에서 열린 대담에서 <2011년:DAT> <오사마 빈 라덴:PER>사살 작전을 설명하면서 <리언 패네타:PER> 당시 <중앙정보국:ORG>(<CIA:ORG>) 국장과 <로버트 게이츠:PER> 국방장관 등 <2명:NOH>만이 <오바마:PER> 대통령에게 작전 수행 여부에 대한 명확한 입장을 밝혔다고 공개했다.
한편	한편	MAG	O
_	_	_	O
바이든	바이든	NNP	B-PER
_	_	_	O
부통령	부통령	NNG	O
은	은	JX	O
_	_	_	O
이날	이날	NNG	O
_	_	_	O
조지워싱턴	조지워싱턴	NNP	B-ORG
_	_	_	I-ORG
대학	대학	NNG	I-ORG
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
대담	대담	NNG	O
에서	에서	JKB	O
_	_	_	O
2011	2011	SN	B-DAT
년	년	NNB	I-DAT
_	_	_	O
오사마	오사마	NNP	B-PER
_	_	_	I-PER
빈	빈	NNP	I-PER
_	_	_	I-PER
라덴	라덴	NNP	I-PER
사살	사살	NNG	O
_	_	_	O
작전	작전	NNG	O
을	을	JKO	O
_	_	_	O
설명하	설명하	VV	O
면서	면서	EC	O
_	_	_	O
리언	리언	NNP	B-PER
_	_	_	I-PER
패	패	NNG	I-PER
네	네	XSN	I-PER
타	타	NNG	I-PER
_	_	_	O
당시	당시	NNG	O
_	_	_	O
중앙	중앙	NNG	B-ORG
정보국	정보국	NNG	I-ORG
(	(	SS	O
CIA	CIA	SL	B-ORG
)	)	SS	O
_	_	_	O
국장	국장	NNG	O
과	과	JC	O
_	_	_	O
로버트	로버트	NNP	B-PER
_	_	_	I-PER
게이츠	게이츠	NNP	I-PER
_	_	_	O
국방	국방	NNG	O
장관	장관	NNG	O
_	_	_	O
등	등	NNB	O
_	_	_	O
2	2	SN	B-NOH
명	명	NNB	I-NOH
만	만	JX	O
이	이	JKS	O
_	_	_	O
오바마	오바마	NNP	B-PER
_	_	_	O
대통령	대통령	NNG	O
에게	에게	JKB	O
_	_	_	O
작전	작전	NNG	O
_	_	_	O
수행	수행	NNG	O
_	_	_	O
여부	여부	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
명확한	명확하+ㄴ	VA+ETM	O
_	_	_	O
입장	입장	NNG	O
을	을	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다고	다고	EC	O
_	_	_	O
공개	공개하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 6
## 쥬라기월드, 14년만에 스케일로 승부전 세계를 강타했던 ‘쥬라기 공원’ 시리즈의 네 번째 작품 ‘쥬라기 월드’가 오는 6월 국내 개봉을 앞두고 있다.
## <쥬라기월드:POH>, <14년:DAT>만에 스케일로 승부전 세계를 강타했던 ‘<쥬라기 공원:POH>’ 시리즈의 네 번째 작품 ‘<쥬라기 월드:POH>’가 오는 <6월:DAT> 국내 개봉을 앞두고 있다.
쥬라기	쥬라기	NNG	B-POH
월드	월드	NNG	I-POH
,	,	SP	O
_	_	_	O
14	14	SN	B-DAT
년	년	NNB	I-DAT
만	만	NNB	O
에	에	JKB	O
_	_	_	O
스케일	스케일	NNG	O
로	로	JKB	O
_	_	_	O
승부	승부	NNG	O
전	전	XSN	O
_	_	_	O
세계	세계	NNG	O
를	를	JKO	O
_	_	_	O
강타	강타하	VV	O
했	었	EP	O
던	던	ETM	O
_	_	_	O
‘	‘	SS	O
쥬라기	쥬라기	NNG	B-POH
_	_	_	I-POH
공원	공원	NNG	I-POH
’	’	SS	O
_	_	_	O
시리즈	시리즈	NNG	O
의	의	JKG	O
_	_	_	O
네	네	MM	O
_	_	_	O
번째	번째	NNB	O
_	_	_	O
작품	작품	NNG	O
_	_	_	O
‘	‘	SS	O
쥬라기	쥬라기	NNG	B-POH
_	_	_	I-POH
월드	월드	NNG	I-POH
’	’	SS	O
가	가	JKS	O
_	_	_	O
오	오	VV	O
는	는	ETM	O
_	_	_	O
6	6	SN	B-DAT
월	월	NNB	I-DAT
_	_	_	O
국내	국내	NNG	O
_	_	_	O
개봉	개봉	NNG	O
을	을	JKO	O
_	_	_	O
앞두	앞두	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 7
## 정씨는 부산으로 압송됐다.
## <정:PER>씨는 <부산:LOC>으로 압송됐다.
정	정	NNP	B-PER
씨	씨	NNB	O
는	는	JX	O
_	_	_	O
부산	부산	NNP	B-LOC
으로	으로	JKB	O
_	_	_	O
압송	압송되	VV	O
됐	었	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 권아솔 “아오르꺼러랑 붙고 싶다”-이둘희와 SNS 설전을 많이 벌였는데 솔직한 심정은.“나는 로드FC 라이트급 챔피언이다.
## <권아솔:PER> “<아오르꺼러:PER>랑 붙고 싶다”-<이둘희:PER>와 SNS 설전을 많이 벌였는데 솔직한 심정은.“나는 <로드FC:POH> 라이트급 챔피언이다.
권	권	XSN	B-PER
아솔	아솔	NNP	I-PER
_	_	_	O
“	“	SS	O
아	아	XSN	B-PER
오르	오르	VV	I-PER
꺼	꺼	NNB	I-PER
러	러	NNP	I-PER
랑	랑	JKB	O
_	_	_	O
붙	붙	VV	O
고	고	EC	O
_	_	_	O
싶	싶	VX	O
다	다	EF	O
”	”	SS	O
-	-	SO	O
이	이	MM	B-PER
둘	둘	NR	I-PER
희	희	NNG	I-PER
와	와	JC	O
_	_	_	O
SNS	SNS	SL	O
_	_	_	O
설전	설전	NNG	O
을	을	JKO	O
_	_	_	O
많이	많이	MAG	O
_	_	_	O
벌	벌이	VV	O
였	었	EP	O
는데	는데	EC	O
_	_	_	O
솔직한	솔직하+ㄴ	VA+ETM	O
_	_	_	O
심정	심정	NNG	O
은	은	JX	O
.	.	SF	O
“	“	SS	O
나	나	NP	O
는	는	JX	O
_	_	_	O
로드	로드	NNP	B-POH
FC	FC	SL	I-POH
_	_	_	O
라이트급	라이트급	NNG	O
_	_	_	O
챔피언	챔피언	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 9
## 국회의 대통령 탄핵소추안 가결을 환영하는 시국대회와 촛불집회가 10일 대전과 세종·충남지역 곳곳에서 열렸다.
## 국회의 대통령 탄핵소추안 가결을 환영하는 시국대회와 촛불집회가 <10일:DAT> <대전:LOC>과 <세종:LOC>·<충남:LOC>지역 곳곳에서 열렸다.
국회	국회	NNG	O
의	의	JKG	O
_	_	_	O
대통령	대통령	NNG	O
_	_	_	O
탄핵	탄핵	NNG	O
소추	소추	NNG	O
안	안	NNG	O
_	_	_	O
가결	가결	NNG	O
을	을	JKO	O
_	_	_	O
환영하	환영하	VV	O
는	는	ETM	O
_	_	_	O
시국	시국	NNG	O
대회	대회	NNG	O
와	와	JC	O
_	_	_	O
촛불	촛불	NNG	O
집회	집회	NNG	O
가	가	JKS	O
_	_	_	O
10	10	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
대전	대전	NNP	B-LOC
과	과	JC	O
_	_	_	O
세종	세종	NNP	B-LOC
·	·	SP	O
충남	충남	NNP	B-LOC
지역	지역	NNG	O
_	_	_	O
곳곳	곳곳	NNG	O
에서	에서	JKB	O
_	_	_	O
열	열리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 10
## 이날 오후 5시 대전시 서구 둔산동 갤러리아타임월드 앞에서 열린 ‘박근혜 퇴진 4차 대전10만 시국대회’에는 1만여 명의 시민이 동참했다.
## 이날 <오후 5시:TIM> <대전시:LOC> <서구:LOC> <둔산동:LOC> <갤러리아타임월드:LOC> 앞에서 열린 ‘<박근혜:PER> 퇴진 <4차:NOH> <대전:LOC><10만:NOH> 시국대회’에는 <1만여 명:NOH>의 시민이 동참했다.
이날	이날	NNG	O
_	_	_	O
오후	오후	NNG	B-TIM
_	_	_	I-TIM
5	5	SN	I-TIM
시	시	NNB	I-TIM
_	_	_	O
대전시	대전시	NNP	B-LOC
_	_	_	O
서	서	NNG	B-LOC
구	구	NNG	I-LOC
_	_	_	O
둔산동	둔산동	NNP	B-LOC
_	_	_	O
갤러리아	갤러리아	NNP	B-LOC
타임	타임	NNG	I-LOC
월드	월드	NNG	I-LOC
_	_	_	O
앞	앞	NNG	O
에서	에서	JKB	O
_	_	_	O
열린	열리+ㄴ	VV+ETM	O
_	_	_	O
‘	‘	SS	O
박근혜	박근혜	NNP	B-PER
_	_	_	O
퇴진	퇴진	NNG	O
_	_	_	O
4	4	SN	B-NOH
차	차	NNB	I-NOH
_	_	_	O
대전	대전	NNG	B-LOC
10	10	SN	B-NOH
만	만	NR	I-NOH
_	_	_	O
시국	시국	NNG	O
대회	대회	NNG	O
’	’	SS	O
에	에	JKB	O
는	는	JX	O
_	_	_	O
1	1	SN	B-NOH
만	만	NR	I-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
명	명	NNB	I-NOH
의	의	JKG	O
_	_	_	O
시민	시민	NNG	O
이	이	JKS	O
_	_	_	O
동참	동참하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 그다음은 엄마가 나보다 예쁘고, 3대중 내가 제일 못생겼다”라고 말한 바 있다.
## 그다음은 엄마가 나보다 예쁘고, <3대:NOH>중 내가 제일 못생겼다”라고 말한 바 있다.
그다음	그다음	NNG	O
은	은	JX	O
_	_	_	O
엄마	엄마	NNG	O
가	가	JKS	O
_	_	_	O
나	나	NP	O
보다	보다	JKB	O
_	_	_	O
예쁘	예쁘	VA	O
고	고	EC	O
,	,	SP	O
_	_	_	O
3	3	SN	B-NOH
대	대	NNB	I-NOH
중	중	NNB	O
_	_	_	O
내	내	NP	O
가	가	JKS	O
_	_	_	O
제일	제일	MAG	O
_	_	_	O
못생	못생기	VA	O
겼	었	EP	O
다	다	EF	O
”	”	SS	O
라고	라고	JKQ	O
_	_	_	O
말한	말하+ㄴ	VV+ETM	O
_	_	_	O
바	바	NNB	O
_	_	_	O
있	있	VA	O
다	다	EF	O
.	.	SF	O

## 12
## 한편, 5일 중국의 한 연예매체는 “유역비와 송승헌이 사랑에 빠졌다”면서 “영화를 촬영하며 인연을 맺었고 현재 열애 중”이라고 보도했다.
## 한편, <5일:DAT> <중국:ORG>의 한 연예매체는 “<유역비:PER>와 <송승헌:PER>이 사랑에 빠졌다”면서 “영화를 촬영하며 인연을 맺었고 현재 열애 중”이라고 보도했다.
한편	한편	NNG	O
,	,	SP	O
_	_	_	O
5	5	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
중국	중국	NNP	B-ORG
의	의	JKG	O
_	_	_	O
한	한	MM	O
_	_	_	O
연예	연예	NNG	O
매체	매체	NNG	O
는	는	JX	O
_	_	_	O
“	“	SS	O
유역	유역	NNG	B-PER
비	비	XSN	I-PER
와	와	JC	O
_	_	_	O
송승헌	송승헌	NNP	B-PER
이	이	JKS	O
_	_	_	O
사랑	사랑	NNG	O
에	에	JKB	O
_	_	_	O
빠	빠지	VV	O
졌	었	EP	O
다	다	EF	O
”	”	SS	O
면서	면서	EC	O
_	_	_	O
“	“	SS	O
영화	영화	NNG	O
를	를	JKO	O
_	_	_	O
촬영하	촬영하	VV	O
며	며	EC	O
_	_	_	O
인연	인연	NNG	O
을	을	JKO	O
_	_	_	O
맺	맺	VV	O
었	었	EP	O
고	고	EC	O
_	_	_	O
현재	현재	MAG	O
_	_	_	O
열애	열애	NNG	O
_	_	_	O
중	중	NNP	O
”	”	SS	O
이라고	이라고	JKQ	O
_	_	_	O
보도	보도하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 13
## 대관령 눈꽃축제 9일 개막, 평창동계올림픽 성공 기원 ‘눈 나라의 꿈’
## <대관령 눈꽃축제:POH> <9일:DAT> 개막, <평창:LOC>동계올림픽 성공 기원 ‘눈 나라의 꿈’
대관령	대관령	NNP	B-POH
_	_	_	I-POH
눈꽃	눈꽃	NNG	I-POH
축제	축제	NNG	I-POH
_	_	_	O
9	9	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
개막	개막	NNG	O
,	,	SP	O
_	_	_	O
평창	평창	NNP	B-LOC
동계	동계	NNG	O
올림픽	올림픽	NNG	O
_	_	_	O
성공	성공	NNG	O
_	_	_	O
기원	기원	NNG	O
_	_	_	O
‘	‘	SS	O
눈	눈	NNG	O
_	_	_	O
나라	나라	NNG	O
의	의	JKG	O
_	_	_	O
꿈	꿈	NNG	O
’	’	SS	O

## 14
## “우아한 D라인”…장윤주, 톱모델의 수영복 만삭 화보
## “우아한 D라인”…<장윤주:PER>, 톱모델의 수영복 만삭 화보
“	“	SS	O
우아한	우아하+ㄴ	VA+ETM	O
_	_	_	O
D	D	SL	O
라인	라인	NNG	O
”	”	SS	O
…	…	SE	O
장윤주	장윤주	NNP	B-PER
,	,	SP	O
_	_	_	O
톱모델	톱모델	NNG	O
의	의	JKG	O
_	_	_	O
수영복	수영복	NNG	O
_	_	_	O
만삭	만삭	NNG	O
_	_	_	O
화보	화보	NNG	O

## 15
## 실제 KT&G의 주가는 외국산 담배사들의 저가전략이 가시화된 지난 8일 이후 5.9% 내렸다.
## 실제 <KT&G:ORG>의 주가는 외국산 담배사들의 저가전략이 가시화된 지난 <8일:DAT> 이후 <5.9%:PNT> 내렸다.
실제	실제	NNG	O
_	_	_	O
KT	KT	SL	B-ORG
&	&	SW	I-ORG
G	G	SL	I-ORG
의	의	JKG	O
_	_	_	O
주가	주가	NNG	O
는	는	JX	O
_	_	_	O
외국산	외국산	NNG	O
_	_	_	O
담배	담배	NNG	O
사	사	XSN	O
들	들	XSN	O
의	의	JKG	O
_	_	_	O
저가	저가	NNG	O
전략	전략	NNG	O
이	이	JKS	O
_	_	_	O
가시화된	가시화되+ㄴ	VV+ETM	O
_	_	_	O
지난	지나+ㄴ	VV+ETM	O
_	_	_	O
8	8	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
이후	이후	NNG	O
_	_	_	O
5.9	5.9	SN	B-PNT
%	%	SW	I-PNT
_	_	_	O
내	내리	VV	O
렸	었	EP	O
다	다	EF	O
.	.	SF	O

## 16
## 장동건 조카 유민 포함된 멜로디데이, 두 번 째 싱글앨범으로 컴백
## <장동건:PER> 조카 <유민:PER> 포함된 <멜로디데이:ORG>, 두 번 째 싱글앨범으로 컴백
장동건	장동건	NNP	B-PER
_	_	_	O
조카	조카	NNG	O
_	_	_	O
유민	유민	NNG	B-PER
_	_	_	O
포함된	포함되+ㄴ	VV+ETM	O
_	_	_	O
멜로디	멜로디	NNG	B-ORG
데이	데이	NNG	I-ORG
,	,	SP	O
_	_	_	O
두	두	MM	O
_	_	_	O
번	번	NNB	O
_	_	_	O
째	째	XSN	O
_	_	_	O
싱글	싱글	NNG	O
앨범	앨범	NNG	O
으로	으로	JKB	O
_	_	_	O
컴백	컴백	NNG	O

