## 1
## 로터스 빈야드 2010년산은 2012년에도 두 번째 로버트 파커 만점을 받았다.
## <로터스 빈야드:PER> <2010년산:NOH>은 <2012년:DAT>에도 <두 번째:NOH> <로버트 파커:POH> 만점을 받았다.
로터스	로터스	NNP	B-PER
다소	다소	MAG	O
_	_	_	O
긍정	긍정	NNG	O
’	’	SS	O
이라고	이라고	JKQ	O
_	_	_	O
답	답하	VV	O
했	였	EP	O
다	다	EF	O
.	.	SF	O

## 8
## 하지만 한국은행은 기준금리를 지난해 두 번에 걸쳐 2.0%로 낮춘 뒤 그대로 유지하고 있다.
## 하지만 <한국은행:ORG>은 기준금리를 지난해 <두 번:NOH>에 걸쳐 <2.0%:PNT>로 낮춘 뒤 그대로 유지하고 있다.
하지만	하지만	MAJ	O
_	_	_	O
한국은행	한국은행	NNP	B-ORG
은	은	JX	O
_	_	_	O
기준	기준	NNG	O
금리	금리	NNG	O
를	를	JKO	O
_	_	_	O
지난해	지난해	NNG	O
_	_	_	O
두	두	MM	B-NOH
_	_	_	I-NOH
번	번	NNB	I-NOH
에	에	JKB	O
_	_	_	O
걸쳐	걸치+어	VV+EC	O
_	_	_	O
2.0	2.0	SN	B-PNT
%	%	SW	I-PNT
로	로	JKB	O
_	_	_	O
낮춘	낮추+ㄴ	VV+ETM	O
_	_	_	O
뒤	뒤	NNG	O
_	_	_	O
그대로	그대로	MAG	O
_	_	_	O
유지하	유지하	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
다	다	EF	O
.	.	SF	O

## 9
## 모스에 대한 유일한 평전인 이 책은 4부 18장에 2200여 개의 주석을 달며 촘촘히 구성해 그의 생에 대한 모든 것을 담았다.
## <모스:ORG>에 대한 유일한 평전인 이 책은 <4부:NOH> <18장:NOH>에 <2200여 개:NOH>의 주석을 달며 촘촘히 구성해 그의 생에 대한 모든 것을 담았다.
모스	모스	NNP	B-ORG
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
유일한	유일하+ㄴ	VA+ETM	O
_	_	_	O
평전	평전	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
이	이	MM	O
_	_	_	O
책	책	NNG	O
은	은	JX	O
_	_	_	O
4	4	SN	B-NOH
부	부	NNB	I-NOH
_	_	_	O
18	18	SN	B-NOH
장	장	NNB	I-NOH
에	에	JKB	O
_	_	_	O
2200	2200	SN	B-NOH
여	여	XSN	I-NOH
_	_	_	I-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
주석	주석	NNG	O
을	을	JKO	O
_	_	_	O
달	달	VV	O
며	며	EC	O
_	_	_	O
촘촘히	촘촘히	MAG	O
_	_	_	O
구성해	구성하+여	VV+EC	O
_	_	_	O
그	그	NP	O
의	의	JKG	O
_	_	_	O
생	생	NNG	O
에	에	JKB	O
_	_	_	O
대한	대하+ㄴ	VV+ETM	O
_	_	_	O
모든	모든	MM	O
_	_	_	O
것	것	NNB	O
을	을	JKO	O
_	_	_	O
담	담	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 10
## "약물 의혹은 16세 때도 받았다.
## "약물 의혹은 <16세:NOH> 때도 받았다.
"	"	SS	O
약물	약물	NNG	O
_	_	_	O
의혹	의혹	NNG	O
은	은	JX	O
_	_	_	O
16	16	SN	B-NOH
세	세	NNB	I-NOH
_	_	_	O
때	때	NNG	O
도	도	JX	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

## 11
## 현재 미국, 유럽에서 5개의 임상이 순조롭게 진행 중으로 내년 초에 임상결과가 나올 예정이다.
## 현재 <미국:ORG>, <유럽:ORG>에서 <5개:NOH>의 임상이 순조롭게 진행 중으로 내년 초에 임상결과가 나올 예정이다.
현재	현재	MAG	O
_	_	_	O
미국	미국	NNP	B-ORG
,	,	SP	O
_	_	_	O
유럽	유럽	NNP	B-ORG
에서	에서	JKB	O
_	_	_	O
5	5	SN	B-NOH
개	개	NNB	I-NOH
의	의	JKG	O
_	_	_	O
임상이	임상이	NNP	O
_	_	_	O
순조롭	순조롭	VA	O
게	게	EC	O
_	_	_	O
진행	진행	NNG	O
_	_	_	O
중	중	NNB	O
으로	으로	JKB	O
_	_	_	O
내년	내년	NNG	O
_	_	_	O
초	초	NNB	O
에	에	JKB	O
_	_	_	O
임상	임상	NNG	O
결과	결과	NNG	O
가	가	JKS	O
_	_	_	O
나올	나오+ㄹ	VV+ETM	O
_	_	_	O
예정	예정	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 12
## 로봇과 센서가 놀라울 정도로 정교해지고 있는데다 3D 프린팅 기술 등은 더욱 진화할 것이다.
## 로봇과 센서가 놀라울 정도로 정교해지고 있는데다 <3D:NOH> 프린팅 기술 등은 더욱 진화할 것이다.
로봇	로봇	NNG	O
과	과	JC	O
_	_	_	O
센서	센서	NNG	O
가	가	JKS	O
_	_	_	O
놀라	놀랍	VA	O
울	ㄹ	ETM	O
_	_	_	O
정도	정도	NNG	O
로	로	JKB	O
_	_	_	O
정교해	정교하+여	VA+EC	O
지	지	VX	O
고	고	EC	O
_	_	_	O
있	있	VX	O
는데	는데	EC	O
다	다	JX	O
_	_	_	O
3	3	SN	B-NOH
D	D	SL	I-NOH
_	_	_	O
프린팅	프린팅	NNG	O
_	_	_	O
기술	기술	NNG	O
_	_	_	O
등	등	NNB	O
은	은	JX	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
진화할	진화하+ㄹ	VV+ETM	O
_	_	_	O
것	것	NNB	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 13
## 인근 제3경인고속도로, 제2경인고속도로 연장(예정) 등으로 교통여건은 더욱 개선될 전망이다.
## 인근 <제3경인고속도로:LOC>, <제2경인고속도로:LOC> 연장(예정) 등으로 교통여건은 더욱 개선될 전망이다.
인근	인근	NNG	O
_	_	_	O
제	제	XPN	B-LOC
3	3	SN	I-LOC
경인고속도로	경인고속도로	NNP	I-LOC
,	,	SP	O
_	_	_	O
제	제	XPN	B-LOC
2	2	SN	I-LOC
경인고속도로	경인고속도로	NNP	I-LOC
_	_	_	O
연장	연장	NNG	O
(	(	SS	O
예정	예정	NNG	O
)	)	SS	O
_	_	_	O
등	등	NNB	O
으로	으로	JKB	O
_	_	_	O
교통	교통	NNG	O
여건	여건	NNG	O
은	은	JX	O
_	_	_	O
더욱	더욱	MAG	O
_	_	_	O
개선될	개선되+ㄹ	VV+ETM	O
_	_	_	O
전망	전망	NNG	O
이	이	VCP	O
다	다	EF	O
.	.	SF	O

## 14
## 타이거 우즈 허리수술타이거 우즈 두번재 허리수술, 고질적 통증에 시달려 기권까지...‘골프 황제’ 타이거 우즈(미국)가 최근 또 다시 허리수술을 받았다타이거 우즈는 19일(한국시간) 자신의 공식 홈페이지에 허리통증을 치료하기 위해 두번째 수술대에 올랐다는 사실을 밝혔다.
## <타이거 우즈:PER> 허리수술<타이거 우즈:PER> 두번재 허리수술, 고질적 통증에 시달려 기권까지...‘골프 황제’ <타이거 우즈:PER>(<미국:ORG>)가 최근 또 다시 허리수술을 받았다<타이거 우즈:PER>는 <19일:DAT>(<한국:LOC>시간) 자신의 공식 홈페이지에 허리통증을 치료하기 위해 두번째 수술대에 올랐다는 사실을 밝혔다.
타이거	타이거	NNP	B-PER
_	_	_	I-PER
우즈	우즈	NNP	I-PER
_	_	_	O
허리	허리	NNG	O
수술	수술	NNG	O
타이거	타이거	NNP	B-PER
_	_	_	I-PER
우즈	우즈	NNP	I-PER
_	_	_	O
두	두	MM	O
번	번	NNB	O
재	재	XPN	O
_	_	_	O
허리	허리	NNG	O
수술	수술	NNG	O
,	,	SP	O
_	_	_	O
고질적	고질적	NNG	O
_	_	_	O
통증	통증	NNG	O
에	에	JKB	O
_	_	_	O
시달려	시달리+어	VV+EC	O
_	_	_	O
기권	기권	NNG	O
까지	까지	JX	O
.	.	SF	O
.	.	SF	O
.	.	SF	O
‘	‘	SS	O
골프	골프	NNG	O
_	_	_	O
황제	황제	NNG	O
’	’	SS	O
_	_	_	O
타이거	타이거	NNP	B-PER
_	_	_	I-PER
우즈	우즈	NNP	I-PER
(	(	SS	O
미국	미국	NNP	B-ORG
)	)	SS	O
가	가	JKS	O
_	_	_	O
최근	최근	NNG	O
_	_	_	O
또	또	MAG	O
_	_	_	O
다시	다시	MAG	O
_	_	_	O
허리	허리	NNG	O
수술	수술	NNG	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EC	O
타이거	타이거	NNP	B-PER
_	_	_	I-PER
우즈	우즈	NNP	I-PER
는	는	JX	O
_	_	_	O
19	19	SN	B-DAT
일	일	NNB	I-DAT
(	(	SS	O
한국	한국	NNP	B-LOC
시간	시간	NNG	O
)	)	SS	O
_	_	_	O
자신	자신	NNG	O
의	의	JKG	O
_	_	_	O
공식	공식	NNG	O
_	_	_	O
홈페이지	홈페이지	NNG	O
에	에	JKB	O
_	_	_	O
허리	허리	NNG	O
통증	통증	NNG	O
을	을	JKO	O
_	_	_	O
치료하	치료하	VV	O
기	기	ETN	O
_	_	_	O
위해	위하+여	VV+EC	O
_	_	_	O
두	두	MM	O
번째	번째	NNB	O
_	_	_	O
수술대	수술대	NNG	O
에	에	JKB	O
_	_	_	O
올	오르	VV	O
랐	았	EP	O
다는	다는	ETM	O
_	_	_	O
사실	사실	NNG	O
을	을	JKO	O
_	_	_	O
밝	밝히	VV	O
혔	었	EP	O
다	다	EF	O
.	.	SF	O

## 15
## 고질적인 허리 통증을 겪고 있던 우즈는 17일 미세 현미경 디스크 제거술을 받았다.
## 고질적인 허리 통증을 겪고 있던 <우즈:PER>는 <17일:DAT> 미세 현미경 디스크 제거술을 받았다.
고질적	고질적	NNG	O
인	이+ㄴ	VCP+ETM	O
_	_	_	O
허리	허리	NNG	O
_	_	_	O
통증	통증	NNG	O
을	을	JKO	O
_	_	_	O
겪	겪	VV	O
고	고	EC	O
_	_	_	O
있	있	VX	O
던	던	ETM	O
_	_	_	O
우즈	우즈	NNP	B-PER
는	는	JX	O
_	_	_	O
17	17	SN	B-DAT
일	일	NNB	I-DAT
_	_	_	O
미세	미세	NNG	O
_	_	_	O
현미경	현미경	NNG	O
_	_	_	O
디스크	디스크	NNG	O
_	_	_	O
제거	제거	NNG	O
술	술	XSN	O
을	을	JKO	O
_	_	_	O
받	받	VV	O
았	았	EP	O
다	다	EF	O
.	.	SF	O

